0 -305.5669247516937 0.0 615.56876425323, 1 -434.185513564188 -24.00478699723417 621.0153837788462, 2 -452.0998756396389 -24.510943722655284 248.6504485051709, 3 -538.2785963795225 215.15989676838774 -115.15801063317883, 6 -176.94891183740035 24.004532522783126 610.1222041539299, 7 -250.67550757217245 13.426501108824148 219.9754603142935, 8 -345.57070737459526 191.65477520262834 -151.81856222480133, 12 -256.4255867207089 -110.64888311000098 811.8922794914206, 13 -189.13392462533238 -313.9983034888205 968.5578796271996, 14 -186.79316726612456 -428.56790817582817 930.895432130769, 15 -199.38819505638173 -459.41337861452837 1028.4820522519458, 17 -80.31979186276973 -230.6176205801413 955.1149285406095, 18 -87.10791128633127 22.75872753829117 798.3541407202864, 19 -51.516505331323 86.5665008032017 592.4562721286522, 25 -327.9646082834482 -319.4753118808143 940.1774607012223, 26 -421.78401341299616 -278.0713757084528 764.0666899298599, 27 -451.74436250462435 -406.8945856520625 557.326437296811, 
0 -304.39293240461933 0.0 617.3420066644277, 1 -433.64152952848644 -25.59482215910089 622.9614899558306, 2 -449.51237709166406 -26.20127372476395 247.58368650652676, 3 -533.612499182783 215.35537108405504 -116.35824778667848, 6 -175.14492797566731 25.594541224427935 611.7225822388674, 7 -246.77016340095676 11.288731157639177 219.6090087786422, 8 -340.9408519372513 185.63533239703403 -153.13237650594192, 12 -254.60396969222742 -114.77907468670901 812.0000943756104, 13 -186.22264166489006 -321.4684880070143 965.0982035582108, 14 -183.26393853410784 -436.7905531781838 925.6385625025064, 15 -195.80450267096776 -469.0288479367814 1022.8657612701816, 17 -76.85584531837605 -236.31202805923792 952.7620910691176, 18 -83.06768957562264 20.735687228050523 799.675359254318, 19 -48.82793939114819 87.80374788146827 590.8844404260144, 25 -326.11058737788204 -327.61359702760774 937.1072351034768, 26 -421.3268218504667 -284.9038822598144 762.9515466210331, 27 -451.53972426014866 -415.1945631012505 557.3648885981029, 
0 -303.4943849872611 0.0 616.6170248772571, 1 -433.26341113438605 -25.390907485630475 622.3042805035864, 2 -448.27995073903435 -31.105864248494413 245.2802661741328, 3 -530.0405933641902 213.23978557071547 -116.47725803569239, 6 -173.72596770601575 25.390623409635616 610.9298294864263, 7 -243.66855198970677 5.436041063022287 220.24515409295321, 8 -336.4293811300541 178.26256275096858 -154.13143863142142, 12 -253.54040097141055 -117.78059840805076 808.0301279792302, 13 -183.46737107236032 -325.61288027213965 958.6773317101508, 14 -179.39815778225673 -440.3693506473538 920.7325001935715, 15 -190.24174758034124 -472.7964481661753 1017.9008449153, 17 -73.81661058859589 -240.45117138035639 944.0553997240343, 18 -79.01635371220996 14.553485176121278 792.1445438029152, 19 -50.142185043395415 72.59846313005549 584.6305883531695, 25 -323.99603520764975 -329.44449808284713 931.9909770276852, 26 -425.3196996059983 -276.4110390247927 753.1226948407959, 27 -456.2037859090591 -404.2148447472285 555.8570451143996, 
0 -302.85763415727564 0.0 617.8510444824849, 1 -432.79655967763784 -25.080642922198567 623.7467069986476, 2 -447.57580412997277 -30.29609491898097 245.51983507526757, 3 -526.9358738212118 216.27278599114763 -115.09608706389486, 6 -172.91931847299892 25.0803671169009 611.9554446704491, 7 -241.7295108897216 4.036200130941197 221.7316686696352, 8 -333.31921626796304 175.60689038303065 -154.83925757879751, 12 -252.5716167066697 -118.19297933263809 808.5011215332156, 13 -181.45541594350323 -325.7219695304105 958.908824027334, 14 -176.78319540354104 -440.2345068535426 921.5620333473187, 15 -186.79750612906975 -472.3770249025273 1018.537805983786, 17 -71.73311114781316 -240.71249168607258 943.0590137660436, 18 -75.81794231544797 11.860073258552745 791.4782209909079, 19 -53.39932696507293 66.37457369562017 583.8126892630584, 25 -322.2824811700701 -329.2311575694409 933.1589064261634, 26 -424.2676140505119 -275.4878794231734 755.3748785531191, 27 -456.2837899010432 -402.62832057745464 561.3189008590805, 
0 -302.46903157231947 0.0 618.8877188441595, 1 -432.4284289640219 -25.65525107964068 624.6342949673794, 2 -447.54739233682267 -28.352344852204396 246.0640860410747, 3 -524.8665191509108 219.78275052949488 -113.83010589961731, 6 -172.51024413360662 25.65498707235157 613.1412036128813, 7 -240.00827167943393 3.205399707938085 223.1733887845033, 8 -329.35847232108165 171.23491689173528 -155.27934232562797, 12 -251.59317935229058 -117.55109802649511 810.5855445411014, 13 -180.62054915050487 -325.01481156158576 961.0843188475353, 14 -175.88885544918156 -439.8758655434233 922.4955731631003, 15 -186.6311753129674 -472.6104992816098 1019.2069169149902, 17 -70.57643252446519 -239.57103873590512 946.5897275278257, 18 -72.5632409771959 14.630826006940616 794.820022466484, 19 -51.31171490324053 69.22536572208196 585.4483360000202, 25 -321.97146273861495 -329.01871701203675 934.4052412944914, 26 -426.4240079283212 -276.33910710893633 756.915193381383, 27 -456.0241630427463 -407.64703540739856 565.2402154362192, 
0 -302.31492889004903 0.0 618.5692851038029, 1 -432.0934188229579 -25.427520734105624 624.2320914671067, 2 -446.15283305607545 -28.015886840799226 246.4759784867946, 3 -520.7060485812448 223.20533097700203 -111.2300502202421, 6 -172.5370478770624 25.42724076574112 612.9065410113916, 7 -238.40334628553342 -0.8830024599384956 224.81955763010228, 8 -328.7548284572102 165.12073683726956 -155.4752018494704, 12 -251.39991233454853 -118.52106407861183 809.3028237104129, 13 -178.9556909191441 -326.00221236135604 959.402603096414, 14 -173.2533794992515 -440.1664764911918 922.9741402746173, 15 -182.9095628530726 -472.8281448892292 1020.013683079853, 17 -68.8166011194713 -240.18597559687095 942.1756792622394, 18 -67.63930678608588 12.85404883792593 792.0219392051753, 19 -43.77212621298423 63.603769757689065 583.2350446405645, 25 -320.9632313506115 -328.96268201567887 934.4245471529954, 26 -433.9953118618724 -272.9880952805821 761.2282497751463, 27 -460.3757753039878 -401.2645529317001 566.5927097657413, 
0 -302.381677768121 0.0 619.1402940678098, 1 -431.81998617939803 -24.297783686724394 624.9717728899016, 2 -446.60662329506795 -25.720743880110774 248.10214819782186, 3 -518.7407130852574 228.63212353838264 -107.82740393972267, 6 -172.94397633416847 24.29752751996752 613.3088801026032, 7 -238.181691202094 -3.235002437480503 227.29546581826924, 8 -326.8608505044508 161.41372487722492 -155.45034512788243, 12 -251.9463202773233 -116.73966907231613 810.5411182040457, 13 -179.7189350161223 -322.1953447832601 962.4504562633401, 14 -173.1187936992497 -435.98567116176184 927.6940228320218, 15 -182.07262264559114 -468.1375392189178 1024.9941272793758, 17 -69.67424689728784 -237.34042683602667 943.5039129315167, 18 -64.81498131171048 12.27492711167465 789.9691615236145, 19 -41.758159465976576 58.074190058535976 583.25215538719, 25 -321.1707098025717 -324.513995733618 937.674789353759, 26 -433.0572632959587 -268.32382576590373 763.3655634017414, 27 -459.9966649267069 -394.07628934494244 568.9036400323973, 
0 -302.65562986419184 0.0 620.5683742627336, 1 -431.541408935577 -22.625978792625574 627.4115258708966, 2 -448.19588468492935 -22.40915770748694 250.5574294536704, 3 -518.3727509547462 231.5252348964732 -105.10138019859102, 6 -173.7704810130626 22.62574307972592 613.7252956860661, 7 -239.74188956557956 -2.018690346975646 230.52163051717264, 8 -325.612511406625 162.44736859116344 -155.2282811384219, 12 -252.24064031249193 -109.60542554772917 815.2174989191137, 13 -181.8002106476406 -310.14607175624207 970.2520873242636, 14 -174.03398477660969 -423.12881593375494 936.2127086041432, 15 -182.48867543366242 -455.95796564013176 1032.8505195208465, 17 -71.39771535164269 -229.23914806683618 947.7822833646719, 18 -60.99736138618337 8.29593791350063 783.7907707578302, 19 -51.3724195885375 36.58480364764337 582.8659526661008, 25 -322.4110583192759 -308.52700750908787 945.4884223362274, 26 -436.4822077671323 -238.23533814396336 769.9465241357859, 27 -465.49923887806256 -354.2424517473052 573.4652105164107, 
0 -303.12313683591833 0.0 621.8361031030279, 1 -432.5022866866881 -21.266598025983384 629.7822364221435, 2 -448.3517795080206 -19.86551074762238 253.54728874765, 3 -516.5019981861386 234.24467738304355 -102.58827714402992, 6 -173.74464642092155 21.266391760182845 613.8900506529214, 7 -241.80075335299463 -2.164914497582302 232.44200021506646, 8 -326.24243294534944 162.90537454500335 -154.83251885864627, 12 -251.4803127561185 -103.57457584840246 818.9457796661288, 13 -182.3070671831335 -301.26140214592436 975.5714667696549, 14 -174.8862435359699 -414.0816217415568 941.5132695955555, 15 -183.80354103205414 -447.3579864494866 1037.5073725640968, 17 -70.48395966254085 -223.7592225011894 949.7898893049822, 18 -56.65392361699813 4.322827052561472 776.2077080854851, 19 -54.604773012178555 12.585769556650444 585.1377702113388, 25 -323.2919621620012 -295.1634589519209 951.7319800089914, 26 -441.30520181998907 -209.14117920103075 777.4994845740245, 27 -469.7558514108067 -319.55562237783494 578.7337180240185, 
0 -303.77015529180284 0.0 623.8577685223266, 1 -433.256957355758 -20.34359172356081 632.4882259112416, 2 -447.8765935022675 -17.785342974882496 256.87211253332555, 3 -513.651172861962 237.41802429689062 -99.81189064853186, 6 -174.28403967650172 20.34340590576993 615.2273973947032, 7 -242.628184014938 -2.72997498645735 234.3041728781689, 8 -326.05524526937404 162.53140109753605 -154.28656726611337, 12 -251.11792869926543 -101.08416565084676 821.8009936508648, 13 -181.78074494256418 -297.47601718606984 978.8979735049746, 14 -174.63063648176933 -410.3783636469781 945.2942987894797, 15 -183.93964384663127 -443.75506029548853 1041.0935575377403, 17 -69.39351157822051 -221.53216173652007 950.8945908626889, 18 -53.594685061785015 1.7265101934533433 772.5001450276789, 19 -52.287807932717016 1.0640996541086984 587.929810277131, 25 -322.838423698991 -289.35218834175726 956.2148471331165, 26 -441.69870189088886 -196.53015874994225 784.228843938458, 27 -469.79647451854794 -303.01751724910275 582.3322389259284, 
