0 -298.86991478212985 0.0 506.5103354434317, 1 -437.1097683579284 -27.56903080358163 495.6051399349577, 2 -326.38698561015485 -207.14083520792008 429.9992971978512, 3 -287.52428556393374 -76.85186414091015 -0.2618841108971992, 6 -160.63082403719517 27.568971697737126 517.4155899609659, 7 -115.65437171663515 -221.93681824611485 380.76743920870035, 8 -106.6576892577749 -98.51142656067657 -40.61440912991509, 12 -318.87444558802696 -6.680087930090544 753.4763031120195, 13 -288.1660050566958 -103.8053928374931 983.5757800880341, 14 -281.17889783679425 -219.34362997696877 964.9974294232817, 15 -294.04472858932024 -226.36091073369948 1057.8789222983319, 17 -159.72562196551692 -59.577211945168116 958.6187741263476, 18 -38.16011124631973 -87.91065358456265 912.8288134649821, 19 10.683337978852592 -198.80758479439908 1060.3803863243616, 25 -427.1322034118056 -109.88803102078279 953.7524293766381, 26 -617.913980727057 -181.322148526577 795.9006732273793, 27 -578.3549648770826 -308.0894417431425 1012.2626356107857, 
0 -298.97103256297504 0.0 505.0151064326743, 1 -437.34110888709233 -27.039186089243966 494.2475449923684, 2 -327.4754076068597 -207.50459916284166 429.7543598937266, 3 -287.53497517857653 -77.91275009076509 -0.6159389626266716, 6 -160.6017198133552 27.039134362807797 515.7827276310754, 7 -115.29717055638017 -223.21838475145807 380.03920907043744, 8 -106.06292395282847 -100.30320158119889 -40.97037064055337, 12 -318.3827314873374 -6.41441002678328 751.7833836847667, 13 -288.09377178837264 -103.79074079225822 982.1409818721567, 14 -281.4922600652136 -219.223104749036 964.0575211373733, 15 -294.7803659183996 -225.8465540213994 1056.8659457742633, 17 -159.6647655931295 -59.98439700080583 957.4343669847841, 18 -38.22311983287568 -89.108239693092 910.5646106648843, 19 11.313896571347925 -199.28289039645662 1060.3723866511132, 25 -426.8607882315087 -109.40158357626406 951.9888404499383, 26 -617.3384376636843 -179.4444904184121 795.5701597616879, 27 -579.9000930319804 -305.46239331298773 1010.7128179195846, 
0 -299.068380434916 0.0 501.25755244679596, 1 -437.6749458104855 -26.61288383163566 490.57359496232465, 2 -328.911527123111 -208.69530756215943 428.1624825019092, 3 -287.4271019862266 -79.20270571745246 -2.4410753275546426, 6 -160.4625931833765 26.612843205664905 511.94157147878565, 7 -115.20619307408467 -224.66432225193455 377.8086989477593, 8 -105.85466011154404 -101.48829675491606 -42.37179985595429, 12 -318.34788652734505 -6.5464542753071555 747.8581238147126, 13 -288.3131909342161 -104.01137877641263 978.4251928102296, 14 -282.0481192153285 -219.51443211579635 960.4514799416129, 15 -295.505862686731 -225.68368223186323 1053.2658108928533, 17 -159.62435275054244 -60.79349030812297 953.7084124893306, 18 -37.620802634339384 -92.67851865418754 907.1090252947201, 19 11.494938083363309 -203.05445861220696 1060.3646129941255, 25 -427.172746584239 -109.37447452423818 948.4040230517469, 26 -617.3619438585552 -180.08750071909026 795.898011065065, 27 -581.1005993237579 -305.07596155006866 1008.32644012898, 
0 -299.162006879283 0.0 498.6558723949011, 1 -437.96166252296075 -26.4696658646441 487.95913765424683, 2 -329.73885883634506 -209.6858885358874 427.0703885048761, 3 -287.3006341622282 -79.98311264017318 -3.6344510262931067, 6 -160.36315686040825 26.46963254453394 509.3526712824011, 7 -115.1953583901167 -225.59413687529155 376.47007721239476, 8 -105.81656513917227 -102.19037676320545 -43.16573980293373, 12 -318.5925379168993 -6.745265939629164 745.1577429947185, 13 -288.6931573425192 -104.2779777612346 975.8314218209398, 14 -282.5380301322975 -219.91809986885644 957.8111885171456, 15 -296.091538931103 -225.7716024377134 1050.637865725054, 17 -159.74817201261845 -61.29941688211625 951.0513277275256, 18 -37.26475219590117 -94.8868170232839 904.3834749681134, 19 11.42030068855155 -205.67834186736948 1060.3570615888123, 25 -427.69892711889446 -109.6773903753829 945.9896206357573, 26 -617.2491242222113 -181.33364112578977 796.5207304091496, 27 -581.6661186895491 -305.42676808905617 1007.2114013346595, 
0 -299.2519603774061 0.0 499.05691109098035, 1 -438.0959915410359 -26.525525147707576 488.27840724851245, 2 -329.8521022024513 -209.7133687196997 427.5242882179777, 3 -287.3846772479712 -79.85942918029107 -3.1362608997250163, 6 -160.40872189291647 26.5254828667562 509.83547596642444, 7 -115.37095562593231 -225.67583606813884 377.01448018370655, 8 -106.06643848049143 -102.23644733808374 -42.651960004986734, 12 -318.8738655643555 -6.748436516882606 745.532630258331, 13 -289.0665100797567 -104.37401136962215 976.206543917066, 14 -282.83097883315446 -220.0872336346893 958.1573540558941, 15 -296.43271588795903 -225.85748527693963 1050.9701978417713, 17 -160.05577664722125 -61.32571357891068 951.3976445080309, 18 -37.656676796374086 -94.72209697036723 903.2395090083917, 19 10.955816627771355 -205.75420641726564 1060.3497286705867, 25 -428.0937750506471 -109.87269780814304 946.2987464364805, 26 -616.8581608552558 -181.53568076983964 796.1702254842107, 27 -581.6284926799754 -305.5926642001566 1007.7076701266753, 
0 -299.3382894106153 0.0 501.1057486562024, 1 -438.1164436497713 -26.634583130956074 490.2333803542141, 2 -329.6218927022485 -209.03905877452206 428.71078247988873, 3 -287.7032814864723 -79.10118553086349 -1.8322799600236976, 6 -160.56092747441107 26.634544539204906 511.97817614590383, 7 -115.76515912998465 -225.26447346555693 378.4186309889915, 8 -106.54282428636998 -101.93027799995389 -41.60880293361765, 12 -319.12007732901407 -6.666767387993296 747.6117598736083, 13 -289.37015995339897 -104.32480567858315 978.2415323180626, 14 -283.00655100571043 -220.04046030708344 960.1711311528652, 15 -296.61877252471777 -225.88705647808285 1052.9559133333441, 17 -160.42971642162183 -61.07725470317315 953.3942888112804, 18 -38.427026683973736 -93.15002762012588 903.052011452839, 19 10.359350132699944 -204.31831606955126 1060.3426104748628, 25 -428.3311121830644 -109.89582073429165 948.1798387581105, 26 -616.5464790133972 -180.97700788928233 795.3942229726658, 27 -581.4216739068532 -305.5599291523767 1009.231255980276, 
0 -299.42104246024104 0.0 503.0562158820376, 1 -438.120556203301 -26.689846374348726 492.1282868658527, 2 -329.44302754831926 -208.16935078321507 429.5492723937592, 3 -288.1609141592419 -78.0804354687298 -0.8882041416966899, 6 -160.72233377012628 26.68981394205984 513.9842117901542, 7 -116.2740105987051 -224.79132456863505 379.4558058634693, 8 -107.11707547994632 -101.48565991815457 -40.97592827260428, 12 -319.30385635042575 -6.631013982419738 749.6407559465974, 13 -289.6107146506708 -104.22937276080049 980.2456356114535, 14 -283.1740520546915 -219.915989867716 962.1406156953681, 15 -296.79703631333564 -225.86362676190708 1054.8999614974455, 17 -160.7550564459332 -60.79816832581648 955.2777553962749, 18 -39.12286466198623 -91.49955933836293 903.0197495288764, 19 9.902445718027195 -202.75961846568566 1060.335703237054, 25 -428.499484459495 -109.85614201376458 950.1737968279142, 26 -616.4578572492035 -180.5095629861541 795.2844017268144, 27 -581.1814349698247 -305.64389637530667 1011.3401161207812, 
0 -299.50026800761333 0.0 504.4907610753892, 1 -438.12635491620165 -26.711817778736254 493.5285609894089, 2 -329.3487970960585 -207.44361505927264 429.96862423799485, 3 -288.62739461293296 -77.22430156961744 -0.3725241939177977, 6 -160.87499893173617 26.71177658133756 515.4530238634943, 7 -116.80862078581984 -224.52493196238373 380.0887256633649, 8 -107.74960394158654 -101.34519651268971 -40.78281940307761, 12 -319.4984458675781 -6.592452351278844 751.1490432716463, 13 -289.79158520300575 -103.91624380117001 981.8114126584007, 14 -283.3561793878773 -219.55407069535997 963.7333118343684, 15 -296.98118065567706 -225.54748231404383 1056.4801835140495, 17 -161.02020847698927 -60.31860913866278 956.5797690516858, 18 -39.58486557439022 -89.87264660898624 902.9185756942165, 19 9.57785014783002 -201.31202811215695 1060.3290031925737, 25 -428.6411627485214 -109.64029266074868 951.9076783389339, 26 -616.7871844156233 -180.27983605738484 795.748591041347, 27 -581.0478534769986 -305.9434707391442 1013.668715294051, 
0 -299.57601453406215 0.0 505.14367747431436, 1 -438.15548206832835 -26.723518296622203 494.149574948275, 2 -329.28530768557084 -207.03295557328 429.91380790858886, 3 -289.0648195077946 -76.65150933080764 -0.25439003515896275, 6 -160.99733816815242 26.723477031643032 516.1378451977224, 7 -117.33454593347321 -224.57212911514387 380.35098631961307, 8 -108.37968346180858 -101.59131115289142 -41.00113040115559, 12 -319.7596623877905 -6.586613547973158 751.8392128039095, 13 -289.9508304488492 -103.37879678646323 982.626861954794, 14 -283.556146807051 -218.9503846481465 964.7206314436468, 15 -297.1386923608681 -224.8453940213823 1057.4530585520797, 17 -161.22456822548637 -59.649596472278986 956.9445230951518, 18 -39.77569432121743 -88.63499134223852 902.5132864742051, 19 9.319126189952215 -200.35920532157698 1060.322506576836, 25 -428.8295491754585 -109.27162483546856 953.0698080542139, 26 -617.4813373389495 -180.48145051278044 796.3558931216581, 27 -580.8690227459547 -306.6362611741303 1015.8189620429513, 
0 -299.6483305209179 0.0 505.31311462941596, 1 -438.19223956299163 -26.719933420341164 494.2882853043303, 2 -329.25486661058324 -206.8172460869415 429.6030268748917, 3 -289.4682672056557 -76.16928844450996 -0.3504595349117494, 6 -161.10519924507682 26.71988569741306 516.3379983091921, 7 -117.91370095420234 -224.72528950674723 380.39946879798606, 8 -109.02708425247116 -101.89528806494991 -41.38198928393888, 12 -320.049456904601 -6.600428206006008 752.0201088774538, 13 -290.1006750866996 -102.7568273175688 982.9669403819704, 14 -283.72507243358973 -218.2516307821084 965.3084118700646, 15 -297.2269581152937 -223.97125599434483 1058.0290843811345, 17 -161.3977677378724 -58.94553609733543 956.7639645026167, 18 -39.85184154466589 -87.85098695436281 902.0279940138695, 19 9.034342865215251 -199.8708442252266 1060.316209625255, 25 -429.0417821310022 -108.83272648141988 953.8180005776134, 26 -618.3803977316397 -180.96440229623937 797.0021255810217, 27 -580.5883571263578 -307.53796571051504 1017.6134842085431, 
