time,_SHOULDER_RIGHT_PITCH,_SHOULDER_LEFT_PITCH,_NECK_UNIQUE_ROLL,_NECK_UNIQUE_YAW,_NECK_UNIQUE_PITCH,_ARML_UPPER_ROLL,_ARML_UPPER_YAW,_ARML_MIDDLE_PITCH,_ARML_MIDDLE_YAW,_ARML_EDGE_ROLL,_ARMR_UPPER_ROLL,_ARMR_UPPER_YAW,_ARMR_MIDDLE_PITCH,_ARMR_MIDDLE_YAW,_ARMR_EDGE_ROLL,_HANDL_THUMB_PITCH,_HANDL_INDEX_PITCH,_HANDL_MIDDLE_PITCH,_HANDL_RING_PITCH,_HANDL_LITTLE_PITCH,_HANDR_THUMB_PITCH,_HANDR_INDEX_PITCH,_HANDR_MIDDLE_PITCH,_HANDR_RING_PITCH,_HANDR_LITTLE_PITCH,_HEADL_OPHRYON_VERT,_HEADL_EYELIDU_VERT,_HEADL_EYELIDD_VERT,_HEADL_FACER_TENSE,_HEADL_FACEL_TENSE,_HEADC_EYEBROWR_VERT,_HEADC_EYEBROWL_VERT,_HEADC_EYER_YAW,_HEADC_EYEL_YAW,_HEADC_EYES_PITCH,_HEADR_LIPUP_REACH,_HEADR_LIPDOWN_REACH,_HEADR_MOUTHR_OPEN,_HEADR_MOUTHL_OPEN,_HEADR_CHIN_ROLL,_HIP_UNIQUE_PITCH,_HIP_UNIQUE_ROLL,_HIP_UNIQUE_YAW,_WHEEL_UNIQUE_VERT,_WHEEL_UNIQUE_STEEL,_WHEEL_UNIQUE_SPEED,_WHEEL_UNIQUE_BREAK,_ADD,_ADD,_ADD
0,-0.2179146836,0.0662491688,0.3813879261,-0.0454702747,0.1044579757,0.2695148817,-1.1010863963,-0.4696796946,-0.4800318237,0,-0.3301012552,1.1139492456,-0.4567524823,0.4371353559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4089600033,0.209930201,-0.0218900454,0,0,0,0,0,0,0
0.1,-0.1697310677,0.137127614,0.3279582035,-0.0454275976,0.0760166198,0.2572402041,-0.8717069283,-0.6980340861,-0.6452600968,0,-0.380914219,1.0210447947,-0.5488272848,0.5997114535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3896864146,0.1686867849,-0.0449250773,0,0,0,0,0,0,0
0.2,-0.1172914166,0.1995477785,0.2759456969,-0.0440412401,0.0521373673,0.2375592801,-0.6001711805,-0.9640893091,-0.867329582,0,-0.4298378298,0.8332456299,-0.7312538131,0.8398304463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3705779106,0.1306585662,-0.0639413832,0,0,0,0,0,0,0
0.3,-0.0647423363,0.2486698742,0.2298976955,-0.0416444834,0.0339223137,0.2164548305,-0.3152789133,-1.2298352615,-1.1208717722,0,-0.4733782461,0.556452492,-0.9939788883,1.1501479021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352964816,0.0991003827,-0.0777372825,0,0,0,0,0,0,0
0.4,-0.0170823168,0.2818609625,0.1936693747,-0.0387009897,0.0217471843,0.1993599178,-0.0766751706,-1.3881407617,-1.3440527942,0,-0.5095189919,0.2714714737,-1.2369253349,1.4546747801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3380909826,0.0765359138,-0.0857029759,0,0,0,0,0,0,0
0.5,0.0205232893,0.2984029819,0.1699572907,-0.0357263265,0.015263365,0.1895287242,0.0736866573,-1.3644716367,-1.4888874785,0,-0.5379502609,0.0626674533,-1.3310580272,1.6742530778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3269478314,0.0644045232,-0.0878773814,0,0,0,0,0,0,0
0.6,0.0438542496,0.2990596301,0.1599888795,-0.0332063228,0.013497468,0.1875464754,0.1334966019,-1.3257958685,-1.5470778147,0,-0.5594650355,-0.0533358444,-1.3079950591,1.7957908283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3201420378,0.0628585421,-0.084923045,0,0,0,0,0,0,0
0.7,0.0506964435,0.285889482,0.1634080946,-0.0315252876,0.0150312013,0.1917347701,0.1173381094,-1.3363728484,-1.5303142809,0,-0.5746991577,-0.0948448693,-1.2864162183,1.8396140762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3178163401,0.070741722,-0.0780244195,0,0,0,0,0,0,0
0.8,0.0413736899,0.2622462133,0.1783696994,-0.0309149444,0.0182333029,0.1990686394,0.0418583319,-1.3771512735,-1.4555357801,0,-0.5832128343,-0.0812566226,-1.2938712332,1.8261849532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319635043,0.0857525933,-0.0687247333,0,0,0,0,0,0,0
0.9,0.0185348421,0.2326062712,0.2018256452,-0.0314311261,0.0215086292,0.2063124321,-0.0729405895,-1.3860834222,-1.344183156,0,-0.5837069351,-0.0283588655,-1.3172718877,1.7719150565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3248361802,0.1047689112,-0.0587242959,0,0,0,0,0,0,0
