0 -294.37283321855494 0.0 511.2612598493461, 1 -443.4022869306746 -33.3304280060661 498.74346385212453, 2 -328.16278201467685 -237.69367196424133 286.7959478692001, 3 -296.4170539027991 -47.52507268160565 -111.85812560211951, 6 -145.3440851594192 33.330093753464006 523.7790166725549, 7 -100.46227284051764 -273.78573159648784 282.44978528639507, 8 -64.55148217655031 -162.6457849969355 -154.42997905566068, 12 -331.47501122949274 -24.03139106609466 747.9762154429741, 13 -307.12483660617585 -165.26644856399068 944.2454398786429, 14 -313.86695022586554 -282.6954033804416 916.1880246309734, 15 -337.8707338996628 -308.564167886684 1014.1203751630997, 17 -171.4392983569548 -88.7764453718777 924.1154297357998, 18 -118.40858993574642 114.80651903849568 766.054217198044, 19 -23.946239960282128 110.76709246387117 573.1527854020242, 25 -449.719811452833 -175.68829713487207 904.2012975934667, 26 -524.6668839891959 -192.3648356154509 654.8774514912916, 27 -464.22959190518617 -312.84365982085694 880.4814541028654, 
0 -295.59267411100257 0.0 510.91003642921225, 1 -444.9835599655521 -34.41997124781919 498.7654590809469, 2 -326.898954715135 -250.82417174942628 293.89977552395305, 3 -299.0562733261483 -65.16798259675716 -106.25845425970795, 6 -146.20256196872572 34.419635021278495 523.0545739657389, 7 -101.50052780636332 -282.62989957707174 291.5119268590928, 8 -62.726858711147884 -175.45251599170996 -147.50538453692593, 12 -331.2296866901874 -22.06407258613056 748.6344252017183, 13 -304.32242810190087 -162.06525780337415 945.9724608174528, 14 -313.2609558915027 -279.3923977812632 913.9088486412387, 15 -339.0209794900064 -306.18697242783753 1011.6061853250404, 17 -168.40748744741123 -85.28269072779085 924.6095288494879, 18 -117.34241612445254 116.56725889772088 763.1382298712324, 19 -21.443731266096847 111.49907051055567 568.4700661311728, 25 -447.63054201223343 -173.93891850918249 908.4271968449742, 26 -522.9075026486506 -191.45969650944164 662.1254215332987, 27 -462.9350751493629 -310.2591426144906 886.4483131251164, 
0 -296.89721001869435 0.0 509.3900851840944, 1 -447.18014677759993 -34.75137794305313 497.04001619542527, 2 -323.34986748592394 -261.30771252500654 299.54790909820457, 3 -295.99540522960103 -77.62025980899662 -100.728708059128, 6 -146.61490687634725 34.75104412145916 521.74011057383, 7 -102.81093231677056 -290.7647793270217 298.53487892804156, 8 -59.457455335543074 -189.15568260326341 -141.24703597855915, 12 -332.7685160138168 -19.30196038848605 747.1650901333489, 13 -306.259748722996 -160.0250395553018 944.8658796435731, 14 -316.29945049402016 -278.83755580696084 911.8745213875542, 15 -342.5655278484964 -304.11420655876645 1009.6757573108611, 17 -169.44369110662578 -83.42132983807345 925.1687673676844, 18 -119.54247456116218 119.81142579621758 764.9633215739664, 19 -24.53650476524183 116.3832807426499 567.038770128396, 25 -449.90067620924225 -172.05522569525323 905.4885116673241, 26 -519.4534436889736 -186.60526762193444 660.1712186927493, 27 -465.0453457499874 -305.7577388927719 873.7341098313922, 
0 -298.26162074085323 0.0 508.2115707786677, 1 -448.9286129738954 -35.453922992447865 496.0045656916295, 2 -320.69323418204345 -268.37465001247006 302.92233756263204, 3 -294.92584068405176 -87.24968560041927 -97.7552961929864, 6 -147.5952511184404 35.4535851130569 520.4185330453577, 7 -103.82061440124522 -295.43803970484703 302.8164953479027, 8 -56.54544807151623 -198.39021084328158 -138.32365578312965, 12 -333.401131344369 -17.229658742737847 746.2401629287433, 13 -305.9342366206578 -157.45627893004976 944.7532042854561, 14 -317.15818333870243 -276.6893783668334 910.4200919155637, 15 -344.6642089755139 -301.1343423804959 1008.276530136359, 17 -168.7075207440949 -80.57125821378915 924.8138099800142, 18 -120.78408254071803 121.9158102356611 763.9343367280431, 19 -25.019339381856582 118.9960061873895 564.0173224572268, 25 -449.83076638344005 -170.62753039941276 905.3873999326045, 26 -514.5987615320701 -183.42508158819038 660.3555929282262, 27 -462.3187621923343 -301.52223137699815 867.297719473321, 
0 -299.6610860767018 0.0 505.9082879236954, 1 -449.9816007967328 -36.3312674731317 493.7126082228948, 2 -318.60598276234015 -272.12011941338443 304.392433001756, 3 -293.6724911603427 -92.97669312637055 -96.70333219570364, 6 -149.34123158595318 36.3309158881217 518.103922196919, 7 -103.92336463967379 -297.1108767493683 304.614204741152, 8 -53.194315488911144 -202.80925298179682 -137.8614367407763, 12 -334.7319177785297 -15.42418999629638 744.0133246340519, 13 -306.01479963507916 -153.75822381199393 944.1998128564063, 14 -317.2558358357932 -272.5809313555818 909.4136204281466, 15 -345.6058769814053 -296.40075611044404 1007.3559428173309, 17 -168.99162736083514 -76.55622789987687 923.1454043434886, 18 -121.57551321459746 123.05131205939452 760.3613603432052, 19 -24.60378994116479 119.74967204972984 559.6437362383014, 25 -449.53141128017427 -168.8257081112228 905.5528975070314, 26 -509.15325871106677 -182.4217364086033 660.4491650170311, 27 -458.3009561295401 -297.4540194260403 868.628185005945, 
0 -301.0707858254631 0.0 505.2365494154498, 1 -449.8583256382125 -38.6780527414137 492.56573860282634, 2 -315.9121876977358 -277.51798421484045 306.25324956801086, 3 -294.6818433533107 -93.6939450492946 -92.99928445908353, 6 -152.28384469171067 38.67769192081986 517.9073148835921, 7 -101.85807541085194 -299.3799489747721 308.6049248989057, 8 -49.16332843064444 -204.09146670500007 -135.52706442793527, 12 -337.55127892738545 -16.671429205675793 743.6183117065352, 13 -309.19863838518626 -156.2801709364719 942.0463843991698, 14 -317.2032625208951 -274.710472087962 908.5574158329922, 15 -345.4843622069048 -299.3501381496096 1006.8614343695737, 17 -173.17095457574726 -77.2784337856738 923.4148544297892, 18 -123.66718758911449 121.76650649895936 761.5915582849655, 19 -26.60223773328056 117.72512872655659 560.1132056887482, 25 -450.76489355923854 -172.0075365172923 899.3815472368216, 26 -506.0576137189613 -181.98082827971825 642.3383149992314, 27 -454.2793495702962 -295.01534963515456 872.658318162724, 
0 -302.4658997863597 0.0 499.9426608515244, 1 -452.0868731078354 -37.78518963364821 487.3890845336727, 2 -319.2004457613681 -267.4178218732073 299.9987666302798, 3 -291.22543761088644 -90.04166780170931 -101.2907338789476, 6 -152.84558269945347 37.78485556561602 512.4961937973428, 7 -97.44688849996456 -296.1031509909777 296.40711771064736, 8 -41.96785829729879 -202.6946839058777 -145.1969204647276, 12 -337.485283651781 -15.217062772541475 737.8545205117441, 13 -309.6134374806806 -150.76428957106444 940.9601458300026, 14 -319.2814452866055 -268.33776813198324 908.918225545103, 15 -349.92829410749846 -292.1118838762667 1006.7404438088843, 17 -172.45156167843604 -71.91847338487831 920.5983983189801, 18 -117.5160570535678 127.8009482545275 757.6152693522763, 19 -15.31400836740886 123.11574945421475 556.8489486547942, 25 -453.08555864019127 -166.66816547797174 902.0406618889117, 26 -526.3083058112038 -181.98029054112618 655.8214341542337, 27 -468.024427484883 -298.84206455146807 874.792605725539, 
0 -303.8216077586146 0.0 497.1784167990147, 1 -453.95490582932945 -37.441162446253784 484.5805891399325, 2 -318.2635371227692 -264.00958211929424 297.04968958528696, 3 -285.79372575055805 -88.88528204842359 -103.69779929116396, 6 -153.6889688480864 37.44082172706588 509.77620217967024, 7 -96.09045012373886 -295.9869241630581 291.6012782645696, 8 -38.557195258675335 -204.2955400939142 -148.26119024157208, 12 -339.02551434402324 -13.896179700593478 734.7602415918925, 13 -311.4332298295211 -148.313145127358 939.5037418331729, 14 -321.34541164534653 -266.18583194563826 909.145953872141, 15 -352.0914667180744 -288.6830448232686 1006.9404101510597, 17 -173.69983230799866 -69.50964460426955 918.4143876856442, 18 -117.25657953229464 130.7256471187667 755.9788266989858, 19 -14.691296562188427 123.4564621845081 556.6952378329204, 25 -455.6845815166833 -163.78625165468142 900.9887690887301, 26 -534.3246460061181 -178.02202177569484 657.8897209616339, 27 -477.371569216278 -298.5569410683884 867.3325061950381, 
0 -305.1130895414507 0.0 493.6040025024842, 1 -455.17591738580484 -37.524944892156924 480.74635817958216, 2 -313.82188782194396 -268.02084264588626 297.8699849562899, 3 -279.7464616902828 -94.7489876860842 -101.63903966272807, 6 -155.05090725579672 37.524608008157024 506.461607136276, 7 -97.24699190607257 -299.05973011458656 291.42237061999987, 8 -37.62143055118014 -210.05089555031287 -148.7362545858818, 12 -341.3063909751156 -12.117586743415934 730.8414260691702, 13 -313.0552921864784 -145.60871108042443 935.9642312959361, 14 -322.0478463642402 -264.04787083661404 909.2274481334196, 15 -350.90805881236525 -284.5254749909876 1007.408772411897, 17 -175.4219164152318 -67.18523013316039 913.7457173490059, 18 -120.63001913353287 129.94663178121084 751.4347142923987, 19 -19.858382104258624 120.85055698706029 552.9103001770384, 25 -457.13621889339964 -161.18840979247273 896.4092243785187, 26 -531.287678339103 -175.6149912874684 651.4338006657335, 27 -480.02109209934133 -296.9717859294232 869.3200782460542, 
0 -306.31726985707 0.0 493.8942928371118, 1 -456.4361148658135 -37.542934060482864 481.22325383537003, 2 -312.37242490343357 -264.4491157114665 298.5584934477599, 3 -275.4109422367296 -90.39250267908429 -100.32848535733098, 6 -156.19907072691132 37.542592753477074 506.5652904964265, 7 -97.7158173704695 -297.47481184432297 290.9351717227908, 8 -35.344178198810084 -211.05304165658742 -149.09893682111834, 12 -342.3779219038997 -11.270449677624143 731.7583816361953, 13 -314.48435429485073 -144.36426467921257 937.6072959730066, 14 -323.1567591080525 -263.4422121836832 909.9005274617, 15 -352.6825647641225 -284.0657157861975 1008.0935581577576, 17 -176.494828908226 -66.03098644305939 916.0681367152822, 18 -123.25991287846077 131.71340070426666 751.5348659219901, 19 -22.725168926178185 123.67727839180407 550.422672851309, 25 -458.6798820899532 -160.3066057331207 897.5295962839541, 26 -528.6284705817372 -173.23213402478962 652.9010717096821, 27 -476.3522791645782 -293.54750522503645 861.2259188105013, 
