-3.6 -36.2 10.5,7.4 -26.2 17.0,-38.1 -0.1 -11.8,67.7 -10.4 -25.7,6.6 -8.2 -10.0,20.7 -13.8 -19.8,29.7 81.2 25.6,8.0 5.4 -1.5,5.4 -11.9 25.5,29.9 -84.4 -27.2
-3.9810205749011582 -35.82789313096738 9.683406074665957,7.730745305380269 -25.515835667275987 17.20792353934877,-39.1098638446031 -0.4195260338352253 -10.7900870508277,69.93883416700434 -10.90662721146894 -26.825517515282122,6.775169678641715 -8.334123061862444 -10.92006510353176,18.683473066034995 -17.88354871901741 -21.691873906023325,29.802895112085388 83.04215322292407 26.567471316877782,8.228423463706804 5.575920399360848 -1.1058516804396932,5.863273082983604 -10.189353538445749 27.28981280423744,29.956706180628494 -84.9236646628071 -27.5176896539025
-4.2081096135407465 -35.27323518905565 9.315897154520757,7.688064473272499 -24.998358829322243 16.60214740089748,-38.95346126585247 -0.2268824665247936 -10.991674255462913,70.33519040183175 -11.73043313539107 -26.61023661473857,7.025186117848701 -8.240097896218467 -10.494205252909053,20.809177723392736 -18.658357204865126 -21.615075563838612,29.86629827333389 84.0828275313194 27.101130132053612,8.394212133262362 5.592368536829061 -1.0011090570641021,4.615906934223925 -10.712214846955831 27.789106969709167,29.987482877531626 -85.92166971697762 -28.048724635458132
-4.298711377371877 -34.724506175658234 9.29373902448364,7.417349878672943 -24.707684676693614 15.558405682128427,-38.057971800877695 0.2701370122632614 -11.9398222615959,69.46787314087864 -12.653959663109745 -25.56642118182901,7.287380902538841 -8.013438392393518 -9.273836386055995,25.33529063595277 -17.213823935082452 -20.28847099682705,29.898989562055863 84.49282669384372 27.29726531515839,8.496483727647554 5.506142644632062 -1.0918119677349611,2.4237685689987924 -12.58395771821494 27.433273749945023,29.99973459016419 -87.13659360241533 -28.66815460199074
-4.270270127847666 -34.37018609216859 9.513197469473852,7.06399389657786 -24.70392839994494 14.452432480523902,-36.85057498680838 0.8637387128609053 -13.169591716916917,67.91568682054135 -13.45974868596833 -24.20633510001311,7.499085617630019 -7.749658439713054 -7.810374440896711,30.519988467594654 -14.639347387208684 -18.43092622836984,29.90974905656168 84.44295447915485 27.252165735823013,8.534355965843256 5.374040954997275 -1.284000250314004,0.05272500258603874 -14.91995594490778 26.657704398474852,30.00086581798101 -88.31101475902402 -29.25102921082421
-4.140230126421226 -34.39875493998017 9.870538274410634,6.773388901983498 -25.04720518963106 13.65996189356619,-35.758450360774134 1.3461289456001042 -14.216043269116225,66.25743587721632 -13.930342095310186 -23.042242252750533,7.597631848040123 -7.544271927502527 -6.6552353553553125,34.621447882197934 -12.024326038783133 -16.76130728184818,29.9073568351617 84.10401465591059 27.06212026367838,8.50694656683034 5.25286170015212 -1.4837137426629652,-1.731356749736507 -16.835583319719046 25.8977901688285,29.99828106043688 -89.18751162670752 -29.672398119282406
-3.926035634545672 -34.99869272048641 10.262027224213226,6.690927269886114 -25.797630236306812 13.55672801873758,-35.20877745990452 1.5095140208128244 -14.614237565884077,65.0719247472999 -13.848281782478665 -22.586406523500955,7.520351178687035 -7.492792745087391 -6.359835067355915,35.897845543642156 -10.458158367345098 -15.998480180643252,29.900592976166287 83.64681099276869 26.823417768355384,8.413373249589682 5.199403112324017 -1.596992282643578,-2.1626096726910142 -17.446213635333436 25.588922314535814,29.999384816986613 -89.50866264536955 -29.807310984689174
-3.6579651319077127 -36.24005843895972 10.585124003531222,6.917976149046149 -26.931159929519602 14.384279841784352,-35.513340563059366 1.2097856289020699 -14.036834274801713,64.82237373114091 -13.092223037993982 -23.199641384000877,7.23714975653529 -7.659862642124063 -7.298384778767601,33.161562445160015 -10.779680864743654 -16.664846285090395,29.896979972334513 83.24081749531884 26.62890180748872,8.263568515535699 5.254853104861956 -1.5519920231181086,-0.731045821381596 -16.132609241744277 26.055338590492386,30.00877398169711 -89.1140577425473 -29.58042161852334
-3.4362601261224257 -37.54736407099576 10.743796589039354,7.3159084730231205 -27.964976743792633 15.65268457456621,-36.35487108976687 0.6500028485326131 -12.90658503604513,65.34192064247421 -12.064763032474502 -24.417160398591342,6.89550706825301 -7.941830424315482 -8.879101528666974,28.246107339138415 -12.461844319190247 -18.21182137171782,29.897184854608827 83.04825924685714 26.552634548602335,8.126419366595869 5.37530323730634 -1.3974315334429168,1.6784520821267181 -13.722242113863869 27.015346948333377,30.015740381307445 -88.37212446526739 -29.1867903937964
-3.384885148227181 -38.12622987525521 10.644219785343084,7.664720074398966 -28.26070235741263 16.62397900818041,-37.202801576449986 0.15094207745983634 -11.90058224606743,66.25005528650047 -11.346156849032237 -25.494233188068883,6.703114066788418 -8.17798022235793 -10.182653608909705,24.009391247481837 -14.51445577713689 -19.72767203895352,29.899550107866972 83.22890337026197 26.66230977622285,8.090803062951688 5.487990646306971 -1.222909618078903,3.7080293692536928 -11.533133697281288 27.981797009192235,30.00438620909672 -87.83060831755787 -28.913166985465857
-3.5954571000294537 -37.37227397730098 10.23121853229968,7.776787304577013 -27.348968378551817 16.696399062284268,-37.61685502872539 -0.017970223973665767 -11.580266756411616,67.21027462549895 -11.405684715961042 -25.8183443046723,6.820341039006141 -8.234283714660949 -10.44852127986465,22.823293898234994 -16.055545673584472 -20.438718968588695,29.902367558994197 83.86380355268027 26.988118465440536,8.220016830038597 5.531947632638205 -1.1078849684171033,4.223971222329083 -10.69767153332888 28.509492815309965,29.96609003223711 -87.89554698801417 -28.97176613474274
