5.2 -25.5 10.8,9.9 -22.8 16.2,-39.7 -3.2 -12.5,55.1 -6.4 -15.0,13.6 -14.8 -23.4,3.9 -15.8 -37.1,25.3 125.0 46.7,17.5 0.3 -6.5,1.5 25.2 49.5,25.8 -123.4 -46.0
-0.4529826488310232 -27.224971150424395 11.009942583070698,10.258224731500734 -23.326367701021777 16.48286931704203,-39.37191821653265 -3.705281519508244 -13.149600011425077,59.00420529717609 -5.441888246531614 -16.19190959790157,15.06676539051037 -13.588886562367351 -21.91453311214259,3.462889442567883 -13.262070913276013 -36.308234011630375,23.223740889546278 131.62270358157102 49.38710694485493,18.503559580596008 1.8174590724953472 -4.058896580238328,1.434450250585764 22.31711023864055 48.85780093789586,26.22271080157399 -121.8239561008794 -45.34077350384039
-5.328973380274641 -28.442617188630187 11.0996942890761,10.407822797816577 -23.60939346628055 16.67983222850205,-39.105832798534124 -3.876404237851933 -13.458340663466206,62.859423130404856 -5.0948435530161245 -17.3974677489577,16.16461099721574 -12.345955825305536 -20.08776945875213,3.4317128304389763 -12.465641865593723 -36.01564573859568,22.347408973703285 134.474305603526 50.53824507650848,19.07826012493599 3.2554366422180405 -1.7668282992292919,1.362265887647893 20.93598909974623 48.38918387196669,26.320216951014036 -121.37741636808673 -45.1581893112242
-9.047517794167371 -29.175105780787643 11.10166755127899,10.403374583473381 -23.699636879263764 16.79611524007212,-38.908173384867524 -3.8082009604017686 -13.503376788180805,66.15545025450704 -5.186637700397917 -18.452937067666255,16.874412507991295 -11.249038561986858 -18.28506391975574,3.6818830993362948 -12.949204753657185 -36.08884464575763,22.37926268133161 134.46118802886477 50.52519827338206,19.297031192800716 4.448471111178689 0.11898366990653741,1.3023896568630866 20.780067155799195 48.10901393244204,26.209166725344957 -121.6720673602377 -45.28795390937103
-11.228161490345737 -29.44460459306704 11.048274802942158,10.299460472996998 -23.647657523458864 16.836944857444312,-38.78536961439599 -3.5955044925284496 -13.361863217626292,68.38208342430347 -5.545042469621373 -19.194580168525125,17.177045610712227 -10.475965545583623 -16.87177137508052,4.08881318498285 -14.251251474170452 -36.39444019797796,23.027560441291833 132.4897328205871 49.71975041389706,19.232802343970967 5.231100881387899 1.341318154048587,1.273764303908045 21.572774979281593 48.03215624955151,26.00620840159159 -122.31959563594803 -45.56577378550049
-11.490450068646268 -29.273281291638654 10.971928477328385,10.150660850913276 -23.504014982353297 16.807547586310687,-38.7438511259826 -3.333147639602678 -13.110954783860084,69.02911939461495 -5.99782964163088 -19.458659666032183,17.05338599325372 -10.20456754926814 -16.213246704653592,4.52791602310166 -15.910273923837588 -36.79904186011834,24.00056068244455 129.46632194169263 48.49368537647492,18.95850313822751 5.437864354856284 1.6429539800762867,1.2953325744594677 23.03754314267558 48.1734759535247,25.82799025677875 -122.93168775383346 -45.827355426832185
-9.453929128905486 -28.683303542672753 10.905041007700456,10.011556101748068 -23.319268839434503 16.713149932363315,-38.79004755849049 -3.1159632069951515 -12.827806318939599,67.5863549202622 -6.3727709973708215 -19.081438174685303,16.484309343490953 -10.612675346212704 -16.674844788402055,4.874604549415735 -17.46476399936264 -37.16925909704051,25.00652183365034 126.29733735518116 47.21878703953702,18.54706313535111 4.903299933594451 0.7666699748690657,1.386037214194054 24.89780221846329 48.54783817459118,25.791160567931257 -123.12003027250968 -45.9084053205857
-5.020764563233368 -27.726613377637594 10.87186316486189,9.927807863165262 -23.137966113908945 16.562833562015324,-38.93337410253017 -3.023669760832032 -12.587235824363074,63.83602690228322 -6.530528898673429 -17.979361502421266,15.50267820737415 -11.78774999924452 -18.464706114037522,5.002747874845793 -18.435676337081848 -37.38415339370244,25.758483434086465 123.87519607195695 46.2576343111737,18.07976184719998 3.558641073182931 -1.389370167178966,1.5434965882148461 26.748672687239576 49.1211996660626,25.958587001544455 -122.67011829177326 -45.71758229805755
0.36623295045667137 -26.617461487007997 10.85215414185223,9.896459109468617 -22.97187760168266 16.386695735484412,-39.199521053006286 -3.053593786698581 -12.451322563771873,59.15454788566837 -6.511061756990331 -16.50597718786638,14.424750499173722 -13.324621196713844 -20.933950140556163,4.7777992757214856 -18.2483649052916 -37.390665790630244,25.99554823523703 123.01618811835138 45.92262714937249,17.683396784450927 1.862233875279857 -4.079954990157629,1.6490837082675127 27.48581968461334 49.592903502258984,26.09996359343398 -122.31492743571127 -45.56122947432338
4.741851783045061 -25.625134088354542 10.81058695301577,9.898067226447438 -22.821660355645214 16.22195966849395,-39.61969725786218 -3.175124310719562 -12.47782635687396,55.45888257932315 -6.415123585544421 -15.163044974037089,13.662877672269229 -14.651077462782954 -23.14309812759624,4.062358392001459 -16.295767452546944 -37.158753889158234,25.46565648768136 124.5107904263865 46.50915086247174,17.500199674739115 0.4511574955484918 -6.272656568526276,1.5447551782879763 25.76773742859208 49.571889543993116,25.885575232708295 -123.10870448169666 -45.88053652353616
6.480226850874462 -24.980980837412282 10.722125756106388,9.917487673860657 -22.688927890707088 16.105724395736093,-40.198045826210034 -3.3592528123880987 -12.702482463041902,54.31933125534656 -6.3270770557235 -14.381940187147231,13.549023815082958 -15.288766310678074 -24.299937575609366,2.7988381205307373 -12.257776876109588 -36.684887572484925,24.020149111177425 128.83374476903532 48.192027087274916,17.63802195788719 -0.1483004645929006 -7.11883322713584,1.122604928846716 20.727700534207266 48.77981948586768,25.065707775812037 -125.84737263243342 -47.0086967507419
