-3.8 -35.7 10.3,6.7 -25.6 14.3,-33.9 2.0 -15.0,63.8 -14.0 -23.2,7.3 -7.3 -5.5,37.5 -12.2 -16.8,29.9 83.6 26.8,8.1 5.1 -1.8,-0.8 -15.8 26.7,30.0 -93.3 -31.7
-2.9921353379197138 -35.214969569733626 11.118933614458255,7.868335873814049 -23.983074582659377 16.21458545418912,-32.27611862578462 1.333796978244535 -17.411841714344643,59.92059872667526 -12.92794187813281 -23.503456567668557,7.990377690325167 -7.853134236085701 -7.106351387008422,35.723388138552075 -14.185778068270151 -16.589494003339748,29.775121879862173 91.32496674192754 30.648314514492466,9.002235374215797 5.033722684736254 -1.5188803392480696,4.557622354649758 -3.0731249473355104 35.25750203235643,25.323829916965035 -116.12484783186298 -42.04079706744982
-2.1969687351119322 -35.74059389831994 11.800967588437318,8.955789719975218 -24.063329905322977 17.398882242989053,-30.35679218811262 0.7329561931055677 -18.500207500592033,55.13040378973659 -11.558220035117735 -22.70902586748435,8.371233758483092 -8.32192551714947 -8.660714307571297,33.837022875313615 -14.639541372160883 -16.50961063041791,29.75190937892607 96.0286845431591 33.00155896412909,9.585905071583563 5.000203509576062 -1.2467481732478063,8.360047248078546 5.205903654920399 41.82002504222004,23.305366034493936 -128.34323442795147 -47.71992881313345
-1.528740736491422 -36.836540029431376 12.281937400138064,9.860416182708938 -25.22283531169112 17.98375276474073,-28.579273091652425 0.22321091670695717 -18.522818707952688,50.51223421127552 -10.166848631547102 -21.372872437970837,8.499209765776737 -8.684657547428788 -10.03658554710286,31.899645117518812 -14.140591145745258 -16.590921581665565,29.79650887941477 98.15249586160601 34.07543986711878,9.891115134617904 4.9991812528028685 -1.010638841475627,10.716154083829244 9.571740306613425 46.23435467287458,23.261603071585007 -132.00507981936522 -49.59096751499707
-1.1016918869729495 -38.06247500674029 12.49767852776137,10.480269906240634 -26.843660145464106 18.100059417785086,-27.38081374107245 -0.16970557882743764 -17.737396685637144,47.14890901338356 -9.029841828013234 -20.05116081765148,8.430947273509066 -8.919614031161135 -11.107461891017346,29.96999577240186 -13.268228623096359 -16.863998557513817,29.875066763551366 98.1377431551797 34.08566374167046,9.95797160583344 5.03039469270012 -0.8375876834079502,11.734822265444727 10.55903950758928 48.347276567603835,24.509535747236527 -129.160304037204 -48.50748545098694
-1.0300627314712798 -38.97806587391913 12.384026449508108,10.713405534795744 -28.307873750342242 17.87866460046305,-27.19866654104111 -0.4200600213737585 -16.401662782855936,46.123247218152216 -8.423213785108455 -19.300055545049737,8.22308784298305 -9.005078672583998 -11.746840124729,28.10681574719696 -12.60175503828726 -17.359413258393754,29.953729413558957 96.42576888179154 33.24793710599307,9.826580527744783 5.093582607551261 -0.7546300385211939,11.524931196467874 8.702455757693667 48.00557636969157,26.366158780446803 -121.85882711256761 -45.32305489904928
-1.4280938149011786 -39.14297967464026 11.876816643579156,10.457877712599688 -28.997545470025834 17.45043071111555,-28.47008389622681 -0.5021191388081462 -14.77333834881959,48.51806784767299 -8.622978663425084 -19.675721158689065,7.93227303550165 -8.91933517593485 -11.828217033652052,26.368845949138304 -12.720471625391028 -18.10773738473646,29.99864321166062 93.45791549935288 31.777966478295507,9.537047942866543 5.188483775639734 -0.7888012462917755,10.195360280441564 4.53664355677229 45.05603972242155,28.14846689021412 -112.15056907655574 -40.89124813713032
-2.3401754569102953 -38.24178583079251 10.97098321968869,9.665071695787645 -28.436064435710566 16.927962621401264,-31.405327333232677 -0.39857225146160635 -13.145218617211507,54.875248127804056 -9.779435024811146 -21.50534409865857,7.620001495617668 -8.658907771268165 -11.28090449353745,24.89703936823657 -14.008864024146463 -19.081826026145738,29.985157871920237 89.76870067905426 29.939090141337683,9.141200093802807 5.309937242294237 -0.9450515849143737,7.9162271739086245 -1.276241297543047 39.61139409752264,29.285481564446133 -102.04385147335115 -36.07457702126419
-3.429924238363029 -36.63993267846295 9.983623985552455,8.577093298815308 -26.91719472932265 16.32433815536875,-34.97726558601034 -0.1380226621472589 -12.001296689342793,62.787835421247 -11.357569417099189 -23.86788510059325,7.374249230577417 -8.319755059625015 -10.338478547456434,24.280510786568936 -15.78942184000232 -19.93990436787556,29.93879312662118 86.40056707280799 28.254300874390605,8.754753416643645 5.426072194298474 -1.1079392891314617,5.191476925695506 -7.378996632722405 33.23409263229798,29.81691454263238 -93.32023048839146 -31.78428562787041
-4.231844198954236 -34.93374058583265 9.341075831010059,7.5346256964756195 -24.995918729669867 15.618887562790315,-37.73919294938487 0.23535783944969557 -11.890396929926528,68.84898955033523 -12.589993183081894 -25.419057243474583,7.291970176598246 -8.031551791586354 -9.337684957996844,25.260337429877183 -17.024533671606523 -20.233513067490733,29.902080329078093 84.56818424395699 27.334634954624534,8.515088197678352 5.495961054905035 -1.1212001285743973,2.638248585526602 -12.178744349685502 27.97816061206479,29.98955006485336 -87.68437083920386 -28.94814212673402
-4.3673770408148895 -33.67628356448311 9.38464811586617,6.838245196649247 -23.220653950887673 14.824403011088576,-38.506083763007865 0.6672374594524562 -13.179826286223513,70.27045817628779 -12.844856764720875 -25.09144351791089,7.438913156360668 -7.903363124366368 -8.58602958710131,28.287156990494832 -16.87309254424511 -19.63297489436942,29.91016649041465 85.18036783119967 27.637901320852233,8.526705308525896 5.488698705773589 -0.8684610652939793,0.811339126450127 -14.35848091721183 25.560856190077295,30.0287495627832 -86.42374560859113 -28.278423520705516
-4.013829525146999 -33.14326613065597 9.912086074087378,6.531890218377018 -22.09654636558597 14.167544400502068,-37.766210978007365 1.0384811212023655 -15.077355216068089,68.21955629711753 -12.357085531338463 -23.58794962947853,7.681499350199696 -7.912463846839678 -8.203755081119526,31.95602553437573 -15.750760420674071 -18.567726262866643,29.95095318153916 87.19180832602913 28.64291813045218,8.684020172914183 5.4374319177452675 -0.4883117599533353,-0.13316570730471647 -14.364201729116207 25.54624825974028,30.021996727807853 -88.16196530113307 -29.111157117122957
-3.567126871090744 -33.501305009660946 10.507354366384188,6.558565008653693 -22.111723503631122 13.95908455254035,-36.66594604647207 1.2044669981184433 -16.334715296806053,65.41930027635509 -11.702502332511925 -22.307738793887744,7.8077555492314 -7.984296371250431 -8.237454565256826,34.132209789004634 -14.56747909399788 -17.765758518532454,29.993760619637555 88.7886502943964 29.443472225234046,8.7988228437123 5.40049869290045 -0.21961720279924238,-0.19599095244307985 -13.335279285847939 26.651569044378896,30.00254874710345 -90.47495893917424 -30.24109931366578
-3.3727876378615695 -34.83256129971705 10.802383719701934,6.851160547624785 -23.616671841549994 14.448761059869497,-36.22551304452872 1.0476376694254048 -15.896623623836671,64.281441002072 -11.384965598185468 -22.455474532505207,7.638465477137729 -8.052203044768044 -8.707139404944693,33.00926825855269 -14.11848243811292 -17.850990129410363,30.010090561033046 88.40680552899667 29.257623996199907,8.709395884357175 5.42589025121351 -0.2692992826176372,0.590005960225935 -12.317818021779825 27.69259100798358,29.999051586558117 -91.20619017789099 -30.595544468157282
-3.393666870018247 -36.586596436651014 10.793343879766361,7.268396169442929 -25.92801169376386 15.426208234884536,-36.50548929303222 0.6542435889456513 -14.166002287904545,64.85105032913484 -11.361496438538332 -23.761919322370677,7.241943083107554 -8.109814691024589 -9.434421979567611,29.26051615154736 -14.32825395663815 -18.66001525566615,29.988169952620083 86.37264169513686 28.244091661841054,8.454560145814021 5.4834038588396945 -0.6024709915365406,1.9533589462586711 -11.64468144718158 28.24069951500859,30.006479608615106 -90.22809369760533 -30.107349028875216
-3.4186280325515495 -37.925337916083514 10.642018819399736,7.635266430874975 -27.89227934599311 16.47185806618277,-37.130114577687785 0.20320371081958544 -12.20879815414835,66.09710529922381 -11.340476923474371 -25.287674099099082,6.799050738839828 -8.178174434139944 -10.150705511784004,24.686778275445104 -14.725359521824107 -19.671443053113038,29.9238304441577 83.872089470486 26.989296984282138,8.164318345294754 5.50728311920823 -1.0742983048620163,3.514110008723502 -11.32443271379885 28.21084621479847,30.004497183399188 -88.33564803255113 -29.16658401975097
-3.275344079463644 -38.11617502883625 10.501220241766378,7.792777466110305 -28.481756086734514 17.192375051673107,-37.73898001532868 -0.13567307959134814 -11.010373490111897,67.06603900301705 -11.069606326703978 -26.172265057080125,6.481222710815434 -8.270534583635031 -10.600683471378503,21.011321795966477 -14.871018274789595 -20.390096008091568,29.81790967562327 82.00739626019693 26.039282728096154,7.960499716999047 5.444392967938077 -1.5351933502646262,4.893392748390488 -11.35001432598422 27.55669863863997,29.975968205558697 -86.31051587512844 -28.157280963306068
-3.144379775335368 -37.377169589932 10.436566379040407,7.725824946357963 -27.807923389519903 17.437051497709003,-38.12770594227035 -0.27773350972688554 -10.809842205857759,67.54119132029113 -10.657329865847991 -26.287030556723938,6.37102022909396 -8.32964236064416 -10.651266612962631,19.217303654905855 -14.634525619920925 -20.569909647047368,29.71542020625525 81.09821443355509 25.56189342118169,7.888172853449832 5.355422379305624 -1.7982137530856563,5.726901029665224 -11.589971759572666 26.560830846836605,29.932892814850526 -84.77468063615568 -27.38931246119482
-3.391224917395043 -36.424562012776676 10.4679836819883,7.4947066250894405 -26.579235015405107 17.182323367857787,-38.173676305209064 -0.18294819459035475 -11.455263509317408,67.69206159371498 -10.401133573460587 -25.886798698458275,6.504432603761178 -8.26129837722525 -10.233410916084242,19.90004264304509 -14.046617412572212 -20.095361593730097,29.684523470221105 81.05409499671083 25.526787294199206,7.952181655798376 5.360707260255605 -1.656842350145674,5.657958696305184 -11.847663019706244 25.678172983888544,29.902539346315255 -84.26644938295323 -27.13368979709432
