2.5 97.3 1.3,-4.2 65.9 -15.6,31.7 -31.0 -6.7,-70.3 53.9 -27.4,-19.3 -1.1 -16.0,24.3 54.6 5.2,20.7 139.3 52.3,-15.7 8.7 -26.0,17.8 -25.3 65.9,22.1 -44.7 -9.2
1.9813225437213955 94.38377311126222 2.2323742654051717,-5.642105002544082 61.244214224722064 -14.890308902799715,32.73217037889908 -31.612837690494583 -4.728694479282311,-67.12279195874908 63.84150353495214 -35.2484850100747,-19.742202401205585 -0.3108442275046341 -15.7984031247515,31.427990882829818 53.83274559826112 4.633391834803863,18.753477151221936 143.9394996029231 53.84692397822247,-16.24120281215204 8.886811668351164 -27.577208187532822,17.244618357362317 -24.234054347531657 65.62879335953723,23.21968964533826 -47.95362287733385 -10.46855317678675
1.5923971601630582 94.02284308651791 2.4958065958185935,-5.767579734108857 60.94435807749694 -14.750711774073274,32.644493144572074 -31.839905020390198 -4.365868206033754,-66.07776880879457 64.7423510730643 -35.80127431924736,-20.140152327689382 0.007462821723307705 -15.747933726444307,35.83951195787124 51.85035544518157 4.021673131818201,18.084633090566328 145.52593070423333 54.37565975301258,-16.66470367363729 9.014743005978774 -28.21401634383306,17.72637541624217 -23.835539732744977 65.62467826504981,23.61096472089001 -49.10303082562436 -10.917359437531653
1.3118587047643315 95.30661463169405 2.3169198311838675,-5.050725488234839 63.426708870086365 -14.981829662109313,31.851990911933967 -31.806431554143145 -5.0473047492881165,-66.45536621889201 59.847442915585276 -31.688225658256002,-20.484006117710408 0.005918042357055724 -15.795861655514768,38.22003514534138 49.23997209567861 3.428724269105881,18.27480823941453 145.06070467936524 54.220254233842994,-16.98599329451533 9.096789802526635 -28.21178576828732,18.833916289153333 -23.88904212585763 65.78886433104262,23.51373260447737 -48.83891669565636 -10.815142307272376
1.1183420329645593 97.32449245271758 1.9223368114445967,-3.9658435584625495 67.11754391425204 -15.384283615196475,30.769686295899746 -31.637646856209685 -6.208787678079181,-67.5460198577968 52.40167936376397 -25.53919675783862,-20.763920109527675 -0.1644816709301587 -15.889456762399234,39.255032365457346 46.58873810466952 2.9184256247297706,18.90534301914791 143.54523290375332 53.714754330186416,-17.220562384845753 9.145947847638547 -27.871877760282217,20.155886088609563 -24.179147497087314 66.02256117202053,23.167900673922457 -47.851973338214705 -10.43062531104659
0.9904820002030847 99.16588125551553 1.5386803765443848,-2.987235238332504 70.44314052175572 -15.758694681623401,29.812601911384395 -31.458780491046117 -7.286100561440737,-68.64016539426444 45.64996071884923 -19.984045348733233,-20.97005064140021 -0.35273942346510456 -15.975988897534059,39.629975538436284 44.48379602707156 2.5546575767527373,19.55757785114784 141.98092675283206 53.19320695151558,-17.38390165468815 9.175212930958324 -27.495653619204354,21.280929927124628 -24.49044181665172 66.22697840248841,22.8133763070474 -46.832893604084234 -10.032531973891968
0.9069134619192516 99.92018574601482 1.3925733664268338,-2.5892018213852177 71.82977600435906 -15.905683909678729,29.3957603733029 -31.39506202310871 -7.715026968406565,-69.02823849705038 42.83718728208986 -17.652629161677844,-21.092554051587012 -0.407858320574551 -16.00272791135559,40.03033658449529 43.512288417802 2.401300503237647,19.81285315679568 141.3691976020359 52.98965900730313,-17.491501814102097 9.197580842129767 -27.38447464444033,21.7976929172123 -24.607511054768526 66.30332563695107,22.69006688167431 -46.47237034404975 -9.889585820846177
0.8617137215545296 98.94315941273969 1.6409765874857796,-3.1067674327844244 70.15678520844024 -15.686019935113157,29.819943092306637 -31.532092126048767 -7.09999734146395,-68.22603614036936 46.27241346101578 -20.421444945579477,-21.113435926925543 -0.22946183789415128 -15.934702156661652,40.864944500859174 44.12448139052812 2.506594121278633,19.37955639290811 142.40745433768225 53.336647521706176,-17.542568549224928 9.219198453740459 -27.738918550257715,21.398777579162015 -24.381590173929627 66.18350856800278,22.96116012155899 -47.24174235262089 -10.185684138796777
0.9331413237596964 97.04249983433137 2.0611029947008097,-4.115716153339438 66.77325036744895 -15.288353253315417,30.763169701197178 -31.739442951663204 -5.964784906798025,-66.97786482046916 53.1631275835401 -26.060201295002006,-20.97026975570505 0.006880299842511692 -15.83374670825441,41.034567864147334 46.02448807105222 2.8335163906693857,18.658645076012267 144.1359005337523 53.913349835254806,-17.447533180451487 9.20887721470338 -28.21016263930042,20.34348826824777 -24.027237030394744 65.96676606970378,23.371622772568113 -48.416586151447305 -10.642311907100238
1.227998940220317 95.51822895956784 2.3014008591832305,-4.934389384651911 63.865694243718565 -15.012512352769429,31.692294125975064 -31.813435824339383 -5.144893114921932,-66.44459333841286 58.98698187441283 -30.946079430256553,-20.58556301569794 0.03203067187038183 -15.794521808764586,38.928622987654094 48.663416457584766 3.316134763391746,18.285912981650657 145.03281553647184 54.211310404020935,-17.086725467106948 9.122768899864516 -28.263093837436422,19.08328627323933 -23.882204799064404 65.80907625540681,23.524611451019446 -48.8670198758494 -10.824159604830015
1.8013380426514014 95.4346006118176 2.085962648634168,-5.006669052144632 63.24965587788871 -15.097506158291857,32.14566535217757 -31.59789527244993 -5.31157188188384,-67.51381105627271 59.99498897308362 -32.05737904931358,-19.93472893091386 -0.3516053096759142 -15.88629580384132,33.49682028945141 51.46912082746569 3.8897507468281067,18.76568306883343 143.89151677540133 53.82767526434258,-16.40358026810368 8.935712465749807 -27.504152702964433,18.04539654444037 -24.210169619883864 65.83178948000973,23.11831356486482 -47.72910477499708 -10.396789948958519
