6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
2.876715048485443 91.33369306507792 1.0619247279769537,-6.613929256895461 52.581845224637526 -14.922083378625242,34.288626134818976 -29.323181268098654 -2.382353649161144,-65.65919854022745 74.4598471840853 -44.08630291660535,-20.338841796012165 -0.275591870722618 -13.123636077486514,41.89590684426683 51.05489045889377 2.680805244692162,20.5588009837595 139.22906881636882 52.236194200091525,-17.199945290274467 8.932864962546791 -25.570966293213495,14.859065856271254 -23.46136145812527 65.7076964163996,21.628730834541557 -43.67207628787275 -8.899279291259843
0.509299174164298 92.80846954535025 1.3824934416992063,-6.695423470693998 55.620758930972606 -14.585360077292325,31.85753135070456 -30.279803001220845 -2.973715106223313,-63.83035746723818 62.77623983901871 -33.1317969477129,-20.28200977432386 -0.4862471253711151 -14.404364780224476,42.093570862132374 47.354245317859956 1.052297226367006,19.495976577998743 142.07049435277872 53.27894956566229,-16.9560043852887 8.934672522445046 -25.849744983381775,17.191970970191605 -22.02624846419655 66.70074959510217,20.97510439176415 -41.67091600196478 -8.103207203001457
-0.6669132698839366 93.85542593165431 1.7791310742546151,-6.609558371540489 58.460753261506255 -14.404776334261793,30.542247256818904 -31.06617375227356 -3.476554073944283,-62.923327629796134 56.78451950486226 -27.56715876735155,-20.767186778983703 -0.2210943825006768 -15.0792001273675,42.7627464405768 46.11529265541736 1.539628317372836,19.10736124753206 143.17622380841448 53.69102544111794,-17.368516530180866 9.090021535069857 -26.93380550877033,19.115745767423807 -21.78581834635619 66.81361680666774,21.457228674951836 -42.79164009218344 -8.462406982637585
-0.9165879305797664 94.60565871482757 2.1692625587310377,-6.321409689579805 61.04584035873949 -14.395278387794203,30.078305462324153 -31.57860207416378 -3.89334025508183,-62.847959876665286 54.82002772167799 -25.92306504955016,-21.432055654040305 0.2307377393335095 -15.285156138069214,43.373187966580225 46.35526055008484 2.9679508900579448,19.08878945717378 143.29820438246082 53.73518117086416,-18.037820970089133 9.283510855796308 -28.220617307644645,20.447420673630596 -22.431228432746575 66.2807553216564,22.393211687388664 -45.22936950843609 -9.327501877580973
-0.5043904548436977 95.19026438570737 2.4703128282163322,-5.796053154956822 63.320032365173354 -14.571812476150106,30.201237576382457 -31.7133965197985 -4.226543352393732,-63.51410505660963 55.21810602952793 -26.73019246833761,-21.914299243542295 0.5801206215762579 -15.15924683148325,43.39464982712285 47.09137708038122 4.162417316770633,19.136095671738232 143.1883832741026 53.67417609930662,-18.56425695015167 9.399739339999494 -29.10764981827022,21.004026114474733 -23.653636051510087 65.33662241062821,23.101161432358698 -47.17922520063009 -10.049115135244357
0.3050135104037659 95.74033943513109 2.5997068157983563,-4.998564497816413 65.22734142330884 -14.949324837590051,30.646575208155948 -31.36686564208469 -4.478633068637766,-64.83161401839308 56.314095968474106 -28.519217697742768,-21.85160039153829 0.5379256456723817 -14.838486226763225,42.29688640918477 47.3408703248253 3.948179969859198,18.945114356039735 143.59870768252438 53.770769570850995,-18.548163715506636 9.323305843054492 -28.992372478912543,20.602592515618955 -25.144198530789083 64.21567534414324,22.899185913145974 -46.83632811867277 -9.97787000304048
1.2499791955804094 96.3380223846094 2.511655203865819,-3.94216068806001 66.7089943741117 -15.514148872055307,31.1730824324459 -30.49245492818772 -4.632484145487059,-66.62538429434072 56.73568374667558 -30.038127419062704,-20.995952382145855 -0.09557811437427023 -14.437184505041076,39.73190936333353 46.383511523357555 1.5008787938162595,18.317034695398394 145.0302182575552 54.20466125346961,-17.713372525771458 8.973878527700164 -27.476227366510017,19.179676974603645 -26.62648038355524 63.12284360033993,21.30312042488482 -42.91161846996897 -8.648792506812752
2.085329505390069 96.79856773412723 2.360898411707551,-2.9024904884954505 67.69103457595781 -16.096641139292682,31.666170199832898 -29.35507978533367 -4.564153536053838,-68.2572083688156 56.70421073745326 -31.219527885343837,-19.72248770169076 -1.032788959588002 -13.945886673389646,36.34526728881754 44.930270466591516 -2.093237349970862,17.627364865116583 146.61619162939417 54.702768545404034,-16.45690525495776 8.462298473160253 -25.27257028397632,17.32341097632609 -28.000707040961977 62.102092138267516,18.906668800561707 -36.92791611531944 -6.602141441755691
2.571471194097792 96.84673510257078 2.370172366900239,-2.244187883900187 68.09435698064645 -16.474269661448037,32.05419281097024 -28.3252686627757 -4.11347847890994,-68.93184933186942 56.981393994392974 -32.397705475253844,-18.617632520135032 -1.8208607237512255 -13.31317151457725,33.11939672416368 44.177406929649834 -5.100071423321613,17.446352794544563 147.02612378817068 54.83847969231236,-15.40404886487882 7.964229561641277 -23.471784103320612,15.842861475607203 -29.22700601707599 61.142806160072524,16.669017919377136 -31.36149145723767 -4.719029354513586
2.543989696693514 96.24553259380097 2.690116880467544,-2.262254488393702 67.82360002599744 -16.475606945364635,32.30280537745247 -27.68869890381859 -3.1603727394101733,-68.05559862540326 58.27903172263017 -33.9208210092797,-18.168362663425583 -2.0868859821763635 -12.489064057347681,30.892978432094107 45.11096142578683 -6.085742018179057,18.24068781337887 145.14978186215905 54.24814664639192,-15.075461103714032 7.629510360876636 -22.94772269733526,15.376850328770649 -30.265661364537028 60.23949273106637,15.411334334058054 -28.326955704219454 -3.748815927232292
