6.7 89.3 0.9,-6.4 49.4 -15.4,38.1 -28.3 -1.7,-68.5 93.5 -61.9,-21.3 0.7 -11.1,42.7 58.2 7.6,22.6 133.9 50.3,-18.5 9.2 -26.7,12.3 -26.4 63.6,24.1 -50.6 -11.5
-0.7 93.9 1.8,-6.6 58.6 -14.4,30.5 -31.1 -3.5,-62.9 56.6 -27.4,-20.8 -0.2 -15.1,42.8 46.1 1.6,19.1 143.2 53.7,-17.4 9.1 -27.0,19.2 -21.8 66.8,21.5 -42.9 -8.5
0.4 95.8 2.6,-4.9 65.4 -15.0,30.7 -31.3 -4.5,-65.0 56.4 -28.7,-21.8 0.5 -14.8,42.1 47.3 3.8,18.9 143.7 53.8,-18.5 9.3 -28.9,20.5 -25.3 64.1,22.8 -46.6 -9.9
2.6 96.8 2.4,-2.2 68.1 -16.5,32.1 -28.2 -4.0,-68.9 57.1 -32.6,-18.5 -1.9 -13.2,32.7 44.2 -5.4,17.5 146.9 54.8,-15.3 7.9 -23.3,15.7 -29.4 61.0,16.4 -30.7 -4.5
2.5 92.8 2.7,-3.7 63.8 -16.1,33.5 -26.1 -0.1,-64.8 66.5 -40.7,-18.4 -1.8 -9.8,28.6 50.6 -4.6,22.1 135.2 50.8,-15.8 7.3 -23.0,15.1 -31.7 58.6,15.3 -28.3 -3.9
5.8 87.0 -0.8,-5.3 52.9 -16.7,37.8 -22.7 2.2,-67.2 85.4 -56.1,-17.7 -2.2 -7.1,24.3 57.1 -4.8,25.8 123.4 46.0,-15.6 7.3 -19.2,10.7 -31.3 58.9,16.0 -29.8 -4.3
4.1 89.5 1.0,-5.6 56.2 -16.0,35.9 -27.9 -0.9,-65.8 77.6 -47.4,-18.6 -1.2 -12.1,19.6 58.2 -0.7,25.5 124.3 46.4,-15.7 8.2 -24.2,14.5 -29.9 61.9,15.9 -29.6 -4.2
-1.6 95.6 -2.7,-3.4 68.1 -17.4,26.9 -23.0 -1.9,-64.6 34.3 -9.3,-19.4 -3.1 -7.6,33.7 45.3 -1.3,27.6 115.4 42.4,-17.2 6.5 -20.0,17.1 -34.6 54.5,17.2 -32.4 -5.0
-1.0 91.5 -4.6,-6.0 55.5 -14.3,26.9 -21.5 -1.7,-66.4 30.8 -3.5,-14.7 -4.4 -6.9,30.7 68.6 14.1,23.9 130.0 48.8,-12.7 5.7 -16.2,13.5 -41.4 54.3,20.5 -40.3 -7.6
-0.1 95.7 -1.6,-2.0 68.7 -18.0,28.3 -23.0 -1.5,-67.1 40.7 -16.1,-21.0 -2.3 -6.8,38.0 45.1 -1.2,26.5 120.3 44.7,-18.8 6.8 -21.6,18.5 -34.8 53.6,17.3 -32.7 -5.1
3.0 94.7 2.7,-2.6 66.9 -16.6,33.4 -27.6 -2.2,-67.0 64.8 -39.5,-18.7 -1.6 -11.8,28.6 47.2 -4.8,23.3 131.9 49.6,-15.8 7.8 -23.8,16.8 -32.2 59.7,14.4 -26.3 -3.4
