5.7 80.9 0.2,-8.4 40.2 -14.1,37.0 -11.6 12.6,-63.0 87.9 -59.7,-18.7 -2.7 9.0,83.4 124.3 68.9,28.7 109.0 39.4,-18.5 4.3 -12.8,8.4 -44.2 51.6,13.9 -25.4 -3.2
4.606314573887479 79.89833058101672 -0.029028266909438827,-8.251445461902062 40.932501209101936 -14.418699660572992,35.5265011871061 -10.47367188645053 14.10685193096616,-62.05672312039254 84.33838582695059 -55.09278064716795,-21.762190013252475 -2.6808645437069907 11.370217659257444,79.80862000991502 153.03716948121573 99.32137304067402,29.445665332512764 101.84872215067298 35.90962698285891,-21.700073901693777 3.648624703690469 -13.477463900997869,10.851356092978563 -45.62736876371879 47.129594502952166,14.657279247621547 -27.00444580884552 -3.551421193836891
3.9659650173949257 80.58433919284849 0.4462271589628287,-7.947146134777836 42.77074094362185 -14.459637700724995,34.64999858516506 -11.03279989516833 13.718659731779276,-61.97812521462341 81.35315004442926 -52.400418179487744,-23.12597101585095 -2.4849051910790765 11.232335277379102,78.43649603341427 162.89512591978087 111.0738514034595,29.656009782295058 99.85678190316443 34.940516949374896,-23.005492588849638 3.6617716100982136 -14.537853263752934,12.332339437373928 -46.84241170059591 45.59584107673249,14.749969377213473 -27.17844258516155 -3.5821783468048425
3.704561562199263 82.11433830002773 1.2562473580791753,-7.615388841890729 44.89815710776909 -14.311097795659457,34.30460986737364 -12.5133215290225 12.285951681830625,-62.37409202611426 79.27593467882673 -51.31775472880495,-23.221371987029755 -2.214031963163452 9.60484279382761,78.65728353980933 159.61640780166218 109.4466230727939,29.51346042175834 101.26824013647764 35.63531898916808,-22.93148281737269 4.073083507872964 -15.647880457541904,12.986130944857925 -47.67112308656726 46.132623213833625,14.423515725895577 -26.451778268744324 -3.4119423117982977
3.7477144399774165 83.64464036708688 2.031513410901972,-7.384460406504148 46.498187605752996 -14.061363620579826,34.42445270692866 -14.151174290882155 10.659256060511487,-62.85450929828678 78.43838175653377 -51.53963242696516,-22.478421906023204 -1.9701548810073102 7.506230148065601,79.84463799841178 148.9435536128264 99.72887603311487,29.200444323314088 104.327157729616 37.136682191858604,-21.993271343168058 4.616203185664448 -16.47425785164149,12.955911527102376 -47.93949719756881 47.87382440674825,13.923363630787659 -25.35424079939006 -3.1603839417116997
4.021033882406311 84.33155785855836 2.402506397893591,-7.382647651881505 46.75427034178293 -13.798718850689554,34.94364477702687 -15.182295683616408 9.68910114721315,-63.02926277456265 79.17213330394112 -52.76089340581399,-21.327149752065626 -1.8551839656578446 5.954987279555714,81.37221487853327 136.61910183924036 87.20979826885997,28.89938855937376 107.27759556158286 38.5872556470666,-20.70608492214085 5.024773432122399 -16.683697815328394,12.384862095779114 -47.47352830953646 49.95332814796906,13.49495842900953 -24.41561811689501 -2.9471740894394927
4.450130121162868 83.33140323897457 1.999707399516404,-7.738237401286202 44.849843220068216 -13.611447161192089,35.796303750865036 -14.84262321009436 10.226015221326884,-62.50823819836353 81.80883134743951 -54.67637979719698,-20.197584504391337 -1.971029238162248 5.969604127760583,82.61366964948533 128.38559096687072 77.17857776446672,28.792720202348832 108.3636145113815 39.12968844441218,-19.585150310196187 5.032437035896542 -15.942912717879327,11.41616356255996 -46.09921069840614 51.50501792998871,13.38374545768099 -24.16569816105539 -2.89198360787612
4.948230314941152 80.08971726815346 0.5731132771497,-8.527500759147934 40.304117553759944 -13.564730262449483,36.88529380930133 -12.617580620765093 12.839075217933225,-61.03826740549213 86.40733586562614 -56.92162812908764,-19.448097209811937 -2.3891940798678393 8.234414087435647,83.02390797892632 128.4631587390593 73.60755262044896,29.00733852367571 106.35551843813407 38.16248108293514,-19.04807627260444 4.461041223703993 -14.034841638923101,10.193822624901973 -43.69961241118216 51.858813286181906,13.77225752718323 -24.998139273779497 -3.08396076397885
5.36105791748253 75.62870762340123 -1.4757640902406295,-9.543156133250529 34.466702422341584 -13.597814386559335,37.94310732576879 -9.352613210786288 16.56308555904714,-59.11271490803489 91.53949316156483 -58.80888296539172,-19.04643084289258 -3.015426502857478 11.612166780621578,82.50075381692635 132.7728970409721 73.29053213801572,29.36744472470119 102.89231357496341 36.47885394074692,-18.980327732230993 3.6132610725909924 -11.376009002702796,8.866347576923838 -40.46892709415006 51.41328279060238,14.500073106219208 -26.56451806783833 -3.445866399035439
5.511447264931524 71.50519729700196 -3.5244974848327946,-10.481775045470169 29.30785713111686 -13.60724363580828,38.644467098859046 -6.3543216014254895 19.912610422066205,-57.47807909020168 95.27293379325397 -59.540767216079885,-18.82787443528453 -3.699270283578931 14.347950247444407,81.0922155909709 134.4218620434015 70.58723418628662,29.594601318607122 100.58572411224941 35.34494821340312,-19.08693058276821 2.9548104915869535 -8.597774989079348,7.583773111560934 -36.70684468352988 50.92935192169905,15.29048190182281 -28.264786508487656 -3.8440428013748775
5.274394015133276 69.10431549433892 -4.999312459734531,-11.071364258227623 26.549068463545453 -13.511535598830697,38.73044752691135 -4.764976436054315 21.5904965856075,-56.784455369052 96.02644836758986 -58.54850634676602,-18.643940621295492 -4.291938606056872 14.968592616832144,78.9578741143351 127.88065055089243 61.107859769086865,29.46210608892634 101.57411064824072 35.79859282698205,-19.10362546878446 2.8733309604126025 -6.310929907279072,6.497631640209562 -32.826743616251115 51.05052151185174,15.885677731159989 -29.541381865157923 -4.153287904683288
