-0.9 -12.0 -2.5,-1.3 -11.1 4.6,-11.9 4.0 6.6,23.6 2.9 4.2,2.0 -1.7 7.9,73.1 -39.1 -44.2,29.9 84.3 27.2,2.1 5.4 -9.6,53.2 47.9 49.7,26.0 -122.3 -45.5
-0.9031785552180731 -11.820063759793907 -2.515984978988423,-1.0639013009828266 -11.096189946366072 4.755837822308009,-12.339659109049794 3.6941346667051236 6.704123370986125,24.296857984850416 3.088602201746061 4.139393858136725,2.6503270464956734 -1.7696105362786678 7.6084881677795915,72.55145053584532 -35.94680965578413 -41.97482365245628,29.900894090536102 85.26827825997172 27.66613401454032,2.7503267376202816 5.407280967510003 -9.693658116015818,52.36195929668075 46.66348334058023 49.30314212836225,25.95242131794461 -122.67473258230008 -45.72273008395893
-0.9796939607126354 -11.491598290868371 -2.4360991026535226,-0.8994625471853729 -10.940498238739902 4.932179888879967,-12.751333879159828 3.5760778067637267 6.651698834995421,25.06637238570813 3.0257454235884813 4.030015714371648,3.2309133174131865 -1.838867768648952 7.567194192416782,72.50576235114181 -34.17069842959296 -41.172072121698484,29.900736838431765 85.49571028082698 27.76264168093646,3.330913062862612 5.367463171400075 -9.604536978823788,52.11383409471925 45.651818006811446 48.84982812213636,25.997113729966067 -122.54945376840564 -45.694621060214764
-1.0937945019738982 -11.118428335391972 -2.307079412965418,-0.8031662584808804 -10.712203307304016 5.092849761330649,-13.08583318922752 3.5961617803064625 6.508571248956473,25.768400722543394 2.8130714227850477 3.9061141673545148,3.681507211343326 -1.8974716850435707 7.690789735722656,72.78062405849273 -33.50875791257155 -41.370591750331556,29.900040773224195 85.22302775532495 27.612118481434308,3.7815071972576764 5.303507258934937 -9.41126922664011,52.283235312152414 44.92818106486198 48.41994158554713,26.09433120156321 -122.12603012307102 -45.51177637446622
-1.209728464492073 -10.804378635533299 -2.1756629518942305,-0.7714949547425918 -10.490583582240937 5.201671001274839,-13.293965918150297 3.704718947463983 6.340585469797868,26.262800515326475 2.55222195659355 3.8019378157350734,3.9418571268768794 -1.9351222733952427 7.893946459508299,73.19372427050136 -33.698079695865 -42.149228880960436,29.899318424450616 84.69096237622476 27.337159898279747,4.0418573623361596 5.238373877379301 -9.192487497681002,52.69777386701713 44.555749580900184 48.09336612281937,26.2043276982349 -121.60632821105057 -45.270299472412006
-1.2917441337573718 -10.653273933460936 -2.0885867614100815,-0.8009311558437491 -10.354917493733204 5.222467170327314,-13.326540944825586 3.8520816683669405 6.213586354448191,26.409429284027627 2.344838782271775 3.7517352581630714,3.9517114626046332 -1.9415195216366872 8.091336025584797,73.56275159977096 -34.47575537061839 -43.086829856190064,29.89908232164825 84.1402458362856 27.060361413718663,4.051711779628747 5.195023673997881 -9.026824430162671,53.185060677350286 44.59770062109445 47.949985338177925,26.28735718547997 -121.19221459709871 -45.066293799750824
-1.3040897952600061 -10.768938971343466 -2.0925878834830893,-0.8879573816575943 -10.384483471963339 5.119061830102855,-13.1343671481508 3.9885823031459866 6.193418759836027,26.068144548617106 2.2925636570775114 3.7897550932882553,3.6508186171173747 -1.9063634177006221 8.19763009576323,73.70539465890478 -35.5788765279768 -43.762241018625375,29.89984499435429 83.81160982826663 26.904318509996937,3.7508186706661246 5.19641729605539 -8.99291266230132,53.572706661188775 45.117211251613085 48.06968283584757,26.30367362879727 -121.08555584596971 -44.9958628021814
-1.22413325621184 -11.205598024057757 -2.215888057166125,-1.0214214596309024 -10.626701234174089 4.8788821300320535,-12.706352378472532 4.0699210909917225 6.323778441596749,25.184831365108497 2.464281325835663 3.933124289983274,3.0301088720582054 -1.8267986639853626 8.148466217623639,73.48969770525383 -36.733564176138316 -43.84245010908445,29.901748522437096 83.888824749195 26.961534469752728,3.130108268008023 5.256552545166511 -9.143081429995542,53.71624104646355 46.10380800535033 48.48986901399069,26.22699328752938 -121.42372865037022 -45.12635593237473
-1.1007606234135803 -11.747088903103695 -2.385776761243103,-1.148552305194503 -10.955319458001478 4.61802518942686,-12.23909297600291 4.08106012918007 6.527620011327114,24.174335718592793 2.750308603951582 4.105634871394312,2.3595197262018726 -1.7405532502071694 7.993773033450704,73.0582081498257 -37.60613550922053 -43.47492907027388,29.90291555769715 84.24514853233913 27.160471310058867,2.4595187189839374 5.3405681643638 -9.386272531166473,53.62338382639242 47.1455271005889 49.01642056549292,26.104419270379413 -121.99255679677975 -45.36837632775028
-1.0071083877117126 -12.085566932906277 -2.4953194215184658,-1.20246671693981 -11.185198544482343 4.496217467260828,-11.99960817509559 4.016883609059956 6.686957242685966,23.61051859728566 2.9804135956395204 4.199430900750006,2.003594285641588 -1.699116123892519 7.82223294443466,72.64655177568412 -37.84262947832921 -42.970072152767116,29.900784005422835 84.64855072267461 27.373968029653252,2.103594014796554 5.397035795091227 -9.582808033424502,53.353459751683914 47.694267649780436 49.376705867119696,26.00793865688221 -122.45865971366842 -45.57937767496516
-1.0022023187256692 -11.974914665640666 -2.461244456924642,-1.1312043141500205 -11.165457793448104 4.634602973158493,-12.195480650961178 3.8798774238535763 6.704716688877154,23.9452824582886 3.015236037172466 4.132046589956765,2.2513185066282304 -1.7418226301902426 7.711978475195764,72.46021729913677 -37.159970919360234 -42.58173802301383,29.89403323306515 84.90221452250795 27.49467229938238,2.351320567926719 5.385370613192285 -9.617182011422315,52.97246313176284 47.31226492729082 49.34446566309713,25.996411655428343 -122.54696792164701 -45.64066792796439
