-16.5 -9.4 -5.5,-8.2 -6.1 1.1,-10.9 1.6 1.6,22.8 4.1 12.4,14.2 -1.7 0.9,-1.3 35.2 -43.0,25.5 124.6 46.5,14.5 8.5 -3.8,4.2 -37.4 35.7,25.1 -125.9 -47.1
-17.130782706600368 -9.477088663035548 -5.4155437516571565,-8.943235970353673 -6.498409777517069 1.6838934736150792,-12.83772590029021 1.1737773252099255 0.36039000109100394,25.544352983006895 3.30452179892254 12.364739255111319,15.321356853762145 -1.9426866481091067 -0.017858918927236584,-1.57163074508681 34.33204882710833 -41.74662922784752,25.34941975206666 124.86572659862178 46.637363729395965,15.629459700295074 8.4970920759706 -3.860760058802329,3.5620706996973577 -38.52463626616542 35.018558625351005,24.911349793042827 -126.54103874426508 -47.37654542699047
-17.36354556517476 -9.463530355466482 -5.387434798107331,-9.242146751870097 -6.600189976414361 1.8819401146320387,-13.570996526924425 1.0339257743334398 -0.10899722108396973,26.565385200540927 2.9718362818629918 12.327977826079605,15.725616232637174 -2.028892269523304 -0.3290201891287844,-1.695708763758269 34.183962082949066 -41.32262530975263,25.28997758011107 124.99084303501321 46.69913041466215,16.032293955408026 8.497603519895367 -3.8500736162994067,3.373527847293789 -38.84239272880455 34.665816380025156,24.772677207363646 -127.02977618259939 -47.585685189532285
-17.308545269854896 -9.403515475462552 -5.398676080861549,-9.208618396881242 -6.508058525378546 1.8089345198841318,-13.425177632744486 1.0932006630757605 -0.016089306620860833,26.336686855478465 2.991526740311426 12.30091954414721,15.615751687515889 -2.0034846215885045 -0.21405418940961327,-1.7022770192513863 34.47811159257348 -41.480755620201535,25.298188167539315 125.00200777237114 46.70120911936658,15.916121201748485 8.499867389896648 -3.8027708418775434,3.4886012834968256 -38.62095631946504 34.596727163426195,24.70150714347991 -127.29384773352753 -47.697446062708465
-17.076038514772492 -9.341234421193503 -5.432270541430826,-8.954536957719087 -6.324733353096287 1.5796712862046136,-12.725634970592221 1.2643573071421053 0.4311861043843893,25.33184815069589 3.2531764657579134 12.294768240556474,15.194736769289113 -1.9113314616506218 0.1464687014253061,-1.6213784748031717 34.936869181032876 -41.97378753368044,25.350566197757477 124.92587927389236 46.6595089070773,15.488559875726075 8.502216744096785 -3.7536819049230488,3.7615208490139977 -38.128013969694514 34.76624487495793,24.715364501909065 -127.26088881557408 -47.681854821601995
-16.776281994059257 -9.320877590829094 -5.47122112132619,-8.591788486715608 -6.152932388254254 1.3089450104267384,-11.797734293309471 1.4601510222376923 1.0249013718358397,24.024459289069583 3.6463687496925266 12.320727746549744,14.665545028847657 -1.797300547055569 0.5719781045710035,-1.483056093650636 35.28260667337852 -42.554488424675526,25.423626354171645 124.78911600277368 46.58993884136233,14.957228413750423 8.502984640618118 -3.7376369748222333,4.046516384552835 -37.63125261104064 35.12932341402412,24.831774183168577 -126.85853484726363 -47.50893824129591
-16.51953240184689 -9.386635382539064 -5.498530762058657,-8.232259036202779 -6.0953735595391105 1.1115502893837603,-10.966841353738065 1.5933371240677392 1.5571288556375493,22.888110473475905 4.060686883605335 12.390001893369368,14.231150017082324 -1.706259635149258 0.8819036412225083,-1.3173528390307891 35.23769589466168 -42.975625667673,25.493883320187884 124.61837642221191 46.508407985789695,14.529745252231141 8.500504137582986 -3.7894662209614047,4.1978177308208675 -37.39835917505104 35.64091668002854,25.06826108777588 -126.01442124712077 -47.148723096873184
-16.399961088483593 -9.550757950700653 -5.509487657465064,-7.975660176466501 -6.216151399916768 1.072739357989415,-10.491073619597575 1.5990219240929107 1.8506475994453147,22.29324848972358 4.394282348166955 12.505696529073283,14.062310811628494 -1.6710008155278875 0.9422279287025693,-1.1605839852872706 34.6641122087331 -43.043993911439145,25.547193849014604 124.4159620650813 46.41932654014888,14.378157091613689 8.496857407278245 -3.921369290595383,4.121585823236305 -37.61039932108299 36.245284711571884,25.41696199506828 -124.74919593476885 -46.61071031182049
-16.424053552644995 -9.651379961873937 -5.5663504576994125,-7.855336862241973 -6.368813164418719 1.1167205095299766,-10.2619587465512 1.5341534627988525 1.89562764290772,22.04805558692815 4.592014296305343 12.626773058062495,14.154176098351158 -1.6584882274871502 0.8727074028051868,-1.0832569849814686 34.18485016317202 -42.860906070718926,25.620341012751833 124.0513978069335 46.264421078858526,14.480598832542016 8.514564125407341 -4.022180322998562,4.007072983343507 -37.97624115230889 36.82839222545096,25.731615708063213 -123.59054481949464 -46.11958578598595
-16.56856282466418 -9.46759710277525 -5.75408611687077,-7.8821304942904415 -6.335513857714574 1.1130953498402043,-10.046721326839993 1.4969938043356992 1.7389978686823049,21.77006167727155 4.614579491694749 12.697224412076869,14.442348692095681 -1.6133651066531751 0.8791479802833784,-1.1674731548732926 34.68095025432498 -42.62754014513128,25.76737595052944 123.34918669043405 45.96416344856323,14.749453873691655 8.583073904621875 -3.938902751685737,4.139521997687792 -38.04464029511144 37.25643719414762,25.819033123267392 -123.23807996159562 -45.973000217704914
-16.800170874338367 -8.847158122163687 -6.129286229464891,-8.050102889636905 -5.955337393314055 0.9579617577769567,-9.660948096675426 1.566348196876556 1.4420727024167683,21.160149334990933 4.447274682919143 12.677518937583322,14.850966256207911 -1.4930197732093988 1.1243713615518471,-1.4636510605042405 36.7809977659884 -42.5175605002039,26.023837724366047 122.206927208019 45.47116316162158,15.092626305999845 8.721404770920962 -3.564524284352392,4.730372838968823 -37.46697506945191 37.42719006388951,25.539118202501026 -124.20126293693266 -46.3874987441722
-17.02139744534728 -8.076546770050552 -6.567215242970799,-8.2462745494822 -5.43129389102855 0.7169090889468774,-9.229716004986605 1.6965541753852846 1.157742458249073,20.452489125275065 4.232414768937127 12.633417071783947,15.231255072360884 -1.3363480119319264 1.4962507079853937,-1.8198178558963531 39.50002380999181 -42.5284095703214,26.306954961973084 120.9892504328284 44.943376129106845,15.389753668991272 8.88192106474289 -3.0859120183681803,5.519252691125773 -36.55081609443533 37.44015059047934,25.091078574624785 -125.77433423596983 -47.06129583426511
-17.109527655263474 -7.614798691645502 -6.8718227045939795,-8.315567255168318 -5.109523506865502 0.5221866997536133,-8.999822680833812 1.79299685538357 1.074913708578705,20.090990643165803 4.174068963613469 12.672090011801732,15.405765804706204 -1.2143020139654832 1.7745235378987718,-2.0044013434587855 41.21845813382526 -42.588222740949334,26.487425493192674 120.2444686047428 44.61951979278678,15.50935643379389 8.990772624075385 -2.8055140863593104,6.060227543647665 -35.86181056046529 37.47415748053266,24.80756800484243 -126.77359504464404 -47.48874955401564
-16.97036742163121 -7.843034722979577 -6.868859929483544,-8.140323005245849 -5.2769182322934665 0.4935281092468369,-9.17156396559242 1.7746848360301235 1.3331402342187189,20.431509924673872 4.4243286726253075 12.865906425891659,15.234240218588504 -1.1922654117628568 1.7659956674892991,-1.8315657522196152 40.57516749125516 -42.63119801020392,26.45365056013514 120.44072205500036 44.70351443258165,15.35048261717306 8.983068357847 -2.972276471814805,5.969085530962102 -35.8942995843875 37.66219272830526,24.96378959602582 -126.21991721956776 -47.25163408375858
-16.724468685485107 -8.553856779312106 -6.549169051161909,-7.88479921046899 -5.772632816261305 0.6554299662875783,-9.59365387402979 1.663867547406299 1.7005138417431869,21.16453750008127 4.743637369122656 13.025000057339978,14.85637266595155 -1.2932058391930032 1.4827960879780429,-1.4605492067009582 38.16220690987121 -42.63833125120941,26.227883418949315 121.44047326877657 45.13637818763074,15.041750193142995 8.861702898196667 -3.4310761983607616,5.328703319138063 -36.60222262576332 37.79126534241006,25.40088894113326 -124.67981694841417 -46.592193868543475
