-18.1 -3.8 -9.7,-12.1 0.6 -4.0,-12.1 3.4 -1.1,25.3 1.5 13.1,14.7 -0.3 3.8,0.6 35.9 -43.4,25.6 124.1 46.3,14.2 10.4 1.1,4.3 -38.3 35.0,25.9 -122.8 -45.8
-19.081701692828048 -1.6249868210815355 -9.134419390905634,-12.420654703622882 1.8046824015868257 -2.8172896067158355,-10.32599243357474 3.8269231930505367 -2.8631157521768626,22.446670055343933 -0.791403033094333 11.717303773177267,16.66674876839593 -0.5233749797011613 4.965189406558148,1.5973017304860557 40.593730046801866 -43.335155771431346,25.015603593883046 126.17661714343431 47.169825177099455,15.970505476279643 10.271348599055543 2.3890820965051836,4.853471051392076 -39.19964860005525 36.29078793920692,26.203249035952975 -121.60573805042814 -45.27801555705168
-19.488394318968133 -1.1921460963553168 -8.413547055635783,-12.663704251897366 2.033498872150049 -2.2333478535234192,-9.858029832697033 4.11858751111441 -3.108409420635611,22.022862999132013 -1.6188309564453913 10.408855538210075,17.508313620470755 -0.7582743341585748 5.291303860077262,1.930814949008065 42.104073554557935 -43.88165582669199,24.81985833015383 126.8380707507527 47.44425860344604,16.758446423251687 10.099076688378334 2.8431294305196007,5.2880917132932375 -39.446707482530485 36.75338693792596,26.353664507160243 -121.00299412863576 -45.005283476119054
-19.50614456892707 -1.9401555667746337 -7.6392683300075435,-12.887925653501028 1.6312809565309443 -2.0976503726333737,-10.263624107253506 4.293806540995834 -2.3559020690138364,23.21071509353936 -1.4289293191262487 9.253654124017647,17.516651646226855 -0.988607682955949 5.025072560463286,1.8141779540610061 41.19751288185661 -44.751942075137755,24.891366387095342 126.53339134819149 47.314067404166906,16.81243359905597 9.909685390324396 2.717373856779532,5.588495816521978 -39.31218901999417 36.618747017221736,26.399572157128777 -120.8028895494452 -44.902182221609934
-19.32101913321167 -3.307692973292771 -6.913468549838009,-13.152095917111456 0.9428601995707881 -2.25967279625632,-11.110287167130785 4.371393869499025 -1.1256147609491345,25.192362600741102 -0.6683436702099826 8.330698359519214,16.98371993566663 -1.1982846456769924 4.413224707622162,1.4610290441398583 38.64053038728638 -45.65845642612448,25.108729942990593 125.7116094619869 46.9700187043892,16.38107776183235 9.72967582724976 2.2670472300212587,5.739317191896786 -39.06710558501479 36.11781819815891,26.389297729365584 -120.81654562767886 -44.88909025793215
-19.11908470232876 -4.733436056863017 -6.338033050944276,-13.51499205140623 0.3130681461108561 -2.5688907566028805,-11.965530922215507 4.370163083428199 0.062431439920902554,27.14994178291237 0.21628044123032994 7.718987073634004,16.201475578792458 -1.3712148419054142 3.702489501459834,1.0850065177396013 35.1996084294357 -46.313640789008026,25.350551176122575 124.82175561837528 46.60287962924008,15.712989669720686 9.585549121510452 1.7473814049810623,5.725189670236154 -38.98246955016082 35.48155050180212,26.371166967377643 -120.85508367815918 -44.88638604949355
-19.086407966785146 -5.656062558438659 -6.014847169143434,-14.035391065062928 0.08673634099242389 -2.8747798858836755,-12.396867282394286 4.308927769587572 0.6882154699586804,28.265588902228274 0.7782974661216132 7.497519095281246,15.461875665606726 -1.4913078912249222 3.1395961418822402,0.8997486733552127 31.641229366892986 -46.42993707314421,25.495432264774287 124.31286034359282 46.403417303846666,15.056780080860818 9.503806395462489 1.4136082363952231,5.530747082358572 -39.32929328800073 34.940893949216004,26.393505614671938 -120.72962501570848 -44.81444806070192
-19.36616276941394 -5.647729708744866 -6.015407442715258,-14.744852332841996 0.507024260780085 -3.0541962176162736,-12.108850260848227 4.210713191589967 0.3760521144541619,27.961472168177117 0.6801727309352308 7.708548091982449,15.008687806414478 -1.5464705195424648 2.920154694285931,1.058616833242543 28.707080323338815 -45.820771074861426,25.458834744327035 124.49258821428577 46.50084297096752,14.621302004633492 9.50451545717113 1.4662391067113207,5.1568182664814675 -40.2666658807591 34.6819958711403,26.4926086299853 -120.30130481652422 -44.61558437980964
-19.86770166022752 -5.008229963403438 -6.24555230345292,-15.526564051203012 1.2628475922798506 -3.13325425564045,-11.553089930242896 4.121503678947109 -0.46292746918038186,26.96824321540915 0.17916643737866583 8.194019250733872,14.822984848773674 -1.5463988330167153 2.9611100673543604,1.3863851244501122 27.003682440328696 -44.85006090532823,25.35715114441158 124.89797721346785 46.68880899171166,14.398677486665008 9.57267426165684 1.807488309975665,4.692515720514589 -41.343550250605894 34.64677120196506,26.639187691830138 -119.703898250647 -44.35164780418709
-20.42109319924437 -4.284081913171143 -6.554948927321482,-16.21340480248156 1.8551893556389496 -3.1886789803901934,-11.434507703843057 4.095068508080561 -1.1507988789062609,26.46023348863915 -0.2657785073531945 8.727957273728743,14.796765250609761 -1.5081772683771484 3.0849175481032534,1.596410516150588 27.091724855647062 -44.068385294406184,25.374905561058664 124.80476170034035 46.647186613868186,14.307539561575073 9.681389298264094 2.2384237344187787,4.256887115111085 -41.902028090952044 34.69432069506718,26.781716537638545 -119.16362710101158 -44.125026282675364
-20.874328811875507 -3.9370185654280454 -6.816199688780804,-16.663356418300552 1.880514871670432 -3.2864745608800066,-12.288793287091261 4.173195214801285 -1.1350705728591834,27.351174487716982 -0.2777446017915996 9.117960908896418,14.834242426550508 -1.4461578305047478 3.144595561931603,1.4505078023083482 29.34628889027386 -43.92888180852074,25.658400231645725 123.6404095705635 46.1235187278961,14.276070249246327 9.806133548548567 2.5835522933129296,3.9594906477242784 -41.44387341984983 34.70167061658231,26.881263576197924 -118.8414679856046 -44.00726771199422
