-21.0 -11.1 -4.9,-13.0 -6.3 -1.3,-14.1 3.3 2.2,31.0 2.9 7.7,13.8 -1.4 0.4,-1.3 32.0 -45.8,26.2 121.7 45.3,13.9 9.5 -1.5,6.2 -34.0 35.6,25.9 -122.7 -45.7
-21.383281132660642 -8.983593070343682 -5.2160262799554475,-13.744389426276564 -4.571587893259015 -0.8964345464326381,-12.361171711377072 2.3320329801885546 1.1836112911770131,25.659631682755876 2.9149335701858554 10.084548964389766,13.614820805839221 -1.8170429439884692 0.1416774889311533,0.6759140998063813 24.588020107066363 -42.826465489750355,26.244861567005046 121.76250979394132 45.315247977929836,13.712428282295338 9.29441072864268 -1.1851200129596002,3.8479025705485896 -38.14287612825946 34.86400356036874,25.929535592490126 -122.50787691703029 -45.63848668225348
-21.07930313796779 -8.491220696710887 -5.273842518387308,-13.961597047146048 -3.83599247904529 -0.8978952655990013,-11.714251977062405 2.1771948228260216 0.4361843810801267,23.777902881599218 2.4246006826498547 10.4694720524076,13.657159251083549 -1.9607219422054123 0.0702040557294154,1.001605516831648 21.87836600158172 -41.72791698740088,26.395546081036777 121.1690314064101 45.040592683400114,13.759613366783007 9.240217666910457 -1.015916337061846,3.228261504348352 -39.84946907823997 34.255521703076,25.994776572695216 -122.25549883575735 -45.544758544793815
-20.344562982586627 -8.962069129572876 -5.20456223439964,-13.814373763240834 -3.698229725394042 -1.1802376323497281,-11.784019092669997 2.5699883040012876 -0.07914937766606633,24.234228209458788 1.6439019923635454 9.567780685719349,13.88417009672001 -1.9067045557400457 0.188741004438137,0.25640448289529527 22.59446189125868 -41.96206360825319,26.58999260769706 120.24983132359682 44.62259808559616,13.984708674868651 9.29503190577895 -0.9056633990407701,3.7530743935184936 -39.92522985747694 33.817113546457946,26.094024935688147 -121.91987882924093 -45.40833969292461
-19.435557633182352 -9.735324619400913 -5.1392989470965,-13.46547047519331 -3.76331560034049 -1.6193171215354563,-12.195251353813848 3.244916199803238 -0.39925863243697435,25.90802227926333 0.7877381542984793 8.092486285990878,14.253008103735644 -1.730658345681588 0.5004496391006685,-0.9803587701831784 25.459731983809842 -42.986614467608916,26.76614021258777 119.33517603169196 44.20782815370335,14.330867627957904 9.416464536223783 -0.7676356256304048,4.834338830178218 -39.175609473505794 33.59133820885073,26.225582676541798 -121.47802997054072 -45.2187542319495
-18.60878405642016 -10.150173416666266 -5.209166175581948,-13.077638083635867 -3.636266071919851 -2.090989208006824,-12.572727056107961 3.9364812863207583 -0.5610120306080061,27.67869970394162 0.07100982342620599 6.756600274888044,14.720828033117474 -1.5082508731192574 1.0084912637603605,-2.1293540105842776 29.19760048694782 -44.2592786807697,26.86192796131079 118.755332016886 43.942846856907025,14.741243647456411 9.562126649220573 -0.515107443564783,5.884052406446734 -38.406058933861935 33.62075480859049,26.387751790329073 -120.90696533271652 -44.965526267172066
-18.120739218965227 -9.545801771840198 -5.545277438960037,-12.813627489200883 -2.9220971081673426 -2.47110936661447,-12.541224495166329 4.379186339642734 -0.6012782195545694,28.42567509642239 -0.2913823452817244 6.273134074076703,15.244784645852533 -1.3151496991422706 1.7160271824605635,-2.6112510064885033 32.53149160838521 -45.23776536303711,26.81529491946798 118.84056576536943 43.9742181643925,15.158990154769803 9.689629335744941 -0.0613532795779369,6.314212714443242 -38.42202924608079 33.947922464013395,26.57883427212284 -120.18369798882794 -44.63817990389594
-18.164652397872242 -7.482052199473191 -6.217054627682535,-12.802516282946238 -1.361202039066371 -2.656567818623106,-11.841526835164872 4.3773070940910745 -0.5658974531434271,27.321820709451345 -0.16353698002277223 7.145056179861314,15.774836628666309 -1.215583453137378 2.601035317158965,-2.000847754751349 34.428201727858045 -45.4944189495657,26.583594284071374 119.81982204838586 44.40363400610073,15.527640212486341 9.761779134659683 0.6456552990094869,5.709935062296999 -39.77246852700996 34.57700630655387,26.788182331611374 -119.32984263643763 -44.24653243907845
-18.588862433192354 -4.721628197571196 -6.957620758378976,-12.989819126320612 0.5680447314876022 -2.6589212592539013,-10.846793261265287 4.115471817866526 -0.5496168016981384,25.13973109101795 0.15979939690895506 8.730330477766906,16.221714790483613 -1.2114238461653215 3.5042117053913375,-0.7131397127258646 35.18121917924828 -45.22649409119031,26.23001128594538 121.36971172454366 45.08817587464641,15.792796416856481 9.769704470821354 1.4688025969126233,4.600049395028999 -41.60805360199586 35.302874763398734,26.95636031517716 -118.61015030162845 -43.911025214600066
-19.124762913214102 -2.435098677190714 -7.386066818236964,-13.258808267779354 2.137034599908014 -2.528607426015183,-10.144608657484097 3.9072784984217463 -0.6637666308436347,23.194433708368425 0.23785642204320462 9.998673345964198,16.482848573901542 -1.2833986411503475 4.219702921983931,0.5519839887486804 35.53388624407703 -44.84313963661548,25.853616621299537 122.97956058583318 45.80198289571343,15.900763100419045 9.714137137961298 2.2068380363129694,3.83337987600455 -42.60533626804907 35.84942805518213,27.007389608467626 -118.37181453744496 -43.78960991010808
-19.532372002588787 -1.593099864838369 -7.208803379878492,-13.501107609663514 2.7402931289380885 -2.3202113208432755,-10.206766351623815 4.011634776571741 -0.9981416201512442,22.583100358046806 -0.2823938231671247 10.10122657194997,16.490445915829465 -1.4057863691349808 4.581267128746786,1.201702197055168 36.141151420054065 -44.69561651177613,25.541733720796657 124.20527935086034 46.348014904003236,15.8242955900189 9.60398848825856 2.6873542540999766,4.1008398951034195 -41.72041269889886 35.994593951176654,26.884621597217855 -118.87653533288714 -44.00208686383556
-19.75511255603575 -1.8873592600142917 -6.690467328813877,-13.661997182451806 2.5599928295453807 -2.1146025871427794,-10.764488594850821 4.3375209986395875 -1.5049202481274648,23.008840774094207 -1.1928875003669959 9.349748782970433,16.398884930322026 -1.5117886766421373 4.675869112049605,1.3284179526969606 37.091144963065034 -44.76441040457034,25.306480842633817 125.02896765699803 46.713713601367296,15.705066293414777 9.500356445432649 2.922472485176549,5.0832465985665145 -39.69704377357202 35.8616956437383,26.654937761858477 -119.8396105718688 -44.424421791188635
-19.808539414026985 -2.5066170828794734 -6.315242675728235,-13.707859656195215 2.0880831242167353 -2.002988463192234,-11.257735390190954 4.656293164420536 -2.082157350907062,23.626488281734403 -2.0648866837515083 8.512462382187366,16.44992195522172 -1.5184519131419054 4.69005833425067,1.294028940601159 38.24907084871116 -44.88418328280709,25.13039849306068 125.60034273637658 46.95907632281969,15.751181712658939 9.484863604810101 2.996887976581942,6.064152221754191 -37.98206838401415 35.70989831338401,26.433803242416246 -120.76144140450324 -44.836681684736924
-19.717217506772855 -2.7283950804281347 -6.490567788144859,-13.609504741811357 1.765756053588937 -2.053640951446071,-11.208714022570723 4.7643526104588565 -2.6116784843166267,23.70643437113112 -2.5040370725854313 8.26440458415095,16.831735433897936 -1.3632211775728533 4.7850398234546505,1.413914511706608 39.46691524836698 -44.910186491531974,24.998533832235744 126.05122167310866 47.13800243586114,16.121828792018317 9.619081779778043 2.9874074590734,6.415669277665325 -37.797302234362355 35.76977807127538,26.323073266474037 -121.20193895965471 -45.04458625309996
-19.57211251409459 -2.506322833850819 -7.043301702232328,-13.370625485020254 1.6472659167754218 -2.1623212688968043,-10.762837378955819 4.648754457713829 -2.8543429494308614,23.397180139851372 -2.378295058605934 8.572254170599656,17.328372830715107 -1.137098955985789 4.929801508082962,1.649090839379807 40.50136007055333 -44.854992538463186,24.915299694383 126.3759141698752 47.25726938192885,16.607440699157248 9.81356130313417 2.91026203928413,6.182454821251022 -38.661197727167036 36.05466329947606,26.321470828889748 -121.17200915270607 -45.04832231875502
-19.494381578722233 -2.1014464025870154 -7.536322407997623,-13.009866509480753 1.6109320040280557 -2.146352467137337,-10.34888094280019 4.383241352425923 -2.5160084364246447,23.246490455782737 -1.6748859211570908 9.080609563100163,17.540129084133756 -1.0009080630352667 5.005932974376742,1.7994502724128973 41.065753750391245 -44.80270559437145,24.893914206342544 126.50620730678894 47.30222894248976,16.8307835793946 9.910185219183774 2.7541399614604853,5.7149622081342635 -39.31771254554567 36.479102971782304,26.380826186152248 -120.8876187221337 -44.93649809534469
-19.59163814692115 -1.7536399073737974 -7.577272268904941,-12.559201320567125 1.5496574052631062 -1.850190563860612,-10.344516619775955 4.0409506395607036 -1.3667074333831024,23.721537930242366 -0.4166690334576644 9.464426869808767,17.13061569179813 -1.0952329951156299 4.9138218139936125,1.6950454168785918 40.91566115052555 -44.817309340755145,24.945744298742706 126.38097685856205 47.25905767331028,16.47405070856331 9.770242103022587 2.511487559309778,5.342949330182947 -38.68013354766419 36.950000813419976,26.454162048771657 -120.5589746952639 -44.795766998158875
-19.84970949974942 -1.5007565251322892 -7.183664160560585,-12.168459907874354 1.4939001787382045 -1.3630768597622038,-10.660308224677879 3.6857591447787175 0.25040106442328675,24.554978029506298 1.0619601816417328 9.683022194254347,16.334698540369253 -1.3775682398182716 4.724924183838781,1.4413328873190274 40.18398972463424 -44.780668672855164,25.065301477683825 126.00493083413075 47.12222480248194,15.755383931402417 9.430653503524335 2.209401613535118,5.198462605205248 -37.20213211943758 37.31069506005455,26.50720261042222 -120.33589324672054 -44.6914441322177
-20.190603611888925 -1.2747848915538826 -6.587794400880937,-12.049232306254625 1.546200976437476 -0.9025268888690193,-10.962042061556692 3.3766909264518454 1.6918239795060526,25.094558996290704 2.263352826933665 9.844724113056865,15.68659655721977 -1.709464075091995 4.600340882787166,1.2880885874486894 39.20138484174019 -44.479213223645544,25.238264542363755 125.41727514716646 46.890545146898546,15.17377691077563 9.020377487374294 1.8931366938555823,5.309942190678954 -36.14458358448784 37.37121387928016,26.512327991944474 -120.33654408024664 -44.67766273998451
