-18.7 -9.9 1.1,-11.3 -5.8 4.5,-13.4 -0.1 6.1,30.4 5.8 5.2,12.3 -4.7 -2.5,-5.2 28.8 -44.8,27.9 113.5 41.6,13.0 6.1 -5.0,3.2 -36.4 34.5,26.1 -122.2 -45.5
-19.74220662055868 -11.158750393589374 1.4798135411336628,-12.355594470218222 -6.412545511890353 4.291515763706887,-13.507618108343982 0.3257801718920024 7.409670622358075,31.10026084613924 6.127189116056827 3.8044497313485164,12.23131776701241 -4.617409502239338 -2.581207835054522,-5.36315419124868 29.27869947998223 -46.56269263745014,27.945700391901166 113.03055652805499 41.33063177865254,12.942949933274376 6.174610647787678 -5.059635281183626,5.357535302183542 -35.45640087409326 34.71766586626384,26.338520283578323 -121.36320479634723 -45.10602655012721
-20.194498275010375 -10.72421998030316 1.790828085481778,-12.769207175632658 -5.784288984998507 4.013247288520823,-13.69686687277589 0.724405508342033 7.610252587720356,31.492656201747792 5.71746487961552 3.4714620961181586,12.552612901163073 -4.709009917051768 -2.0583848204236928,-5.227698745962245 30.863211079445193 -47.01181145185882,28.066551837271533 112.41907411607184 41.03209063652766,13.15101338087803 6.086626645999113 -4.529541825206103,5.934321390134157 -35.203416636745516 34.83795766434554,26.577394656590425 -120.35518066707239 -44.656631077185814
-20.2083192889382 -9.19672982745691 1.9932774099189696,-12.712428882329805 -4.383982192836741 3.714922762486048,-13.891298481423695 1.0829333723215067 7.04345390964254,31.601603520787958 4.85153069209928 3.8663021456619515,13.162785541614351 -4.889883174557908 -1.1526902612707914,-4.918261366506328 33.26054921162356 -46.541625860477204,28.19450145437701 111.91806108246503 40.80761247814661,13.57348936249508 5.910076762441414 -3.650087276681705,5.444403436586243 -35.566178722849706 34.89787300476125,26.790269881130804 -119.34841581905847 -44.22072080831224
-19.93511398792527 -7.176601002366178 2.047395291319865,-12.356850356396158 -2.680376908917341 3.446270373646804,-14.014465122415372 1.3884211268018387 6.050982601680328,31.451520257222008 3.81008995493131 4.654234931332919,13.960735827528595 -5.075111204878375 -0.08528346275909857,-4.559469755246558 36.17772828975202 -45.546405280556485,28.26149636148351 111.78002574564887 40.76043320803064,14.159676897809637 5.718989764921691 -2.6616392802247137,4.4018266142742 -36.4698185672988 34.93440949802717,26.95079271929393 -118.51539845918853 -43.867202970642886
-19.526326697554705 -5.264154572346516 1.9134155065590885,-11.874062363918215 -1.1422249067525883 3.2570183100473344,-13.989918983878887 1.6279261347544445 4.97454667738942,31.06682386501224 2.8738460695348125 5.500525504484083,14.845363898068172 -5.179775938133788 0.9226762699481073,-4.2759516145485685 39.32176272706524 -44.42041912934785,28.199483676856936 112.25747642403783 40.993788730701,14.85887500650582 5.587394421247053 -1.8045654804494056,3.3206360959324313 -37.83946760498574 34.98456475465949,27.03260993317429 -118.0286167943456 -43.66498479131419
-19.13340174340961 -4.05971160471347 1.5515718325112655,-11.43565567098247 -0.23827795985476619 3.1968947597318786,-13.741212253942212 1.788505759150739 4.1558541503255135,30.471931798120913 2.3235024373329876 6.070438916468469,15.715569892395433 -5.118959304444761 1.6500296316875467,-4.192334646777989 42.3996669367979 -43.557936824102455,27.940410518763194 113.60292143604624 41.61091495067893,15.620382708267734 5.589319499224607 -1.3192335219700562,2.714877054295335 -39.60025727080348 35.08533638517437,27.00936828486637 -118.0605590314126 -43.682973497462555
-18.889915197477237 -4.0044701170315085 0.9432077428790224,-11.19096828669781 -0.31219887531306223 3.294950646433475,-13.224254169957552 1.8563950510910707 3.8600970461963238,29.70668840700097 2.371720026133248 6.118526058185178,16.47208804279722 -4.836045394024251 1.926064757301871,-4.391508411266267 45.10886997896085 -43.25398671856946,27.44760184921993 115.93724478495146 42.658240098460354,16.381803894722083 5.775817981865888 -1.381680072013036,2.973843731040841 -41.62711794018749 35.259701960972706,26.86612950240875 -118.71755936662937 -43.96316950335849
-18.83203812408447 -4.672202455027841 0.18474176166067258,-11.168032019080746 -1.025754399848813 3.4675191580514135,-12.571341583805056 1.8133464023229469 3.9353566561607045,28.895034507536895 2.860240859033575 5.886060702447413,17.025650752555777 -4.428701540593585 1.8550733377374244,-4.728835802796246 47.09454838652381 -43.26260548542623,26.855432313114218 118.66380834152717 43.872517377045156,17.016988938892812 6.072695217767014 -1.817255072230107,3.8067770358295676 -43.5213195239518 35.45421177363762,26.650181587900025 -119.74532739020454 -44.40089642023407
-18.962913553372182 -5.342554764643714 -0.588388005027315,-11.353746238987863 -1.8094943547490299 3.5927132172038876,-11.974580758631806 1.639592227029003 4.088280602504262,28.189426296925838 3.5050359758903205 5.779354337983633,17.290380599045672 -4.046909351681158 1.6345951121716895,-4.982530105104652 47.9841609355273 -43.15439064811164,26.3562759837919 120.94267698298613 44.88549555854854,17.3781707072458 6.363287659411354 -2.3323978103029095,4.692325784161055 -44.79133929936961 35.58950119650323,26.429912192792408 -120.76729230756575 -44.841742772990514
-19.27519072113336 -5.408317173822196 -1.2432450379743785,-11.72001697789937 -2.1698285941270465 3.5688911781556634,-11.596546694358134 1.3373137215698816 4.070815923278245,27.718344148439456 4.043244117281258 6.116624323555157,17.21263974255694 -3.8204429221716985 1.4466530348535485,-4.966183370235368 47.548182165763016 -42.59580540746546,26.107726980796095 122.08499103841898 45.39561062686645,17.356775133997377 6.546084712000416 -2.663602914103699,5.179600873168251 -45.05204566236859 35.60120160691321,26.263178047904677 -121.46650621117759 -45.15535870288521
-19.694673980575097 -4.986354046188832 -1.663069624520116,-12.143212295334195 -2.0988149162470395 3.4238993914825926,-11.410914101514923 1.0488687029256432 3.9249290948742956,27.457007548385334 4.34783331131521 6.652652279668067,16.944660503952427 -3.7497578220824463 1.3736962423270676,-4.719720562416033 46.470501802067275 -41.866474071127385,26.04496940799145 122.3679399702093 45.52771635594313,17.094633460809053 6.616564222458803 -2.7399169469383975,5.2688856564202755 -44.59821794948325 35.52084514929739,26.140474757831235 -121.90741405976105 -45.36531255848145
-20.12087798578863 -4.478303883002879 -1.7374642948626196,-12.46212572842696 -1.7795135990551016 3.2365110750155752,-11.317064317994369 0.9717456283976087 3.8066495327866336,27.320359377762788 4.34519244589114 6.9206238653005325,16.719642727247283 -3.784449406297467 1.459012074361346,-4.372082048866089 45.79425038852389 -41.48717360321144,26.01571481837049 122.44865468222284 45.57437412820886,16.832059863788103 6.608349021320559 -2.566116015660545,5.137906960646966 -43.9920404707126 35.41768117565844,26.025805192464375 -122.30446038284836 -45.555707813874726
-20.45441405020968 -4.2420680538225755 -1.3941362129725232,-12.53633321686719 -1.389299604818764 3.0734145606295584,-11.243837435509436 1.2631731238182593 3.8597143740309474,27.263771749608427 3.996928254836974 6.5422825156548745,16.733524823901494 -3.873740664308708 1.7288545343786414,-4.041687928511182 46.378658177760805 -41.892482300834004,25.8939675842143 122.87556128429728 45.779196694872645,16.77433604475386 6.556114864938486 -2.1643590969963986,4.967500560610251 -43.68502444126076 35.3598886319432,25.89247499551672 -122.82645360879377 -45.79199742184441
-20.604605984249325 -4.3018067065498204 -0.8469790035165476,-12.382235807395352 -1.0593967302630967 2.9095821699150894,-11.34274902120614 1.776894516443807 4.133451282904409,27.54746740054129 3.528297793124841 5.808738821849041,16.900823953499827 -3.964971286867763 2.082201040914556,-3.766313268487876 47.69475314443148 -42.864984940534384,25.752857130105593 123.37349610910907 46.015003651401514,16.86175489700564 6.501762853843861 -1.6860504868345192,4.958670951889349 -43.29232583063857 35.40692575161692,25.784162963459682 -123.2966162485834 -45.99841437238566
-20.484739045001344 -4.52993267036176 -0.44001114613266035,-12.087540660469607 -0.9000445029469781 2.6782842777396914,-11.86656196845237 2.2286627465390954 4.634261298469976,28.570280247755058 3.2844361131645248 5.3154549640809865,17.008099092360773 -4.00462465595865 2.3601581855294125,-3.547065003414589 48.5823677144803 -43.89081425111729,25.756052169204466 123.29282109928764 45.986020294643694,16.914122725505212 6.4904793483285275 -1.34136046311168,5.321593056452356 -42.048821943931024 35.61428558599003,25.776545550076378 -123.38103788221758 -46.034980975744375
-20.027344906290313 -4.804371537157574 -0.47250377620227985,-11.734218460608599 -1.0014596416302006 2.3257684495781494,-13.01617656919296 2.3669677360216976 5.349710598911839,30.642661766372182 3.558444123676249 5.58097756029185,16.871124614601925 -3.9479542289540794 2.423281973809444,-3.387277562135967 48.03587783124433 -44.504281769014476,26.04215570909263 122.0848911228848 45.44244412072908,16.77584060667258 6.559800314696282 -1.3117228289322045,6.212646054075945 -39.33500911529956 36.02526153099864,25.933525691309633 -122.79432019828806 -45.7819846928687
-19.33592427639836 -5.0588588212391326 -0.8399969885822967,-11.350039157601723 -1.2767473795094366 1.915545756898716,-14.526782411962872 2.2375817287924424 6.101799137551459,33.28293334275803 4.175353171766426 6.426276493560228,16.571193201927944 -3.828238521097493 2.3076686325710716,-3.311733420027785 46.452153962172325 -44.68138453971513,26.52282697639739 120.11587952855231 44.550816456031875,16.51540536676065 6.679084623279458 -1.5204071451472099,7.309427268866398 -35.84329361658875 36.574840521063386,26.212880440419255 -121.68948180474455 -45.302790650487665
-18.603570348700796 -5.25637597408506 -1.2264646881197698,-10.934370022743519 -1.5462016510541463 1.5725765794962967,-15.88952384409089 2.04206109706085 6.6257656037187775,35.59431836969111 4.714913256638297 7.306772216228294,16.328736445553844 -3.7196433279305237 2.141402301551417,-3.356454419847247 44.96301235096662 -44.629574986061755,26.990800403109102 118.23134975652295 43.69585426629368,16.318746179874353 6.781964467507171 -1.7553977959730773,8.038639139764822 -32.95355867655753 37.14125392039537,26.516773963849346 -120.44928385582172 -44.756701716889296
-18.011556886082207 -5.365744679334441 -1.3396413126780766,-10.48871031699284 -1.6462615246919974 1.412385554633602,-16.633088886840834 1.9663393106397344 6.683611578750459,36.749094674500306 4.793996426870704 7.71954104606155,16.342823325793383 -3.6907269484340897 2.0428913460495903,-3.5533625174434973 44.60699611133448 -44.54643661098584,27.257088044553157 117.1977723135171 43.22624896678492,16.35331898078944 6.807184171186703 -1.8239393101680463,7.885852094335537 -31.927010645210675 37.61195027370616,26.757027082459487 -119.4161740948423 -44.28602944727201
-17.607435875313953 -5.4150005519876885 -1.1590173258774275,-10.039822528875268 -1.593267993233586 1.4446841431278863,-16.707140965116317 2.016109916009631 6.3292911814777435,36.690691907844645 4.446093613739111 7.637589278983875,16.57295918938768 -3.7467570230834584 2.019335082247322,-3.889846081446664 45.36477569922669 -44.50327948544772,27.33765876980153 116.89799438114784 43.088232541714284,16.579687409477536 6.751043095240659 -1.7501807898617439,6.984423500248207 -32.7019732146501 37.9774351216711,26.953072168559146 -118.48358297360775 -43.84391685850883
-17.358218393783133 -5.467843883500179 -0.8277624220609494,-9.629685242464552 -1.5119173601272888 1.6154523051877048,-16.314897882345377 2.08850757152919 5.792602163312371,35.82700609923073 3.9556261852388834 7.320576846237786,16.83435969844936 -3.854881094492959 2.010951380162401,-4.32647080644667 46.57986262502098 -44.49535892449856,27.37192737157055 116.68265493810209 42.98563480632323,16.833803437919812 6.644506121523624 -1.688913421791994,5.857874173189916 -34.4199950462155 38.29028545222418,27.189156260146156 -117.27449687684586 -43.26957035560257
-17.232490113435432 -5.577843240383675 -0.489093651564304,-9.299609390220818 -1.5178939271464815 1.8689167640761877,-15.661449175726975 2.0876100141684053 5.2924053391888926,34.56634306667908 3.591781144648955 7.018689135451915,16.95019717188746 -3.9811412992926742 1.9647035873365084,-4.814822375047347 47.61074244603111 -44.51637686158966,27.49122933414837 115.94442912313993 42.641760751537454,16.95768532446162 6.519676482949905 -1.7809842870338288,5.010091650807036 -36.22113159255606 38.60498850770778,27.54160878969625 -115.4498307490772 -42.419039327208786
-17.233098151235453 -5.662849443560883 -0.25809203173594086,-9.079703318793163 -1.5927071484853497 2.138093632769251,-14.931277270786913 2.025270498614215 4.876940816103703,33.24068701879039 3.3850308170408545 6.810718550719724,16.87064427155629 -4.084149428181106 1.9255050228557422,-5.196456820909081 48.119108716995086 -44.5535421059932,27.701992694385876 114.7065498039537 42.07131829055655,16.892742655015976 6.417115308112024 -1.9661336345993665,4.6255944285210875 -37.366268267939546 38.9895398824017,27.974213159442513 -113.20260932424712 -41.38358620147155
-17.38655518649653 -5.546968383806444 -0.23040405103804384,-8.992337362238642 -1.6251872810868782 2.3482554688681576,-14.294630549920004 1.9877865486960495 4.476595090399329,32.129304194876866 3.2009590618198196 6.657070448076698,16.63359717863701 -4.117384875519718 2.00592643115305,-5.236928902327348 47.97609121939842 -44.58957844204981,27.924367604954913 113.42779783053163 41.490297390558645,16.64903803518546 6.3832258860076205 -2.0451902849163015,4.668301783686177 -37.199751910654165 39.52126585540722,28.373013344855874 -111.0934039295943 -40.416943169505515
-17.711344112912396 -5.071965849987444 -0.4894220322179047,-9.055932346917027 -1.5108256913399383 2.428366447940112,-13.916402900007864 2.056554847021176 4.029546944773915,31.501401675850342 2.9133978498265063 6.519729758643734,16.283360562777695 -4.039002875598223 2.307542629567192,-4.726088859786233 47.08588148396215 -44.60739851284767,28.079407298884515 112.5600468444501 41.110823047143384,16.245323296408845 6.459833577446325 -1.8323858585359183,5.088746916914818 -35.15133444474196 40.25971500149401,28.62634228473039 -109.67391729163762 -39.76874993741017
-18.093438493375476 -4.383968766316667 -0.9335476877834865,-9.229744062093728 -1.277694471423271 2.367337799465884,-13.882437044116589 2.2134865744782686 3.6319972602651256,31.485735593416393 2.575895789707272 6.422024817824562,15.936925258715078 -3.881637913362898 2.7395374520211644,-3.8560803272619193 45.80307757166853 -44.594250053571265,28.129003660005836 112.3124037054046 41.02233985498632,15.814503941394157 6.6155905951039236 -1.3939627745523286,5.697224679453082 -31.956180139888858 40.98442170613415,28.68232637484246 -109.24360347681727 -39.574457977526805
-18.314018012067752 -3.8698054756066926 -1.3148844774724937,-9.426238130004622 -1.0587160543463034 2.2014893713146666,-14.216058763880989 2.3618156479663637 3.5051173521194348,32.09998763911192 2.3841288665774942 6.435796871240068,15.768765337439275 -3.7368257565040266 3.058943957400983,-3.137197251834424 44.838477722137526 -44.54080917016641,28.067345472247354 112.70198522573683 41.21727165575759,15.579762934134592 6.761280788998055 -0.9954640514703667,6.193123615155804 -29.381827530968348 41.25347351167558,28.536379158528486 -109.90242784138746 -39.87921396746067
-18.1663501933968 -3.902699638831292 -1.3936979805769079,-9.559335505913273 -0.9848429938535157 1.9704364556729783,-14.925056702113501 2.4066176149594978 3.8576857070551656,33.33647166206076 2.526815331383271 6.627433194744713,15.942530363972708 -3.6934003319314357 3.031340165431601,-3.0616634213880545 44.87157126632671 -44.44114700727761,27.8922671865174 113.72530865585705 41.679350156676335,15.751932153799812 6.810115286437347 -0.8960095789043372,6.288630428985653 -29.13434599118009 40.65374111326981,28.190288323232974 -111.71453721242794 -40.711810693175195
-17.732582559065698 -4.465966302392482 -1.1651763163321684,-9.59577038603861 -1.093633635416015 1.7524569430982857,-15.749975698972039 2.330072596388904 4.593060266828719,34.75591653381153 2.9832249261308514 6.932330622455907,16.38236768903319 -3.756904312107215 2.6677128612229,-3.604635434981239 45.788881115839594 -44.35312999609007,27.655007800945167 115.08214546147578 42.2755409875986,16.255536888461606 6.752745843020128 -1.1254312100443638,6.001763289720646 -31.187219545933473 39.44514620561997,27.74405986429275 -114.15720417440842 -41.83267803705681
-17.35615345512672 -5.190249700326912 -0.8369941198097225,-9.55004633587047 -1.3381716294839576 1.6607988927107997,-16.189639623444666 2.184101497415741 5.33834728836748,35.52868420669694 3.54318203810494 7.167405647782929,16.79579585000782 -3.8575437565764146 2.201020095497712,-4.273584647705739 46.75969516658457 -44.39232715421218,27.455110517128354 116.20386171010284 42.767195319450025,16.756139237653496 6.649868958852383 -1.506170668574994,5.627163725458813 -33.94681557006419 38.49638247231148,27.386537851247205 -116.17687586151997 -42.75951268792778
-17.373619462504518 -5.7060325134845264 -0.6175420581039952,-9.435687057061537 -1.6694731543014816 1.805131144580244,-15.757235304644423 2.02224126832232 5.721282516227633,34.849349044818 3.993724515623841 7.152587157875353,16.891382512590894 -3.92515287087182 1.864751708778227,-4.574605293977736 46.94970843223746 -44.66970539225517,27.38948580349104 116.5371212065654 42.92239361421329,16.920023842932206 6.562805031021623 -1.8584777648657538,5.456115905791865 -35.80846829401598 38.660373141643674,27.301908339064266 -116.74380148413364 -43.02089583056367
-17.723161083795098 -5.950478635898432 -0.5455580241868851,-9.20018736864353 -2.0624175545803363 2.1768229502963665,-14.529974887389976 1.876107597830496 5.6283112357367875,32.84821825029688 4.220632569593003 6.885802256104806,16.594147967497292 -3.9468315545972215 1.7098866414460991,-4.392060997086516 46.06852062490043 -45.132903789539334,27.448137909432834 116.13896825584177 42.76674610224117,16.65923209140491 6.506431286889322 -2.131686628906243,5.454181206798291 -36.278102230374365 39.86831174656157,27.482238856707735 -115.8776470959585 -42.625290541045274
-17.93103316685236 -6.177864023318881 -0.4843569028204705,-8.722767431140431 -2.5165589760711082 2.6449203646224753,-13.168279474321778 1.7546493266451706 5.213387507893538,30.623158030261113 4.211787201030938 6.549030341522458,16.05292712216366 -3.96889312354201 1.5986853687748845,-4.001450476419969 44.38813545431682 -45.56067848410905,27.510528768528477 115.69758793878594 42.592151890709765,16.139920799857432 6.447602157925299 -2.4086061291782057,5.2501197198376675 -36.01000559629479 41.098312232884844,27.720944067376056 -114.68318838405061 -42.077363540773085
-17.520794378565093 -6.648767043447144 -0.2947217397388251,-7.88666054679909 -3.03206575449153 3.0748416156818577,-12.343860906516566 1.6653471898710743 4.643904353794317,29.28970350513469 3.9644534477639852 6.331221119733544,15.42616435758418 -4.03829044650861 1.3891498061728789,-3.6897966274635556 42.2111771342662 -45.72826450607491,27.4533368448782 115.91587564071787 42.69681095573615,15.538854104581835 6.352524164371527 -2.775200618056838,4.471769843826023 -35.69853553691039 41.31312994505547,27.807223915546654 -114.2885626223822 -41.89253624314498
-16.533791317958872 -7.359339169422859 -0.014017271158091607,-6.802504920810871 -3.5924607416917635 3.396015005956352,-12.2325871441598 1.6022785124836751 4.122036487356702,29.107035566150774 3.6242394076473876 6.373002524109055,14.84952019956486 -4.135544742137345 1.0805233808402999,-3.5370340863027794 39.98852721098706 -45.54649434010569,27.226798588302962 117.03922819984817 43.1888919564254,14.997305180664295 6.237178396268323 -3.222095268685749,3.21104899884112 -35.62794883952019 40.38400659394664,27.687463269473437 -114.9740824330941 -42.200812555532224
-15.62352722930293 -7.993112227150901 0.11162742797165742,-5.849789022845096 -4.161587606346015 3.613544978581426,-12.424112935710744 1.5436743896212703 3.8910794039452514,29.32190723678921 3.5121322948431595 6.757873898983417,14.431718879162368 -4.162638171710818 0.8390328053368156,-3.3782666494544062 38.34634499529674 -45.086511049263464,26.868114641828967 118.7721631514527 43.95189834380572,14.614587886644909 6.176392107838437 -3.6272001666285214,2.1085336970139728 -35.597659668249406 39.25624516495567,27.49387943893678 -116.01771669408772 -42.676535152465604
-15.465688286335368 -8.222867454672452 -0.16890915343050145,-5.41698836347513 -4.702713524984804 3.737551896466137,-12.4793707304549 1.466850025553292 4.190087461560951,29.13323458041783 3.9516291876673697 7.561027667634879,14.275741977661514 -4.019812533289189 0.8360011667955852,-3.0383622490386464 37.90253845538642 -44.42967866274293,26.42069986833016 120.78523649540703 44.85480716550406,14.483715682649793 6.246218842006236 -3.865167238851841,1.8238995308839503 -35.382814258306155 38.918545999081175,27.36689239142629 -116.65316144060122 -42.9738109951194
-16.174284632167733 -8.032877640248929 -0.8054615952987793,-5.61367713530185 -5.202990094440924 3.805703938549178,-12.178119804423153 1.3490860289985735 4.975913208795481,28.193290050402506 4.9412806764363095 8.64403973882919,14.305964149160696 -3.726536104547719 1.0488165057552412,-2.508653835664285 38.49128869236498 -43.69845746286067,25.97882604025073 122.63267624631227 45.70036972997352,14.53230963188203 6.430066340023928 -3.9493168240804866,2.4800134265373326 -34.91768750214628 39.56505715566065,27.339057978108272 -116.69466010743143 -43.0059920562286
-17.10350472782043 -7.828793770142217 -1.3402908402152858,-6.172138606969677 -5.681879174795517 3.892935299714805,-11.596143046045887 1.1676162086559785 5.823653445690338,26.767635605183308 6.040057640674321 9.579510792678866,14.205144937894048 -3.4635638468570473 1.192516245521402,-2.005664190839979 38.88657015087724 -43.070901744267786,25.705562921169474 123.7113447477665 46.20174877540047,14.464251983027392 6.58601335449753 -4.080556517980547,3.4735605937951335 -34.351819671956974 40.31507567984889,27.2970160953402 -116.7418065406683 -43.03713065893834
-17.560648061598418 -8.041969721703806 -1.2929834539720513,-6.799441346195821 -6.161477085719828 4.0758066222613625,-10.831163777825592 0.9001227182110834 6.28617934038521,25.165530342162537 6.7806977718644665 9.925296904943284,13.643598318960093 -3.4206683778491307 0.9669758641483382,-1.7594801874606367 37.802345923826664 -42.72641851172489,25.76615722581142 123.41735070674679 46.070642063308334,13.972011792769717 6.56519805514579 -4.4708114925946685,4.155442235492965 -33.849614510748665 40.22240560991239,27.11868140714862 -117.4416993435051 -43.35255640344177
-17.275738711026936 -8.851292848394934 -0.5585100800325559,-7.296645174914361 -6.684339059183974 4.369750294227,-10.036573655108352 0.551387730753586 6.208713041332492,23.70607589363614 6.99410728984475 9.585316698487224,12.573937278203175 -3.641765439189114 0.27969932929497554,-1.8549559055331126 34.86729360292752 -42.68880376517477,26.163463686289354 121.77180138233385 45.31240440199524,13.016165028561339 6.336096899398043 -5.194131718386162,4.22231025189192 -33.550473742609874 38.989036154586636,26.779907310894036 -118.94693332656571 -44.020610840054125
-16.634023866922618 -10.044327391646993 0.3863133177490012,-7.610496359095506 -7.324731641221329 4.695449909546573,-9.45205024914786 0.16819844944957554 5.889620716469233,22.723629820985252 6.973353633403282 8.999885744188804,11.386338268123646 -3.9446926147935915 -0.639985232492558,-2.15183459608779 31.127898253050706 -42.74065644709271,26.64862946166705 119.76455178936868 44.38755902226005,11.972853369545737 6.04906069063503 -6.110860603370373,3.906730124262542 -33.55504596230024 37.32164353683384,26.40835224060461 -120.64362242199171 -44.7733040417798
-16.074948714598722 -11.374709827214826 1.0177541359422608,-7.700951327263272 -8.157970240544612 4.965836187655247,-9.322159726099999 -0.19903302238992004 5.664395611881077,22.549904922255724 7.04917230305478 8.652542452588403,10.506212767119179 -4.129074275629706 -1.535655922625333,-2.490872646712576 27.74842056918738 -42.64562514732675,26.952814925479657 118.46231521753344 43.79274966738269,11.251459378402437 5.86904618621953 -7.062900614495169,3.4865803986220216 -33.958526094446135 36.00926537055838,26.14390734026468 -121.85588877829557 -45.315421293328384
-15.843268329755695 -12.57219875204593 1.0939226656876526,-7.588928016958985 -9.108404764922112 5.129586143221163,-9.66363882311412 -0.49885479173398056 5.7019149570157435,23.160813801871825 7.364580829319338 8.764380236305279,10.14274242985595 -4.105522415120675 -2.203942698210354,-2.746769916230982 25.516712527792517 -42.3290047973101,26.956930896958355 118.34962163843483 43.7518414838722,11.035976905794124 5.867575552539662 -7.886976873382164,3.1689744879597983 -34.66548456229035 35.47559042987886,26.05221357853857 -122.26230189160161 -45.50522733118519
-15.837300471567747 -13.324063762106704 0.8744487476871017,-7.4038210707674255 -9.831752662367292 5.198984801719462,-10.087817879615057 -0.6779647330923865 5.8745745328841235,23.899147718017353 7.728565856823475 9.089490147148757,10.120343192621057 -3.9821436717324437 -2.53587755126329,-2.854626276142247 24.550833342729934 -42.003728590719845,26.808358549985236 118.87504687664338 44.0033093472115,11.10933648837279 5.94991069226311 -8.410601780857236,3.035104242847404 -35.241288935603585 35.49419500038998,26.066788974750153 -122.17214531023114 -45.47409274975961
-15.919980683559729 -13.315172578709602 0.6698055793585649,-7.285845923378198 -9.957788321352952 5.192860270354538,-10.16619242565938 -0.6832182395440145 6.024531189821234,24.04568467935091 7.916313351015844 9.334540560013288,10.224360959602329 -3.8870626744025465 -2.433247312318673,-2.7564360781728348 24.897724803395445 -41.9113786926669,26.681489636025614 119.38197877380689 44.23637572112036,11.213977018360314 6.004548087514456 -8.461313221603632,3.1523876790619285 -35.218917523888194 35.772025677666655,26.107761239415918 -121.9587050913207 -45.381120758065556
