-24.8 1.2 -13.1,-15.0 3.7 -8.0,-17.0 6.3 0.3,33.3 1.0 14.3,17.7 1.6 8.5,1.9 43.3 -42.4,27.4 116.3 42.8,16.3 12.4 6.3,3.6 -36.9 39.4,28.4 -110.5 -40.1
-24.60532043552362 1.394698378289953 -13.78142251231862,-14.513283858235718 3.7000078576521833 -8.876127329194656,-17.681431918928244 6.4946985054264745 0.5920460951046864,33.78673816748023 1.0973428736291129 14.299993662117123,17.1159203216316 1.7946921502059132 8.6946952832138,2.386731931835748 44.17615430889757 -43.957553088107396,27.78939378704631 114.1583294284019 41.826512370890335,15.715920324276908 12.594692157863904 6.592047718108308,4.476119431731044 -31.05916581770807 39.399973125822065,28.78939377553667 -108.35833740865147 -39.126517150176504
-24.55363442476907 1.4463810800823198 -13.962315804819884,-14.384071861852185 3.7000064756530553 -9.108702191073647,-17.86232355700068 6.546381184858147 0.6695704067457918,33.915946289994125 1.123185335294418 14.299994776820144,16.960869497774347 1.8463759473899453 8.746378529366295,2.515941151071035 44.408724425602685 -44.37102067147864,27.892759712910827 113.58981767031553 41.56809811227069,15.560869499954396 12.646375953701053 6.669571744296517,4.708695682611173 -29.508664156780117 39.39997785243628,28.89275970342549 -107.78982424700362 -38.86810205097889
-24.596177105742186 1.4038237522244366 -13.813382138106418,-14.490441978589374 3.7000003583326313 -8.917206183949792,-17.713382567076177 6.5038237580222455 0.6057355611939564,33.80955902584968 1.1019115881056534 14.299999710973434,17.088529448189764 1.8038234682050263 8.703823611079631,2.4095587414854935 44.21720741430559 -44.03058847011069,27.807647369029187 114.0579392540515 41.78088143325338,15.688529448310394 12.603823468554255 6.605735635207816,4.517205823801639 -30.785292776408316 39.39999877445646,28.807647368504316 -108.25793961797497 -39.08088165120324
-24.68418361644883 1.3158020415636398 -13.50532377278086,-14.710472176187267 3.6999940100209248 -8.521120906135915,-17.405316602013624 6.4158019446460015 0.4737041847198208,33.58951103335489 1.057905835172556 14.300004831441372,17.35258209263938 1.7158067893040863 8.615804400975964,2.189515786858756 43.821100339196555 -43.32644220400055,27.631606346837057 115.02616870792052 42.22098654295067,15.952582090622826 12.515806783466312 6.4737029474854015,4.1211269264637 -33.42584943578483 39.40002048649646,28.631606355610995 -109.22616262448402 -39.5209828996456
-24.76888909489484 1.231091594947266 -13.208842969445843,-14.922240422385844 3.6999919350479487 -8.139927955944833,-17.108833314671898 6.331091464456642 0.3466389035940254,33.377736970817764 1.015552279604865 14.300006505088335,17.606709350884724 1.6310979873400555 8.531094771677438,1.977743370970455 43.439900264465834 -42.64876759314521,27.462186237770098 115.95798056023317 42.6445376504749,16.206709348169625 12.431097979480034 6.34663723777247,3.739936061758612 -35.967131894101826 39.400027583170086,28.462186249583386 -110.15797236944935 -39.94453274510204
-24.80152867908605 1.1984680592226513 -13.094641988704,-15.003824684925078 3.6999986377437173 -7.993108931689367,-16.994640357909866 6.2984680371813955 0.2977023440872101,33.29617149654627 0.999235124512317 14.30000109877869,17.70459314268732 1.5984691389658643 8.498468595806205,1.8961725776002218 43.29310425430368 -42.38775035754162,27.39693663326394 116.31684933930008 42.80765896493833,16.30459314222871 12.398469137638223 6.297702062712211,3.5931103008476306 -36.945937910551464 39.400004659091145,28.39693663525933 -110.51684795578946 -40.10765813636861
-24.74822995122054 1.2518068418936026 -13.28128129072344,-14.870541181190873 3.700015366767222 -8.233100724196726,-17.18129968669937 6.351807090527325 0.3777073834871834,33.429501893259605 1.025891070048605 14.29998760535989,17.54460970172737 1.6517946619808936 8.55180078902772,2.029489698561373 43.53315348688013 -42.81438836410118,27.50360787643782 115.73014740428057 42.54097412615011,16.144609706900667 12.451794676957185 6.377710557503832,3.833085279572541 -35.346023878925514 39.39994744368581,28.503607853929065 -109.93016301080462 -39.84098347273053
-24.65630350519048 1.3437578451501746 -13.603081331829523,-14.640702575455295 3.7000256231750326 -8.646860172693728,-17.503112006030825 6.443758259732194 0.5156319665741497,33.659369248641994 1.0718583281831946 14.299979332671052,17.26877686696395 1.7437375358664642 8.643747752354487,2.2593489147042978 43.94694815134614 -43.54995209140688,27.687506006888892 114.71870149607813 42.08122467339909,15.8687768755901 12.543737560838546 6.515637259059091,4.246834419696816 -32.58764671577168 39.399912365456046,28.68750596935687 -108.91872751903347 -39.381240258268875
-24.60058742397672 1.3994290733815133 -13.797982630709448,-14.501453450886968 3.7000068901768595 -8.897417349924577,-17.69799087912799 6.4994291848643195 0.5991423190230438,33.79856586290738 1.0997089987743096 14.299994442470481,17.10172633327144 1.7994236121318257 8.699426359387356,2.398560395028134 44.19744100774507 -43.995402827490466,27.798855542853975 114.10629035542348 41.80285837063087,15.701726335591045 12.599423618846922 6.599143742193952,4.497410424838081 -30.917230538819126 39.399976434711704,28.798855532761458 -108.3062973531029 -39.10286256146628
-24.640132714616247 1.3597417302680466 -13.65924161760393,-14.600446775807368 3.699947561485852 -8.71894037958074,-17.5591788420292 6.45974088181484 0.5396224210864444,33.699406234253345 1.0799130121087548 14.300042296242372,17.22067165930436 1.7597832937612454 8.659762385444806,2.2994478482016047 44.01876032891164 -43.678160330843674,27.71950327789707 114.54276362321696 42.00126290367698,15.820671641650716 12.55978324265521 6.539611589874227,4.318993083778836 -32.10696617490121 39.40017934644192,28.719503354707346 -108.7427103665417 -39.301231008823464
