-16.7 -2.5 -9.0,-10.2 0.8 -4.0,-10.3 4.3 -0.4,21.1 0.9 15.8,16.7 -0.4 5.0,-4.3 51.3 -40.0,27.4 116.4 42.9,15.9 10.5 3.2,-0.1 -41.4 38.9,27.5 -115.8 -42.6
-17.242297255496872 -1.51131657653966 -7.91373847397045,-10.69077146421197 2.649386773022434 -3.0631016633585615,-10.66513609433624 4.361821609317156 -1.0688342734901075,23.193520347158454 -0.30828805838492257 12.043440635486169,17.973936954815308 -0.9110673718080435 4.964917075952739,-2.4449889666314304 48.19585698811889 -43.50224432925749,26.81375087599644 118.89785045722026 43.965291691706355,17.07936693246605 10.132756754295212 3.6331393297517445,1.3893329788833637 -42.031989365856305 38.328944502655425,27.17862072348962 -117.26697738546166 -43.3002131487428
-18.153312007163482 -1.1408808262135521 -7.704844356981175,-11.359708900966856 3.2803698384636952 -2.821298873220199,-11.643634146309141 4.439087518932349 -1.3445064784733358,25.36250908107453 -0.7942487736846007 10.12894871420006,18.461628912733605 -0.9996721864234273 4.991003735881918,-0.8869712434997176 45.06085921899422 -45.52747486434536,26.54346994112489 120.07212784963237 44.47953299652192,17.53630289766284 10.102569452446264 3.8302279038624985,2.8650733604079437 -41.51592473745827 38.1232965295175,27.03360690988137 -117.9351550308231 -43.62088584206708
-19.242822227894454 -1.28103359123718 -8.071268009796459,-12.156609265679148 3.030350934565453 -3.0771078949200126,-12.931244077709518 4.498088013143742 -1.308724522259294,27.402619399641992 -0.7162801427846488 9.59835076191813,18.321216983705888 -0.8141675780031705 5.001314692847241,0.34604532071240146 41.95717350153401 -46.38208204487785,26.4979561895192 120.30626785326484 44.601402376968444,17.41878416154307 10.287012312713909 3.8068541123423687,4.234361182421271 -40.275343216610835 38.099683788674184,26.999924891455706 -118.09969757987965 -43.69991893723759
-20.32060589058443 -1.8241157138260466 -8.710959793180594,-13.031269513763345 2.2367317995693763 -3.6330449937931015,-14.223715810328192 4.505113376249493 -1.0431963121575925,29.109504500754596 -0.23278016257068312 9.993473304416849,17.710842277683145 -0.5029066807042946 4.9189046599084065,1.2260528773221897 38.94696664464629 -46.372456310469246,26.586008615313233 119.9837061441462 44.489578295567725,16.87478699005944 10.563659553358898 3.578606345201464,5.404336482770876 -38.73378190511897 38.0747339882134,27.012541000493062 -118.05576967642651 -43.67521329151907
-21.196440968128055 -2.662468036195655 -9.321870067897867,-13.933486600633938 1.2369141717171364 -4.291626435174566,-15.216799265955988 4.426453892547763 -0.6296297554778414,30.278817582306118 0.49785317007168123 10.85614286747267,16.788645904616388 -0.21424262868381935 4.6668283501251215,1.7250435776469109 36.09240545723906 -45.804988100733816,26.716426212640847 119.48787839830496 44.302739214841516,16.052287649164676 10.810085392641982 3.1610729924498915,6.282139299304295 -37.31477790478761 37.86507483622313,27.00642156927389 -118.09853596425904 -43.68466976217627
-21.68010543341996 -3.688431400561508 -9.601949194712565,-14.813057481705417 0.3682997892504014 -4.855368484399502,-15.606244366383716 4.228399846336711 -0.14973275952965093,30.70621184219032 1.3172218582568287 11.728185976862056,15.712768974456594 -0.09652855609876504 4.168140476557084,1.8150095730038283 33.455656748220335 -44.9860678552858,26.798007975635898 119.20222029176956 44.19956359731156,15.099262404811471 10.903864048823909 2.569842444097758,6.774909669869056 -36.44186831742171 37.28733404079128,26.91653293007864 -118.52316108717247 -43.86618920647391
-21.645083422281658 -4.793288905689077 -9.312264588029558,-15.61535689378917 -0.10256880746750284 -5.1448568312348675,-15.180495508986992 3.8965179244242547 0.31532596177472066,30.25871157418427 2.0669237489445687 12.200176969754182,14.631365346624154 -0.2646737242576606 3.378612369983183,1.5009080741831018 31.056498237642767 -44.219438243747845,26.76476347185035 119.40094703188572 44.29273447928918,14.153414478259284 10.752539282458937 1.8397672486837662,6.8238300886205545 -36.42073915072483 36.22961592513499,26.70194846979749 -119.51323934391382 -44.30634067529188
-21.31213975214222 -5.862557585501491 -8.55795293910716,-16.261652783707234 -0.2954230177797952 -5.079178813398891,-14.233301431936276 3.521456047441986 0.6873169933592234,29.192405515545666 2.5885340326965283 12.128428573287902,13.638145495279602 -0.6512751906756653 2.432363087358387,0.9673983458581201 28.683632487456865 -43.794408177293,26.68813238105955 119.76288152693385 44.44420055316467,13.296445759038468 10.42702747924432 1.1107144430950102,6.555658304713549 -36.91463608312345 34.969664471817126,26.45315608801116 -120.64416287985249 -44.8118687270203
-21.019794974964086 -6.779799319959002 -7.560817752453136,-16.665038981744864 -0.46097178717678855 -4.610821650957309,-13.229749179747698 3.2294930205766192 0.8890075759130203,27.89530615210009 2.723620217755824 11.459359935609287,12.808359262704737 -1.12711169526757 1.523985730439146,0.4600729221666823 26.04740922740611 -43.9953923765496,26.686154106746375 119.76496140557738 44.430891653658264,12.591069237204529 10.053641321000999 0.558159316756187,6.1600768184364325 -37.36896649430054 33.917342455834486,26.305203641965136 -121.28509500268049 -45.09463519147077
-21.05088494033744 -7.440650964588737 -6.535868356156297,-16.755561749666214 -0.8043888257446206 -3.7276828894553176,-12.580192269164531 3.1206940358553963 0.8541533393317627,26.727368271856225 2.358547467236244 10.197811136043208,12.223002808631714 -1.5726772949323526 0.8237348161467057,0.18442525799361484 22.963980294079057 -44.994123019774236,26.856358366694685 118.97078209087685 44.06658816979305,12.106701982326651 9.745693545585915 0.3250069030992314,5.80651658840929 -37.34258621351417 33.41998040048832,26.36566465683902 -120.93811784281802 -44.92763356703518
