-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-22.502108712771065 -3.4452105071164847 -8.223748590092036,-15.199462033205542 0.7001051837508802 -3.1343084484497576,-13.987701700355274 4.367830755432645 -0.6595070741474728,28.850697608794892 0.2551484889668394 9.340962642549792,16.616793361334132 -0.6368488157163713 4.297026047054247,1.9771484919136244 39.86060936635611 -48.17586584748578,26.0518756820187 122.189806364445 45.48318233745351,16.014146203877967 10.317905768625646 2.208631660456862,7.20418709009146 -38.50864492321577 34.86645029951491,26.540695574042868 -120.28268339459063 -44.651777541268395
-22.116596464056876 -3.900649977721868 -8.237589870340368,-14.908244039122486 0.32514946711659354 -3.394469479632295,-14.838743459445343 3.934004823119835 -0.10090373732527681,29.834289635259022 1.1351618169125925 10.140622895889026,16.12843490439126 -0.7656649666718465 3.7101249059303196,2.132988140410466 36.30934253743929 -48.12915624931535,25.68243991350828 123.69339784155314 46.119689469603294,15.613327885267383 10.2246354037965 1.6483418798574678,6.821555207283066 -38.05637665208182 34.151611756045476,26.064253249844825 -122.23341939069363 -45.52396697453509
-21.346150490800543 -3.4396229615242495 -7.8288950532063115,-14.054718815214738 0.4829336401224037 -2.8434350050130113,-14.912399177155459 3.5202743337827163 -0.37206090230433164,29.540475256625676 1.0235428010761218 10.304906844166783,16.467117218895098 -1.080767243966527 3.5029058058138816,2.478782121407989 34.64887929685342 -47.16487627623897,25.410929389076085 124.7581924912809 46.58153920567003,15.967562955611164 9.919526031958675 1.500493966358999,6.045039609973027 -37.90244610290197 33.808446396385825,25.620916743688785 -123.92279576220324 -46.266353396808654
-20.393458029945187 -2.535434008231735 -7.185035351151175,-12.867259158946226 0.881258492793572 -1.8441569360573085,-14.467942753370876 3.1483914181424346 -1.0208494818555534,28.45895365012815 0.4037942586962941 10.039740571532157,17.265032894569366 -1.4764744387005142 3.538977975890594,2.925793610823659 34.08189942820233 -45.78803099900692,25.25658080332946 125.33160837358477 46.84074935487443,16.746869326352233 9.501914779558293 1.546451228118637,5.167575556559542 -37.90610419198003 33.789916247330126,25.260929771857672 -125.22140028301379 -46.82872190509766
-19.46120631843392 -1.6613876675524253 -6.493381976636268,-11.574237867780862 1.2279248151553612 -0.759587184230589,-13.764648087976852 2.840108206920138 -1.5951403887498605,27.079423992999743 -0.24058099298802726 9.551050162134237,18.154374521137786 -1.84710534197391 3.6819506453461224,3.3852857845749402 33.81108271508987 -44.50362548836948,25.238630850875765 125.36106354842127 46.86933772643717,17.62126490893351 9.071138773041481 1.5675769732935652,4.482098305440818 -37.92660183561983 34.04898333567253,25.034536050634404 -125.9998207270196 -47.16085759641069
-18.75208259320985 -1.2907884891944221 -5.941306142122903,-10.404027739182562 1.2307333972330337 0.047322339001747704,-13.061789080858631 2.6171768308369696 -1.6428045357581709,25.891585462473735 -0.42608013673797607 9.044761700122109,18.767334688324073 -2.086978744886815 3.7954330433661267,3.7685218185792966 33.03910894111989 -43.816664815076905,25.376316226322338 124.79397607574691 46.63932212957896,18.260767614797913 8.726535138854352 1.3452345100409642,4.281543115015055 -37.82318995012517 34.538609688207174,24.991979296301885 -126.12864486811483 -47.2125455677563
-18.434222291646773 -1.7761941800618857 -5.682520402147018,-9.567504366948619 0.686557834761701 0.2775035491894574,-12.5915288657049 2.500892885879023 -0.8476855738287158,25.295793165057546 0.1925045458274597 8.705174095351842,18.81622065563446 -2.11591303275335 3.7627434910788513,3.9898402212725532 31.168398544664733 -44.09612729458,25.67751386246043 123.61322528609327 46.13785699567228,18.403435997490202 8.554159640243798 0.7424867884397972,4.741253458428186 -37.521231270640236 35.174516197148016,25.162453343740637 -125.54146670674591 -46.9596885122805
-18.48740901898933 -2.8119365558051257 -5.687254252003745,-9.180161037476285 -0.1221667035385931 -0.019862458285856227,-12.438241964693473 2.5100632654221187 0.3651462045099793,25.205361890376167 1.2064942731370492 8.598690288362606,18.450067871035795 -1.9927322388894357 3.574640258421582,3.9803440262805276 28.69021592433251 -44.96947013782539,26.088175351656552 121.99500013107411 45.43461085231836,18.158237789204907 8.567667496261302 0.06776508763086755,5.3955460469298675 -37.30648313864511 35.669411581213595,25.460403048684878 -124.51534536976504 -46.52056367798946
-18.82756014916632 -3.869156574020685 -5.86352185639362,-9.325148859022097 -0.7483611089988523 -0.6775104556862463,-12.636190822291518 2.6626509949869726 1.3192858018129954,25.368461076472197 1.951582861180293 8.75173712197005,17.9659973264001 -1.8233943520875002 3.258312291612458,3.6768207728246676 26.465030064878462 -45.812716004523836,26.53325467732825 120.18103687785661 44.62723105958849,17.759908393908315 8.756164390916904 -0.21948407541544496,5.561378604643746 -37.586905292236054 35.6671673076562,25.761364248769215 -123.44380194228646 -46.06172459537307
-19.371225940242223 -4.480303768802699 -6.131905049674833,-10.037628178727513 -0.8216636854089027 -1.5162134417606696,-13.184671358388822 2.9610885858496423 1.4357343704882388,25.54904245146302 1.8707855997391312 9.167253952718552,17.63789152040262 -1.6966442170092817 2.8559360499914606,3.050535579184102 25.276784250891062 -46.09307705282235,26.9480517417789 118.37527012807925 43.798892163439696,17.43055175226674 9.099950954989074 0.2433938472190343,4.721602261876064 -38.661927133459116 34.91300032058508,25.96449949738026 -122.64142775411702 -45.715512675126654
