-22.3 -1.6 -7.6,-14.7 1.9 -1.7,-12.1 4.8 -2.5,26.1 -2.1 7.7,18.3 -0.8 5.4,2.1 46.1 -46.8,26.5 120.3 44.7,17.5 10.1 3.4,6.9 -39.4 36.0,27.0 -118.2 -43.7
-21.3 -3.4 -7.8,-14.0 0.5 -2.8,-14.9 3.5 -0.4,29.5 1.0 10.3,16.5 -1.1 3.5,2.5 34.6 -47.1,25.4 124.8 46.6,16.0 9.9 1.5,6.0 -37.9 33.8,25.6 -124.0 -46.3
-18.7 -1.3 -5.9,-10.3 1.2 0.1,-13.0 2.6 -1.6,25.8 -0.4 9.0,18.8 -2.1 3.8,3.8 32.9 -43.8,25.4 124.7 46.6,18.3 8.7 1.3,4.3 -37.8 34.6,25.0 -126.1 -47.2
-18.9 -4.0 -5.9,-9.4 -0.8 -0.8,-12.7 2.7 1.4,25.4 2.0 8.8,17.9 -1.8 3.2,3.6 26.2 -45.9,26.6 119.9 44.5,17.7 8.8 -0.2,5.5 -37.7 35.6,25.8 -123.3 -46.0
-20.9 -4.1 -7.1,-12.1 0.1 -2.7,-14.4 3.6 -0.7,25.4 -0.2 10.2,18.0 -1.4 2.4,1.6 27.5 -45.3,27.8 114.1 41.8,17.6 10.0 2.3,2.6 -41.5 32.9,26.4 -120.6 -44.8
-22.3 -1.8 -8.7,-12.2 0.5 -1.0,-13.9 3.5 -4.8,24.3 -2.8 9.8,20.4 -0.7 3.7,1.5 37.8 -44.1,28.6 109.5 39.7,19.8 10.5 2.8,5.5 -40.3 33.2,27.2 -117.1 -43.2
-21.5 -1.8 -8.2,-11.2 0.4 -0.7,-14.8 4.2 -6.1,25.8 -4.3 8.6,21.0 -0.8 4.0,1.0 39.1 -43.8,27.8 114.3 41.9,20.3 10.6 3.6,2.9 -38.9 29.2,25.7 -123.6 -46.1
-20.8 -2.6 -8.9,-10.5 0.4 -2.5,-15.1 4.7 -3.5,27.2 -2.5 9.0,21.0 -0.2 4.5,1.9 36.5 -45.9,27.7 114.8 42.1,20.2 11.1 3.8,4.5 -40.2 34.2,26.0 -122.3 -45.5
-19.0 -1.3 -8.9,-11.9 3.2 -3.6,-15.3 4.2 -0.4,32.5 1.0 10.5,17.5 -0.6 5.0,-1.6 43.8 -43.6,26.9 118.5 43.8,16.7 10.5 3.5,4.1 -39.1 38.5,27.6 -115.3 -42.4
-19.2 -0.4 -8.8,-13.6 4.9 -4.9,-11.8 5.8 -1.5,26.0 -1.8 9.7,17.4 -0.4 6.5,0.4 45.4 -46.8,27.7 114.9 42.2,16.3 10.8 5.4,3.5 -39.1 36.9,26.6 -119.8 -44.4
-19.9 2.7 -8.6,-8.8 5.7 -3.8,-11.2 5.1 0.3,21.9 -0.6 11.8,21.9 -0.2 7.6,1.5 44.3 -42.8,26.6 119.8 44.4,20.7 10.8 5.9,2.4 -42.8 35.0,25.6 -124.1 -46.3
