-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-21.018387409806596 -5.715586186686229 -6.216720956721673,-14.6898118651839 -0.4854053085335233 -1.710442745229138,-12.810733506198705 3.454200266262597 -3.021420860183212,25.370773142289195 -1.4257668881272216 8.957874212952548,15.836283005359522 -1.6898220127087427 1.7015834502102645,-1.4269215048349773 35.328321327349826 -44.29819624758585,27.529433175310984 115.72014708210709 42.55435980010479,15.484700313713475 9.68500363207643 1.441218406523604,3.3411839156716927 -41.22519935316388 34.71396688241869,27.39770235029205 -116.64051570779039 -43.06850821797594
-21.059065575062824 -6.232764529626753 -6.511558930438592,-14.852275974516516 -0.774455580692634 -2.0899827054526683,-13.126309975741961 3.56039466280251 -3.345547982612353,25.656854155937868 -1.5692908167893391 9.262196975860821,15.72021047145869 -1.5449356100475664 1.5241092870262334,-1.5525389856260938 35.635363088985834 -44.34969865859855,27.631131905582194 115.11052698847456 42.28251085850926,15.371061347046451 9.872854909087078 1.4307230283839378,2.6478629963927407 -41.794626007157895 34.443763391350046,27.348620061371633 -116.8335483440205 -43.159857673886066
-21.285862247932233 -6.678564357202365 -6.413264902694155,-15.180654978281897 -0.8959155251259298 -2.200448634995949,-13.20160435835704 3.6000970602190727 -2.8413809861288537,25.98521084346126 -1.2270260083315505 8.83394927636605,15.138902627154197 -1.5936085069837091 1.2182152299484608,-1.2244879245911648 31.86385801677094 -45.14824295559367,27.697672237325275 114.71381818994688 42.106077299266715,14.835578774235616 9.902068241652104 1.403085344713872,3.0594422945444264 -41.15528784501009 34.30511707931439,27.208602273270895 -117.36734326855041 -43.38635775968268
-21.56260518057836 -7.080014997793863 -6.050589855031754,-15.568211526764086 -0.97854985048201 -2.103669288184338,-13.091491603771217 3.5548213291116197 -1.8779194895741467,26.18281100737459 -0.5954266850990545 8.094112102109477,14.27947970130273 -1.7641084184844067 0.8345389984775017,-0.6904038039480073 26.156538842568057 -46.18756486112683,27.72163021705189 114.57269915736855 42.04668324643046,14.054748269517665 9.811158040391682 1.292876834646277,4.015326862508032 -39.85419274974856 34.213755498832015,27.033498126022 -118.03014584124013 -43.66031786731814
-21.753122125164737 -7.464145779782038 -5.552284768994789,-15.908208270247137 -1.1511232654094732 -1.8614734193431959,-12.850846661711776 3.406081340079488 -0.8241631117896618,26.076622450193103 0.1290529305629507 7.463666440732332,13.329061922760989 -1.9847030595168962 0.42371831211391076,-0.19792210591443693 20.656138298240116 -46.96140009775364,27.69558189127369 114.72984836158408 42.125952824053826,13.205065507129284 9.638638715925984 1.0346689773140227,4.9549217526648395 -38.43834860440136 34.08540620242324,26.879156759657086 -118.61020142194964 -43.89404738874475
-21.721240833854903 -7.857986031547683 -5.047100626126651,-16.093907859015083 -1.5424004785569179 -1.5356897827978788,-12.534544481905979 3.13539096372201 -0.049111471616830715,25.49361297443203 0.7499586163092669 7.363593279875855,12.474769520385658 -2.183660145048414 0.036390890358242,0.005321687291729993 17.50538911565002 -46.96348438802969,27.612103306502334 115.22794427343788 42.36551015619007,12.463026161307162 9.423024678875173 0.5630332518499798,5.31763201739613 -37.45476329199656 33.83579674260837,26.801427314208297 -118.89575537053898 -43.99985571591482
-21.35034020519493 -8.31736977099696 -4.626702823402029,-16.03720309147163 -2.2618605843544626 -1.176533629103646,-12.185784089027818 2.737625604009845 0.14903511348324025,24.319664771656264 1.1008828076575465 8.093781498472913,11.870245472786003 -2.308019036722953 -0.30068447938466697,-0.28416653390577234 18.30836004815554 -45.80922472617566,27.4818577975789 115.99740127164048 42.73318567733965,11.974239405026426 9.195346788309685 -0.1732434945080407,4.6529180749056405 -37.37056404535002 33.39068029242206,26.84632314290361 -118.70598156606499 -43.902548463199174
-20.63037807970433 -9.055153692528771 -4.180592532309051,-15.751545080635434 -3.313851227725512 -0.7709116477623927,-11.784115670266633 2.2804982398566036 -0.14197624734262707,22.76181937258508 1.1792109444948153 9.294011940103513,11.486638604942616 -2.4071487602749673 -0.6909199607336354,-1.0292535163013161 21.732707027840096 -43.777293326205665,27.414107728557447 116.35664976592405 42.903564893791795,11.715943178122668 8.945840903826788 -1.1478823400042242,3.1101839077466638 -38.217425617039815 32.730462576014816,27.006239886200813 -118.02865417261692 -43.595051760153204
-19.587451024479023 -10.337437649715788 -3.529721194594636,-15.284821274653586 -4.6670721419333265 -0.2842638976688039,-11.287507401467206 1.856419573352829 -0.7035316126749088,21.13601683263923 1.0378673047789755 10.380236393951243,11.233217728789832 -2.5651162253054927 -1.281866008794775,-2.1112142183927016 25.45040880986555 -41.37126199282145,27.551548365821997 115.41660899247644 42.45179998960244,11.608284199172473 8.650910139977272 -2.308328394656874,1.0422620185143685 -39.879369782152146 31.854080873254546,27.255392521233695 -116.9087162423277 -43.093390001589206
-18.290895691034812 -12.329525230392122 -2.5510807183083486,-14.69712474881453 -6.261021025261762 0.30464073725534246,-10.686658497300893 1.5407459901722675 -1.319700381309947,19.75269177735689 0.748506166640771 10.856462992201708,11.029078828597493 -2.843598839719592 -2.177302770402939,-3.380116598513619 27.413851942676448 -39.066549473192204,27.995453332390337 112.55352797957806 41.080004232034305,11.576819279356009 8.299241365703512 -3.5856889887554173,-1.1723126629865945 -42.166907426977104 30.79938128654532,27.56470451910828 -115.41754829911882 -42.42502382314144
