-21.3 -5.1 -5.4,-14.8 0.1 -1.0,-12.2 3.3 -1.5,25.3 -0.6 7.5,15.3 -2.1 1.7,-0.6 28.8 -45.5,27.4 116.5 42.9,15.0 9.3 1.5,5.7 -38.9 35.2,27.3 -117.0 -43.2
-21.3 -6.7 -6.4,-15.2 -0.9 -2.2,-13.2 3.6 -2.8,26.0 -1.2 8.8,15.1 -1.6 1.2,-1.2 31.6 -45.2,27.7 114.7 42.1,14.8 9.9 1.4,3.1 -41.1 34.3,27.2 -117.4 -43.4
-21.7 -7.9 -5.0,-16.1 -1.6 -1.5,-12.5 3.1 0.0,25.4 0.8 7.4,12.4 -2.2 0.0,0.0 17.4 -46.9,27.6 115.3 42.4,12.4 9.4 0.5,5.3 -37.4 33.8,26.8 -118.9 -44.0
-19.4 -10.6 -3.4,-15.2 -4.9 -0.2,-11.2 1.8 -0.8,20.9 1.0 10.5,11.2 -2.6 -1.4,-2.3 25.9 -41.0,27.6 115.1 42.3,11.6 8.6 -2.5,0.7 -40.2 31.7,27.3 -116.7 -43.0
-16.4 -16.5 -0.6,-13.7 -9.3 1.6,-10.1 1.0 -1.9,18.9 0.6 10.4,10.7 -3.4 -4.2,-5.0 25.3 -35.7,29.1 105.7 37.8,11.6 7.7 -5.9,-3.8 -45.9 29.4,28.2 -112.1 -40.9
-18.2 -16.0 -1.1,-14.1 -9.7 2.2,-11.8 0.3 -0.6,21.7 2.2 9.9,10.5 -3.1 -4.5,-2.9 18.9 -35.8,28.8 108.2 39.0,11.5 7.9 -6.2,-0.5 -43.2 31.2,28.4 -110.8 -40.2
-16.4 -16.5 -0.6,-13.7 -9.3 1.6,-10.1 1.0 -1.9,18.9 0.6 10.4,10.7 -3.4 -4.2,-5.0 25.3 -35.7,29.1 105.7 37.8,11.6 7.7 -5.9,-3.8 -45.9 29.4,28.2 -112.1 -40.9
-16.2 -16.3 -1.5,-12.6 -9.7 1.4,-11.7 0.9 -1.3,22.9 1.6 11.0,12.2 -3.1 -3.9,-4.4 26.0 -35.6,28.6 109.4 39.6,13.1 7.7 -6.3,-2.4 -46.2 30.4,28.1 -112.3 -41.0
-17.2 -13.7 -3.8,-12.2 -8.4 1.0,-13.4 0.6 -1.1,26.0 2.5 11.4,13.2 -2.5 -3.0,-2.3 22.9 -36.6,27.7 114.6 42.0,14.0 8.4 -5.3,1.0 -42.7 33.6,28.0 -113.2 -41.4
-20.4 -8.8 -3.9,-12.5 -4.9 1.9,-12.3 0.8 0.0,23.9 2.6 10.2,16.2 -2.8 -1.0,-2.8 32.3 -42.2,26.4 120.7 44.8,16.6 8.0 -3.4,-0.4 -47.8 32.2,27.2 -117.1 -43.2
-19.4 -7.8 -3.7,-11.9 -4.6 1.1,-10.1 2.4 2.5,20.8 3.3 11.5,15.4 -2.6 0.7,-4.7 45.6 -42.4,27.2 117.4 43.3,15.5 8.4 -1.1,-0.0 -43.5 36.8,28.4 -110.5 -40.1
-18.2 -2.9 -4.5,-8.7 -1.3 0.4,-11.7 2.2 3.9,25.4 4.5 11.8,14.4 -2.7 2.9,-1.0 39.3 -43.4,27.3 116.7 43.0,14.1 8.0 0.1,2.0 -29.9 41.4,27.9 -113.5 -41.5
