-17.4 -2.4 -6.1,-9.8 -0.7 1.0,-8.8 2.2 -3.4,20.0 -1.0 11.3,18.1 -2.0 3.3,-2.0 48.5 -40.4,26.4 120.9 44.9,17.8 8.7 0.4,2.4 -39.8 39.0,27.0 -118.0 -43.6
-16.475527838606425 -2.3322225854376066 -6.55652071382701,-8.82741956980294 -0.5491957065729084 0.017600159305776845,-9.085622201491452 2.4820710344460704 -3.8729358290017073,18.63067361643866 -1.456308774394785 14.76628674318326,17.948082933641366 -1.7194787616116745 3.746891412282907,0.31378593533139076 38.787247056291264 -35.777875135672545,26.156839027402754 121.75431018480029 45.29476035938326,17.537640178364846 8.989704562377575 0.947077172158156,2.343380360824895 -39.931371704829346 39.2355545816587,26.70705030632727 -119.60941788842035 -44.35770069511022
-16.208492769081946 -2.3011801686600646 -6.605117328707909,-8.48291961842566 -0.48979293960365666 -0.19628355733459585,-9.078350208507604 2.5183866861607282 -4.0045714984841885,18.05521163103549 -1.5908688002151663 15.74627182147436,17.931838948084266 -1.682890532700931 3.840144690492741,1.2386937552522748 35.33995207749753 -34.44265829060083,26.07071682989351 122.07664836803924 45.44014548332125,17.497857730427164 9.024677633802773 1.0656729069146276,2.5681539267203823 -39.82233999344314 39.45190378935938,26.629684919057432 -120.05672658956777 -44.56814129439896
-16.38311668636656 -2.299436685969877 -6.413236099711067,-8.585977885114938 -0.4981779503892846 0.07794746910619661,-8.910497693132543 2.4078082087802994 -3.908929597599972,18.085577856418126 -1.5081713537780728 15.064554130771342,17.99559966416058 -1.7922624665926856 3.7102694340996507,1.1271618616241 36.36037403243695 -35.3155941915286,26.096493747784713 122.01115617552921 45.40536456048045,17.593090681954674 8.908156320669638 0.9123106663896434,2.884780271601456 -39.61104602669168 39.595576756570836,26.69422323198692 -119.7304261209533 -44.41433311279824
-16.78362148540027 -2.3195560736695477 -6.148323281904863,-8.956072109117557 -0.5507369902268323 0.5598918576554672,-8.714378327450362 2.2491968559411117 -3.7000327155015906,18.533736105214217 -1.3127077114004346 13.54573256697225,18.083696702702163 -1.9496217166118535 3.487775242573785,0.33162865630831845 40.05077188992767 -37.317927565199604,26.189030121388832 121.70197523308254 45.259626779527316,17.735777058715097 8.743377729372222 0.6435139127034326,3.10371896938311 -39.43563096542531 39.61310261676194,26.826984638912194 -119.01901650008799 -44.0792874652401
-17.19422906112308 -2.3541022680615806 -5.977825130357671,-9.41268002968029 -0.62385631041334 0.9691482273405305,-8.622305783545155 2.141413881279492 -3.491903441341575,19.211650190051408 -1.1089691493991818 12.01440602597514,18.140461684540895 -2.0569954360833504 3.303171715385295,-0.7954674588336196 44.613404618787854 -39.3709031383576,26.303186291018317 121.29324716651158 45.07214132912835,17.838354886476147 8.633578966304569 0.41580610797622425,3.0354295939803384 -39.43423597049436 39.451010503401506,26.954288533629708 -118.31099774448286 -43.74601566665655
-17.399161308474987 -2.395639205448478 -6.069187900137862,-9.775279386049913 -0.6939221622458476 1.0253151971886996,-8.766593733501008 2.1833205384317664 -3.3985643642724552,19.931283923557345 -1.0014469440912432 11.295173403678046,18.11022623050863 -2.0164107783320917 3.28696845200433,-1.9016880819402635 48.250531187835634 -40.39576563774634,26.39382259698562 120.92911360162866 44.91211739795003,17.813262191005535 8.681997137860726 0.38571071432824666,2.490371719308134 -39.74500220274912 39.05582954995833,27.002454309935892 -117.99486987164894 -43.597529031979604
-17.234286641715677 -2.424295619924168 -6.524803822419031,-9.897144782983936 -0.7289458037551314 0.5412582264309345,-9.20681968460617 2.4328536991630845 -3.4948766274029444,20.480222194507682 -1.0598157641270856 11.995720537536776,17.949571366948337 -1.7701771495826228 3.5236855503079414,-2.6857910698565233 49.537679959982285 -39.62278003435922,26.420438763911466 120.74875901776652 44.844537540664405,17.595517326857504 8.95032642953109 0.6602248332633572,1.370205403211311 -40.45965386896222 38.41782547586468,26.9179812294506 -118.3564290716157 -43.76852160319759
-16.817013558637672 -2.352412369174487 -7.0924368675984635,-9.815787293919284 -0.6512839874054568 -0.1617327601681161,-9.606055316026591 2.7248596176651967 -3.6422210282990086,20.513153341278517 -1.1639549006589502 13.541277575879331,17.68185316518666 -1.4801941432714598 3.847141061051427,-3.1256198623983877 49.085178501987876 -37.96676984302651,26.367825139345264 120.86434505801809 44.91134371010788,17.243230538156006 9.273798574437906 1.0763630797850987,0.07375086460788358 -41.416882961915405 37.765684754318755,26.757374837808975 -119.12160332743176 -44.13029602168089
-16.36021500724003 -2.0693448365941527 -7.399603858605574,-9.63118878852824 -0.36781296207287567 -0.5899715613894777,-9.49292533791983 2.81853910935032 -3.629591571280699,19.639703216084005 -1.1293879369866036 14.956128269491883,17.353069740542338 -1.3828198676933958 4.006145128500186,-3.2936500789442427 48.19331292874717 -36.91375772439844,26.229347600768005 121.3788704776477 45.146665265048256,16.856249996410668 9.410856547113678 1.3795945620700034,-0.8315948950320118 -42.3695834562537 37.408937431094586,26.614441548398286 -119.82648083131807 -44.464844323597305
-16.057228759640036 -1.5231820995545051 -7.142553546931334,-9.460156119134442 0.17799425835139412 -0.3533399145030817,-8.543844972805568 2.531335357791372 -3.302581741653481,17.657824980507204 -0.826472733754906 15.39436563237534,17.00868723899139 -1.664719660295974 3.7884711548765546,-3.2656566741243096 47.91376009723984 -37.67549167975626,26.014812756468398 122.3117163261701 45.54974714478761,16.524861301403817 9.173860881777559 1.3662044754503821,-0.8878733273973441 -43.11744275154035 37.5745189313037,26.570806908384768 -120.06557112907574 -44.58172967529875
