-24.1 -3.4 -8.8,-13.2 -5.3 1.9,-13.6 1.9 -9.2,27.9 -2.6 17.4,29.0 -1.0 1.8,-9.2 75.5 -37.1,27.9 113.4 41.5,28.7 10.7 1.2,-3.6 -61.5 37.9,28.5 -109.8 -39.8
-24.27221765636015 -2.657251227062018 -9.37782259594953,-13.117302578908445 -4.940135358569819 1.3265384919879915,-14.33830252034634 1.794170147988309 -9.118399329176848,28.807773568189422 -2.2866715543251095 18.394782579317422,29.149601091602875 -0.8000680400207122 1.9354580335454368,-9.796848064229163 75.06260837913781 -36.06036416793139,28.02708778772085 112.99929728068722 41.33358591427951,28.85396843988706 10.992428428342912 1.7014145984964972,-4.754769027635535 -61.3962388154749 38.031258857487906,28.988544606380202 -106.79445347812049 -38.29269230025626
-24.37081732154929 -2.4012178251378846 -9.619900046849448,-13.131847351462238 -4.831575864380864 1.16962015073137,-14.638080994075109 1.7698203709631557 -9.132751205954788,29.249597846537036 -2.1699273020887406 18.73537763009565,29.209215476983424 -0.706342749839964 1.9975598914486483,-9.949653192080758 74.96768428334141 -35.72765788019985,28.090661799412302 112.76903116027036 41.23396552058591,28.91281469868496 11.112848563024606 1.8710045067533343,-5.024262690777836 -61.328562134879675 38.13706233152392,29.160398081089657 -105.69047061995981 -37.741498385538435
-24.40027102309543 -2.4888762803619144 -9.606130129130493,-13.196228748259268 -4.893699249043508 1.2890136687725953,-14.608393416686184 1.7977013800912218 -9.19627876337829,29.30601164572407 -2.195821439880088 18.615034599826107,29.201767179979786 -0.6984651210988225 2.001122213889982,-9.812052828703138 75.09016378503172 -35.882919956612504,28.100740505443458 112.69941953084601 41.19999363722394,28.90196634422943 11.103225456314448 1.8077007749266352,-4.7248580046685476 -61.30032325799374 38.19840317837299,29.107113864482137 -105.95898455291456 -37.879285492376134
-24.365050788526585 -2.777203078868423 -9.416410619223402,-13.263041199897431 -5.045883244168132 1.5444877386541267,-14.35829778367945 1.8485638865391887 -9.262205134491818,29.057553776431742 -2.310408164288345 18.227002936000247,29.15018022443012 -0.7560761454383553 1.9609616410497859,-9.537684419244655 75.30498295662962 -36.307189216976425,28.067342376183404 112.7806802845107 41.23052508249835,28.8468509443562 11.005524160481812 1.6104344531725223,-4.172931984549322 -61.31487548459651 38.196274154300056,28.92024539691143 -107.07092840438126 -38.438920857298996
-24.26962864537077 -3.123174706791725 -9.130639293558913,-13.284879136974622 -5.20750558136511 1.7958110529184237,-13.996852090554794 1.893158601473737 -9.283753452339841,28.58476304934127 -2.4597416719027083 17.764532086109497,29.07737863417257 -0.8588168144996299 1.891894813108409,-9.280185408853669 75.487077870556 -36.781504481098715,28.000485882001236 113.00303131336102 41.32441467471391,28.77289606690099 10.86170972779607 1.3781365916471202,-3.684861645661811 -61.375572114467445 38.11166801557005,28.69134611873131 -108.49723530175653 -39.15327171683661
-24.118476621155985 -3.383767650266135 -8.828713928567765,-13.214336990088736 -5.29794399224482 1.902752304107946,-13.63311433281209 1.902236236061547 -9.214146849966827,27.968178275133873 -2.5898761593123703 17.4208714976453,29.006286433045286 -0.986328119923713 1.808738370246198,-9.193193242678527 75.51138459923177 -37.08690456878644,27.91018949326604 113.35669050949348 41.48051723217533,28.705529279699533 10.713747210526588 1.209738240506552,-3.5770240032476606 -61.48576644738595 37.9255775184479,28.511969470295554 -109.70883837243684 -39.755205307518615
-23.91283442020414 -3.443005817894123 -8.573491554165305,-13.015374884758927 -5.2465077973676095 1.7628307883532073,-13.340569403487999 1.8575114249718578 -9.014975467101735,27.263201375864938 -2.6578701733133285 17.338641896998055,28.961068351384828 -1.1202449277054007 1.7283210297666496,-9.385449251003655 75.27708276388732 -37.06346404498886,27.809407541764074 113.81350344205853 41.68833821437661,28.669609328117247 10.596168300890001 1.186094052750517,-4.064336404946554 -61.66419795388277 37.64799922903793,28.45838066469912 -110.2486724061567 -40.015468456839855
-23.63632142009599 -3.332356424842533 -8.334935172545286,-12.713910629997715 -5.036646275212038 1.4793552378900157,-12.998782946636924 1.800466314400711 -8.693440411877654,26.388205838436825 -2.680770149861572 17.384472238881948,28.97265256875549 -1.2530712884330903 1.6784399221168331,-9.720953083636358 74.81551056772288 -36.87307836089674,27.72709858724357 114.24516284502859 41.88641702743117,28.68689414205482 10.502983299966697 1.2895190230932798,-4.8086302660225915 -62.013480562160545 37.44703785224083,28.523504375612053 -110.05217403587532 -39.91130057582312
-23.2665823081171 -3.1332816781854684 -8.051509332208386,-12.356870610635813 -4.670166450166276 1.2254133490348083,-12.421566578480908 1.7928489841068582 -8.272208533459825,25.215101626475263 -2.6959631839973883 17.331408346209926,29.074260611210327 -1.3809967695793162 1.6906113409878214,-9.980717521600713 74.2028184701884 -36.78676580940957,27.697647893899948 114.48940168640993 41.99601153727495,28.7780902286819 10.414462538748673 1.46891537537928,-5.284196940699094 -62.66466830347065 37.54440931006708,28.672006214348976 -109.18786919465565 -39.48995846239708
-22.80275682314465 -2.92403653759246 -7.684665113482569,-11.995743318296004 -4.171038823293066 1.1456795376595148,-11.492896731355838 1.8809904650874691 -7.788558082746937,23.69577309011414 -2.733814076448062 17.004873834519856,29.282160761097387 -1.4977941232495369 1.7853435293852014,-9.985319529941489 73.52987634339499 -37.01845115945391,27.74560197812998 114.422064677402 41.95691611410119,28.950882441397887 10.316594224118731 1.6719193097619134,-5.0750261891637845 -63.68019213983189 38.09235433692585,28.864339644267577 -107.7900780728348 -38.827432444744225
