-14.7 3.1 -16.8,-10.1 7.2 -8.3,-12.8 6.1 -14.7,23.7 -9.9 21.0,25.2 3.7 8.0,-4.4 61.4 -38.1,29.3 103.9 36.9,23.5 15.7 9.9,-3.2 -60.3 42.1,28.8 -107.6 -38.8
-14.767265011391336 6.9823985600283445 -16.612706804878233,-9.231416492907421 9.023253963657478 -7.9180083259491125,-12.785035068103927 5.755497837829682 -15.56858350709257,23.30690040023789 -10.925792474141163 22.988022578794663,24.005736268817966 3.2282187345731024 9.096914491717435,-4.186633947271168 60.75943874896986 -36.504922656686205,29.329929863792 103.34614315556702 36.623071577783506,22.066142994200828 15.172061648892809 11.08300144118969,-4.525245476342295 -55.624151320921676 42.16371673376891,28.605301521070835 -109.04897630197648 -39.496409608148085
-15.136380877452472 8.92306442366627 -16.786519183899312,-8.809254552117329 9.970261518103184 -8.040138020878178,-12.749129867366927 5.759848071856708 -15.990745447882665,23.090787500497363 -11.517416559925302 23.914902415858354,23.32149236885931 3.134917225080104 9.755317049630092,-3.9862985308856085 61.40368727628064 -36.2092406448522,29.401740265266017 102.43273565378672 36.16636782689335,21.22250080793913 15.047886868008309 11.844087671967882,-5.41988865137752 -52.610679669200394 42.00500014278435,28.55361883697883 -109.51343876348605 -39.713204203207106
-15.670667554254496 9.496827486251146 -17.176814912836452,-8.699661645838209 10.295400700404654 -8.472991156022564,-12.702492778848956 5.984874149825346 -16.100338354161792,23.002033151547053 -11.792279117172896 24.104210014916465,23.00859223349013 3.2879478291163218 10.089495888102928,-3.8083496872099047 62.81635941607862 -36.75752695168612,29.495014442302082 101.35600293556116 35.628001467780585,20.812246813223123 15.188238279337329 12.284219880184,-5.978653422044065 -50.862830029042996 41.716578101279694,28.596176243186118 -109.32149028977828 -39.61089036999965
-16.233444997868503 9.278517643120354 -17.638971767462873,-8.768785242278547 10.253049547629422 -9.023169802617634,-12.655332183609962 6.302399519479866 -16.03121475772146,22.991009204155617 -11.867787005704432 23.879515879694424,22.928359796076517 3.5551629042770707 10.21373922150089,-3.6621433526106384 64.4810690025101 -37.69435456437605,29.58933563278019 100.3121704417924 35.1060852208962,20.67855438206101 15.45387850487072 12.504359253687458,-6.296263685280327 -49.98384738465639 41.39117848348836,28.6841980351548 -108.80123378610296 -39.3499746933483
-16.688033164365585 8.842964789611264 -18.028367523551797,-8.882772809646829 10.09758609684502 -9.497276031898751,-12.617856462709895 6.584247628564537 -15.917227190353184,23.008087509091695 -11.861347085340398 23.564390513917633,22.94211898998458 3.8044148081576687 10.242335264188942,-3.5570354634543904 65.88142986972142 -38.56429647011012,29.66428707458037 99.49746361338248 34.698731806691235,20.664596886461005 15.705570166599326 12.605466980327682,-6.467443338024703 -49.57697672024745 41.121529163643714,28.768908508347003 -108.28077215770966 -39.090963758075674
-16.89775200981683 8.764998821061253 -18.200379956876436,-8.907771816151536 10.083388385118978 -9.701911915101277,-12.600273997208705 6.702241924823623 -15.892228183848466,23.003639917123923 -11.89036621590127 23.482404421311507,22.911193748580402 3.903555898353431 10.289572230532023,-3.5023819561077434 66.50105585185882 -38.91192565607644,29.699452005582614 99.1081078912334 34.50405394561671,20.613547698431326 15.80407588651399 12.688504247954086,-6.586916277215583 -49.24546302002307 41.00035801597916,28.80153195822485 -108.0882083098481 -38.994364149004326
-16.758561016588942 9.420233052919594 -18.04876687390171,-8.755791189199044 10.375111321266044 -9.496959835193763,-12.61050322400502 6.5648762505684415 -16.04420881080093,22.94609896627888 -12.028099434134292 23.84792480798446,22.74880012284243 3.7599791792247714 10.425296357803505,-3.50840922899232 65.96018083465093 -38.41762727496123,29.67899355198964 99.30027033741635 34.600135168708185,20.428502756149967 15.652279031550352 12.811990057467515,-6.70638390480607 -48.759739917804644 41.09662301105952,28.748192961291956 -108.44934297062035 -39.170821411472964
-16.344347145623946 10.098293723836331 -17.67650670601118,-8.588843907264335 10.648303145232045 -9.032748532684737,-12.643979433428154 6.280545353061625 -16.211156092735624,22.902351213677626 -12.107117445685335 24.28002018541552,22.65103307446232 3.4966251332551552 10.477087838874304,-3.5900888204330186 64.62379403761092 -37.50213779301064,29.61204113314315 100.01174822895565 34.95587411447784,20.33921320142104 15.382675306637713 12.803078798634814,-6.643019585012971 -48.801634632078645 41.349705513851276,28.656241826673384 -109.03229817304683 -39.45917417321469
-15.789328905349675 9.720571196713134 -17.257520294205868,-8.653714179210535 10.412666087932807 -8.55809113257641,-12.691905137621344 6.025426263876787 -16.146285820789455,22.972666948823242 -11.87837985111858 24.19590552480514,22.90990598409141 3.309521958304858 10.190379435093822,-3.764001248074253 63.10941589209919 -36.837231575663715,29.516189724757176 101.10629414128448 35.503147070642235,20.686192235326164 15.20561723670819 12.410473881447642,-6.134473049398184 -50.36200919580624 41.655050128139905,28.600570838370498 -109.31609857776037 -39.60609692808185
-15.229235271411726 7.513541547420404 -16.948001194316287,-9.12879623774137 9.320775925709158 -8.28826013566976,-12.744626745388315 5.9466376465441195 -15.671203762258722,23.226646756226945 -11.17256731003056 23.169770475130825,23.72456701406649 3.3560206079965758 9.39556245661056,-4.031014560260146 61.97337743471879 -36.963694019955334,29.410746509224474 102.41130083065987 36.155650415329916,21.69870619158348 15.288398716028917 11.473930857802873,-5.019921150962429 -54.07189846075522 41.91525289361735,28.640258941353835 -108.89655581171549 -39.41446695987393
