[ -1.  -10.8  -2.5] [ -1.1 -10.3   4.7] [-12.6   3.5   6.6],[ 0.  0. -0.] [-0.  0. -0.] [ 0.  0. -0.]
[ -0.8 -11.3  -2.3] [ -0.8 -10.7   5.3] [-13.    3.5   6.7],[ 0.  -0.   0.1] [0. 0. 0.] [ 0.  -0.1 -0. ]
[ -1.2 -10.9  -2.2] [ -0.7 -10.5   5.2] [-13.4   3.9   6.4],[-0.1 -0.1  0. ] [ 0.  -0.1  0. ] [-0.1  0.   0.1]
[ -1.3 -12.1  -2.4] [ -0.6 -11.3   4.8] [-13.2   4.    7.2],[0.  0.4 0. ] [-0.1  0.5 -0.1] [-0.3 -0.   0. ]
[ -1.3 -10.8  -2.1] [ -1.  -10.4   4.9] [-13.    4.    6.2],[ 0.   0.1 -0. ] [-0.1  0.2 -0.2] [-0.  0.  0.]
[ -0.8 -11.   -2.6] [ -1.2 -10.4   4.6] [-12.4   3.8   6.3],[ 0.1 -0.1 -0.1] [-0.  -0.1  0. ] [ 0.2 -0.1  0. ]
[ -0.9 -11.4  -2.5] [ -1.3 -10.7   4.5] [-11.9   4.    6.3],[ 0.1 -0.3 -0. ] [ 0.  -0.2  0.1] [-0.1 -0.1  0.1]
[ -1.3 -10.8  -2.1] [ -1.  -10.4   4.9] [-13.    4.    6.2],[ 0.   0.1 -0. ] [-0.1  0.2 -0.2] [-0.  0.  0.]
[ -0.8 -10.8  -2.6] [ -1.2 -10.3   4.6] [-12.5   3.6   6.4],[-0.   0.1  0. ] [-0.   0.2 -0.1] [-0.1  0.2 -0.2]
[ -1.2 -11.7  -2.3] [ -0.7 -10.8   4.7] [-13.5   4.    7.2],[0.  0.2 0.1] [-0.   0.2 -0. ] [-0.1 -0.1  0. ]
[ -1.  -11.7  -2.3] [ -0.7 -11.    5.2] [-12.9   3.6   6.9],[ 0.   0.1 -0. ] [-0.   0.1  0. ] [-0.   0.  -0.1]
[ -0.9 -10.8  -2.5] [ -1.1 -10.3   4.7] [-12.6   3.5   6.5],[ 0.  -0.1 -0. ] [ 0.  -0.1  0. ] [ 0. -0. -0.]
[ -1.1 -11.   -2.3] [ -0.8 -10.6   5.1] [-13.2   3.7   6.4],[-0.1  0.2  0.1] [-0.1  0.1 -0.1] [ 0.   0.2 -0.1]
[ -1.  -10.8  -2.5] [ -1.1 -10.3   4.7] [-12.6   3.5   6.6],[ 0.  0. -0.] [-0.  0. -0.] [ 0.  0. -0.]
[ -1.2 -10.6  -2.2] [ -0.9 -10.2   5. ] [-12.9   3.9   6.1],[-0.1 -0.1  0. ] [ 0.1 -0.1  0. ] [-0.1  0.1  0.1]
