-7.5 8.6 -1.5,-8.9 15.7 -2.6,-21.5 6.9 -8.5,28.9 -11.7 12.8,6.7 -5.2 10.3,-15.1 26.3 -36.1,25.8 56.9 14.2,4.8 5.9 8.8,-9.9 -37.5 15.9,29.7 -81.4 -25.7
-3.8 6.7 -2.0,-8.4 14.0 -2.6,-29.0 7.1 -8.7,39.8 -10.9 11.1,5.9 -4.9 9.6,-17.4 21.3 -38.4,24.2 51.0 11.7,4.1 6.3 8.3,-11.5 -37.3 12.7,28.4 -69.6 -20.0
-5.8 5.6 -2.4,-8.4 12.9 -1.9,-26.7 6.6 -7.8,36.9 -9.5 9.6,6.4 -4.7 8.6,-17.8 21.9 -38.6,24.9 53.5 12.7,4.8 6.5 7.4,1.7 -27.5 12.6,28.3 -68.4 -19.4
-7.2 4.1 -4.8,-11.2 12.5 -3.7,-26.9 6.3 -6.7,38.6 -7.6 10.1,7.7 -3.4 8.2,-16.5 15.1 -40.1,23.9 50.0 11.2,6.3 7.6 6.4,-7.9 -31.4 3.3,24.8 -53.0 -12.5
-6.4 3.8 -5.6,-10.7 14.0 -4.5,-23.4 6.4 -5.8,32.1 -7.8 12.2,6.7 -3.3 7.6,-14.8 14.2 -38.5,23.7 49.5 11.1,5.3 8.0 6.9,-12.0 -39.6 9.6,28.5 -69.9 -20.1
-8.1 9.4 -2.5,-10.2 17.4 -3.8,-20.0 7.2 -5.9,26.4 -10.4 14.1,6.5 -4.9 11.0,-15.6 28.3 -38.6,25.2 54.4 13.1,4.5 6.2 9.6,-14.3 -45.0 21.0,29.5 -77.9 -24.0
-7.6 -0.2 -0.6,-12.7 8.5 -2.8,-25.3 6.6 -7.1,39.5 -8.8 8.0,7.1 -4.7 6.9,-11.1 21.6 -38.4,27.4 63.5 17.1,5.9 6.3 5.0,-6.5 -39.7 21.5,29.0 -73.7 -22.0
-7.3 0.3 -2.5,-10.8 8.0 -2.1,-20.8 3.9 -7.2,30.2 -7.4 11.8,6.6 -4.3 4.8,-14.7 25.2 -28.1,28.3 68.7 19.6,5.9 6.8 3.1,-11.9 -40.2 21.3,29.4 -77.0 -23.6
-11.8 2.9 -3.5,-13.4 11.7 -4.9,-21.8 6.7 -5.7,32.6 -8.3 12.9,10.2 -3.3 9.0,-15.6 30.4 -30.4,27.7 65.1 17.9,8.7 7.5 6.5,-17.0 -44.5 19.3,28.8 -72.3 -21.3
-16.0 2.7 -1.7,-13.8 9.8 -4.0,-19.3 6.1 -4.0,27.2 -8.1 13.3,8.3 -4.3 8.3,-15.6 34.7 -30.6,28.3 68.7 19.5,7.0 6.4 5.4,-18.1 -42.6 19.7,29.1 -74.3 -22.2
-9.1 0.6 -1.2,-11.6 6.8 -3.6,-19.6 5.5 -1.7,28.2 -6.2 14.6,3.8 -4.6 7.5,-12.6 28.9 -36.0,28.7 71.2 20.7,2.8 5.8 3.1,-17.6 -42.4 23.5,29.3 -76.0 -23.1
-9.3 -4.8 -1.8,-11.4 2.8 -3.1,-23.2 4.6 -1.8,33.8 -4.9 8.9,4.6 -4.2 3.3,-18.0 28.1 -40.5,26.5 59.8 15.4,4.1 6.9 1.2,-19.9 -37.7 20.9,28.5 -69.7 -20.0
-9.6 -7.8 -4.2,-12.3 0.8 -4.8,-21.5 5.5 -0.9,32.3 -3.9 9.7,5.4 -2.7 3.2,-14.1 21.7 -36.5,27.0 62.0 16.5,4.9 8.3 1.2,-13.4 -35.3 22.3,28.9 -72.5 -21.4
-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-20.4 -4.0 -3.2,-17.5 5.0 -5.0,-26.6 4.6 -0.0,38.8 -3.5 8.1,11.6 -3.2 2.9,-8.8 19.0 -36.9,25.6 56.0 13.8,11.0 8.3 2.9,-8.2 -35.0 19.8,27.8 -66.0 -18.3
-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-16.8 -12.4 1.4,-15.6 -4.5 -0.3,-20.1 3.7 1.9,30.6 -1.9 6.2,4.9 -4.0 -0.2,-8.2 18.1 -34.0,27.6 64.5 17.6,5.2 7.0 -2.6,-8.6 -32.3 19.5,29.1 -74.1 -22.1
-19.3 -13.6 0.7,-18.0 -5.3 -2.0,-18.4 3.8 1.3,30.2 -1.2 6.1,4.6 -3.4 -0.8,-7.2 17.0 -31.7,29.1 74.0 22.1,4.9 7.8 -2.4,-6.2 -27.4 18.6,29.7 -80.8 -25.4
-19.1 -4.6 -1.4,-16.3 1.6 -1.9,-16.2 4.4 4.1,25.3 -0.2 9.7,6.1 -3.8 3.7,-13.7 28.2 -34.0,27.9 66.3 18.4,5.6 7.0 1.0,-5.7 -31.0 14.6,30.0 -88.3 -29.2
-18.8 -3.2 -1.1,-17.0 3.7 -1.9,-20.3 4.1 -1.2,31.3 -3.7 8.5,11.0 -4.0 3.6,-13.6 33.4 -27.7,28.9 72.9 21.6,10.5 7.1 2.0,-7.5 -39.5 21.3,29.7 -80.5 -25.3
-19.3 -4.9 -0.1,-17.8 2.7 -1.3,-20.4 4.2 0.6,32.0 -2.8 6.7,8.9 -4.2 3.0,-15.9 31.4 -34.7,27.4 63.7 17.2,8.5 6.7 0.9,-4.9 -35.8 18.1,29.2 -75.1 -22.7
-18.8 -3.2 -1.1,-17.0 3.7 -1.9,-20.3 4.1 -1.2,31.3 -3.7 8.5,11.0 -4.0 3.6,-13.6 33.4 -27.7,28.9 72.9 21.6,10.5 7.1 2.0,-7.5 -39.5 21.3,29.7 -80.5 -25.3
