-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-16.05696942635041 -12.576771974943327 -1.6747066179899577,-17.22415926754893 -3.111252322615338 -4.887927466754795,-24.8666955646842 5.600873648227965 -0.03570280648447968,38.52318795326124 -3.6948498696690835 6.985051373140318,7.065980449956225 -2.6922793474056577 0.7570794482658115,-13.082842503381176 20.108637093110453 -37.870153255792715,26.60198807233199 60.19860014494696 15.605364045481904,7.030667922617615 8.581841301326893 0.01872938728354956,-12.225610106520305 -33.820935182250544 20.499656545819285,27.594926657146157 -64.72242383655484 -17.679619290264128
-16.913017642280288 -12.547150568780731 -1.351890179109072,-17.791990841713943 -3.188965283678172 -4.91257871182805,-25.698269664190185 5.424557312421587 -0.998392087757048,39.28576992561342 -4.238087803866078 6.650499318563928,7.381609360587322 -2.961184896849294 -0.0988233523488099,-12.96665626743365 21.394384577214186 -37.6888726883716,26.29986395047624 58.884873087641935 15.039408922546269,7.414322444138936 8.628312903251794 0.491211904428883,-13.07552731307948 -34.09011264606324 21.13453006173331,27.435980356646184 -63.92149988261707 -17.297401369600127
-17.574857155001197 -11.104793035699593 -1.1088850315015173,-17.999176261735172 -1.8965159267048985 -4.338828416063328,-25.809732315172113 5.116653357520228 -0.9203976022126865,38.84647103404198 -4.209846639352679 6.313359108370213,7.496738611869055 -3.377097498698705 -0.025864761361696464,-13.088495784361113 21.70067842997222 -38.16842678199865,25.91931294840581 57.2804953118542 14.335513964409731,7.5008129874013845 8.321865676313537 0.8793818915188544,-12.924165325540134 -34.47413962343188 21.39506305442686,27.39904928010436 -63.697749635949435 -17.198450479422952
-17.849200471724718 -8.643356629887291 -1.0230255233114687,-17.841397066852778 0.4027187047880858 -3.5315512603041994,-25.416093534284137 4.822764148463248 -0.434049108246382,37.66401639553238 -3.9902592128905825 6.1906460146585705,7.561220083777185 -3.810398003321683 0.8177988617093169,-13.385415546367252 21.57095462904559 -38.72108402093581,25.586020380093778 55.90714330135301 13.727058504288943,7.439988975242384 7.844950491050949 1.3451736886363175,-12.345937849764876 -35.13962334635027 21.3716980305847,27.460021609124944 -63.951694594314695 -17.327870861147563
-17.542760099662406 -5.556498605531203 -1.1716460026831002,-17.314334796306916 3.345361567284384 -2.8556219253942308,-24.732363338180406 4.688492050190007 -0.17167636425311783,36.19713112707008 -3.9594583612414844 6.4993753095283875,7.724905656287476 -4.131467261086025 2.2740111573463953,-13.794470045655762 21.54864915209532 -38.75911288944509,25.42567155951323 55.286493539907624 13.447421875400542,7.381699830499362 7.380018218002871 2.0505216358641274,-11.915258591616318 -36.25317104681222 21.154877496891597,27.59478552531222 -64.58385625547561 -17.630766756188915
-16.462248546025833 -2.237876216818702 -1.632080817760586,-16.413670989337714 6.568035617267601 -2.6759150921769868,-23.97355174351508 4.859439427639863 -0.7656091286278786,34.904540345640505 -4.497576921167079 7.4565622650790555,8.13764720937569 -4.210686122359521 4.184615766031705,-14.252713774430326 22.177197976782423 -37.694781871788436,25.563951800637213 55.94022251128729 13.729983410961173,7.475794976009739 7.109519727708129 3.1573600732851377,-12.206541256957063 -37.98138995681152 20.835043960032323,27.779229210270437 -65.49475611719492 -18.052242405961966
-14.508287132928066 0.9387795026800851 -2.420679517265966,-15.15601840445605 9.702859619953045 -3.236057915164795,-23.30357741191064 5.41413320879313 -2.607400428347767,34.09405182450746 -5.839750455367917 9.18851737133105,8.856251259251506 -3.973958414779974 6.353113465203898,-14.674002119271215 23.8057017232459 -35.20487510184605,26.07132249500393 58.15288060332231 14.703045661728884,7.794345868652083 7.155272348147693 4.733477743450695,-13.60037232869567 -40.35265588059413 20.490698938111475,27.996491472439054 -66.64918463107921 -18.571991450035608
-12.0934212373869 3.7083610992794607 -3.221345906244562,-13.672091917789736 12.357398693909017 -4.118722287196671,-22.6078452822276 6.065452754800585 -4.776059832106199,33.25077933707468 -7.4306925351120725 11.327093171095244,9.430307188576755 -3.6498597406663467 8.373987018960928,-14.845725446053676 25.72388288680889 -32.40812786664945,26.717203493692864 60.91637541323702 15.92210730899578,7.985433823829322 7.308562466176136 6.333448563548776,-15.420730153117631 -42.64180521205172 20.135250173958674,28.269236379882685 -68.362280866069 -19.35826432084478
-9.803779151633178 5.842593140521427 -3.605258277461729,-12.13129608612954 14.130892321267577 -4.682463769699921,-21.677322019796126 6.40229385936248 -5.905540424827527,31.580878046663496 -8.447100895711475 13.336481689758937,9.237417484996927 -3.5695954742705536 9.770845483201066,-14.51239243389467 26.862250635238194 -30.91221142402653,27.168937654736574 62.78430596148009 16.748441026202638,7.553373822712188 7.248600226519684 7.337825861846789,-16.63331899496137 -43.868164633578736 19.76003345038099,28.633530203052313 -71.0679798995265 -20.643247180109505
-8.181614018266892 7.114664708403386 -3.2328108783923564,-10.724590141287281 14.693121085205782 -4.406403483525055,-20.386758293186606 6.103986374372068 -4.950470256482991,28.56168046954042 -8.242371564077258 14.718277767219464,7.841180134138214 -3.989193742314654 10.14674483557419,-13.517582892203487 26.390992905411842 -31.965086094121375,27.16591032365503 62.63364002212 16.68646526184962,6.162902478939185 6.731971793903172 7.250736290593927,-16.407698077522895 -43.28398987108036 19.3793410858833,29.10114069190473 -74.96137859948735 -22.538944032858755
-7.488089354579131 7.306927580680981 -2.3347280789838294,-9.780385727841603 14.164396379021913 -3.5407712267331117,-19.14645118497246 5.428027357517923 -2.915659337448327,25.403744025301403 -7.299709140201165 15.21380185557667,5.993880046308821 -4.684058267216157 9.612468575085247,-12.337783436414362 25.012780935129726 -34.51501335619648,26.908109270721592 61.40869553656948 16.15575421734617,4.503978589797411 6.009978202476431 6.3663649374851765,-15.217127928820945 -41.63038019414705 19.154183701939274,29.528591854479426 -78.71169838187633 -24.38952477159623
-7.87381778169536 6.205337169453365 -1.3660417314688942,-9.681153715768733 12.842220713453687 -2.6390693041986406,-18.577325032081447 4.859303627544357 -1.6122421832324674,23.999293292581243 -6.546665289934762 14.658657080058985,4.915305707018362 -5.240566020381972 8.478486448255657,-11.698399205789919 24.033002629836663 -36.60579666303586,26.776674490439124 60.86686710617447 15.935807468451824,3.669774806684226 5.528488934446665 5.289622225473791,-14.04760713119053 -40.233988280197444 19.30327536553139,29.71135124831826 -80.38804282304099 -25.237174649040696
-9.382455811643027 3.757574718799175 -0.7353983552185123,-10.698830947756658 11.07303929472195 -2.193957178590508,-19.166073331623906 4.817040458591702 -2.530609983566867,25.841328275075018 -6.767164107844806 13.00224012382335,5.5973254607078236 -5.308887345986656 7.08747148595587,-12.193244562361535 24.55744264566427 -36.57691886374161,27.083211436265607 62.436906968350975 16.65938733082455,4.5342475262637 5.653453202998162 4.574815482815526,-13.77723613720858 -40.260301980545385 19.99703052818275,29.488488819306742 -78.45390703806463 -24.317687069990715
-11.256028231559943 1.1263908907216122 -0.49889308349145917,-12.273879944762248 9.56784448192654 -2.235495968851345,-20.387053056814416 5.22302364619659 -4.736736714462665,29.411000800208726 -7.657988038745862 11.047245378569027,7.310913677405004 -5.021905693983903 6.020467093221496,-13.422945080676376 26.18132070610576 -35.00572555170737,27.613617520209598 65.06367896704585 17.85026761819547,6.317012159411904 6.146837323421727 4.390456486604102,-14.464198798708244 -41.65336161338273 21.041924809217992,29.027780809478507 -74.34685479999264 -22.32696867173403
-12.372069448123927 0.027010882192658237 -0.5523210204110369,-13.468703849026781 9.203382965393097 -2.5834100007683634,-21.25432636806046 5.772860431351738 -6.194248821031652,31.8200187804895 -8.421611903104633 9.98434939385592,8.544579063679183 -4.731987199599981 5.966900245338953,-14.536537721983457 27.81302445215079 -33.487086225329904,27.914758292029997 66.56265872784374 18.527981071440582,7.485479137338661 6.495985300776089 4.729641342551001,-15.793874717801017 -43.801832924967044 22.078956091373374,28.646461471600382 -70.85671599484648 -20.624818513852375
-11.778571087858898 1.8885894193393202 -0.7954325088359164,-13.470149922951034 10.688103526256093 -3.064596372356307,-20.917902973334797 6.187572723722101 -5.14859024558224,30.58672829086393 -8.358501059164396 10.824451185715693,7.995573176543549 -4.7461819533813125 7.479158210508892,-14.7858861803419 28.486826754441022 -33.419740464022574,27.6010308023893 65.07391327333123 17.85825395048374,6.726028372954827 6.26003246321145 5.554432754080258,-17.441350196949493 -46.09666320896922 22.765402483498505,28.622589273245467 -70.43628523717832 -20.407473580405213
-10.055598798167296 5.571722009147899 -1.1703203397553255,-12.588580972674212 13.226472747836334 -3.579144515502644,-19.757279644385708 6.4242971300259715 -2.4005436430516416,26.906714123564424 -7.6626017316789445 12.962445174060345,6.252369645442486 -4.958754498546556 9.886172017030166,-14.357429219426644 28.38714381767981 -34.41284931790522,26.89804022510698 61.67441932332777 16.329376474450758,4.705847127302598 5.648794309671541 6.558780144646814,-19.00685707087531 -47.973932740789685 22.910714508716218,28.879171136849575 -72.48082149682398 -21.387017289031153
-8.586067229563131 8.591008351340983 -1.6412659137215118,-11.723112907631078 15.234829099696872 -4.065498661852772,-18.796238252792893 6.563900864358273 -0.08995956593858878,23.902535484685746 -6.99606873924396 14.946394841564002,4.8944945782400096 -5.047658377243478 11.87574791125895,-13.927348691529028 28.30109864572198 -35.13778537606149,26.351681632325352 58.980175205303325 15.122698820228317,3.13012029282543 5.213060678033463 7.296134191162856,-20.051401370595286 -48.893372721890664 22.404085228326668,29.15315719178108 -74.78335081564953 -22.497795692837176
-8.621163440146594 8.702485900852858 -2.1731916991337656,-11.692078760335034 15.290773078483223 -4.464868024928615,-18.962708045800508 6.680238557896322 -0.15858798052976047,24.395819200730685 -6.962274954937701 15.451261617784445,5.349889535803711 -4.725099825045988 12.25539313170775,-14.108742239452097 28.926802277243546 -34.401024555749736,26.45064494910936 59.33594782319916 15.296521261114286,3.540183464046885 5.4508321108888955 7.371709408392911,-20.170676404105176 -48.391929578082454 21.191594869671416,29.203927919606468 -75.32065953735523 -22.762339974719765
-9.940004801581207 6.348571054511046 -2.735748773393084,-12.402057854979068 13.755852408240411 -4.744208605762193,-20.10784761750258 6.761240035858205 -2.322093908960113,27.836574810161828 -7.497438077049109 14.57695652158233,7.346253258701007 -4.086767019510789 11.162033815325417,-14.79991147581068 29.962029550647426 -32.52950980586972,27.046993473319475 62.06611009460084 16.539358721015947,5.642664501194179 6.268388038175394 6.952855689510301,-19.331940246599828 -46.82331111615826 19.815244594563314,29.046130849211522 -74.16808136402801 -22.211082599211316
-11.435077991048404 3.5896919438038353 -3.3014362651318323,-13.210478323354716 12.066090011927042 -4.8859837501132235,-21.434274313710667 6.743082430581516 -4.955366689852625,31.644079607468317 -8.135946827018472 13.281640731852415,9.587224630523389 -3.4593201252372583 9.533307921360118,-15.468634848115338 30.5020506891436 -30.765964593473644,27.609348934930644 64.67584523268911 17.714701502512117,8.039142904611168 7.215613008605714 6.5454982584242245,-17.726245220667547 -45.033162255073485 19.175960007628557,28.84816139351802 -72.6649095228466 -21.48151711058797
-12.069449686009351 2.3677568466571217 -3.8429622532500876,-13.515520850745531 11.57014756946852 -4.884923346356352,-22.18867180949015 6.5727264842698165 -6.504078174605193,33.3894998361096 -8.432618788701397 12.483785658012124,10.848626595000944 -3.1477944939624782 8.270400386974885,-15.617736286803686 29.724373784258262 -30.270306025471143,27.64192035724895 64.83637096122382 17.762337530041766,9.407327666944523 7.865771751427334 6.623431684349536,-15.570755167466412 -43.823610107354924 20.08202247587859,28.770483052038106 -72.08434887274157 -21.1804317781782
-11.86368961070524 2.826206922556678 -4.335204518297669,-13.332498022175274 12.31178175985979 -4.889766548855507,-22.294648817882567 6.344004920287533 -6.55373599768873,32.941304293010454 -8.27385433986648 12.444034268966359,11.008412314999122 -3.1403632493579052 7.668127723257089,-15.273420764474787 27.963074203000406 -30.98361078345137,27.170953382601873 62.6598028271437 16.74179539646629,9.591690743974466 8.153443458788173 7.1904583834752565,-13.376969486732172 -43.35436410788342 22.094952908931564,28.84521432872074 -72.63323505398459 -21.415690583947644
-11.568821335493388 3.8662200318156814 -4.754539528624683,-13.102996721449884 13.433406349043976 -5.155632026456333,-22.143389534598384 6.252200007560511 -5.477171701738447,31.754787922765615 -7.775089536105784 12.968644729793585,10.705814327414076 -3.2063318400710625 7.602466845191716,-14.82341060007973 26.351108239711436 -32.00506040819213,26.58328236021346 59.94426873295117 15.486047213691615,9.242627532100924 8.262779690392557 7.9257409736773194,-11.859695305271853 -43.341393633411045 23.915091745993337,29.015821410224245 -73.78182568986554 -21.95053328798887
-11.901868998458944 4.415066377573494 -5.084511167896352,-13.247652195827412 14.0960170219105 -5.916595427699809,-22.111819843842127 6.478979117090668 -3.6764897756612873,31.239215629926605 -7.0598557444689085 13.849116424293591,10.560650503271678 -3.1215010517140707 7.938474329616882,-14.633010875793724 25.966032270509043 -32.476135245280176,26.25279603039709 58.42807620816639 14.79978025423367,8.993474210375934 8.375513785163665 8.511591328168658,-11.67398106113362 -43.48892987994496 24.315781874107962,29.220922118947946 -74.97968924284852 -22.53707847523594
-12.823301703214765 4.192066243566223 -5.419924605557679,-13.728283915788454 14.029841058678912 -7.045715981683357,-22.209575188291403 6.9623124236011655 -1.7658939333302461,31.594136788871097 -6.306833090715866 14.787827379046663,10.653970626356958 -2.8308090271476245 8.500894012233164,-14.605951110452207 26.774030973432296 -32.45880831611591,26.239739973339184 58.39408739746558 14.806871820137056,8.961668216276781 8.55827220635199 8.780107765801878,-12.480291518309931 -43.4558662567387 23.475451129150205,29.35105552277561 -75.58235938086816 -22.860981461808148
-13.69527343065129 3.542925991979762 -5.943575053842835,-14.143860791998003 13.415277711598495 -8.130546148714158,-22.15582248476136 7.447444244138006 -0.5273247590806278,32.06240752244085 -5.738315627991122 15.416674752286003,10.6407443150361 -2.412954751534806 9.082588739834897,-14.280927709314232 27.8623701592498 -32.74301645596648,26.356317740171004 58.974137825688764 15.092786431199363,8.856652849626332 8.786650122317054 8.68184594365557,-13.152533390306628 -42.86524116949746 22.683726843778906,29.258738014970376 -74.8710031533509 -22.555335652231385
-13.895815913415182 2.8146882592118683 -6.824324235747455,-14.104862111575994 12.43998357533376 -8.765849060017915,-21.676854081141578 7.682717097896892 -0.6964178801798895,31.89154991225042 -5.56097813061009 15.38552536993941,10.181041347244083 -1.950638022043047 9.47693007233798,-13.210227950597757 28.311001179561817 -34.088418069948645,26.414777468359475 59.299539295365285 15.243370331064973,8.391496143084034 9.03343354243547 8.174683012277125,-12.595692307993618 -41.3640303028138 23.1918095011224,28.808593660064265 -72.19368886693206 -21.285726178584966
-13.425504454897562 2.049676416056481 -7.915356568940143,-13.635663737970527 11.194299756796322 -8.836384622357112,-20.789930254204123 7.578042476200883 -2.025515815500614,30.92409164886995 -5.656659580465106 14.728677415511378,9.25832547113239 -1.5332838356265084 9.503943190416084,-11.401390125732647 27.522334841489503 -36.28543983572678,26.35911944765517 59.09887459962233 15.135963877965787,7.5646056114843905 9.265162144488439 7.295464478023337,-10.730373832771857 -39.08068461902491 24.921979314029876,28.11927488479276 -68.23050188241082 -19.373332479468196
-12.848002576143916 1.014596452906984 -8.784327586744975,-13.135009364304947 9.680545885969835 -8.489213688381838,-19.775490631000256 7.189470371867232 -3.3775763245871944,29.540740662110572 -5.613386259452082 13.828145727405674,8.14856901231901 -1.2564001060651608 9.007761370162749,-9.273725281762163 25.190445264744262 -38.24784213554033,26.25251327271829 58.640955799636934 14.91156271331901,6.632477211973227 9.442725823831948 6.152462415307325,-8.39580776918257 -36.57914758047989 26.594513323907687,27.539201773014142 -64.86633176090513 -17.73231647199387
-12.72761527937216 -0.5136683415869189 -9.008964004975828,-12.999202849704226 7.908484610669278 -7.884855136580322,-18.91533180546221 6.583931288573615 -3.624022150198479,28.134011730626728 -5.028727345043385 13.076078843574782,7.133830297140716 -1.2093801081547109 7.8543654837087615,-7.256307035343195 21.07701582417501 -38.8916992063482,26.16129937055385 58.21013078656926 14.7180959329823,5.854947486109248 9.529082188137226 4.86219902659781,-6.448782789957746 -34.43444338930341 26.927779984467268,27.412694704747903 -63.96583154990526 -17.26766474093938
-13.148364211192543 -2.2666768180254486 -8.664686280066219,-13.235162376277879 6.147360399645357 -7.281791214777863,-18.292615996572376 5.9656240943052445 -2.626577442257715,26.911025111839365 -3.992327525679722 12.806088062259702,6.387306822777815 -1.326780061662249 6.42259127667286,-5.654178802549341 16.33961899493667 -37.961813055614286,26.124369059550297 57.99470731136918 14.640762593921364,5.346194415397713 9.542712705537106 3.6799680717970484,-5.36621461291792 -33.108897981221205 25.652208125707297,27.781474048230905 -65.83776478188828 -18.13776671948695
-13.697652253980113 -3.4677110889008804 -8.341536180115584,-13.447176654444407 4.934725044294928 -7.039799472526245,-17.78511509139669 5.680684796144616 -1.270949912275711,25.887200899180915 -3.102643484459241 13.291256472035515,5.969632680208667 -1.3830528098203219 5.6215726000106745,-4.644135280812714 13.579193364937092 -36.05990016945414,26.152230949760735 58.08368646530065 14.699898138672596,5.069783278968422 9.55951118345554 3.0045547696700363,-5.232225753221401 -32.948305929510234 23.544709174899236,28.374368121300062 -69.18208652405602 -19.729021409591788
