-15.2 -10.8 -2.0,-16.3 -1.3 -3.9,-23.1 5.5 2.6,36.1 -2.2 7.1,6.4 -2.7 2.7,-13.5 17.3 -39.3,26.7 60.7 15.8,6.2 8.0 -0.7,-9.8 -33.5 19.4,27.9 -66.2 -18.4
-17.6 -11.0 -1.1,-18.0 -1.8 -4.3,-25.8 5.1 -0.9,38.8 -4.2 6.3,7.5 -3.4 0.0,-13.1 21.7 -38.2,25.9 57.2 14.3,7.5 8.3 0.9,-12.9 -34.5 21.4,27.4 -63.7 -17.2
-16.3 -1.9 -1.7,-16.3 6.9 -2.7,-23.9 4.9 -0.9,34.8 -4.6 7.6,8.2 -4.2 4.4,-14.3 22.3 -37.5,25.6 56.1 13.8,7.5 7.1 3.3,-12.3 -38.2 20.8,27.8 -65.6 -18.1
-9.5 6.1 -3.6,-11.9 14.3 -4.7,-21.5 6.4 -5.9,31.2 -8.5 13.6,9.1 -3.6 9.9,-14.4 26.9 -30.9,27.2 62.9 16.8,7.4 7.2 7.4,-16.7 -43.9 19.7,28.7 -71.6 -20.9
-8.1 5.8 -1.2,-9.8 12.5 -2.5,-18.6 4.8 -1.6,24.1 -6.5 14.4,4.9 -5.3 8.2,-11.7 24.0 -36.8,26.8 61.0 16.0,3.7 5.5 5.1,-13.9 -40.1 19.4,29.7 -80.3 -25.2
-12.4 0.2 -0.6,-13.6 9.4 -2.7,-21.3 5.9 -6.2,31.9 -8.5 10.0,8.6 -4.7 6.2,-14.7 28.1 -33.3,27.9 66.5 18.5,7.5 6.5 4.9,-16.2 -44.4 22.3,28.6 -70.4 -20.4
-8.4 9.0 -1.8,-11.6 15.5 -4.2,-18.7 6.6 0.2,23.6 -6.9 15.3,4.8 -5.0 12.2,-13.9 28.4 -35.1,26.3 58.7 15.0,3.0 5.2 7.4,-20.2 -48.9 22.1,29.2 -75.2 -22.7
-11.8 2.9 -3.5,-13.4 11.7 -4.9,-21.8 6.7 -5.7,32.6 -8.3 12.9,10.2 -3.3 9.0,-15.6 30.4 -30.4,27.7 65.1 17.9,8.7 7.5 6.5,-17.0 -44.5 19.3,28.8 -72.3 -21.3
-11.6 4.2 -4.9,-13.1 13.8 -5.4,-22.1 6.3 -4.8,31.4 -7.5 13.3,10.6 -3.2 7.7,-14.7 26.0 -32.3,26.4 59.1 15.1,9.1 8.3 8.2,-11.6 -43.4 24.3,29.1 -74.3 -22.2
-13.9 3.2 -6.3,-14.2 13.0 -8.5,-22.0 7.6 -0.4,32.1 -5.6 15.5,10.5 -2.2 9.3,-13.9 28.2 -33.2,26.4 59.2 15.2,8.7 8.9 8.5,-13.1 -42.3 22.7,29.1 -73.9 -22.1
-12.7 0.3 -9.0,-13.0 8.8 -8.2,-19.3 6.9 -3.7,28.8 -5.4 13.4,7.6 -1.2 8.5,-8.2 23.3 -38.8,26.2 58.4 14.8,6.2 9.5 5.5,-7.3 -35.4 27.0,27.4 -64.0 -17.3
