-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-19.678208073022276 -11.410454731939641 0.11583955746771962,-19.53122503931075 -2.133933807927915 -2.7836358575987172,-19.385627162964152 3.5970823939779075 2.9214021205935956,31.61209842922786 -0.13438596530647867 6.714348793296637,3.974852157813354 -3.4221612956929026 -0.10820116551001056,-13.638976227960358 20.864244643059433 -34.435651139245664,28.404116600373083 68.68855851525193 19.564354529803378,4.194072485905039 7.778272041913056 -1.9233168516634462,-11.252923370608533 -31.57997225370104 17.267934945854694,29.556052777248443 -78.68680279602422 -24.429114165801074
-21.043570845406762 -11.707978140570642 0.3349951337157723,-20.62784906674303 -2.349823054708264 -3.1231448359056397,-20.438429335355757 3.3852239944528337 3.7468044162891463,33.80130134481195 0.3729605220610407 6.041432746298858,4.424621217348079 -3.444472337594469 -0.5118164154524157,-14.652186342247234 21.00157237569097 -35.49276012446551,28.144696616751173 67.25262746543079 18.88686998917811,4.692160405713265 7.845172264552425 -1.9859754423450469,-10.202790716379278 -30.568133933520553 18.899317677999747,29.33255884467635 -76.60328925919687 -23.42182640308139
-22.33840567626558 -12.362860369867274 1.148003266121477,-21.091420006383427 -3.3379091888492884 -2.7338022057070748,-22.106228310275945 2.927130571228317 4.840979049447068,36.74228418579228 0.7823752812269638 4.866668353898404,5.6242578957447575 -3.6834436107636863 -1.2572342506955883,-14.246065520013962 20.998647049647843 -36.17672680584954,27.724033514525274 65.21310365559007 17.951526181790296,6.016751189849246 7.617466448033081 -2.5625746560544003,-7.651035885858758 -29.172548428284102 19.493785863297795,29.01704722332124 -74.03407208811878 -22.165813271301364
-23.405029924710842 -13.04539156380381 2.245400492062151,-21.023485782318563 -4.58843365885923 -1.9308832377893312,-23.936845880825864 2.385507894107897 5.968698182427774,39.709722391208906 1.0541941313156968 3.575472110987025,7.248712910143973 -4.055585600259542 -2.0908431721078995,-13.127048938413893 21.1421325166833 -36.39295103358771,27.24442075908641 62.99088389078326 16.942302911306065,7.790332268737544 7.211920372469998 -3.3277133768011025,-4.699092727593504 -27.90127912681727 19.250977168611477,28.697046934220605 -71.56376398139079 -20.948751329921407
-24.08576094985468 -13.425861866354518 3.317723348915113,-20.525594318635036 -5.59163791324633 -1.02966320293872,-25.47810384010665 1.9230617328951118 6.894733977591683,41.978291400101845 1.148752891451646 2.5532605124564642,8.972936977686306 -4.4774087911410225 -2.759031680557722,-12.001571774600368 21.718692628550574 -36.04683265786999,26.808151815825596 61.00686497606384 16.043179981391514,9.635391072802726 6.745299817978155 -3.955990488594751,-2.4483950901300413 -27.262389417945638 18.37052926080344,28.460086998411974 -69.77697763761383 -20.058317138401947
-24.222916110809194 -13.174561421493667 4.055508374057681,-19.699293539419454 -5.8377634005188295 -0.345417371941548,-26.277823981219434 1.7024978573935 7.383858597299206,42.822666651511135 1.0263873807592172 2.185450053198468,10.471880815512337 -4.865423668467116 -3.008188276913428,-11.576069205726725 23.0149912370029 -35.04377152888636,26.51752015013384 59.68194371648524 15.438137195712756,11.174415032469355 6.334370564672521 -4.122004875444942,-2.000376822014896 -27.763942690494773 17.052079806736323,28.393696436932835 -69.25832575538868 -19.782187256203386
-23.744796750852583 -12.103408087967184 4.217767773415565,-18.694858827423452 -4.989589592347231 -0.12837745875954465,-26.019836338499733 1.8350714556839751 7.266548736419292,41.77717461127544 0.6811907118991417 2.728995157243872,11.454439171564088 -5.140511903770853 -2.6687820060610745,-12.351686707399779 25.141026541936963 -33.413517198705556,26.45176825003846 59.34142835750254 15.269769884868898,12.081401226337098 6.082741177289072 -3.6083375913588127,-4.059820180439744 -29.681627064328683 15.572322486248575,28.552670678960727 -70.36323513801483 -20.296791646884294
-23.04842772848705 -10.79637327571143 3.9367943862859995,-17.928193006775373 -3.650450524263888 -0.2742039755989139,-25.12939112527463 2.15156574470952 6.731455460806862,39.791574435320676 0.29127674795743447 3.740566422386887,11.814545502938916 -5.247383767709703 -2.029629226472476,-13.710476339383488 27.243741284018625 -31.86368533535935,26.5644810727596 59.78954631649869 15.45507467198125,12.311140692424356 6.022296441969215 -2.786211665865481,-7.1692451126762515 -32.02438599778889 14.628005546566595,28.81336489655641 -72.19777412363882 -21.172122970666457
-22.689768403186125 -10.09921587042648 3.4714528352461915,-17.905267702225437 -2.742602934393163 -0.5583296347380509,-24.283138884342133 2.387661666145485 6.0886793968027595,38.29556938510791 0.09715700263345933 4.539382607872504,11.508876086210451 -5.13882931867885 -1.5349624410846525,-14.655028607219917 28.143525910612674 -31.331742061074134,26.766635691971068 60.65383722224479 15.834552299703896,11.913635923618925 6.160601087105064 -2.226446512271911,-9.137992900889072 -33.371635895211725 15.058309096942342,28.991628841640832 -73.44437929790506 -21.77254347443482
-23.1008329972694 -10.679493285003106 3.047325380052784,-18.99221574412038 -3.008877329096653 -0.7907630648714544,-24.0367468872007 2.3320396401152 5.611530172578416,38.439431008248135 0.2880587179135485 4.57234516545556,10.533897138344718 -4.789243255418056 -1.5455688166020278,-14.381153537355953 26.92013904603302 -32.53249182220778,26.978216446444783 61.598549714033744 16.263704023777887,10.9603315334732 6.491733623094955 -2.387497755828408,-8.22392904303594 -32.593180331847186 17.44204824113961,28.94050308569381 -73.05452329960063 -21.592116711435388
