-18.4 -11.8 0.8,-17.7 -3.2 -1.4,-19.4 3.4 2.6,30.9 -0.7 6.5,4.6 -3.7 -0.3,-10.5 20.3 -33.1,28.4 69.1 19.8,4.9 7.3 -2.7,-9.7 -31.7 14.4,29.6 -79.7 -24.9
-22.4 -12.4 1.2,-21.1 -3.4 -2.7,-22.2 2.9 4.9,36.9 0.8 4.8,5.7 -3.7 -1.3,-14.2 21.0 -36.2,27.7 65.1 17.9,6.1 7.6 -2.6,-7.5 -29.1 19.5,29.0 -73.9 -22.1
-24.2 -13.1 4.1,-19.6 -5.8 -0.3,-26.3 1.7 7.4,42.8 1.0 2.2,10.6 -4.9 -3.0,-11.6 23.2 -34.9,26.5 59.6 15.4,11.3 6.3 -4.1,-2.1 -27.9 16.9,28.4 -69.3 -19.8
-22.7 -10.1 3.4,-18.0 -2.7 -0.6,-24.2 2.4 6.0,38.2 0.1 4.6,11.4 -5.1 -1.5,-14.7 28.1 -31.4,26.8 60.8 15.9,11.8 6.2 -2.2,-9.2 -33.4 15.3,29.0 -73.5 -21.8
-24.5 -13.5 2.2,-22.2 -5.1 -1.4,-24.1 2.0 5.2,40.4 1.2 3.7,7.4 -3.8 -2.2,-12.3 21.3 -37.0,27.4 63.6 17.2,8.0 7.4 -3.6,-3.2 -28.0 23.3,28.6 -70.7 -20.5
-22.4 -12.4 1.2,-21.1 -3.4 -2.7,-22.2 2.9 4.9,36.9 0.8 4.8,5.7 -3.7 -1.3,-14.2 21.0 -36.2,27.7 65.1 17.9,6.1 7.6 -2.6,-7.5 -29.1 19.5,29.0 -73.9 -22.1
-24.5 -13.5 2.2,-22.2 -5.1 -1.4,-24.1 2.0 5.2,40.4 1.2 3.7,7.4 -3.8 -2.2,-12.3 21.3 -37.0,27.4 63.6 17.2,8.0 7.4 -3.6,-3.2 -28.0 23.3,28.6 -70.7 -20.5
-29.7 -19.0 2.9,-23.7 -15.5 -0.5,-23.0 1.4 11.6,40.0 5.7 6.6,3.8 -2.3 -4.2,-7.1 19.2 -36.9,27.4 63.7 17.2,4.7 8.9 -5.5,-5.5 -20.2 29.0,29.2 -75.5 -22.9
-28.5 -17.6 5.7,-20.9 -14.3 0.1,-25.7 1.2 11.6,41.1 3.2 4.4,4.4 -3.8 -4.0,-15.3 32.2 -40.4,26.7 60.3 15.7,5.3 7.3 -6.0,-12.1 -22.9 28.2,29.2 -75.4 -22.8
-25.3 -18.6 3.1,-16.9 -13.4 1.5,-16.3 -0.2 6.3,28.7 5.6 8.3,5.0 -3.1 -5.6,-10.5 22.3 -36.5,28.7 71.6 21.0,6.2 8.1 -7.0,-7.1 -25.4 32.8,29.1 -74.2 -22.2
-25.5 -19.1 1.1,-20.3 -12.1 -1.2,-19.3 0.8 8.1,37.4 6.4 8.2,1.9 -1.9 -4.6,-14.2 18.0 -40.0,29.6 79.2 24.6
3.0 9.4 -6.0,-6.0 -20.0 36.6,29.6 -78.9 -24.5
-24.4 -18.5 0.6,-23.3 -11.8 -3.3,-18.4 0.7 8.7,36.9 7.6 11.5,3.0 -2.2 -5.2,-14.0 29.5 -39.5,29.6 79.5 24.8,4.1 9.4 -5.6,-14.8 -27.1 31.7,29.9 -84.6 -27.3
-29.2 -20.5 0.3,-24.9 -15.7 -2.0,-26.2 1.7 7.0,46.0 3.9 8.9,2.0 -1.1 -4.7,-15.1 24.1 -37.7,29.6 79.5 24.8,3.0 10.6 -4.7,-9.1 -21.2 32.3,29.8 -81.6 -25.8
-29.8 -16.6 -2.6,-26.3 -15.6 -3.6,-26.9 2.7 8.3,47.2 4.3 9.6,2.6 -0.9 -2.6,-11.4 27.2 -43.8,29.3 75.7 22.9,3.1 10.7 -3.0,-14.0 -24.8 30.2,30.0 -90.9 -30.5
-30.5 -19.1 0.1,-25.4 -17.5 -1.9,-27.4 2.5 9.3,48.6 4.1 6.7,3.4 -1.3 -3.7,-12.6 23.7 -44.8,28.9 72.6 21.4,4.2 10.2 -4.2,-10.1 -20.0 27.7,30.0 -88.2 -29.1
-30.0 -18.2 -4.3,-24.0 -12.9 -5.4,-24.1 2.2 5.6,45.4 6.0 13.3,2.9 0.3 -2.6,-8.7 19.6 -43.3,29.6 78.9 24.5,3.5 11.7 -3.9,-8.3 -21.6 35.7,29.7 -81.3 -25.7
-26.0 -14.3 -5.3,-21.4 -8.0 -7.5,-14.8 2.3 8.6,30.9 9.6 17.3,3.8 -0.2 -0.2,-8.4 30.6 -40.4,29.7 80.8 25.5,4.2 10.5 -3.9,-4.0 -25.8 33.1,30.0 -85.6 -27.8
-24.2 -15.0 -3.7,-22.2 -9.4 -6.3,-16.9 1.1 10.8,35.2 10.6 16.3,1.7 -0.8 -1.8,-9.1 26.8 -39.6,30.0 87.8 28.9
2.4 10.0 -5.3,-9.4 -27.1 33.9,30.0 -87.6 -28.8
-25.6 -20.4 -0.4,-21.5 -13.6 -3.2,-21.0 1.4 8.8,40.9 7.0 11.3,1.1 -1.0 -4.7,-15.1 21.8 -40.9,29.7 81.2 25.7,2.2 10.4 -5.6,-9.9 -21.5 35.4,29.8 -82.2 -26.1
