-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
-24.51727020237067 -3.547174764192411 -4.426622463953307,-19.82370845537056 3.2183882886845194 -6.761534488290985,-20.236244132552944 3.514852979002284 2.767524749341044,32.67558223477551 0.2737806163557473 11.663209958474244,10.876616088908136 -2.6669577217673126 2.7532764883809047,-8.682937147808026 28.862346049354684 -30.330321027248846,28.507842203796127 69.89640716767998 20.169419993358463,10.418141405039355 8.45048401400764 1.6167140116994838,-7.988717125425154 -34.223962148797334 21.250266387807912,29.114417954547488 -74.73276940114549 -22.421385411638834
-25.5248435124803 -2.4488956189249014 -4.45806506466909,-20.82003386453715 3.9566071424824445 -6.8896011523420855,-20.03106348720422 2.9684977098779752 4.116052278896299,32.55371937165227 1.3925169234872392 11.740347120959088,11.193651830703766 -2.9155712823219604 2.4946647401692332,-6.869212336599297 27.011612761358347 -30.06735672393705,28.545949209881393 70.26146671208194 20.342743649131776,10.770836766854192 8.251765989068074 1.5995477662399022,-6.3000492565773145 -34.4025176337927 21.65785795019539,29.091881913384775 -74.59985170123545 -22.320984402817587
-24.677682141649615 -3.3203641209930868 -4.779644728643496,-20.16390780134209 3.166057853083743 -6.902140441718462,-20.371736359020165 3.1744404157637764 2.9093143745089844,33.06197185941782 0.7660835030395388 11.705302365302336,11.392249777575072 -2.624352611445005 2.493668871791361,-7.988769488116468 29.30972023642135 -29.71993082168375,28.78473367030769 72.17858617331281 21.243026532980203,10.991615916764681 8.480832148671627 1.4112678889862997,-7.115028459740728 -34.5892189467574 20.674105728321564,29.286823692588428 -76.4742284221291 -23.237751569349832
-22.830748301199357 -5.176781827192579 -5.176678382372675,-18.630261839627693 1.6981417121783882 -6.817092805985275,-21.04554104306712 3.846187319796388 0.31104282202233796,33.927900146859685 -0.8956450633422832 11.531966569351809,11.513552481710237 -2.0718136389175075 2.719792999673662,-10.671552524102186 33.61858857495404 -29.296867052108105,29.094608237126927 74.63117309147957 22.39332421056399,11.114008686090985 8.91466871630863 1.2146410053037209,-9.114686801199634 -34.837618579462756 19.0503407633456,29.55367510823504 -79.02888108568561 -24.510641507049126
-20.839004202450276 -7.033350294318996 -5.434482952352775,-16.994027553236265 0.4042600114563506 -6.652398694707686,-21.839755834411434 4.6972446451125105 -2.5150305927204117,34.87906468276541 -2.8827941940131616 11.194230610955325,11.598702495297442 -1.5364662945205314 3.142541240242511,-13.5475053662991 37.80013787736678 -28.806989146829274,29.345985562391007 76.60263500668916 23.31669224754338,11.171544906153287 9.330261915469418 1.1724337405572094,-10.98005634723828 -35.201269023680105 17.537894096426633,29.74686797640119 -80.9367912137642 -25.47860881172904
-19.557412056723095 -7.905271079167946 -5.338375365079946,-16.030136516010128 0.13581404260760044 -6.425998557450853,-22.541659028119433 5.441118614848846 -4.405174083876036,35.64302591592252 -4.485489307328029 10.665985367960696,11.688842370524867 -1.296822508035138 3.7314177099242807,-15.246571936449858 39.716288244069915 -28.25912083746639,29.40927829815183 77.07637945904852 23.53618620957863,11.197754408271745 9.504597969644317 1.4474127201118094,-11.392169164140906 -35.73372277118074 16.888096768723816,29.720834113163455 -80.87094032822401 -25.480608079203126
-19.655504484651576 -7.079386454353123 -4.732160402744364,-16.33505040664036 1.482476913527456 -6.1530428018941015,-22.998143393617916 5.8330118500113795 -4.446515321259149,36.03740069885412 -5.122759100522089 9.932360240475292,11.8259086027755 -1.5623914724612837 4.416906065011782,-14.770697147819254 37.85076593777111 -27.71931493502011,29.187500655159052 75.31008084289647 22.703327906907766,11.235007612679173 9.271539470653005 2.12795156927382,-9.390030897482749 -36.4371039192031 17.63998267757919,29.376701903538454 -77.92153203515878 -24.06115198451157
-20.791983887540592 -5.323330638001091 -3.778477030258817,-17.532339993629694 3.6071658597095633 -5.833472512108009,-23.381077406582545 5.855426071211948 -3.093689272974142,36.370729333802146 -4.916321249326453 9.039749057215063,12.056165700942847 -2.1665285463633106 4.91677817114459,-13.149710689007874 34.07694208361005 -27.565596480213795,28.761387350403183 72.05652133655967 21.16994572814074,11.373867541428035 8.774998510289683 2.896886197997228,-5.964064495374465 -37.03318554262292 19.17529271411885,28.870156207853448 -73.45316794452535 -21.88530962273334
-22.282800935114036 -3.906843932653547 -2.7480743245269426,-18.915688753104646 5.189014552941211 -5.462071603428592,-23.972522118958178 5.567935447518102 -1.2650244982703613,37.118014165048166 -4.226160805671429 8.055319154245051,12.427345714261676 -2.8150430616550794 4.876679701867936,-12.101056256292617 31.417546644469308 -28.281773878670286,28.271934468299953 68.57544340908736 19.525327615217755,11.721238336382259 8.264018587146664 3.2995430200807876,-2.7663783667405033 -37.1486794522897 20.483353520031024,28.44319675022738 -69.60165123823798 -19.9981077177938
-23.506593259973627 -3.8674896124919407 -1.892697435204205,-19.860794749595318 5.161561034194573 -5.047239180978504,-24.96991490287603 5.052454354460447 0.2026474631784839,38.61453222536844 -3.4046573687351738 7.064021509770657,12.963194421345385 -3.2487930401135556 4.055962412563089,-13.00398642708831 32.321345273815474 -30.164132826786172,27.853245565002382 66.00716753593986 18.30357181647029,12.343734497731855 7.954846712183433 2.987675113203993,-1.1920198254156715 -36.525066777048515 20.729676201099814,28.296490451290357 -68.14739886223418 -19.271779661408576
