-20.8 -7.6 -4.9,-16.4 0.1 -6.5,-21.2 5.1 -2.3,33.7 -3.3 11.5,10.4 -1.6 3.3,-14.8 37.0 -30.5,28.8 72.1 21.2,9.9 9.3 1.3,-13.5 -34.0 18.7,29.5 -78.2 -24.2
-24.6 -3.4 -4.8,-20.1 3.1 -6.9,-20.4 3.2 2.8,33.1 0.7 11.7,11.4 -2.6 2.5,-8.1 29.5 -29.7,28.8 72.3 21.3,11.0 8.5 1.4,-7.2 -34.6 20.6,29.3 -76.6 -23.3
-19.5 -7.9 -5.3,-16.0 0.2 -6.4,-22.6 5.5 -4.5,35.7 -4.6 10.6,11.7 -1.3 3.8,-15.3 39.7 -28.2,29.4 77.0 23.5,11.2 9.5 1.5,-11.3 -35.8 16.9,29.7 -80.7 -25.4
-22.5 -3.8 -2.6,-19.1 5.3 -5.4,-24.1 5.5 -1.0,37.3 -4.1 7.9,12.5 -2.9 4.8,-12.1 31.3 -28.5,28.2 68.1 19.3,11.8 8.2 3.3,-2.4 -37.1 20.6,28.4 -69.2 -19.8
-24.4 -5.6 -1.2,-20.2 3.1 -4.5,-26.6 4.3 0.9,41.3 -2.6 5.9,14.0 -3.4 2.3,-16.8 38.8 -33.3,27.6 65.0 17.8,13.6 7.9 1.8,-1.3 -35.3 19.6,28.5 -69.7 -20.0
-22.5 -3.8 -2.6,-19.1 5.3 -5.4,-24.1 5.5 -1.0,37.3 -4.1 7.9,12.5 -2.9 4.8,-12.1 31.3 -28.5,28.2 68.1 19.3,11.8 8.2 3.3,-2.4 -37.1 20.6,28.4 -69.2 -19.8
-21.3 -6.6 -3.1,-18.7 2.3 -5.6,-24.7 4.7 2.5,36.5 -2.1 8.9,8.9 -2.9 2.0,-9.6 18.9 -37.4,25.7 56.4 14.0,8.5 8.6 2.0,-9.1 -30.8 18.5,28.7 -71.4 -20.9
-18.5 -6.5 -4.7,-15.7 3.2 -5.0,-25.2 6.5 -3.2,36.0 -5.7 8.6,12.0 -2.1 2.9,-7.7 16.5 -39.3,23.7 49.4 11.0,11.3 9.6 4.2,-5.3 -36.7 17.2,28.4 -69.5 -20.0
-22.0 -5.5 -3.8,-18.3 3.8 -6.6,-27.2 5.5 2.0,40.3 -3.0 8.5,12.6 -2.4 3.6,-14.2 31.6 -37.9,24.8 53.0 12.5,12.0 9.0 3.2,-8.9 -37.2 19.5,27.6 -64.7 -17.7
-16.3 -8.0 -4.5,-15.8 1.2 -4.4,-20.3 5.6 -5.6,29.8 -6.4 10.7,10.6 -2.1 2.5,-10.0 28.7 -26.6,26.1 57.9 14.6,10.1 9.3 2.4,-7.4 -42.4 18.0,28.4 -69.0 -19.7
-12.2 -8.3 -5.3,-13.1 -0.1 -4.0,-18.2 5.7 -4.7,27.5 -5.5 8.5,6.5 -2.1 2.9,-8.4 18.3 -34.9,27.3 63.4 17.1,6.1 9.1 1.5,4.3 -29.3 21.8,29.0 -73.9 -22.0
-16.3 -5.2 -5.3,-14.2 2.8 -5.0,-19.3 6.1 -5.1,27.7 -6.6 11.6,9.9 -2.0 4.5,-9.2 28.9 -30.2,27.1 62.4 16.6,9.2 9.2 3.5,-5.3 -37.4 21.8,28.3 -69.0 -19.7
-12.5 -6.4 -5.7,-13.0 3.0 -5.1,-18.8 6.8 -3.7,28.1 -5.8 8.7,6.5 -2.0 5.0,-10.1 18.0 -36.5,27.4 63.5 17.1,5.7 9.1 3.5,2.3 -30.7 30.2,29.3 -76.6 -23.4
-10.5 -1.0 -7.8,-10.9 6.7 -5.7,-16.9 7.2 -6.0,25.1 -7.5 11.3,5.6 -1.9 7.8,-5.8 11.6 -37.8,26.9 61.5 16.2,4.3 9.2 5.9,2.1 -23.0 34.7,27.9 -66.4 -18.5
-14.7 2.9 -9.2,-10.1 9.3 -3.7,-6.3 4.9 -4.8,14.7 -4.9 10.6,11.9 -1.4 6.5,-3.1 24.9 -49.1,27.2 62.6 16.7,10.8 9.7 5.3,-6.6 -36.0 30.8,27.4 -63.9 -17.3
-13.9 -3.6 -8.4,-13.4 4.7 -7.2,-17.5 5.8 -0.7,25.4 -2.9 14.0,5.9 -1.3 5.8,-4.4 13.9 -34.8,26.2 58.3 14.8,5.0 9.6 3.0,-5.6 -33.5 22.3,28.7 -71.2 -20.7
-17.2 -2.4 -10.5,-15.4 6.6 -8.8,-17.5 5.1 -2.4,25.9 -2.8 16.6,6.7 -0.6 5.7,-8.4 25.0 -33.6,25.6 55.8 13.7,5.9 10.3 2.9,-4.9 -39.1 20.2,29.3 -75.9 -23.0
-13.9 -3.6 -8.4,-13.4 4.7 -7.2,-17.5 5.8 -0.7,25.4 -2.9 14.0,5.9 -1.3 5.8,-4.4 13.9 -34.8,26.2 58.3 14.8,5.0 9.6 3.0,-5.6 -33.5 22.3,28.7 -71.2 -20.7
-13.9 -4.2 -7.1,-15.0 4.8 -7.4,-21.2 6.7 -0.9,32.3 -3.8 11.7,6.9 -1.4 6.6,-11.6 22.9 -37.9,25.2 54.6 13.2,5.9 9.2 3.3,-9.2 -37.1 19.6,27.2 -62.5 -16.7
-18.8 -6.6 -3.7,-14.9 1.2 -3.6,-21.8 6.2 -2.9,30.6 -5.6 8.8,10.8 -2.7 2.5,-5.9 15.3 -39.8,24.8 53.1 12.5,10.2 9.1 3.8,-6.4 -35.5 20.7,28.8 -72.3 -21.3
