-7.9 0.0 -0.7,-11.0 6.8 -0.6,-21.3 3.4 -4.4,30.0 -6.2 10.9,6.0 -5.1 3.7,-16.5 26.6 -31.3,27.8 65.7 18.2,5.4 6.2 2.6,-14.2 -39.9 21.2,29.7 -80.4 -25.2
-8.276330216103865 -4.225989806139603 -1.0997525529471437,-10.6986106291677 2.737792901126238 -1.8843425659968416,-23.661281422156623 3.973918181145408 -1.5519579920832207,33.53659114850185 -4.74329268399616 8.62559602937971,4.388477485137228 -4.633299253840295 2.7265628507061885,-17.919118122837553 27.830546186166575 -40.270837142803686,26.251225270979397 58.516843193823014 14.859676518652437,3.983614307421967 6.599307573467924 1.0085615152883658,-19.252848025167097 -36.69307679238113 20.242813241611596,28.808791728998102 -72.72077486177017 -21.453336086402743
-8.73195924513482 -5.54052666756487 -1.4931863710809745,-10.87478680019034 1.7049607492114829 -2.690484344837431,-24.093259859051717 4.353127859325162 -0.924765536831122,34.562664650718204 -4.418848391552927 8.161929632987887,4.0416601634656715 -4.339779300540453 2.6905113700454306,-18.31839634048728 28.22758357316489 -42.6699960730834,25.95625127055503 57.19449429220368 14.222075487821318,3.6520782721651495 6.823180305826925 0.6582118265048001,-20.821902700793057 -36.263236745457775 20.262357172335708,28.46104470044315 -69.58941605211086 -19.933540607637465
-9.270117906681381 -4.870748251860972 -1.7891316081194166,-11.369021045471964 2.711642776714978 -3.089228380559855,-23.264192075212186 4.5906604388445444 -1.7342175374142996,33.86749957872458 -4.863189357691637 8.846183445563147,4.557685331618293 -4.20308411377831 3.260537017230534,-18.027450643166347 28.113669718808517 -40.68012576648927,26.46093385937552 59.614102906114724 15.315203887726282,4.065028145292587 6.899545319643201 1.1586012239480492,-19.987650669144696 -37.60223599323731 20.861017439149617,28.49130791200713 -69.6370908013761 -19.968668986767007
-9.894037020332066 -3.143792226613081 -1.896418417780393,-12.02180589741662 4.767978216095966 -3.1513777172022,-21.842334835164962 4.7395473240088375 -3.1961088970033464,32.240375004596494 -5.712837817433627 10.015540101844088,5.534690286228051 -4.206857667231704 4.105331251474308,-17.375897021091923 27.81136218091104 -36.48387519867144,27.311128898089464 63.656818646528926 17.167068698586974,4.882100177867319 6.85632973748295 2.1193799979168566,-17.830578572488832 -39.701830669727045 21.641179689030615,28.734130361362034 -71.49496633991976 -20.886776646854212
-10.606947405675395 -1.286796259406367 -1.7238769537818288,-12.673633888428357 6.884106299813687 -2.9477353988025543,-20.495944903436957 4.852819919123325 -4.526234518768856,30.47057000040945 -6.604316005800232 11.00718223656933,6.570812323927907 -4.334743934578471 4.893585531989557,-16.69335146448119 27.643218517286044 -32.26389334528004,28.052692247345487 67.20379112441901 18.805676900623045,5.762930620952388 6.721460681912373 3.150198438709967,-15.431173053092273 -41.55377690893432 22.205229568955996,29.024061046179852 -73.79420989809583 -22.01591901096191
-11.412079882299885 -0.22689801782600272 -1.1803373698416473,-13.164997550911213 8.070166260327383 -2.5491044693990026,-19.89327904455509 4.983509628493287 -4.940389305881423,29.34736363823895 -7.174146157812791 11.158292484477471,7.26418874135082 -4.570386889496448 5.293991317989093,-16.309429963551306 27.9317962857471 -30.202829181965228,28.231479767792173 68.13616995075773 19.259035474054127,6.367155725610829 6.522865275497665 3.8607068366261252,-13.869920753221836 -42.149830844866464 22.155552725903036,29.195648964132573 -75.16598870625826 -22.684151502152936
-12.315418616114492 -0.6943464246135573 -0.25070327742022136,-13.390616848451398 7.550534540680634 -2.0463520241806896,-20.496912207169373 5.15903880015218 -3.854806460020849,29.46865063999709 -7.107848793753223 10.017980850508456,7.302420605041158 -4.876176914352113 5.04678372347297,-16.386745935697945 28.7817782675516 -31.90563968394212,27.53840932257388 65.00153027620517 17.858244846633177,6.432500384112484 6.301360794575917 3.9238879179982904,-13.929758011457945 -40.74743694060883 21.22418051966286,29.124156561384073 -74.57696701051835 -22.38462426695224
-13.33795705851856 -2.3460930264213697 0.6654233368058347,-13.540821123658283 5.717456454042127 -1.6397200922429884,-21.648188395696295 5.2672274248605335 -1.7783662004941576,30.389034395640348 -6.358048229221121 8.290634603110933,6.8608018132348025 -5.0986449308552535 4.282202974312866,-16.177533571957994 29.110148951809553 -35.828115992964086,26.455173619646914 59.980325218485724 15.5866553103995,6.122373210649495 6.168032464171034 3.3579677976063267,-14.771588579120476 -38.05238342660381 19.849880510182793,28.906787042939524 -72.82270012429647 -21.510466440723537
-14.505778000835434 -4.475156310599152 1.0278247987069178,-13.906174778001128 3.3591776208929582 -1.5665374926001625,-22.30826526842851 5.148559206064631 0.4095571287233225,31.309359668074475 -4.9679381816863275 7.072371763289261,6.279992870097645 -5.04503630118175 3.262732006247385,-14.625336196926915 27.431168771261188 -39.35823190439441,25.731600848245495 56.48484207481682 13.987861094662666,5.744523411933656 6.257791925085282 2.298237520565904,-15.006318327238937 -35.26156210805209 18.711059963210968,28.715999159143585 -71.31888269619175 -20.75997151869285
-15.842134811950189 -6.4372579408284 0.42540216606766396,-14.727732222864805 1.2049459749051126 -2.0139542549842018,-21.688280588693065 4.688821083256762 1.951104016908046,31.61974187416302 -3.042559020999731 7.233183682631221,5.89086852541505 -4.5746290414312405 2.23288056462424,-11.015840262911402 22.74826761546906 -40.31222136461855,25.96192957022603 57.2379949571821 14.295597311527292,5.594516506696341 6.668750619199636 0.9129907693822953,-13.480689373619485 -33.39802163212317 18.371537262475403,28.692306879453334 -71.21417008447656 -20.700409118490025
-17.352185424751102 -7.99042997327678 -0.7276433944982187,-15.929851433951596 -0.3948024132087578 -2.848478574028467,-20.597749725577113 4.063358549867363 2.8663407633451103,31.920836515069997 -1.081447625434435 8.196956803333311,5.960957148265921 -3.8791934478761245 1.3216964356988732,-6.821310375471259 17.190874463641148 -39.24676991035836,26.74539279810931 60.55388677334192 15.761894970886972,5.889366443303873 7.2638845701356995 -0.4193218591575023,-10.550372032713387 -32.37208494412459 18.662110169598474,28.771831076648112 -71.9486595936569 -21.060733539097228
-19.03397094359266 -9.050930774945044 -1.6925250382810724,-17.312335541729997 -1.238615950132834 -3.810512096750475,-20.474820558292066 3.5613987753051304 3.4812873123618404,33.28939738629078 0.2607059705417012 8.818833013227898,6.732873348823077 -3.281267074743811 0.6128168964037336,-4.373979465616297 14.117855348713011 -37.796366568511516,27.289893714836275 63.01266091861913 16.859392516318664,6.81519329956606 7.813692424663189 -1.237596290096635,-7.164489202664205 -31.656446516266893 19.125283747414425,28.81030602089622 -72.29048269603392 -21.240194595939087
-20.855873327207387 -9.546398155423228 -1.8330957650357118,-18.667093609323437 -1.185405715009396 -4.644202382945236,-22.46635886578182 3.431815045685809 4.08786209705654,36.52342253110648 0.44574044983407146 8.147832206576838,8.358026625992512 -3.060737050073281 0.18763636006726295,-5.596972366924724 16.310276843466525 -37.38445152526695,26.930086130127968 61.725930205100255 16.297376898258168,8.475625213171016 8.113192854032787 -1.1629427994062769,-4.221896455141805 -30.811838996984374 19.35474043050991,28.691612534394444 -71.25181585066849 -20.75628644326469
-22.56355719120962 -9.487124904407514 -1.2902337673543125,-19.728961816066242 -0.5449416090788053 -5.124109515780802,-25.51936640465547 3.6182323210246548 4.716259175474339,40.317905862850324 -0.1861721074343472 6.69991151296479,10.303000787845193 -3.174683389985191 0.11151388229810671,-9.324099532271356 22.185777921179373 -37.829360841789764,25.960006563101505 57.82970370536351 14.577217882504154,10.355038953459292 8.143299597960397 -0.43567897527898336,-2.2330930814256944 -30.06834249604065 19.333869713804088,28.51255718688737 -69.69056054010065 -20.020865526716953
-23.801420788359394 -8.920985838615229 -0.558119383154302,-20.206826124403456 0.16800746438569153 -5.038621714052602,-27.580598497199112 3.9254835511648465 5.277670308125407,42.411635656238694 -0.8954940968200038 5.658023259911418,11.722999280558856 -3.4334103738309243 0.44251747288595233,-12.984504734032399 28.178009975206702 -38.21961288984622,25.109909010173414 54.289825413141735 13.015119437278337,11.656246626296522 7.969450201952969 0.42233296230275313,-1.531998374775723 -29.96037975743509 19.22325527038829,28.466760813727827 -69.30384278744762 -19.852441923198327
-24.279056900886026 -7.943180676628581 -0.08727280567512807,-19.87955005376164 0.4674373403121142 -4.238987690097883,-26.88573033389282 4.167344495604608 5.709745604014634,40.9125898251459 -1.00802950464517 6.046998696505701,11.881480211951272 -3.6563205572433546 1.1985988689580496,-14.260438371498243 31.055785700683977 -37.76182822267425,25.03141199742422 53.7641206645693 12.790767509644036,11.690999492903668 7.663708481220082 0.9211567349703436,-2.318715675293524 -30.88226795603958 19.174916725185,28.71777516222466 -71.52472811143454 -20.941642481553565
-24.29032229650927 -7.068058423720666 0.07583284299137782,-19.149424297750112 0.13230114191909886 -3.134816292368178,-24.284365244073733 4.243322526740336 6.190736138017862,37.25449272621849 -0.4484894586059675 7.455760059741662,11.018471707917488 -3.7502877265548147 2.0413072518449287,-13.147706102247522 30.65704939537967 -36.74548394352824,25.65736425221423 56.08954161658329 13.83342784114435,10.752371801704648 7.353280326690524 0.8673482016364159,-3.6113067075227914 -31.968839041970373 19.25679226063966,29.157435562651855 -75.40061583698554 -22.823717527996
