-25.6 -15.4 4.9,-24.0 -6.2 -1.4,-24.7 1.5 11.2,44.0 3.4 1.7,5.9 -4.4 -3.9,-8.2 6.6 -39.4,26.8 60.9 16.0,6.8 6.8 -5.0,2.6 -24.4 20.1,28.4 -69.5 -20.0
-25.997235611346994 -15.093832882024868 7.410094563865295,-25.214318068130893 -4.743766181630738 0.09739849908782275,-25.370758912194855 0.524961671866761 12.41779392807211,47.147345555768844 3.1428159217897864 -0.8612610069217149,7.059043546442367 -5.501114758897182 -4.356831933454719,-9.603153922985454 11.27355702057665 -38.91460687870749,26.94992571609085 61.50259427770965 16.23082428303822,8.13987716127344 5.444309032912982 -6.439586401230885,7.698642798235277 -28.173076956042205 16.49490247088659,28.412920124467817 -68.50923879379627 -19.42295104397545
-26.203769384573704 -15.139747235771429 8.062613631500138,-25.91808159457675 -4.211062038276956 0.3398245247406288,-26.28222667632243 0.2646072274337058 12.447192387944376,49.18722874598251 2.7916124539185887 -2.1630442330709476,7.647147810385854 -5.756998331294156 -4.4439110351499655,-10.292326040681877 12.12400379086851 -39.027450143002916,26.90493594402074 61.28358942545863 16.107809202862377,8.779889731423193 5.067986665647014 -7.014673259157952,9.22515392057839 -29.126954387437593 14.356119832974953,28.00001580842017 -66.23038847640777 -18.329788124413025
-26.296860094179845 -15.47606194486285 7.454193949499631,-26.28688018435069 -4.376820179404903 -0.25465942511045364,-27.34323834637207 0.48048687448448885 11.747107321554108,50.45009251939676 2.4184046681526836 -2.594191770537985,7.801270347793315 -5.427853328631806 -4.310075067400628,-10.58940186386112 10.522910914926339 -39.473070174218705,26.712926869516348 60.455014560095634 15.724909591119689,8.90413798278278 5.371618917073846 -7.01056488074777,8.475877030815482 -28.091435180875326 13.146851788088737,27.337459723440485 -63.25997574636919 -16.972116798537442
-26.353766514665125 -16.041095892922304 6.181472264458873,-26.496303442465845 -5.015973214480831 -1.2679908525342936,-28.462628976333118 0.9341508208027641 10.77645067083862,51.2663798247674 2.0952076362583467 -2.5435457114131164,7.658368714627604 -4.773882362351015 -4.10416179252159,-10.816266903295046 7.841848996800915 -39.98600735368729,26.421794678304373 59.22889879846935 15.176080279457375,8.69672218768572 6.05579180606523 -6.712565572966912,6.747155792732699 -25.896322223044564 12.330298038051591,26.601424541112205 -60.194527302215285 -15.601542623573414
-26.451747420529255 -16.773167963572956 4.841085322972965,-26.721940973935347 -5.90345375297099 -2.2821072595997633,-29.549233620194926 1.3871492741721858 9.994134377735225,51.9665336108502 1.894036430001853 -2.399948147786631,7.35540046685158 -4.055288043892667 -3.9750089728277445,-11.294806669755513 5.452388640543007 -40.300802062741084,26.07943555611149 57.81727125742849 14.55527609952265,8.341742618465535 6.821091351492923 -6.4059796427819515,5.33533387011619 -23.371418400634482 11.36965828468717,25.968082933018763 -57.63056984248078 -14.469671156745653
-26.668061586271932 -17.610597040437973 4.0296698716370045,-27.139382383772315 -6.814194404341631 -2.8789461483757326,-30.511887331946827 1.6010324423764082 9.859070384181232,52.88099682640096 1.8869061211494773 -2.552241171748817,7.029323160428094 -3.532272984697645 -4.071454370633974,-12.346906674014377 4.72610045020338 -40.15199468271252,25.733745688664385 56.432161053821716 13.956451882962728,8.023299547455743 7.368103572228672 -6.376111397159459,5.5367549267521 -21.346526600334233 9.728132229819117,25.61360757074359 -56.164630065700386 -13.828107955278867
-27.013949070009325 -18.449779123757015 4.174681234771684,-27.827834642867646 -7.530603065771356 -2.7416177911954067,-31.233724269337227 1.4104723930853325 10.653675550719512,54.17515640280459 2.1090458481028307 -3.255784557221992,6.812241216279555 -3.4041822554606402 -4.465288997335401,-14.1203159922849 6.648738007292047 -39.3413271022839,25.438710847807002 55.30281153287579 13.479436972569788,7.901831592863264 7.4637150620660675 -6.816543072468259,8.229813465443877 -20.552900248236202 7.094078534400965,25.67588527580628 -56.280106736110135 -13.881447685289608
-27.140762851886127 -18.958576476255395 4.7813179730903705,-28.341095164617546 -7.875837585349132 -2.104754432573017,-31.45777558666223 1.0487495573520307 11.698241107482817,55.11463128068252 2.3951540089784453 -4.038287434828387,6.809803215463827 -3.5386089069728297 -4.808299787079985,-15.81351573504802 10.10285494518334 -38.0368760230552,25.281512896944122 54.75230576724453 13.256084366945835,8.008790866793895 7.2362359850151625 -7.420853424531691,12.014542479921602 -21.184571216414792 4.383262333174503,26.084095650593618 -57.84370559599777 -14.578015076722703
-26.577825607857847 -18.72736027188816 5.04206035234039,-28.054805790713935 -7.686873281169574 -1.3899980713369404,-30.879566392084048 0.8843042616895176 11.986821277126559,54.65994758590035 2.511933153377799 -4.180727571991871,7.118687108016259 -3.6906557052049522 -4.6098589321581445,-16.30310977487908 13.257853063936667 -36.530934745086746,25.360589811186188 55.13554595058911 13.429105627555833,8.331892810771816 6.936527802185264 -7.713080315483486,14.718429448882361 -23.253410600227088 2.9276370447299787,26.69664997321465 -60.5130244711238 -15.779238996404331
-25.003196951970494 -17.425150728605637 4.2919754264251395,-26.497004095795912 -6.82255034554054 -0.9763630701614187,-29.299944442219303 1.221796103623239 10.712555202831565,52.011286087874645 2.261929071301781 -3.1128545504618033,7.804918532219336 -3.6551660542416347 -3.4861283854444567,-14.731522080485782 14.605781790604135 -35.11237491419697,25.73264637589289 56.64738262873536 14.074609190945607,8.84858106578928 6.78519373475399 -7.2815317326220566,14.580098648928876 -26.598267650379793 3.7630966152958485,27.372310718681952 -63.88120680121702 -17.314294936230638
-23.045426071765586 -15.223634325410064 2.778327304923683,-24.169872385838847 -5.281270641704133 -0.969671761563931,-27.192611442619913 1.957872682208689 8.341655808613975,47.90087767520422 1.676939457359483 -1.2157733626909328,8.738818338154525 -3.4813541975994564 -1.7359827502531469,-11.940410481079201 14.702852906721224 -34.04757627769514,26.187813839358835 58.46038428775481 14.843308228533877,9.470927308638698 6.808970539431135 -6.1258303422917555,12.46775042026164 -29.953983143218107 6.0327007743826,27.972448135360256 -67.13085740184253 -18.806830806936304
-21.706884112925316 -12.492193224915045 1.1071418335472938,-21.95871835938956 -3.1163248171298883 -1.3683016596132425,-25.295898598989652 2.82871287757371 5.841028447823152,43.66349953630272 0.8789254317017838 0.7552485120466483,9.71373783390847 -3.318476933644523 0.07319650064042443,-9.439731487713068 14.917101105710229 -33.59407265151211,26.411381645830506 59.34506189304155 15.21861045628997,10.085292807133655 6.958348432842265 -4.407366454607591,10.28378190079967 -31.621197816288344 8.135068688384463,28.359458093533878 -69.28311866261498 -19.799661730571003
-21.827806227307487 -9.619845153185212 -0.17378858020561844,-20.636211756671667 -0.45551042201080444 -2.142925920128204,-24.25415142803864 3.5861940642278585 4.077047074781219,40.499062411628735 -0.0026440211400476274 2.1376703669827233,10.539440411470634 -3.295184539643992 1.4215358271964083,-8.533073784242728 16.412332714761877 -33.93546875011385,26.151857102505534 58.321093484987635 14.788946479694765,10.58946891753112 7.183425979085444 -2.321936779174834,9.618280735856501 -30.244228629336725 8.704719778251775,28.428058559210772 -69.57096392001158 -19.934130438560526
-23.02349013031712 -7.139585873053673 -0.9606617164205167,-20.12182328774696 2.014550995080522 -3.057991671160338,-24.000791668527594 4.103030236469658 3.151735885908354,38.58331800094425 -0.7835104157284031 2.9723857913286773,11.150386323594875 -3.3835004810102487 2.1509425004796636,-8.961455977426294 18.803278301034325 -34.70005875774726,25.634622827885437 56.287514115126065 13.934849256177284,10.967589755131897 7.432729984119301 -0.3209433933808794,9.696188110048539 -27.057426157242894 8.16200580371011,28.315802557340774 -68.82187087947304 -19.59332462888361
-24.352272156728002 -5.649875883553778 -1.3515512881934146,-19.947086372452645 3.353148675457465 -3.784178041082744,-24.145994273620648 4.306878056350015 2.819580269700762,37.62634766337398 -1.2545032709916275 3.620129800488847,11.53773368666869 -3.484232271402968 2.2678203070850915,-9.755418602592052 21.000326031547615 -35.263645171830255,25.301889764816124 54.99787535516028 13.397009255226823,11.243048242138677 7.65407259815165 1.0279915521813778,8.667047233415056 -24.47279189422123 7.7392707253769935,28.270656710882122 -68.58831537967724 -19.49759273492765
-24.971123520864445 -5.636230212222841 -1.4531828687081763,-19.68269274102216 2.7782658364345743 -4.033899584262157,-24.306532787181226 4.145310656092419 2.8401181719345123,37.302490542249195 -1.2386486047807554 4.411438282280487,11.701347098313345 -3.5086679640145615 1.804268517523201,-10.032795170105114 22.036126086988023 -35.080185216483855,25.54191482103579 55.994542821732935 13.827764002669547,11.439143442314315 7.802076806897675 1.2480935756255647,4.953102923185009 -24.621830737663814 8.525606157820663,28.51028813573618 -70.25994400179871 -20.293317396667533
-24.939028837454302 -6.576882461860607 -1.4401866708255293,-19.264898620242114 0.9304178213390101 -3.8948923856230566,-24.172318268455452 3.74054792597812 3.033363854215948,36.9890845012957 -0.8463900356484834 5.393997252848047,11.715976031860942 -3.464478279835382 1.0135214069026766,-9.71944373675514 22.062036328832107 -34.309912011932276,26.2534758967771 58.90371188306896 15.077672396073401,11.576583557177274 7.891962032126385 0.6756383263188788,-0.5503287385197438 -27.089086117928638 10.299926541372216,28.977990195157275 -73.74603269208576 -21.95406276678757
-24.787652597940543 -7.422223013149116 -1.5227768097035335,-18.821526106192092 -0.8044339947179713 -3.6515713540554997,-23.471587850048067 3.3063294698874204 3.251022834066288,35.90783054988063 -0.33878592468307284 6.467271601674918,11.695611698962542 -3.4098411135982376 0.26469408609816136,-9.164649486706898 21.815648269186912 -33.483166709330966,27.078850404786785 62.347451897311885 16.57713923885614,11.67471910503898 7.970701897828715 0.0729621259336034,-5.651974181502052 -30.124423475338133 12.154577375240297,29.47327684566696 -78.18010239259678 -24.100817571174794
-24.986087982029055 -7.231563955017652 -1.8945078111918079,-18.466447559218572 -1.1693297162839487 -3.5747501189125273,-21.996912462463936 3.046245901743347 3.3354409778760274,33.416202224797175 0.027861123236110265 7.531703254002176,11.743304574336328 -3.3915063219398376 -0.09656847221399223,-8.714999112903543 22.018595984702824 -33.074319088734995,27.687529410697035 65.06171961114251 17.803755832644622,11.749740730465362 8.084713826497065 0.1331985930960259,-8.350738640726853 -32.099841809138184 13.25501246829853,29.80957542438511 -82.69126025203086 -26.347115502681202
-25.295664518608817 -6.268735829362093 -2.5689165592009875,-18.147702204316953 -0.34510799640085765 -3.7726278413743297,-20.219630454536983 3.0477034106230136 3.0267351992994245,30.326243412900116 0.06174567142507695 8.511929638144032,11.84240204388256 -3.330300857017092 0.015632546424534086,-8.648941873491918 23.168553700959183 -32.92954882877828,28.061578365811613 67.08410693159536 18.77479905154554,11.784451183462886 8.271552529403095 0.7757338478323272,-8.78356814418641 -32.807285531702625 13.606169175971685,29.96130113114875 -86.43419681079398 -28.260324017346935
-25.05142418847592 -5.523053197150441 -3.4511149300744774,-17.713447617319456 0.6214033964808967 -4.255460643526305,-19.019903230864045 3.3281300600852544 2.0034496969244415,28.326088808110597 -0.39009093559402186 9.347161185235663,11.904154069209607 -3.0712080385292833 0.5307502944413561,-9.203887705117788 25.628304150204052 -32.51667537758283,28.371326936911885 69.23618338362641 19.8325995346732,11.74154361432728 8.563434688051938 1.4539242506005663,-8.37515522441624 -32.89393518951519 13.718607574363359,29.99983249697365 -88.57901154038095 -29.380004548859247
-23.661768934147894 -5.898621197013638 -4.431603164625903,-17.035633081034796 0.7602171755221504 -5.015786309972745,-19.202986436562227 3.89374065598999 0.00569212202747872,28.95775036212085 -1.4517863474602284 9.97974372735566,11.848862831871308 -2.483360588496258 1.3711599033997228,-10.582575704979 29.674759342755703 -31.357616706323395,28.772175422697067 72.24052295462151 21.274853668782807,11.589908329187287 8.980591901486806 1.6607621208592631,-8.485204685428405 -33.00335737850346 14.087349367149447,29.992631644953224 -88.37090342462224 -29.286305549349294
-21.547290362338977 -7.08341504412851 -5.233224274348111,-16.307738287761673 0.23521608295575352 -5.836949822071519,-20.54526172289146 4.619763535991752 -2.429008534596342,31.742361790998338 -2.886047263293326 10.389525858054743,11.725152566828054 -1.7577710546742717 2.3962700420189833,-12.551954429353502 34.51132868003395 -29.73195713280219,29.19571027160358 75.41715040427437 22.77187882692012,11.38114916033148 9.391057108004855 1.4775090738246783,-9.416938370313297 -33.58276803005011 14.920094739741542,29.94009371725367 -86.01192842023724 -28.082847146470744
-19.827734408881113 -7.925387050032156 -5.463014637023117,-15.945335078819443 -0.006513982972437882 -6.3577994732735945,-22.112431969764135 5.290950164150111 -4.2123168459906735,34.80516647816393 -4.205927552638672 10.58226062235609,11.670283979391538 -1.3077854876990842 3.4219962703218223,-14.577956869897246 38.59991626768356 -28.442627265550225,29.418921982452073 77.11730134235191 23.56064004812864,11.224003026797666 9.557734378942333 1.391764626950494,-10.743828884548048 -34.94375689598114 16.226080990160845,29.796288378006 -82.36507661378819 -26.23482941781926
-19.564112494445304 -7.336910727364701 -4.762628180686484,-16.336521232642195 0.9285494282449009 -6.241569001580307,-23.004138013524905 5.700795756811545 -4.32290238106019,36.3446414960649 -4.946399004060399 10.565938337907129,11.814138542872836 -1.5204795313937294 4.267162252864614,-16.146256748396702 40.48263581363473 -28.239358817211397,29.234739429301783 75.81262667414805 22.934647838496932,11.222400337783409 9.261726272467603 1.8637186903402112,-12.03357806424651 -37.34804999979858 17.98333718115329,29.521330119090354 -78.30928274550423 -24.21391470978641
-20.6850172741522 -5.495116915844414 -3.349259993777742,-17.372239248334367 2.856046968981767 -5.576433546939875,-23.069483671512074 5.807157521235922 -2.954760239623137,36.13380791721199 -5.061527823900167 10.37538912305634,12.144076821947696 -2.304461358346499 4.809413921271062,-17.14361555495838 40.18191114432068 -28.880285860777036,28.732491967468555 72.15231454316489 21.203262903121466,11.387625967024853 8.600423068949292 2.8002619239606634,-12.990283695852321 -40.32216233029458 19.744974870998103,29.183929682698437 -74.76702161727302 -22.48034602848112
-22.22347764131891 -3.5773590442741274 -1.8952670027104377,-18.550260595252755 4.739185627245304 -4.7866295475152985,-22.750279193533693 5.69787694908197 -1.2630153944665299,35.19090156215723 -4.836817478949222 10.066669124555387,12.534747931291221 -3.1899472056929272 4.972916297430053,-17.77399163436605 38.89085676942046 -29.339345898695786,28.23591475520066 68.50763992141914 19.4792224482027,11.6576968534833 7.921348507263552 3.6707129756134997,-13.42591114456011 -42.81117347445189 20.728063218878994,28.938680233148233 -72.69520131890911 -21.48533549174737
-23.21885905688579 -2.7306825418578824 -1.0582878277488315,-19.371112939473452 5.569760506329185 -4.288880899312671,-22.484451459362006 5.466346163074967 -0.38308223876461905,34.52253598973875 -4.56218353448799 9.700972989632287,12.85707531078723 -3.7159893871570793 4.698167760640664,-18.235296496921794 37.7881192326373 -28.62812106745558,28.060607769061647 67.19000208168723 18.84714639054846,11.963652884923441 7.563159436971692 3.9610136016557607,-13.175540308268383 -43.79532409554447 20.19559961420985,28.93376307735109 -72.98339208344215 -21.64680517453082
-23.30555705619041 -2.9886600783961264 -0.9713634974386587,-19.596058088973603 5.341817583175018 -4.177404097674052,-22.32211827328667 5.244623464254495 -0.5623119096459157,34.25364682592127 -4.437901404342513 9.427588898348906,12.969466183301106 -3.7920607603589436 4.216738303376382,-18.441211699239062 37.15500384054905 -26.899440674776184,28.241275053181365 68.44504840875571 19.424389060281477,12.140375232838856 7.561178130511847 3.7092287525242065,-12.46398621810472 -43.24111462255655 18.475408846542976,29.14813951705291 -75.20178303360383 -22.744158730343944
