-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-35.34701644837177 -22.520427888745864 6.251965941160649,-33.705876537969324 -14.764223731987832 -0.7697338661450472,-32.79974626097243 0.9627143279539616 13.109553668965564,63.33682480864699 2.9136560921030417 -3.70009452336712,8.68614743389173 -2.9879369742013187 -7.12162122530782,-11.604252408139612 16.239814738778144 -46.70102364003369,25.914962423990087 56.91692385249055 14.157833784831993,9.953095284838017 8.722968253336921 -5.5255693594160045,14.608491421853847 -7.4049147686392685 35.50072771795465,26.783389258947395 -61.154989001588945 -16.04272062667864
-35.90956405775946 -21.64047900349674 5.707212075352844,-34.394916108430756 -13.56325034964508 -0.09483708694972683,-33.47669724069376 0.48303362944856015 14.540814970630395,64.9211577564757 3.6059887967925466 -3.9543433293314587,9.370151564637641 -3.017961454980942 -7.070110108532844,-14.690894203264424 22.817174286302397 -45.93938572379899,26.45975460003367 59.20261512446048 15.189546352349614,10.639750621580808 8.611738398021702 -5.763874340484703,15.318020372350796 -9.146988518734807 33.57857245946162,27.261085899995162 -63.34840556757596 -17.064044626167693
-36.28744604291244 -20.180878649991257 4.192291716495741,-34.410979141066434 -12.45341918026623 0.00855732422361588,-32.104020225314414 0.5842508241380853 14.904408887623259,62.11503105554816 4.7381710177099965 -3.0636234983971202,9.130237183317165 -2.6270278011009993 -6.065757198323772,-15.411161590219786 26.581841715952557 -45.609106237202944,27.069973285391573 61.96052148762907 16.436829938073984,10.240854796414089 8.879496117664518 -5.427025478840291,15.312483464299365 -10.6358278060386 32.719357336721274,27.775531588033658 -65.68876557180627 -18.14849975768935
-36.38046561858013 -18.662352133968042 2.33375817850849,-34.09792606555848 -11.491069551145777 -0.3756836459873629,-29.854882500984782 0.9896588316768248 14.510960402572932,57.48047691792645 5.871375658496871 -1.7288121110682106,8.34462908100974 -2.0520903713236183 -4.728853043329315,-14.616290773851045 27.583580101108417 -45.50420516615256,27.581215237324628 64.3940906137156 17.54137677752622,9.237296595523594 9.339427095875545 -4.827133310116974,14.975777310508077 -11.581039186302638 32.708905461933966,28.169167987953244 -67.48458488812514 -18.98061378046581
-36.08842599951191 -17.605624761165732 0.7581647753102474,-33.799617311589024 -10.732540789578206 -1.163693010945007,-27.90245135385528 1.4225505717190672 13.671094498108186,53.57952755567265 6.56677562279465 -0.6507862478488364,7.391552048794801 -1.5301035244109293 -3.679688192198178,-13.157517959003558 25.8721525151498 -45.41870249655484,27.829077213093665 65.70677017443941 18.144879106227435,8.10996480509505 9.804717016264958 -4.276308369948949,14.691798523785453 -11.692229215278916 33.33303994730008,28.28443676464428 -68.04437939037781 -19.24491445371926
-35.31113040045718 -17.531421837322945 0.09206482082016243,-33.85991330884018 -10.234172222858003 -2.2716037840116607,-27.4198940700763 1.6062189639191 12.695436156857788,52.974215180848766 6.385543814244815 -0.5304229892431005,6.649230877751778 -1.298021619125059 -3.5385531935790633,-11.886079350522671 21.49732203145649 -45.14661821431682,27.649155969959512 65.10200784151974 17.889029159698744,7.3397482113141805 10.088551562442928 -4.086661193970415,14.844443716940008 -10.67900444871942 34.377583905019954,27.963779582997105 -66.67666495240954 -18.625929536671897
-34.033524318034885 -18.77491547738721 0.7788397126817592,-34.51916005779304 -10.037024549905103 -3.582028942096698,-29.25654759562123 1.3392879539757847 11.878724837750493,57.46880474813692 5.050831153297052 -1.8164416279534867,6.405701871816286 -1.5233023044534828 -4.716562081310502,-11.432310616930966 14.656071084447545 -44.54689105465472,26.934814298824147 62.06385357162849 16.54219729945441,7.283851240597581 10.05009391023984 -4.484647757578356,15.730954307730471 -8.359093226582376 35.65086265431305,27.115178083045702 -62.98112299635594 -16.942068010901387
-32.704688401929396 -20.659773797135042 2.2633478640579576,-35.45341652801134 -10.098870256503233 -4.794854068525016,-32.49645622509248 0.831032653331228 11.42910342499174,64.73675317807634 3.168777481695079 -3.5829765751396896,6.457357860423595 -1.9945566055849324 -6.484547332438172,-11.22235484479175 6.347917337452538 -43.832350592750934,25.894314312962653 57.6060013668783 14.563312914871613,7.625239175276 9.799143816049959 -5.229796305863451,17.176189234432954 -5.139626941696427 37.08386753966591,26.003891226117734 -58.14466238711938 -14.741564043147271
-31.931081983584736 -22.166684715879157 3.65186908667121,-36.14740356594255 -10.349240508848682 -5.548005646704675,-35.62508983234917 0.42997153541140826 11.525351685848193,71.05084536987403 1.6449260186768997 -4.4380687879423615,6.433885485379009 -2.3719364515833314 -7.726695407092968,-10.274038189960098 -2.1554983606194336 -43.335823507029986,24.84269400744825 53.260816055848984 12.645459754816347,7.8182566750314795 9.530486744394533 -5.923309496666009,18.844832254847976 -1.6275914363392807 38.64918343112708,25.01632336293115 -53.892388161440444 -12.820120505755954
-32.18097952825684 -22.448197807208114 4.167648362110837,-36.17470314402286 -10.713422157108788 -5.570417938441872,-37.31960637163661 0.42623427050990503 12.301387749345702,73.25923253480079 1.259975790900856 -3.2376816923909257,6.019837005459586 -2.3672257875291116 -7.527040217536438,-7.831528806326865 -9.651522023499037 -43.36237649346416,24.048550624296098 50.32830897431496 11.377077753067269,7.403329180844772 9.41704561530362 -6.2273869555908705,20.39767558309957 1.5975567781813265 40.32288978152194,24.48344628996262 -51.69231472692827 -11.853187454699711
