-34.7 -22.3 5.2,-32.0 -16.0 -2.1,-28.9 2.3 10.3,54.8 3.1 -1.6,6.7 -2.3 -5.6,-5.3 6.8 -48.1,25.6 55.9 13.7,7.7 9.4 -4.4,12.8 -5.7 38.7,26.5 -59.8 -15.4
-36.3 -20.1 4.1,-34.4 -12.4 0.0,-32.0 0.6 14.9,61.9 4.8 -3.0,9.1 -2.6 -6.0,-15.4 26.7 -45.6,27.1 62.1 16.5,10.2 8.9 -5.4,15.3 -10.7 32.7,27.8 -65.8 -18.2
-35.2 -17.6 0.1,-33.9 -10.2 -2.4,-27.5 1.6 12.6,53.2 6.3 -0.6,6.6 -1.3 -3.6,-11.8 20.9 -45.1,27.6 64.9 17.8,7.3 10.1 -4.1,14.9 -10.5 34.5,27.9 -66.4 -18.5
-31.9 -22.3 3.8,-36.2 -10.4 -5.6,-36.0 0.4 11.6,71.7 1.5 -4.4,6.4 -2.4 -7.8,-10.0 -3.4 -43.3,24.7 52.7 12.4,7.8 9.5 -6.0,19.1 -1.1 38.9,24.9 -53.4 -12.6
-33.8 -20.6 2.5,-34.9 -11.4 -4.9,-36.2 1.2 15.5,68.3 3.9 3.6,4.1 -1.4 -4.5,-1.4 -19.1 -45.8,22.9 47.1 10.1,5.1 9.8 -6.0,21.6 5.8 44.4,24.6 -52.3 -12.2
-31.6 -19.7 -1.0,-32.4 -11.7 -6.3,-30.0 1.8 17.8,59.6 8.5 9.0,2.3 -0.4 -3.4,-2.6 -12.7 -51.0,21.8 43.7 8.8,3.2 10.8 -5.4,14.9 4.1 49.3,24.6 -52.4 -12.3
-30.6 -19.0 0.3,-26.8 -12.7 -4.7,-27.4 2.5 12.6,50.3 5.4 6.5,4.0 -1.2 -3.1,-6.5 -3.0 -47.7,22.8 46.6 9.9,4.7 10.2 -3.8,7.5 4.2 48.4,22.2 -44.8 -9.2
-31.2 -19.3 1.3,-30.5 -10.0 -6.0,-33.7 1.9 12.9,62.4 3.6 3.5,3.8 -1.5 -3.7,-4.8 -11.8 -49.5,21.9 44.1 9.0,4.7 9.7 -5.2,17.0 6.4 45.4,23.2 -47.9 -10.4
-30.1 -24.8 4.6,-31.7 -9.7 -7.4,-41.1 2.0 11.5,70.4 -0.3 -6.0,5.2 -2.1 -7.1,-8.4 -11.6 -47.4,20.7 40.7 7.8,6.6 9.6 -6.2,24.1 5.3 39.4,19.7 -38.3 -6.9
-29.3 -25.7 6.1,-29.9 -11.1 -5.5,-38.4 2.0 10.6,65.3 0.2 -7.4,5.0 -2.6 -7.7,-9.0 -9.8 -46.8,20.4 40.0 7.5,6.5 9.1 -6.8,22.2 2.6 35.5,20.0 -39.0 -7.1
-26.6 -23.6 5.3,-22.7 -13.3 -4.4,-31.6 3.7 13.5,54.1 1.1 -1.8,4.4 -2.3 -3.4,-7.0 -2.6 -46.1,18.6 35.6 6.0,5.3 8.6 -5.9,12.8 0.7 39.5,19.7 -38.2 -6.9
-23.1 -13.0 1.8,-17.7 -2.7 -6.0,-25.4 4.7 15.3,40.7 2.8 5.1,7.3 -3.6 -0.1,-6.3 -19.1 -51.5,19.3 37.3 6.6,7.3 7.9 -0.3,8.0 -2.5 44.0,21.0 -41.5 -8.0
-22.8 -11.2 0.0,-15.6 -2.7 -5.3,-21.3 5.1 13.3,33.1 3.5 6.7,7.0 -3.3 0.6,-4.5 -19.7 -52.1,20.2 39.5 7.3,6.8 8.3 0.9,6.0 -2.3 44.0,22.4 -45.4 -9.5
-25.9 -13.3 0.1,-11.9 -7.1 -4.2,-20.3 5.6 13.3,28.8 3.5 5.7,10.8 -2.8 -0.1,-4.7 -22.1 -51.4,18.5 35.4 6.0,10.7 9.0 1.2,4.5 -5.2 39.3,21.5 -42.9 -8.5
-23.5 -2.7 -6.0,-7.5 -1.7 -5.1,-14.3 3.7 6.1,16.5 1.7 14.6,10.9 -2.5 2.2,1.3 -24.9 -51.9,21.3 42.5 8.4,10.4 9.2 3.3,-5.3 -11.8 44.5,23.4 -48.5 -10.7
-20.7 3.5 -10.6
-4.2 0.8 -6.4,-15.6 3.3 0.5,19.2 -1.4 19.2,14.3 -1.6 3.2,6.2 -28.8 -53.9,24.2 51.1 11.7,13.2 10.7 6.9,-8.7 -7.2 46.9,23.4 -48.4 -10.6
-22.5 0.8 -8.2,-6.2 -0.9 -7.1,-13.5 3.7 3.3,16.8 0.4 16.9,12.5 -2.1 3.3,5.5 -24.8 -54.8,24.4 51.8 12.0,11.6 9.8 5.0,-8.4 -12.1 44.3,24.5 -51.9 -12.1
-23.1 -4.5 -5.9,-9.5 -3.7 -7.7,-17.9 3.6 7.2,25.0 2.5 13.6,10.3 -2.4 1.2,-1.6 -8.5 -53.0,21.0 41.5 8.0,9.9 9.5 2.8,-6.4 -7.7 42.9,24.2 -51.0 -11.7
-18.5 -3.4 -6.7,-8.8 0.9 -10.0,-18.4 4.4 6.3,27.3 1.9 12.8,9.5 -2.1 3.1,-5.1 0.4 -53.7,20.4 39.9 7.5,8.9 9.4 3.0,-3.8 -2.4 42.1,23.6 -49.2 -10.9
-18.4 -6.1 -9.5,-9.3 0.4 -14.7,-18.1 5.4 13.4,32.0 7.7 15.1,8.5 -0.1 4.8,-8.1 -27.6 -58.9,21.0 41.5 8.0,7.9 10.6 1.8,-1.1 3.4 50.1,24.4 -51.8 -12.0
-20.9 -9.3 -7.8,-12.3 -0.7 -15.6,-23.5 6.4 11.7,41.8 4.7 13.9,6.8 -0.2 4.6,-4.2 -3.7 -60.0,23.2 47.7 10.4,6.3 10.5 1.4,2.2 -7.0 45.7,24.0 -50.3 -11.4
-14.2 -14.7 -10.4,-12.5 -2.9 -15.0,-23.5 8.7 7.2,40.0 1.3 13.4,2.9 0.6 3.2,-9.6 -24.0 -54.6,22.3 45.2 9.4,2.3 12.0 2.3,-0.6 -5.2 42.9,21.6 -43.1 -8.6
-16.5 -3.5 -11.1,-8.5 2.4 -15.5,-16.6 6.6 9.3,27.2 4.6 16.1,8.4 -0.1 5.7,-2.6 -7.2 -58.6,22.3 45.2 9.4,7.4 11.2 5.0,-3.8 -7.3 43.6,22.9 -46.9 -10.0
-13.9 -8.6 -11.1,-10.9 -1.5 -14.3,-19.7 7.1 6.5,32.0 2.2 14.9,6.0 0.1 3.8,-6.2 -12.0 -57.9,22.0 44.3 9.0,5.2 11.6 3.5,-4.5 -4.6 40.9,21.6 -43.2 -8.6
-13.8 -6.8 -12.3,-6.8 -2.2 -13.3,-16.2 6.9 2.7,27.9 1.2 13.1,7.9 0.8 5.6,-2.4 12.3 -53.3,20.7 40.8 7.8,7.1 11.7 3.2,-6.0 -8.4 39.7,20.3 -39.8 -7.4
-13.5 -10.4 -10.2,-11.3 -3.9 -12.0,-17.5 6.9 8.8,32.9 4.9 12.3,3.6 0.1 4.4,-7.0 -9.2 -57.2,21.6 43.4 8.7,3.0 11.0 1.3,-3.7 -3.3 43.6,21.8 -43.9 -8.9
-12.9 -10.4 -10.0,-11.2 -2.6 -13.3,-21.9 6.8 6.4,35.3 1.5 13.8,5.5 -0.3 2.4,-7.5 -8.3 -56.1,21.5 42.9 8.5,5.0 11.4 2.8,-6.5 -9.5 40.3,21.4 -42.7 -8.4
-18.5 -16.3 -9.9,-15.7 -6.7 -13.0,-19.3 6.7 8.0,37.7 5.6 13.8,2.0 1.1 1.8,-6.6 -18.2 -54.9,24.1 50.8 11.6,1.8 12.2 -0.3,-1.3 -3.6 43.4,22.6 -46.0 -9.7
-20.7 -10.4 -8.3,-15.6 -5.1 -10.3,-16.7 4.6 3.9,28.9 3.0 13.6,6.3 -0.6 0.7,-1.7 -8.7 -55.5,23.6 49.1 10.9,6.2 11.1 1.1,-1.3 -7.7 47.0,21.6 -43.2 -8.6
-21.7 -15.2 -7.3,-16.0 -7.9 -10.2,-18.8 7.0 5.3,34.0 2.1 8.5,4.3 0.1 1.6,-6.3 -12.1 -53.6,25.1 54.0 12.9,4.0 11.7 1.4,0.5 2.4 46.7,23.3 -48.0 -10.5
