-23.5 -16.7 -6.4,-15.1 -9.3 -9.9,-25.6 5.5 4.7,47.1 2.4 7.6,5.1 0.6 1.3,-5.3 -11.1 -56.3,24.0 50.5 11.5,5.1 11.3 -2.1,4.8 6.3 47.3,23.3 -48.1 -10.5
-23.895083549549856 -15.010576076134724 -7.133240110415249,-15.204981108179522 -8.217242761044126 -9.295088445558445,-25.012374965426805 5.438659204081069 5.33735498583511,46.80355754770915 3.1040246281139217 6.677355700568102,4.718133147615943 0.5187189101652369 1.8509676629583054,-4.984424140184746 -11.050789082186157 -58.868402507897066,24.160107328241658 51.026951330781166 11.717382202694107,4.636631080043924 11.265449588595567 -1.6997155459474786,10.580866762834185 16.342843032826586 45.292636782630126,22.985043719839744 -47.32758101170044 -10.179816236697107
-23.421603326216847 -14.595959715788032 -7.522048014732522,-15.500158282252503 -7.408840103781361 -9.685435576412786,-24.93280922272796 5.60802252566224 6.066437536358937,47.18390975534047 3.4692029501473494 6.949520282871231,4.198385613029436 0.49890319894202556 2.11104587421431,-5.418660905992294 -11.467485463340099 -59.384367944499765,24.353401851265275 51.60084668040843 11.945779244739201,4.086042090552448 11.312276439876346 -1.3989401788870233,12.233184989091054 18.84038241869918 44.56718808168636,22.96557651442393 -47.320349310956004 -10.161268437864171
-22.455859054529576 -15.059835557780907 -7.603431316891848,-15.971352798015516 -6.824822151417263 -10.64345014595568,-25.18169347731174 5.885149459739593 6.858238835369659,47.86399411143013 3.597889053978812 7.938746894289748,3.628918724259409 0.5001162465346161 2.106848516524083,-6.252885014015453 -12.342876537390014 -58.38244435840758,24.495635201417628 51.98935588524196 12.096043410170722,3.5274056824532436 11.39557301442199 -1.2067605813844033,11.198884589469342 16.135742100873983 44.77099901119904,23.092311335953337 -47.67909547577703 -10.292072946960777
-21.37415045901667 -16.005888240934343 -7.414397620833262,-16.604385931265142 -6.415219027157386 -11.741540907579768,-25.579418434586415 6.147099501309212 7.683750066665455,48.46674810451429 3.5924370274868402 9.167288682204008,3.0978938093247947 0.4819214331472586 1.8649894726436917,-7.137271180847037 -13.669749698264095 -56.397179798219994,24.502559011045484 51.960148781641905 12.079026983024123,3.039894506673984 11.470431772812145 -1.132263436005388,8.919895474667786 10.572046022607234 45.551414685198544,23.215961136628735 -48.004610084173834 -10.419946107446515
-20.55277726420674 -17.037802404069325 -6.991954530496802,-17.38507895779796 -6.130060854207291 -12.552116614677711,-25.946374799960267 6.27093214536718 8.513962414044503,48.615109223129075 3.555200958549966 10.157398793994373,2.6934721962445254 0.403882138984203 1.412082625329206,-7.7219941230798606 -15.440892339890544 -53.963122312536484,24.28992491249563 51.28089520596841 11.80558224733485,2.7026812141423413 11.49194517562646 -1.184535425315747,6.8381475553851185 4.4924181271551475 46.55578021771521,23.187238868650898 -47.89768371415676 -10.392604262780969
-20.368039194628405 -17.759262686006842 -6.373109649822494,-18.299253153410547 -5.919377755772532 -12.647586020642159,-26.10295327884156 6.133706886909575 9.31986706130498,47.93201495581066 3.588534935046718 10.431330377041197,2.5038152130375297 0.22556174424969921 0.774741857336693,-7.657228557306732 -17.649091856197547 -51.61481994995654,23.773484538114825 49.71926499458165 11.186561487138356,2.594938455785985 11.415205683444583 -1.3726632318812486,6.395570742320077 0.23998235777394505 47.43144072277939,22.856857484220605 -46.959106943736124 -10.057763756423727
-21.09217327885724 -17.882306381582712 -5.611374564157897,-19.312446747300253 -5.766773160364581 -11.736404877805798,-25.945934157263643 5.663178960918686 10.02218281798539,46.2645975237564 3.7513440879219133 9.635294260169559,2.5940706538315723 -0.06679357944245977 0.006141749326690158,-6.73150619148376 -20.073541572686675 -49.83884434751285,22.93497168285159 47.23375163051718 10.207428874776703,2.771689436369256 11.217587259773845 -1.694077261943929,8.592334593285013 -0.3399097442199766 47.9127138292653,22.137635802330554 -44.95608874304017 -9.324868438061527
-22.430140754240156 -17.709632387368284 -4.850228825042764,-20.279629227361657 -5.838868273971765 -10.268660396933054,-25.788519373551708 5.063460713339727 10.267579271432592,44.68213934516684 3.865680743213663 8.09123037163278,2.903932897123404 -0.3414820630579773 -0.6957530875557394,-5.4875826274304655 -21.329071898266033 -48.86023387536837,22.115807954410755 44.82308337221735 9.260379520961108,3.156311759371852 10.99792677168472 -2.0826661951571777,12.020445477333897 1.8845923275980447 48.208029447315134,21.28094964745625 -42.56303277092879 -8.439856610219252
-23.89455130787394 -17.74422079741204 -4.26365827044315,-21.01827849604244 -6.364341865703095 -8.945911758770796,-26.085110881287342 4.632371500955159 9.609801555758382,44.66832882677043 3.6732853135850654 6.350204475536674,3.3305576491203563 -0.4174809369328731 -1.0838827215911404,-4.72395527273973 -19.635701731245998 -48.81534635341022,21.77937769795139 43.83871068973209 8.875522629934874,3.627544713220639 10.89624665799164 -2.4507730189310686,14.455351169314314 5.125246703532951 48.686579207744984,20.65297255950477 -40.7619537415094 -7.762764921684366
-25.07591777053889 -18.36691610008564 -3.9895331211225824,-21.41384561654978 -7.463625942783087 -8.361400337236375,-27.1812580856626 4.600200383322663 7.762538876341518,47.35431461239237 2.9953963628247853 4.884815824447405,3.7906451914844363 -0.16480155961049447 -0.9831377699252415,-5.0846763601202785 -13.692538904704206 -49.76247306456941,22.272439196854997 45.28901568165103 9.4480839377792,4.0896114238566925 11.018417519123657 -2.7178152111471916,14.131444654088062 7.735049657514018 49.603092160704996,20.569556336940476 -40.41220192322774 -7.610973928432678
