-31.7 -22.2 10.6,-32.4 -8.1 -1.3,-37.1 -1.9 14.4,68.8 -0.6 -8.4,8.9 -5.6 -10.1,-14.3 0.3 -45.8,23.1 47.6 10.3,10.8 6.0 -9.0,27.5 -6.7 39.1,24.3 -51.2 -11.8
-32.32859607385865 -23.2118238274845 9.500026643789548,-32.89905861863148 -8.043457908573503 -1.6767664629588266,-34.823281160650915 -1.7183103409910774 15.561582482862656,67.3900061943169 1.6701727926300833 -9.85273736997091,8.614065773240066 -4.698810075578355 -9.764437860920836,-12.355749448184133 3.2453752304950747 -46.10774636148113,22.23166926834447 45.114569419758396 9.380376739350268,10.483413425425594 6.7051722524934805 -9.489531435094689,34.98150555591481 -2.7298515899920464 42.94547577811779,24.125106335915945 -50.69629155195909 -11.54298003360501
-32.53518845421005 -23.660607501970457 9.141608181307435,-32.84760879183866 -8.146884951096396 -1.6370560665205243,-34.58681940193884 -1.6147378404482842 16.44517801369327,67.58801540564426 2.0101200069606127 -10.669094565039705,8.356057921141552 -4.282382931805938 -9.390695177019905,-11.282512570429517 3.418261783035184 -46.83100336116328,21.621202593534104 43.37996556425393 8.738181217851853,10.190046544019475 6.922638600771625 -9.908842696282646,38.282789318770526 0.5823431286778196 45.67406687026116,24.172274533800472 -50.94308041352018 -11.63206517083845
-32.504559446193745 -23.705638373095848 9.283667450671208,-32.519259510627194 -8.384657413381445 -1.321067793305482,-35.62637884695085 -1.5983254983711652 17.165360736162217,68.81957111764186 1.1618539056828685 -10.90273685126701,8.11236233605702 -4.198174694897198 -9.018329459343054,-10.812753916470568 1.9032055711966 -47.75150119133954,21.21619698191523 42.24484148349092 8.31670927058813,9.913815879223419 6.811613815219772 -10.281693870620781,38.72959656754541 3.3688361215297813 47.615573482528944,24.385610674556975 -51.7472912336755 -11.977071031601096
-32.42149135494928 -23.50620379049867 9.685127289998412,-32.18761976600275 -8.731151581241413 -0.8690006259340899,-37.17772361877399 -1.6781163147592657 17.836704793939894,70.51021681396945 -0.1326132485118655 -10.60732949471346,7.869364910339023 -4.293641491066586 -8.686898218936133,-10.678938036041705 -0.2152474914443987 -48.650970044302966,20.96424943983414 41.55785022747371 8.059256732642464,9.648637954479184 6.531312666223257 -10.631845045166012,37.6476725812177 5.761879354084026 49.09979582102001,24.709220839088882 -52.91584866141728 -12.487813235793729
-32.47076648561621 -23.221591103816912 10.104910537406601,-32.126298548970965 -9.160743740489066 -0.42105354702673814,-38.47661784049532 -1.8631532896121308 18.573784330696686,72.08549597828683 -1.1312691929323078 -9.836537761439681,7.613451536340117 -4.416239446528546 -8.435958966844991,-10.613529478877345 -1.852551491311538 -49.311140112346635,20.81295697363715 41.1676448462066 7.909119439098229,9.388429293228544 6.240949924167421 -10.983056306975252,36.36276263876566 7.893724791860739 50.456534091833234,25.08721110829961 -54.255677345737745 -13.074107403317129
-32.83716714333407 -23.011087662688567 10.301940031013311,-32.60890485053749 -9.647810176937163 -0.11742553920381599,-38.758825635201916 -2.1624794229293043 19.491173490102966,72.9709520942537 -1.092101664887176 -8.644026917506306,7.331008106412859 -4.413424687497531 -8.305069214115472,-10.348992794711899 -1.9241605148285412 -49.513741587763604,20.70991658967055 40.92287838969391 7.809593225038794,9.127106418913263 6.099740359437599 -11.359087743105412,36.200612019167515 9.896624400380109 52.015588501067434,25.46368756309255 -55.57370193562914 -13.645769154072074
-33.640612689841234 -22.99517810577998 10.105070956763711,-33.80288038031342 -10.147083608468742 -0.06058834546860949,-37.491912798084385 -2.573513011576081 20.633355069729777,72.74273421618342 0.4831758915584872 -7.159165837818588,7.018260612462798 -4.1793033062284355 -8.328093251155689,-9.701760046470723 0.25984905828176996 -49.116850585090944,20.61515879200821 40.705267401550145 7.7169719834965775,8.865527182838932 6.223059950178722 -11.769070229695403,38.10628395317193 11.819961499853441 53.95997769558808,25.777358815079733 -56.65865466832711 -14.10655863388513
-34.64743586102175 -23.082822294634887 9.724379913166523,-35.2969183539935 -10.506213994464028 -0.14735163646830157,-35.40706294382564 -3.0303027403979326 21.662723709113767,71.79798583326817 2.7642308583241233 -5.924005619406616,6.725076269204221 -3.8622838244300883 -8.50785997944467,-8.94599444700425 3.2382008277942305 -48.39472687672127,20.55649266951413 40.57676707216636 7.658405773010305,8.642388617970507 6.487306764854142 -12.142386591744788,40.94963395046825 13.261378506557973 55.67257167735655,25.93751031289575 -57.2000956937113 -14.327225851614413
-35.50407544226441 -23.11125639057048 9.499207836868937,-36.4834702795687 -10.536541733906773 -0.2047893051965457,-33.663926493309894 -3.445409962506396 22.112115814095514,70.8122327572627 4.470223189080883 -5.620529410718458,6.519510926445867 -3.6970034858794594 -8.836674838566141,-8.511066425207114 4.820190723133894 -47.762749551286525,20.584709634746964 40.66044780900886 7.685070520119171,8.509218245308778 6.687846379242793 -12.381378730767121,42.8968572757489 13.665341789905082 56.26492650429215,25.843450715931773 -56.853957947104625 -14.167327757789055
-35.912266442307285 -22.951788247924313 9.698743257758466,-36.857004226548845 -10.108839670999355 -0.09257534386644214,-33.21259361291196 -3.740497270866012 21.636234438978057,70.34867759277913 4.571965836894113 -6.7345992079635195,6.453704461306984 -3.8662601158578624 -9.287536510322207,-8.736882190840923 3.316549879863981 -47.572375184958936,20.732391728213777 41.03468594800268 7.83017336639014,8.50281183109696 6.658197779921012 -12.411823702535449,42.481432533022094 12.66019706599887 55.09738538723676,25.436034988848707 -55.42031110375993 -13.547233201078543
-35.92749359379611 -22.693683437998665 10.143502457526822,-36.56449602427023 -9.473613950368271 0.1210666472387096,-33.66265614161499 -3.8954601912183224 20.668712641219955,70.25177151601707 3.6496954197330895 -8.498891188456438,6.478060748275118 -4.221351198430787 -9.710201598908077,-9.391213283227831 0.2440246388368459 -47.76611216718633,20.915714214135246 41.49211844171477 8.012045726696279,8.565819396025258 6.475952245289972 -12.309299034134835,40.586003236716905 11.049365849685417 53.120489261384726,24.92149155846743 -53.61988082358316 -12.77572422799654
-35.74436931490876 -22.51192902007382 10.477541561898835,-36.00954896572799 -9.030717589971546 0.28589173374400123,-34.09649581152328 -3.9130969192193987 19.94953206657963,70.08328499433114 2.91662541577578 -9.65321091862182,6.502971490449845 -4.483197083465545 -9.905956324349564,-10.016814041304219 -1.619731737767911 -48.1256319711554,21.0050702563643 41.71300262405723 8.103839068341523,8.603863992856397 6.314693250406194 -12.208297896838106,39.0171256419138 10.098420055245427 51.910194472813856,24.610418673255953 -52.53548134962087 -12.31434351098532
-35.54828204898654 -22.555614493314582 10.39804801191289,-35.58414729191301 -9.12235691320919 0.2716558232055065,-33.75895273001182 -3.804154593643286 20.109393519071855,69.52790242844411 3.3755030332876133 -9.145352733777726,6.456434586214325 -4.414886623524702 -9.717400448500847,-10.194861632956583 -0.018276834280587365 -48.43063899023064,20.897796667107144 41.44437972773192 8.004462700786164,8.541790755285778 6.324445891516429 -12.22356977207793,39.316005253965706 10.837923484385385 52.75691722490038,24.760944872015283 -53.06648641569551 -12.545975459707117
-35.45281392892356 -22.77770558666161 10.004586560800888,-35.58836072611525 -9.654921935711595 0.09986680963993179,-33.12498464286246 -3.638693291660303 20.95240309173081,69.19891021165792 4.43634667149033 -7.49470580320093,6.399452296591029 -4.098687814978611 -9.298416377494132,-9.799270746823625 3.3660193846375615 -48.44894978247821,20.69449573446867 40.93709539784979 7.8071709750013145,8.449536533108757 6.476502366073098 -12.320459727168947,41.01351066261037 12.5243864281214 54.7944099961781,25.23508859513553 -54.7274708680188 -13.259755445653203
