-34.8 -21.9 5.7,-30.3 -14.6 -0.9,-28.7 1.8 19.2,56.8 6.2 -0.7,8.0 -2.6 -5.4,-5.7 -2.4 -48.9,23.0 47.4 10.2,9.1 8.9 -5.0,18.3 1.1 45.4,25.3 -54.9 -13.3
-33.308753801585475 -22.079378373832405 6.1646343454785315,-29.774777131235403 -17.471237042492234 0.2261649733287699,-28.235431084581617 0.9252803796096616 21.4236043756898,55.902692213083924 7.336727697757722 3.380517129563993,6.290507686112042 -2.5909201188022806 -5.449906113302609,-2.495843467971707 -10.501932747909775 -50.45797910212846,21.648835653862825 43.193784490892455 8.606320673702182,7.525671643582547 8.550992720625906 -6.48587910035607,10.962616431589955 0.20778068256810342 47.59336041386517,23.966981488175556 -50.3486046377322 -11.477751348373706
-33.08958785304863 -21.85293037211404 6.428832199439655,-30.951538679446823 -18.315804072417784 0.7947922078859198,-28.75394836358074 0.18483525413487767 22.73112458575609,57.275620140968584 7.7989501040203235 5.2490961635974305,5.325704723127449 -2.674017374346803 -5.745000604022312,-0.9169564201884228 -16.333248305462295 -50.4762302788214,21.505153412665205 42.7444225139491 8.453477066104707,6.659346562536106 8.354597504985733 -7.265426442353474,8.393451528240112 0.7045221121208376 48.89605285753751,23.454651825636503 -48.57612091425556 -10.761790323862973
-33.65850225296814 -21.42373247678721 6.501292245855848,-33.07910909927807 -17.755174050611256 0.9048892638994089,-29.92814490919679 -0.37683559160819075 23.19738686678737,60.03719719872491 7.716515841661923 5.518041900014934,4.910111016042725 -2.793883164749107 -6.176226385890895,-0.5899098919854453 -20.335884822570446 -49.4697453199697,22.15309783767231 44.754532606093434 9.243270594932218,6.307720752095273 8.299249458344903 -7.499714423046237,9.011528279039535 2.1120786312329463 49.48570789728186,23.488592171027634 -48.66242768614805 -10.785593795672172
-34.531497099922674 -20.99486116979423 6.390713168699594,-35.40631284537301 -16.410819937907274 0.6554637015971986,-31.430613793629213 -0.7152323728033825 22.89721745537215,63.30583680142385 7.219273533556643 4.799659136731131,4.8482464698543755 -2.8951088881247298 -6.634526372640142,-1.1412749186980697 -22.951780449147115 -47.953516015464274,23.17681349014931 47.926733304248955 10.477502677909358,6.277490207494651 8.373383685968843 -7.349815439488387,11.235869673077282 3.9523045824791723 49.53995609936308,23.79438368299374 -49.68740380998765 -11.182638633005668
-35.22457249249091 -20.769392933077413 6.105793651943369,-37.18197437237546 -14.904214695140446 0.14552308120724933,-32.93394808907745 -0.7858553046345369 21.905442588098943,66.19995236413635 6.437071802578606 3.7062526716606476,4.944630989558906 -2.92228594258921 -7.0108434780018385,-2.197622535661592 -24.622873335105204 -46.44253415519605,24.160444931361386 50.96364314533916 11.65797473276077,6.37535092396884 8.565435293122977 -6.976801888733952,13.48549869944242 5.747054308434257 49.23642803004604,24.097607520179622 -50.73092814235234 -11.586401705067829
-35.25372852925148 -20.950404248579066 5.655232379559655,-37.65491813492924 -13.856831283145382 -0.5259250370424787,-34.11074086774092 -0.544204602285493 20.296888501556246,67.83795730193333 5.499759271601929 2.8501273027181058,5.003784480152821 -2.820005726258086 -7.196120615707768,-3.385523778211308 -25.791101630357602 -45.4517915290559,24.6881367225737 52.567880666287536 12.28648817721109,6.407998896752441 8.86383938507273 -6.541746167836957,14.179438347224005 7.018182151672946 48.752754255595576,24.123844841230067 -50.872879539820076 -11.630359881063022
-34.30669520755132 -21.65779732169815 5.071971983768894,-36.30905177388524 -13.74880681401931 -1.2474735469237699,-34.669233307653 0.022055654632106347 18.229688600234123,67.53530555986868 4.557823835060876 2.693612985916224,4.895189202196139 -2.5576426306398345 -7.106696063559032,-4.372474942546504 -26.685835703288987 -45.38865468545929,24.451243772606663 51.77934702309519 11.99340727283142,6.248063897287236 9.242491589524295 -6.178349105391267,12.235720794850495 7.3558144404578405 48.23231428554663,23.69270808394462 -49.504534855859006 -11.072973304968587
-33.00735176927864 -22.558067369826297 4.521115856215609,-33.909789230107165 -14.289815894663004 -1.8401218380833073,-34.51199470085113 0.7499268780629087 16.316107705780066,65.68157588368973 3.874264013771586 2.8814835268611576,4.842455966493246 -2.2396702973367253 -6.797345558755852,-5.049067734083395 -26.377677591790825 -46.073793917693656,23.725555538898742 49.476568278149024 11.109929450059763,6.127599741568892 9.596028645482924 -5.871101210065792,9.292621340730808 6.72224780236138 47.63177523332579,23.13640132901882 -47.71469130370759 -10.354022025439122
-32.29700640576268 -23.163968628656328 4.2125803831239,-31.65707686638516 -14.928285147177558 -2.101949733518999,-33.607487004922525 1.4169581552922523 15.322397260561488,63.03056064110723 3.7502283672770265 2.7812962601254063,5.189273289755563 -2.0163717442631888 -6.369786132909125,-5.381540921765474 -23.544314832206076 -47.128942889025,22.985031210762475 47.161510373591554 10.204890248667668,6.400533544676355 9.79221223338719 -5.553898840744348,7.910793761742356 5.205974156798541 46.84449388007042,22.960937937714824 -47.167740327544095 -10.144307654022128
-32.89973067772535 -23.083591467954772 4.321951181306662,-30.555894382375428 -15.185369194011017 -1.8853861412161332,-31.99663742133439 1.8274498716735257 15.842255120512561,60.3112264079441 4.392107801533833 1.892143594221311,6.172518910418893 -2.0146881059567945 -5.925931440011516,-5.378118206004059 -17.298565962056607 -48.1825075389317,22.63863647086402 46.12709274559309 9.770286204305812,7.314991305920542 9.721938470782446 -5.188390034117479,10.1045879503609 3.0164298541627073 45.84022413534189,23.553406171346182 -49.13706983645236 -10.955956188456636
