-21.3 -7.0 -6.7,-11.5 -3.4 -12.3,-21.9 6.4 4.3,33.4 -0.7 11.9,8.7 -1.3 3.4,-6.5 13.7 -47.9,20.9 41.3 7.9,8.0 10.4 4.3,-4.0 0.7 43.7,19.0 -36.5 -6.3
-23.440005976184807 -5.994490329931179 -6.34385953250655,-11.667397853303491 -2.4217845984673807 -12.107610133802451,-19.734619990030268 6.586739101788961 4.654279205324131,29.451718344565457 -0.39080569003374444 12.06106543701781,10.011921842053336 -1.493195674473452 3.5976278560808392,-7.000930470002915 16.764923994808246 -46.43760159417876,21.379701950533722 42.60026246310766 8.431073452619623,9.080399429824608 10.360876104038942 5.351330648514856,-5.111216228770341 -3.200355049011852 43.08684372805713,18.53926992194408 -35.29918291367978 -5.873182256947118
-23.125962642502643 -5.9087566993194525 -5.494881459671546,-11.739372607725956 -2.0153963584673735 -11.183738161602218,-18.43585805708376 6.299625426387319 5.224054828042331,27.93327189236636 0.18689943689312738 11.53526172462195,9.910448838242496 -1.8853389208523528 3.3329412131888754,-7.243254130711693 16.714544917667443 -46.81225412165238,21.850343848586668 43.91657033326051 8.933430307620874,9.001943073684359 9.948273571630647 5.0578281576065836,-5.520767425348321 -5.487288489352108 42.908138894250506,18.824971131983133 -36.01983968123279 -6.116594683843272
-21.224343234251172 -6.550978358133639 -4.361907370931139,-11.70484566149749 -2.0853338738986533 -9.780259132849421,-17.816863462370566 5.733009335646326 5.86761949764583,28.063297519146232 0.8655634904831505 10.557951219786704,8.869929897612579 -2.3742066739714867 2.7370681600697853,-7.300680563044135 14.093653977949243 -48.306423463724116,22.279689602714047 45.14161512115912 9.37918091545224,8.15678103981391 9.333790990320525 3.8761259760142046,-5.324617471446181 -6.38707810208808 43.082993519021436,19.556051863506575 -37.88757163859642 -6.7610974353127125
-18.601620986728065 -7.729334556342556 -3.1537788557214834,-11.552738412848196 -2.536095738659894 -8.149048096994187,-17.690785467100785 5.08124119141724 6.4432658436258485,29.06043210064862 1.4776345804388593 9.364496279486367,7.364713929208703 -2.8575758686656374 1.9411367854692418,-7.246919347918038 9.44704238502528 -50.202575501697254,22.635503121471075 46.168088337504116 9.740435626562196,6.9370634364479296 8.689026947653984 2.262857552476748,-4.618730248776164 -6.1260016682870875 43.53051562281123,20.431460349903816 -40.12798012170806 -7.537550665979681
-16.12426913523099 -9.252004543915024 -2.0793375034787305,-11.271972260008175 -3.2721805466497713 -6.541980103486646,-17.870773332484507 4.538671355551314 6.809286495473616,30.14331251261704 1.8555608164627897 8.19025926069523,5.869149842075975 -3.2332234397695916 1.0762751781329214,-7.155680066251202 3.319501348267205 -51.78317611687507,22.88554831341298 46.88868149299609 9.989304791399228,5.734940371821086 8.185580031176436 0.6746563357332354,-3.499069639050514 -4.930336969016449 44.16981322606121,21.150144824564258 -41.96666646650509 -8.176814530468425
-14.658760915057606 -10.927167570819861 -1.3474249036390304,-10.851468601207522 -4.198086891766958 -5.210930201776914,-18.169976319731827 4.2996501898998005 6.8239740826803565,30.530575630795028 1.8317903082574767 7.270602520387577,4.857586545259506 -3.398926322118132 0.2736114268064974,-7.100672298961426 -3.744177922953349 -52.330691190560806,22.99758908709495 47.19608609833565 10.097898760411812,4.942561954168042 7.995048828433285 -0.4318442254773085,-2.0615995239814713 -3.0263617853434748 44.91999434921266,21.41105352087731 -42.62923200892487 -8.409749183403186
-14.80658038423802 -12.571890639372725 -1.1253382900035602,-10.298333384843477 -5.226278052137984 -4.358023494435881,-18.419560534573026 4.504559338360359 6.412425690794925,29.641786759006884 1.3089900817934637 6.80052935724022,4.644707201135334 -3.2805500841507405 -0.33891032218832634,-7.127772005687497 -11.11464938724182 -51.358708368004415,22.955056366873812 47.032567868228675 10.053397618607027,4.811116441998479 8.233698002801178 -0.7239734925603052,-0.4423259654723052 -0.7464959197699037 45.672129490825164,21.013694531095556 -41.600779449518406 -8.057430469078666
-15.724679111760125 -14.051690455201546 -1.3539046228707732,-9.718801790876341 -6.312635098460144 -3.914183764281605,-18.548907102415047 4.999581386288679 5.863908777088929,27.99183005646468 0.572610742885588 6.755034194326012,4.674810902703823 -2.9570795433010475 -0.6507025116633831,-7.131126042865497 -17.70163420880771 -49.64072673834319,22.826786502207536 46.61063581200353 9.92513092364437,4.8233683651895 8.716151025996803 -0.5448178843719191,1.0044634929884733 0.9982300306197148 46.16444852521816,20.30575676270047 -39.78102832715618 -7.432725995114065
-16.0801974179207 -15.2485120215725 -1.8971594519635555,-9.252721682305395 -7.427761181657943 -3.718376006024243,-18.520699841261223 5.531142070841256 5.591173479814112,26.46698977226573 0.03789693427361049 7.034510971239484,4.097067411437165 -2.559419104216812 -0.5570628467288664,-6.953433049555819 -22.25856072404365 -48.37745544119927,22.71057506516153 46.23443288048415 9.810283429300034,4.201525576007607 9.154751047304234 -0.46659913561105626,1.850466548208119 1.1005904520481382 46.083356215419045,19.820805959902767 -38.549365647693975 -7.015259838448088
-14.790680423523623 -16.05929916324359 -2.6048188256417046,-9.023784032880938 -8.513435402965296 -3.624877097599294,-18.333209101988576 5.881514761174628 5.879057947037136,25.838923018819887 0.012727042097391113 7.516796805012792,2.260911509631961 -2.2139091442215997 -0.004463102035054217,-6.509342956269923 -23.71559206560906 -48.549526540047644,22.681569667171605 46.14006513583184 9.783260997320777,2.3565612828630917 9.304396526881257 -0.9468017889891125,1.7354621546035078 -1.3039595045348065 45.19642216743413,19.98785748568841 -39.01264593082408 -7.189180687298962
