-20.6 -17.2 15.8,-14.3 -11.0 8.3,-27.5 0.7 12.4,42.4 0.1 -7.7,5.9 -8.8 -6.1,-6.8 -13.0 -47.8,21.9 44.0 8.9,7.2 2.6 -6.5,5.4 -2.4 41.4,20.8 -41.1 -7.9
-21.81268294698974 -15.326583443789382 18.382563546420386,-13.126369056186782 -8.583893123693224 9.554234267629244,-23.09654900906637 0.7837126829911437 15.271639285552034,36.21997862494902 2.3200984712966037 -8.314813670951954,8.178277684161658 -10.366386426537908 -6.270092298972425,-6.331803997485661 -7.32672888348005 -47.883008658299,22.324365062537833 45.260344154232335 9.462484141977354,9.341366331168864 1.355205352366417 -5.206881583271558,4.687273309847706 -8.920800079369624 39.332795197472656,21.603517703966613 -43.22486772723192 -8.691833175043346
-22.934004755370935 -15.143652481811017 19.656635770640822,-13.443594571105796 -7.862111250425435 10.04539152228881,-22.144568476466006 0.6600164404500308 17.10261293875748,35.89593651418455 3.076354184641561 -9.41369453321033,9.287543893752988 -10.945726834347342 -6.634400494635722,-6.725578294330452 -7.282362155353279 -48.12267926031834,22.643034364924723 46.130455648472505 9.799824211540283,10.468073661497195 0.8504057009704888 -5.064054868125033,5.498363146813635 -9.706723997619745 38.89869657509753,21.89182617052599 -44.008937175530335 -8.982196709503796
-23.950906617740856 -16.036540341329054 19.909285893526064,-14.718620603993525 -8.260004886557969 9.920318481765113,-23.490315063753666 0.41431475198970846 18.070369652122814,39.358502355563296 2.8310565391934546 -10.640228982203132,9.598719015897268 -10.82023345082868 -7.0772998419078545,-7.644890351377743 -10.400323490927404 -48.47929197552352,22.79757598914677 46.49687772051074 9.901347095180713,10.891503918748931 0.8871733248469458 -5.6573641181559,7.20036755501515 -6.809994294990198 39.54766269153197,21.811367425687962 -43.82833294122592 -8.910834575939328
-24.85032972669676 -17.390580249607634 19.427583135940868,-16.418391214086437 -9.20292453845216 9.325861863844583,-25.980045432484122 0.1320110972232245 18.352358118154523,44.538304836941975 2.046494934110871 -11.63800341335837,9.482723437717791 -10.272118503382302 -7.483165595706783,-8.753307629470907 -14.214036565510137 -48.91312697338003,22.729558017190058 46.246153608137305 9.756379679390559,10.923039030688006 1.2670805030305161 -6.572653596959629,9.160384578569605 -2.2828335117208436 40.729652105433274,21.508583495462396 -43.0591796206494 -8.617490746907915
-25.61921527483591 -18.5911054339109 18.49859671875,-18.00985046062102 -10.116220712469353 8.408868386313639,-28.46001624421214 -0.10149104423637394 18.126027029359086,49.3659726461773 1.184958768552396 -12.050604222104052,9.31047754633784 -9.583594219408596 -7.736373010950475,-9.714397589453316 -16.25692505440919 -49.38446442335338,22.380548531040674 45.26482654914244 9.354248850661735,10.87406092507836 1.7916995145559294 -7.3957675681317,10.745512261594365 1.8225358119484687 41.89462337545878,21.12991640585912 -42.077601810131476 -8.241909194967542
-26.24450445475556 -19.023449121503003 17.40939586281821,-18.959942402833743 -10.425243914970878 7.316184766958702,-29.776484160492487 -0.20078819277603924 17.56882507824298,51.772134471125966 0.708737441676614 -11.521617803868185,9.4529017288807 -9.036872826307935 -7.721297342556891,-10.191727692168344 -14.06241263293228 -49.85358449490907,21.692115612684695 43.4394397813164 8.684281495486161,11.055951529683924 2.2626026384579134 -7.7125502952675795,11.322848648206786 3.453891135777888 42.49253506026579,20.821808182887974 -41.25972410600282 -7.923833892676178
-26.68695741058134 -18.239892207983015 16.43292444105345,-18.8486600633183 -9.701001163840996 6.213188074900362,-29.088041077142485 -0.09386425488376585 16.839346978384324,50.23412078749259 0.9469809546509569 -9.868280741743124,10.175653250869074 -8.862843450238502 -7.360089038606901,-9.962276667027878 -6.114755803843958 -50.27131227874128,20.658238254024543 40.781794206465754 7.7715058610155765,11.689876299696376 2.5128352307128545 -7.20973932622204,10.434531062942614 1.1289365828170927 42.08849449907498,20.69100549285872 -40.88282352962637 -7.76815471862021
-26.76461383459085 -16.702795515105457 15.765124977655663,-17.872258993221163 -8.30851516207611 5.366269672792206,-27.25590840118142 0.21831835731793411 15.993408962403743,46.20949131093436 1.5030580222035668 -7.854446912387653,11.170569719913697 -9.012618179114016 -6.780822028156504,-9.421260802275478 3.9185247489944635 -50.536930502144976,19.55860244426374 37.986506406036796 6.835568615832775,12.505204659159181 2.547011473772037 -6.124070622149423,8.5768864694398 -3.527788984509751 40.87531826932019,20.627864139094648 -40.68533044086619 -7.689761825218869
-26.247119850025573 -15.18310924452486 15.57583042362538,-16.43595668876225 -6.882042996222568 5.076072792059474,-25.718634178708303 0.7100517218314776 15.051977194489195,42.1663401801693 1.7342398563174681 -6.564948641966974,11.934918302809734 -9.342442463027899 -6.181394656199979,-9.173528023363437 10.612370093120326 -50.53224493736666,18.76977153754529 35.979721710885926 6.162107531346249,13.0645481156651 2.4279210094617527 -4.878773291045676,6.5697879074281404 -7.8382829605164694 39.25866623726151,20.44936623508604 -40.22296338235555 -7.53912036660935
-25.0067882124726 -14.350803568253035 15.977715662167693,-14.943580371253262 -5.977164449992939 5.542755137477872,-25.674166228048566 1.3365153785339436 14.103466981501976,40.24409160613729 1.1390226035728401 -6.86307885407729,12.056422446509256 -9.712085170607992 -5.733342140369666,-9.69550086635364 9.557236634553625 -50.1899405290184,18.58650042766679 35.48747168669241 5.974695973738905,13.015333397154608 2.2195078704458022 -3.866048218783916,5.177518517224995 -9.467067821727401 37.661361724098526,20.01382217565088 -39.150253020244506 -7.198197256990871
