-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
-29.175223993636646 -18.262539994152583 -4.806559675394226,-18.739649005587747 -14.848631869367921 -6.628901050882565,-23.874999347072777 6.379431405696617 9.644070926533688,38.91591833794231 3.450294823690318 8.336048501562352,7.484976156769757 0.5065950062577824 0.246419577467926,-2.1266977571191963 -15.829905193829406 -47.91304361321309,20.700290957820222 41.05247846371577 7.927933411547091,7.409594116844431 11.989396897376142 0.09615056865294162,3.566444876961586 -1.7159171375844091 43.74632952093467,21.925926608708654 -44.505298209503785 -9.191062888602387
-27.092519267376257 -19.086706795959866 -5.303028530256058,-17.214154136679092 -13.925930282706359 -8.394858309687649,-22.347114849595478 7.121690975290068 9.531453218378292,35.74606966465353 2.8864374125828958 10.355648372581932,5.856049354315788 0.7545611572136154 0.7055580892918166,-1.019172792826731 -21.55283118571823 -48.28821444256113,19.868199276733044 38.92850368431642 7.182480393887598,5.707999326956076 12.191850507410983 0.38978188919382095,3.866737205565677 -0.8546421905426356 45.92791918945649,20.83201416295921 -41.14385942953395 -7.883957147768975
-26.128890636818024 -18.269609285705073 -6.15307583959504,-16.42434310129518 -11.542933716961238 -9.182569833177451,-22.372392061187448 7.209746652844349 8.3760460020763,34.243988793349274 2.044479848170795 10.808844925207891,5.965039831689999 0.801910409630179 0.8970342061630265,-1.4498596018250551 -20.291690081686983 -47.74321113503252,19.41301195221296 37.641361641477104 6.715486670960316,5.766657264242742 12.297384444070317 0.8755386087415579,5.120682316698448 -1.6288768283412307 45.47018931570484,20.969837757339853 -41.417442485217165 -7.9693186546413655
-25.761342917561155 -16.708356343671454 -7.020370878420709,-16.171043607457158 -8.710680649078501 -9.176733678114168,-23.106876535468015 6.826566382423455 6.791748404170198,33.76321053724513 1.2604742119470802 10.24568347158938,6.863767827944289 0.706654720270154 0.8404665987729107,-2.6911926788166167 -15.36939398775623 -46.79573233761563,19.344015979734454 37.30433831487295 6.578797966704042,6.657009562612236 12.296022321319935 1.2480653744150714,6.748085541246072 -3.3513227204467406 43.69856020981913,21.790972486438775 -43.727806201680096 -8.837783286361152
-25.466880925204823 -15.300056850142237 -7.568582921742613,-16.255083363186188 -6.440209556004076 -8.562047901259998,-23.706613826056497 6.155118108091386 5.392459551202473,33.657269709556715 0.8704725854048143 9.216209323875558,7.604053582130564 0.5268060458962206 0.5554739378128253,-4.015606518503865 -10.108855009946506 -45.963476697298866,19.67049835477202 38.03071968417909 6.824260005057571,7.450497855972367 12.177787753125626 1.202006833333282,8.168752210094723 -5.334681536325712 41.93845218193876,22.746993444844154 -46.47670940404942 -9.879986920069932
-24.72250947534823 -14.941819685400656 -7.461381244570289,-16.477290076503404 -5.742558914683896 -7.52321055937714,-23.327649486572234 5.37836977391214 4.792078569715606,33.27970112349963 1.2105270500370604 8.270467794215572,7.23771733330072 0.3203763432710593 0.06167489397412418,-4.6955356155892485 -7.83298525427834 -45.76414286107058,20.401746072800133 39.93379172907067 7.503718509959697,7.218563778230936 11.932704353453182 0.43200763261510833,8.802487654130575 -6.891654945444691 41.51528554220311,23.289475727144175 -48.0659109174518 -10.486565432909304
-23.200060024001534 -16.258887129410148 -6.445241556890273,-16.678135509504873 -7.3127178288532475 -6.261534309160458,-21.41799455595224 4.669167453453249 5.43047895166992,32.196869172548254 2.462845083756041 7.828086994607094,5.132992098591875 0.12380144539870298 -0.5998721972599592,-4.211255540562423 -10.8444780440817 -46.562595158260756,21.49453674455771 42.96099787974399 8.606103088842252,5.334879652936336 11.555462267752343 -1.2178202802376208,8.223850236923528 -7.414454562177038 43.36385635454975,22.991607608300296 -47.250912310230525 -10.1832827108063
-21.633420276817176 -18.394478155005366 -4.718041346148289,-16.914202605501906 -10.122799047628531 -5.068902787005427,-19.017248203521678 4.145179982733216 6.798870225945089,31.13533372111369 3.9709828262272437 7.59775323673984,2.3829682746207523 -0.14410049283614113 -1.2712351995008424,-3.1760435571442747 -15.884519652760714 -47.89055394011439,22.61940416882001 46.15572596209476 9.777369438595388,2.820664525632431 11.066190251491648 -3.0885755626281437,6.851001769529692 -6.728723659517671 46.28955517109637,22.089525910668986 -44.715568944677706 -9.232524417539082
-21.11659936403559 -19.989288121214702 -2.6307191558451515,-17.315353163304156 -12.56072339298173 -4.267910385208724,-17.70468438990398 3.9053667316780665 8.066789488388233,31.215053049119327 4.794127001876851 7.047087094013038,0.6655999099231731 -0.6043930514524759 -1.7548524749157184,-2.5873544940052433 -17.808503729882514 -48.99723757516523,23.349822756614703 48.25481714572141 10.547177859041195,1.2557866403401936 10.493642769448893 -4.245078550731806,5.388152636607943 -4.807073268917716 48.37573494312701,21.04415967019885 -41.79760128262279 -8.146449507247448
-22.485220777381294 -19.936139432120537 -0.5403403625541978,-17.985220546240072 -13.273856524950684 -4.104146560892343,-18.746491713085565 3.997305453067671 8.539136551642779,33.320437578137536 4.204209740908086 5.769413687249586,1.3299364923698962 -1.3356890680857858 -1.9164814067423512,-3.2749943507785595 -12.58978151741133 -49.24525900839505,23.352068183171916 48.265126353370015 10.54514200990766,1.915278982696593 9.878658923948585 -3.958755868946796,4.432483940867817 -1.7736397322942348 48.06796450513523,20.269286516901833 -39.69207744227581 -7.381027718374451
-24.92295466756693 -18.7405737548149 1.1576919943361563,-18.859560801937498 -12.569437261161411 -4.331275334811811,-21.40665737803146 4.140538348233929 8.386920272783485,36.82961885098333 2.8332592941939763 4.162072707235145,3.6215688879374848 -2.1452977972576375 -2.026450157006506,-4.9961529407104965 -3.3509034450502426 -48.72284581195368,22.885561869209546 46.91944473600551 10.039795041397118,4.1245619062180765 9.33920795253522 -2.8218830507424313,3.8961937570197662 1.280531282311976 46.12871071260496,19.8764076088386 -38.67969046657148 -7.032106442330033
-26.96376765365778 -17.542405755947605 2.0528968981679987,-19.808104817272838 -11.407522768159634 -4.509489347278759,-24.161714559486644 3.9255931657451453 8.121785101300873,40.52831778792046 1.8482217163015744 2.9386180456242434,5.958810059897523 -2.7338263901543236 -2.5142021952031595,-7.086166440448313 3.9738420710728346 -47.80360552253477,22.4430059680532 45.629364010585206 9.550953380965513,6.442284584517691 9.023593921228647 -1.9462177358262402,3.4220803641741315 2.8841143565975873 44.23166278386377,19.858140545748313 -38.68151506001565 -7.053899069802763
