-32.9 -14.9 -5.0,-21.2 -13.3 -3.7,-27.8 4.8 8.1,44.4 3.4 4.2,11.8 0.0 -0.5,-5.5 0.2 -46.1,21.9 43.9 8.9,11.8 11.7 0.3,4.8 -4.9 37.6,24.8 -53.1 -12.5
-26.1 -18.2 -6.2,-16.4 -11.4 -9.2,-22.4 7.2 8.3,34.2 2.0 10.8,6.0 0.8 0.9,-1.5 -20.1 -47.7,19.4 37.6 6.7,5.8 12.3 0.9,5.2 -1.7 45.4,21.0 -41.5 -8.0
-24.6 -15.0 -7.4,-16.5 -5.8 -7.4,-23.2 5.3 4.8,33.2 1.3 8.2,7.1 0.3 -0.0,-4.7 -7.9 -45.8,20.5 40.2 7.6,7.1 11.9 0.3,8.8 -7.0 41.6,23.3 -48.1 -10.5
-21.2 -20.1 -2.3,-17.4 -12.8 -4.2,-17.7 3.9 8.2,31.4 4.8 6.9,0.6 -0.7 -1.8,-2.6 -17.5 -49.1,23.4 48.4 10.6,1.2 10.4 -4.3,5.2 -4.4 48.5,20.9 -41.4 -8.0
-27.2 -17.4 2.1,-20.0 -11.2 -4.5,-24.6 3.8 8.1,41.2 1.8 2.8,6.3 -2.8 -2.7,-7.5 4.7 -47.6,22.4 45.5 9.5,6.8 9.0 -1.9,3.3 2.9 44.0,19.9 -38.8 -7.1
-26.5 -19.1 -0.4,-24.2 -12.3 -3.6,-26.6 1.0 9.1,47.9 5.0 4.1,5.5 -1.9 -6.1,-9.1 -7.1 -47.5,22.6 46.1 9.7,6.6 9.9 -4.7,1.6 -5.0 45.2,21.4 -42.7 -8.5
-32.4 -20.0 -0.8,-30.6 -17.3 -6.6,-31.5 4.1 7.8,55.8 2.5 3.8,5.3 -0.6 -2.8,-2.5 -0.6 -53.9,19.9 38.8 7.1,5.8 11.1 -2.3,3.4 -8.6 40.6,22.0 -44.2 -9.0
-32.1 -20.5 -3.1,-25.0 -9.3 -9.9,-35.7 6.0 2.2,59.1 0.0 3.5,10.2 0.1 -2.7,-8.3 6.7 -48.2,20.6 40.6 7.7,10.4 12.5 0.9,3.0 -14.4 37.7,22.4 -45.6 -9.5
-33.1 -18.0 -4.7,-27.5 -9.0 -10.0,-32.2 5.0 4.7,56.1 2.4 6.3,8.5 0.3 -2.1,-5.2 0.1 -49.0,21.9 44.2 9.0,8.7 12.5 0.8,8.8 -8.4 43.6,23.0 -47.3 -10.2
-31.4 -20.6 -1.1,-31.3 -11.1 -8.8,-30.2 3.2 10.9,57.7 5.0 5.6,4.8 -0.4 -3.2,-5.2 2.5 -45.6,22.2 44.9 9.3,5.4 11.1 -3.4,15.1 2.9 46.7,22.6 -46.1 -9.7
-29.4 -17.2 -1.1,-28.6 -5.9 -9.3,-31.7 2.6 9.5,58.4 3.5 2.5,3.9 -1.4 -3.4,-7.5 -10.6 -52.4,22.0 44.3 9.0,4.6 10.1 -3.7,18.8 8.9 42.5,21.5 -43.0 -8.6
-27.3 -12.6 -7.2,-25.6 -4.4 -10.1,-26.7 4.4 4.8,49.2 3.3 6.4,5.2 -0.1 0.6,-5.5 4.7 -51.6,22.7 46.3 9.8,5.1 11.3 -0.2,8.1 -0.3 44.4,22.1 -44.7 -9.2
-28.8 -15.5 -4.9,-26.3 -6.1 -8.1,-23.6 4.3 7.1,45.5 4.3 4.7,4.0 -0.5 -1.5,-4.8 -2.3 -50.0,24.5 52.0 12.1,4.2 11.5 -0.3,10.7 -3.9 45.4,24.1 -50.6 -11.5
-27.8 -15.9 -6.7,-25.9 -9.2 -7.1,-20.4 3.6 6.6,38.3 5.8 8.9,2.2 0.4 -1.4,-1.2 -15.5 -50.3,22.9 46.9 10.0,2.5 12.0 -1.6,7.7 -3.0 48.0,23.1 -47.6 -10.3
-31.2 -15.3 -7.7,-29.5 -7.4 -11.0,-28.1 4.2 9.4,51.8 6.2 9.5,3.2 0.9 -0.4,-1.6 -20.9 -51.5,22.1 44.6 9.1,3.3 12.4 -0.9,9.7 1.8 45.3,23.8 -49.8 -11.2
-30.3 -12.9 -10.4,-25.6 -6.8 -10.0,-22.5 3.0 6.0,42.6 7.4 14.3,4.4 1.5 0.4,-0.4 -5.3 -52.0,22.5 45.8 9.6,4.5 12.6 -1.8,4.8 -9.4 45.4,26.3 -58.9 -15.0
-33.0 -12.7 -7.6,-28.6 -7.0 -7.0,-24.7 2.5 8.4,45.0 6.9 8.7,6.3 0.3 -1.3,-1.2 -7.7 -51.9,21.5 42.9 8.5,6.5 11.9 -1.0,11.1 -7.0 49.2,25.4 -55.1 -13.4
-30.3 -12.9 -10.4,-25.6 -6.8 -10.0,-22.5 3.0 6.0,42.6 7.4 14.3,4.4 1.5 0.4,-0.4 -5.3 -52.0,22.5 45.8 9.6,4.5 12.6 -1.8,4.8 -9.4 45.4,26.3 -58.9 -15.0
-33.4 -20.9 -9.0,-29.1 -16.2 -5.9,-23.9 2.9 12.1,44.1 10.4 14.4,2.2 2.9 -2.3,3.3 -23.7 -48.6,21.9 44.0 8.9,2.8 14.2 -3.8,13.3 -14.7 42.9,28.3 -68.4 -19.4
-32.5 -15.0 -7.7,-29.2 -8.2 -8.5,-25.0 2.3 7.4,47.7 7.7 12.2,3.7 1.0 -1.2,-1.1 -7.8 -51.1,22.3 45.2 9.4,4.0 12.2 -2.7,7.4 -4.9 45.4,26.6 -60.2 -15.6
-29.0 -13.4 -7.4,-24.8 -5.2 -11.5,-26.0 2.1 11.4,48.0 8.0 13.2,5.1 0.5 -0.2,-3.8 0.4 -52.2,21.9 44.0 8.9,5.5 11.2 -3.8,5.8 -9.9 41.9,27.1 -62.1 -16.5
-24.3 -18.7 -4.7,-20.9 -8.0 -10.8,-25.6 5.5 10.8,50.7 5.3 8.9,3.5 0.3 0.5,-9.2 -8.2 -55.3,23.1 47.7 10.3,3.7 11.2 -2.5,7.8 5.0 50.1,23.3 -48.2 -10.5
-27.4 -18.5 -2.1,-23.1 -9.8 -9.6,-25.7 2.9 14.1,51.4 8.1 12.1,4.2 -0.4 -1.2,-4.6 -7.4 -54.6,23.5 48.8 10.8,4.8 10.2 -5.1,9.3 -0.7 50.2,22.9 -47.1 -10.1
-26.5 -13.7 -3.9,-20.8 -6.0 -8.5,-30.8 3.7 9.1,55.2 3.2 6.1,5.3 -1.0 -0.1,-7.1 -17.5 -55.5,24.7 52.8 12.4,5.5 10.0 -2.2,14.1 17.8 43.2,22.8 -46.7 -9.9
-24.6 -15.8 -1.3,-21.5 -5.5 -9.4,-23.1 3.8 11.2,43.8 5.1 9.0,4.0 -1.7 -0.9,-5.9 -9.7 -54.0,24.7 52.7 12.4,4.4 9.4 -2.8,6.2 -3.6 44.6,24.0 -50.4 -11.4
-26.2 -21.2 0.9,-20.8 -11.1 -6.7,-27.1 5.0 6.3,48.9 0.6 -0.0,3.9 -1.3 -1.9,-9.7 -1.6 -48.4,25.3 55.0 13.3,4.4 10.1 -3.0,9.1 11.5 47.5,21.6 -43.1 -8.6
-23.5 -16.9 -0.9,-19.3 -7.4 -6.3,-25.6 4.1 5.5,45.0 1.2 4.6,6.0 -1.8 -1.4,-7.2 -0.7 -52.5,24.2 51.2 11.7,6.4 9.4 -2.5,7.7 1.8 48.1,21.8 -43.9 -8.9
-21.1 -13.0 -4.1,-15.8 -4.6 -9.5,-21.9 5.0 9.3,38.3 3.5 9.1,4.7 -1.4 1.0,-7.2 -12.1 -54.4,22.6 46.1 9.7,4.7 9.7 -0.7,3.5 3.9 44.9,24.2 -51.0 -11.7
-25.0 -16.2 -1.0,-22.7 -6.8 -8.1,-31.7 4.0 9.2,54.3 1.1 4.7,3.9 -1.9 -1.6,-6.0 -13.5 -50.9,20.8 41.0 7.8,4.3 9.5 -2.4,9.8 2.7 40.4,21.5 -43.0 -8.6
-27.6 -15.0 -1.8,-22.2 -9.5 -8.4,-22.2 4.5 14.2,40.4 6.3 9.2,5.8 -1.3 0.3,-1.3 -3.1 -49.0,19.2 37.1 6.5,5.9 9.9 -1.2,3.8 -2.2 47.0,20.8 -41.0 -7.8
