-23.2 -19.0 5.6,-20.0 -10.1 -0.4,-27.9 1.8 13.3,48.4 2.6 0.5,5.0 -4.0 -4.3,-7.3 -16.2 -48.8,21.9 44.2 9.0,6.0 7.1 -6.1,9.4 0.4 44.2,22.0 -44.4 -9.1
-25.6571808609361 -20.837316757375994 6.010355148367562,-23.623692402889546 -13.140130800756792 2.386024857941456,-25.768936105777964 0.04784040022526474 12.145351143492487,48.971097430663335 4.567432316955944 -1.1296208628484539,4.383282493906729 -3.6908657000302805 -6.851846192150769,-6.245540940725857 -16.70872970565764 -45.681817894644276,22.640272655477318 46.332632489405036 9.861565327463252,5.825855114097487 7.670938151504028 -7.590013210388703,8.99606639905004 -0.6281844155185339 47.57401191718023,22.18784714311422 -44.896214439564815 -9.246989771250803
-26.467434041956643 -21.953703226462462 5.849125522389654,-25.17267235522301 -14.773126288245402 3.451542606111084,-24.815021718224326 -0.9293745626498587 11.337610578509215,49.087303602740164 5.53997907148473 -1.7186734854850134,3.704220096662595 -3.3829105861250053 -8.293026180274907,-6.058526039882875 -15.433830193030733 -43.76310391935437,23.213891034216047 47.94674719687138 10.497564037531761,5.399380320996431 8.093635023080079 -8.497722650346418,8.571469482650668 -1.9196966043897565 48.21049150579785,22.474171101449283 -45.685527453418175 -9.538286777689008
-26.229427956429397 -22.48593184448686 5.332125213223983,-25.318014125661378 -15.297491761947182 3.2373550470631454,-24.87281411402037 -1.294749320800252 10.72860500837735,49.0960449774628 5.709424039036278 -1.6173511691736993,3.1241090392363753 -3.1122126721069225 -8.887475174186006,-6.467923862213827 -13.04061187544193 -42.82564603101482,23.58690437117744 48.96524573783165 10.887056759652733,4.92212830837576 8.387997000079949 -8.892320329644571,8.214824475003114 -3.2362056760167386 46.904665018312265,22.784783808278483 -46.556983876397396 -9.882596746715517
-25.54183101772214 -22.57077504867667 4.675168312028252,-24.730791982865647 -15.011732521343488 2.1842639833519093,-25.77687056984735 -1.2113883064007982 10.170161136424067,49.34474801606362 5.267550995060511 -1.1758472151785342,2.8042455525968455 -2.9148499717987804 -8.899128383697658,-7.202702972461495 -10.194385166213896 -42.65123218651022,23.725361901322763 49.311029727718505 11.009104123273378,4.595651763914402 8.573930467855433 -8.842998258054592,8.014746600308602 -4.339380739802549 44.45175870718291,23.045497196875115 -47.29962854333978 -10.188625405731235
-25.00331163920265 -22.345005276259347 4.094068909960171,-24.082080195496808 -14.214353865915685 0.7330712175316403,-27.361748362386567 -0.84239595162638 9.514105665976532,50.18083917977498 4.4061437150073575 -0.7443549247635399,2.9059258677127815 -2.826900499023326 -8.591921018623463,-7.991831935368655 -7.560460478669287 -43.021650342725124,23.595312859613276 48.907000781964555 10.842766757840899,4.621503375291287 8.67134181175833 -8.418948445347912,8.059851082768356 -4.990890905150262 41.64699882486922,23.182123200512468 -47.70250628908265 -10.365078482137074
-25.212538234238703 -21.94539496446236 3.804641098177442,-24.04295303221584 -13.20386109514512 -0.6754214478433964,-29.462004768319275 -0.3508766886518798 8.612265300361917,51.95174492982921 3.3169859743267387 -0.6730675991927381,3.5904462155529586 -2.8844422676033075 -8.229788288777009,-8.564279315678082 -5.804148226130756 -43.71868845654408,23.162806481010236 47.67606051600242 10.367105292802497,5.201235830185337 8.70013741714044 -7.689362901295955,8.438753146583602 -4.952405281462944 39.285611623830604,23.120473752463823 -47.55466194846332 -10.320661703333933
-26.592440791055804 -21.50145294657844 3.9557608164160762,-25.102209193576567 -12.258912582300368 -1.6645909770981002,-31.863855068243957 0.11363972548688894 7.375223334599192,54.812294626823544 2.1957218723835035 -1.2091753341027862,4.935595527717907 -3.1025651138397645 -8.038552692807636,-8.694799718854217 -5.443180536962056 -44.52411054650356,22.42860825212305 45.63245603692859 9.594124953827363,6.449240377757101 8.68364548561617 -6.742117851086668,9.176018086967762 -4.104425762948224 38.00021597584335,22.822173061497136 -46.74418632361168 -10.004624403939381
-28.6079484190934 -21.103092054360005 4.331404820671349,-26.755010648231227 -11.549975377450995 -2.207671316716342,-34.08998836917411 0.475623005992099 6.0338622039189715,57.86741524654252 1.2590392484070478 -2.0383680214673623,6.563940344261926 -3.381946260550744 -8.036273340346506,-8.40774067354818 -6.190797712734298 -45.21955013629517,21.582731967437763 43.28838509192438 8.715421469380864,8.004766108420288 8.663847526885416 -5.766942570963633,9.947056549507542 -2.9752460524588606 37.537010987254305,22.444068386589333 -45.699098371980995 -9.587230823599738
-30.3991518387309 -20.826798930045044 4.591820060796943,-28.159597591116345 -11.21083107878811 -2.3965257182301736,-35.5737374741802 0.6846345667119023 4.92767119248871,59.86603346570519 0.7307614408823222 -2.6559423859324642,7.943690657548755 -3.584467967131023 -8.170561050121496,-7.812081533792614 -7.487453427350303 -45.586596501493375,20.879361629239103 41.324890245893705 7.983486012714107,9.345951181649362 8.689050003665649 -4.988102611362256,10.30888802125408 -2.3128127281489763 37.34162905825249,22.20920310672266 -45.0304955805617 -9.313686809320574
-31.221653741865218 -20.730751057387117 4.465901885270157,-28.60523198516647 -11.315951959127057 -2.340388470503902,-35.893379882077284 0.7129858277396229 4.371969944180898,59.8506410664765 0.7620633182235902 -2.6486081670149275,8.624580721324353 -3.5975649832229015 -8.367472025320058,-7.048894667480917 -8.745693367150503 -45.47942612657823,20.51605072018672 40.276836163272414 7.597983904423735,10.027643412925773 8.789694409028979 -4.597104231255252,9.958538508922029 -2.6928875282511058 36.963197782381506,22.282449611319095 -45.19241937734522 -9.367966786691508
-31.07041184310912 -20.756269657050364 4.121584487563365,-28.219641419833128 -11.561239707535421 -2.2588165627295993,-35.55329623167322 0.6781443451359644 4.527166420761797,58.74032417909604 1.0401370474396117 -2.1878365887394353,8.677769106583858 -3.472054827874701 -8.415774222520668,-6.463767605839359 -9.201244725525221 -45.21577040168645,20.328369328324747 39.74469896616985 7.420911231344926,10.095402852484689 8.882100779886779 -4.5760689836576685,9.487750837878666 -3.5904967325076975 36.61333334337723,22.456848735267013 -45.63497940869699 -9.542624068443256
-30.231167838362357 -20.798717068815655 3.8994734563040647,-27.46031708332623 -11.493706429378571 -2.4147562531811864,-35.42209807906952 0.7546667293779774 5.492742730670479,58.19222245211087 1.0696931283863689 -1.6750821272141665,8.379487501094648 -3.323012502267016 -8.050240938488429,-6.482722490802657 -8.020293022696288 -45.29567413455596,20.009521601909107 38.96146525940148 7.18146075696408,9.787783785947369 8.837705855745089 -4.824768648406145,9.84015469522724 -4.04775383975151 36.76420479050642,22.379202150301168 -45.41344485674997 -9.476268346096283
-29.00965803959224 -20.74835448722754 4.081116285845912,-26.736704640293045 -10.744847628767992 -3.0118091374075795,-36.180100219590294 1.087247389015208 7.301573688306815,59.516135714160114 0.4606498923826854 -1.448237485591659,7.993507758828156 -3.251987372436816 -7.0608545809367005,-7.409879819672771 -4.612709423278762 -46.13097666968664,19.311899880884997 37.30338608715368 6.656642608988853,9.335194748971997 8.554663647358083 -5.230676437654608,11.754068561351538 -3.269422136633049 37.80787061383902,21.77221730267391 -43.78532801328982 -8.883209326358605
-27.8566207918749 -20.45794178319575 4.501220165020971,-26.091328313495584 -9.583605662718638 -3.8069079002753297,-37.086292379538826 1.5951832718114307 9.487172718655648,61.39884017887174 -0.38330953394804596 -1.363485983933166,7.686296930659017 -3.25774797190491 -5.6533845053169705,-8.632000431833045 -0.22055837525180397 -47.46750362932756,18.43516940032022 35.22974380896791 5.985132654350949,8.903370717043831 8.132676586153433 -5.590340408568585,14.418869003889359 -1.6901252346836517 39.529790228083435,20.931552475880245 -41.534803120821685 -8.049300100283268
-27.288724772849857 -19.763187516791135 4.791320442142094,-25.399878439511927 -8.568760776048391 -4.353891316892512,-36.75340828127092 2.0952863518377542 11.35600082703869,61.334461063529254 -0.6975886229114566 -1.0579846352531934,7.580078977274518 -3.292329872428444 -4.222652393811237,-9.118734964623068 3.0810238198412905 -48.74825380455646,17.78236392805257 33.6922594989814 5.470050953988082,8.628640530859272 7.7630882627738 -5.658966262084297,16.319651048770623 -0.3036864924134664 41.43961119956387,20.413378433357522 -40.14019558625 -7.520266290337911
-27.731856585059635 -18.548739209069495 4.615687895224767,-24.547234278904988 -8.205316673163773 -4.266955589591016,-34.01094476740618 2.424430690445085 12.28104200869924,57.181784755713416 0.16993779591631622 -0.21862477043977185,7.769379654223414 -3.3074681642180233 -3.1352970957558,-7.98270870215677 3.3932822524277153 -49.47769822922403,17.709616431404722 33.531467538082694 5.3804386163386875,8.621776879017302 7.622774579517227 -5.227380532064492,16.115626770138807 0.014160756304699516 43.074578966647266,20.69378603219898 -40.86764097184172 -7.764445598585632
-28.801685688303852 -17.13519049411616 3.9387777087538067,-23.507449694870868 -8.507110324774024 -3.7061028495342048,-29.644846631996845 2.6024744960180537 12.236984430711459,50.09565262385999 1.855112604278885 1.0156482304819483,8.104401251843868 -3.254316538334813 -2.498888062366318,-5.626589696369993 0.4231779009386045 -49.72048875884554,18.146902960701418 34.57715995553684 5.674937719133181,8.767613182527063 7.755859850992995 -4.405012806699342,14.04582732862498 -0.537200949932601 44.229687855664274,21.525112015373196 -43.06535156055376 -8.550388374682923
-29.6893054341194 -16.07158278170252 2.8823499677601236,-22.301308499584202 -9.230593799072832 -3.1173525742297503,-25.46629130540518 2.74516471209979 11.513825826096912,42.95812966889157 3.4612187610781344 2.2690002094275337,8.307313832391076 -3.083724016665267 -2.285235241607685,-3.1290639565575966 -5.280888885514148 -49.8348274352241,18.80088159904235 36.12947193743743 6.149532694991706,8.832584460443043 8.13690290190261 -3.4682494537270454,11.177152617962244 -1.1949987306271252 44.83499971248757,22.28042602706346 -45.07649498876934 -9.279937113043381
-29.67423456457526 -15.856790540955684 1.5827959352064047,-20.976762504676568 -10.134237677950331 -2.9188582631755158,-23.155232274844867 2.962196690143564 10.4202016680978,38.46212407118959 4.16523637534522 3.19065204748099,8.133340481534857 -2.7546180079053535 -2.450023951703401,-1.4966378397199869 -13.04996621133697 -50.1464978613575,19.387667508616463 37.51145317927733 6.604903852261302,8.610224185529935 8.73177514000633 -2.6772172191455823,8.54009777921204 -1.2493917146446558 44.84694523219776,22.388810289056245 -45.39093682819919 -9.407152641495625
-29.013482555952095 -16.436282193073342 0.31700917956916264,-19.865554666957518 -11.02194201005672 -3.2065256024075595,-22.904141215331574 3.2901318891940923 9.432998768038148,37.13309472605274 3.975501612386801 3.717673819384516,7.700223525108305 -2.3116362289599577 -2.790586465037537,-0.9071684564209943 -21.015022562109454 -50.610048012838696,19.744521747127486 38.33862207158044 6.9067174622221055,8.192529980160431 9.420698745572851 -2.1040069935147687,6.7017768866290615 -0.6045308201864116 44.48902610270829,21.90882894488667 -44.14826237377251 -8.974162686197728
-28.552803627058285 -17.422208522780455 -0.5534918940509441,-19.470355951914044 -11.724969108230205 -3.8821697364084518,-24.009576351362842 3.7214830697773893 9.1304420750391,38.19104122709453 3.401078153556505 3.9605077797647192,7.344051396218245 -1.851039897164511 -3.008878678609507,-1.0394157184847796 -26.584215923556492 -50.956429859463434,19.781671802104878 38.40265152023015 6.95978097946769,7.851265057075121 10.03230918748596 -1.7074552728295593,5.950208615073413 0.4656244775190771 44.14560143738827,21.278184434725134 -42.481686608859974 -8.377288913494041
-29.066617862875624 -18.4266011490596 -0.7093179901232685,-20.24096125831893 -12.085616536135412 -4.836258303132465,-25.753246505441364 4.236470644893445 10.029952899633754,40.82014986027703 2.94542694435067 4.047911681545315,7.365835358568736 -1.4645801868163646 -2.8317483987305065,-1.560939873203079 -27.401715688450967 -50.94258027189218,19.431671087306494 37.54872745905222 6.688109742882842,7.8283838792806035 10.406558638885693 -1.4512933520284454,6.5184529474900845 1.6799086775471335 44.179819430665184,20.91752512982367 -41.482779816115205 -7.999637803309067
-30.31451359643721 -19.11849770203278 -0.3842321698281602,-21.92154260577723 -12.082376988116978 -5.848350556703272,-27.384443618628456 4.665987740576439 11.854256947245215,43.976243523308334 2.9524967557162864 4.31222121991401,7.58005781283837 -1.1773176949372417 -2.3208402644919364,-2.083839169183822 -24.25418125064195 -50.6967129560902,18.89952372216353 36.27485164132672 6.25426941614442,7.95340229481917 10.537053570870956 -1.381681235351951,7.986358300629011 2.7300195408600993 44.655566165775404,20.96302142304727 -41.53653340959938 -7.993268170419618
-31.355099850476357 -19.206311830846534 -0.1940789149887303,-23.768873942025532 -11.787817835023239 -6.621397503370208,-28.130068173350786 4.737781972853369 13.77715624594953,46.457406641397384 3.656055795284991 5.226390399730458,7.465138885156649 -0.9682475355046138 -1.76905464036248,-2.1819023386933702 -20.098898286954274 -50.60349533997462,18.578424930087564 35.529948233822516 5.985600604020178,7.770950568183414 10.523534780354721 -1.6017152809578707,9.482577321821225 3.288910546986774 45.43001705899125,21.354344950986935 -42.53988039662083 -8.35064623442543
-31.299272032283447 -18.437091491678732 -0.7150709979336999,-25.06204005055845 -11.28385041737435 -6.877372992339897,-27.28878731774588 4.207382821739661 15.003214564914964,47.138772047553154 5.245621999774241 7.205544201676363,6.541912037392505 -0.8166022003066125 -1.45854646442756,-1.4683103437711682 -17.797620170101773 -51.02281476009808,18.832992243426965 36.19320035219267 6.186161297938019,6.864148680188547 10.464992153106882 -2.1971036393579038,10.1736791843608 3.0657854822264987 46.35441668950323,22.01804222838865 -44.350726902399856 -9.047734342575929
-30.29039649507598 -17.147905254831763 -1.787126796221471,-25.57908793843807 -10.76886073590026 -6.658542286180602,-25.284917032306325 3.2953786150640005 15.386774966327721,46.145435018618905 7.255112583348243 9.71974845718074,5.096591240967869 -0.7196028737001561 -1.4322401603766732,-0.1821755399636593 -18.049659080460422 -51.84873892639549,19.523999794665144 37.916797450374645 6.745969255006845,5.504461674154062 10.415789945744251 -2.964845610708053,9.957228710791979 2.340734346378217 47.251676153043455,22.737013805252236 -46.37000969710134 -9.85273326633514
-29.288360469697484 -16.14243448156632 -2.6678725194994706,-25.49266464897611 -10.533347787004903 -6.260470391115154,-23.432983115165552 2.590145520169775 15.29605294693613,44.591013012778966 8.699968497509145 11.491676996957835,4.020685142029791 -0.6886969447615808 -1.543866731648556,0.9423771913812355 -19.844178949540055 -52.606946053831656,20.113761443222387 39.382571467203164 7.227602029943134,4.5077264391765155 10.395000615124594 -3.473617553196056,9.308892423683702 1.84532765199538 47.92229925061971,23.180559040507994 -47.63727521800963 -10.369537299714633
-29.227929136725326 -16.194507004770436 -2.6380480905648445,-24.99346161447766 -10.84510560205826 -5.979884476494228,-23.01888409607977 2.657854826247183 15.100186169376897,43.59250432119229 8.633388466164936 11.29486986972263,4.171697479209876 -0.7336517084354859 -1.6462576722881013,1.186710103562064 -22.100722037340077 -52.82966007504353,20.082326613161406 39.31563800817441 7.207786252417057,4.658026922297831 10.419024020911587 -3.313147192337963,8.715362385542889 2.271473181760076 48.16745839891679,23.036343666859818 -47.24377987101477 -10.222472112951515
-30.12754471411506 -17.254843243309992 -1.7323067002241173,-24.41262455892456 -11.484578622080964 -6.00230385096128,-24.305576757909854 3.441519432311296 14.914963868333464,43.810598760230945 7.111785301096087 9.280181501614159,5.430623162603848 -0.8242618675758956 -1.6746991588757232,0.3926686034736451 -23.295925204253027 -52.36998921265506,19.462725519739095 37.78956257937463 6.709448447817516,5.838603039111916 10.471239095726656 -2.6004356903904844,8.571322469099817 3.3064072998069802 47.81307030806765,22.406884956637683 -45.47070753194319 -9.517375163804568
-31.176838894638557 -18.529666188914046 -0.6672131327835528,-24.208339562152954 -11.79140549537425 -6.412660749390952,-26.630771086196603 4.320507917959584 14.627022619228613,45.49325692080727 5.0989750212037155 6.844241770288872,6.795208697498651 -0.8941670722934741 -1.6390573048959476,-1.0909470881977645 -21.505819114135054 -51.37128027083413,18.788157334641024 36.09757833233931 6.159101196879499,7.117884812555644 10.505157473214451 -1.9294009647793462,9.188235500357083 3.728645013271409 46.70743280456337,21.76993177240364 -43.67552680538859 -8.795609432994633
-31.558948385382113 -19.225893875693483 -0.1616977425118567,-24.815595589389588 -11.124028511581148 -7.279820388014305,-29.299772525933758 4.674801930991564 14.115024862811724,48.83401173977516 3.565163930819443 5.38468245250893,7.26426908627655 -0.8779258132284313 -1.5531871100151549,-2.8976813164426183 -14.924675321306681 -49.995690753328425,18.594570420174595 35.54149562989566 5.9862878624196485,7.565534673397832 10.475820787112278 -1.8899981780153152,10.843105382392707 2.351403875823005 44.72496584605765,21.601083523866723 -43.21028169644947 -8.596765143921008
-31.028244507330303 -19.22318478122454 -0.391895832099198,-25.99040548043614 -9.688825587571415 -8.368468125880947,-31.6406733632019 4.395825162332698 13.264532748903171,53.059380384215125 2.837540190969338 5.226355532454525,6.640700415181555 -0.7644038521701553 -1.4627667916514777,-4.675994483811872 -4.990149254927204 -48.60958636703313,19.04457406890336 36.55852771831409 6.339166260858995,6.99902284424124 10.401980208080477 -2.5552427496406223,13.043849389669797 -0.36335871789649715 42.35896121543327,21.99289184303465 -44.34641992381973 -9.033486916782469
-29.929762040299458 -19.096819090111122 -0.9726860947768133,-26.78671259794748 -8.568950273656325 -9.128763692503375,-33.00512775173586 3.903838524664293 11.96824280945924,56.39597408865005 2.5784034713737625 5.5848457905433975,5.558828278788433 -0.5986213222227939 -1.446380156994875,-6.0897703757126 3.506405733448056 -47.79048655613142,19.91474048655009 38.691884030131995 7.074938170494303,6.009061795478274 10.368263333949512 -3.463628189704535,14.503139975790829 -2.2488685545718408 40.742631603671924,22.641832354316747 -46.238039653839046 -9.77695248482138
