-23.2 -19.0 5.6,-20.0 -10.1 -0.4,-27.9 1.8 13.3,48.4 2.6 0.5,5.0 -4.0 -4.3,-7.3 -16.2 -48.8,21.9 44.2 9.0,6.0 7.1 -6.1,9.4 0.4 44.2,22.0 -44.4 -9.1
-26.2 -22.5 5.3,-25.3 -15.3 3.2,-24.9 -1.3 10.7,49.1 5.7 -1.6,3.1 -3.1 -8.9,-6.5 -12.9 -42.8,23.6 49.0 10.9,4.9 8.4 -8.9,8.2 -3.3 46.8,22.8 -46.6 -9.9
-25.3 -21.9 3.8,-24.1 -13.1 -0.8,-29.7 -0.3 8.5,52.2 3.2 -0.7,3.7 -2.9 -8.2,-8.6 -5.7 -43.8,23.1 47.5 10.3
5.3 8.7 -7.6,8.5 -4.9 39.1,23.1 -47.5 -10.3
-30.6 -20.8 4.6,-28.3 -11.2 -2.4,-35.7 0.7 4.8,60.0 0.7 -2.7,8.1 -3.6 -8.2,-7.7 -7.7 -45.6,20.8 41.1 7.9,9.5 8.7 -4.9,10.3 -2.3 37.3,22.2 -45.0 -9.3
-30.0 -20.8 3.9,-27.3 -11.4 -2.5,-35.5 0.8 5.8,58.3 1.0 -1.6,8.3 -3.3 -7.9,-6.6 -7.5 -45.4,19.9 38.7 7.1,9.7 8.8 -4.9,10.1 -4.0 36.9,22.3 -45.2 -9.4
-27.3 -19.5 4.8,-25.2 -8.4 -4.4,-36.3 2.2 11.7,60.7 -0.6 -0.9,7.6 -3.3 -3.9,-9.0 3.5 -49.0,17.7 33.5 5.4,8.6 7.7 -5.6,16.5 -0.1 41.9,20.4 -40.1 -7.5
-29.8 -15.9 2.5,-21.9 -9.5 -3.0,-24.5 2.8 11.2,41.2 3.8 2.6,8.3 -3.0 -2.3,-2.5 -7.5 -49.9,19.0 36.6 6.3,8.8 8.3 -3.2,10.3 -1.3 44.9,22.4 -45.4 -9.4
-28.6 -17.8 -0.7,-19.6 -11.9 -4.2,-24.6 3.9 9.3,39.0 3.2 4.0,7.3 -1.7 -3.0,-1.2 -27.5 -51.0,19.7 38.2 6.9,7.8 10.2 -1.6,6.0 0.9 44.1,21.1 -42.0 -8.2
-31.5 -19.0 -0.3,-24.4 -11.6 -6.8,-28.0 4.6 14.4,47.0 4.2 5.9,7.2 -0.9 -1.6,-2.0 -18.8 -50.7,18.6 35.6 6.0,7.5 10.5 -1.8,9.9 3.3 45.8,21.6 -43.2 -8.6
-29.1 -16.0 -2.8,-25.3 -10.6 -6.1,-23.0 2.5 15.2,44.0 8.9 11.7,3.9 -0.7 -1.6,1.2 -20.9 -52.8,20.2 39.6 7.3,4.4 10.4 -3.5,9.0 1.9 48.1,23.2 -47.7 -10.4
-31.5 -19.0 -0.3,-24.4 -11.6 -6.8,-28.0 4.6 14.4,47.0 4.2 5.9,7.2 -0.9 -1.6,-2.0 -18.8 -50.7,18.6 35.6 6.0,7.5 10.5 -1.8,9.9 3.3 45.8,21.6 -43.2 -8.6
-29.2 -19.2 -1.3,-26.7 -8.5 -9.2,-33.1 3.7 11.0,57.2 2.5 5.7,5.0 -0.5 -1.5,-6.6 5.8 -47.8,20.5 40.2 7.6,5.5 10.4 -3.9,14.5 -2.1 40.6,23.0 -47.3 -10.2
-26.3 -19.3 -3.0,-21.2 -11.0 -8.2,-28.2 4.4 6.3,51.2 2.5 5.7,4.2 -0.2 -1.1,-6.3 -9.0 -53.2,23.0 47.2 10.1,4.6 10.9 -3.3,7.2 8.2 46.8,23.7 -49.5 -11.1
-27.3 -10.9 -7.2,-21.4 -1.3 -14.6,-28.1 5.8 11.5,51.9 4.9 10.4,4.9 -0.1 3.0,-6.2 -10.8 -56.4,22.1 44.6 9.2,4.5 10.9 0.9,10.4 -0.8 45.7,23.5 -48.7 -10.7
-28.0 -14.3 -7.9,-21.0 -4.3 -11.8,-26.5 6.9 14.3,46.6 5.5 6.7,7.2 1.0 2.5,-5.9 -20.9 -53.1,21.1 41.9 8.2,6.8 12.2 1.3,14.9 -3.1 45.6,24.9 -53.3 -12.6
-26.6 -10.8 -8.4,-19.9 -1.2 -17.4,-30.1 6.4 10.7,54.7 4.3 11.6,6.0 0.6 4.6,-4.6 -13.1 -60.1,22.1 44.7 9.2,5.6 11.2 0.7,10.1 1.2 48.2,23.5 -48.7 -10.7
-21.0 -13.6 -11.3,-15.3 0.5 -19.3,-24.5 8.2 9.7,40.3 3.1 13.0,3.6 1.5 4.2,-4.4 -26.6 -50.9,21.8 43.8 8.9,3.0 12.6 2.0,15.4 6.7 47.0,23.2 -47.9 -10.4
-21.2 -14.6 -11.2,-16.2 -1.1 -19.5,-20.8 7.8 12.4,36.5 6.2 13.7,1.9 1.6 4.0,-3.7 -29.6 -51.8,22.3 45.1 9.3,1.4 12.5 0.8,14.9 4.0 47.3,22.7 -46.3 -9.8
