-29.1 -13.2 -9.8,-19.2 -9.8 -9.3,-22.3 5.7 7.2,34.9 3.5 12.9,8.1 1.2 1.1,0.3 -28.5 -52.3,20.0 39.0 7.1,7.8 13.0 2.0,1.2 -4.9 46.4,22.1 -44.7 -9.2
-29.21675550013144 -14.025183217820281 -9.324461832397102,-19.790876847301114 -10.126780383202775 -8.10796837969878,-22.464959373557292 5.831557482779222 7.184637840457736,35.10481722209651 3.6102765009969056 11.155415583826047,7.804966453793311 1.1050982860531353 0.765322866036619,-0.24138682748289392 -29.27226404937958 -51.59580103916366,20.461035608810516 40.159994678057714 7.447689460048007,7.5858858945235506 12.980056790411092 1.8394103497419776,2.689951255169285 -4.042651817362069 44.88852017373067,21.75090953308358 -43.741414575652726 -8.856854622981981
-29.772066050373066 -15.30279730188216 -8.271898776917693,-20.999432319311225 -10.884309361606299 -7.369304220731497,-23.123895236718496 5.7060850911702765 7.985556821332284,36.515127411602826 3.914669380736468 10.084681217520394,7.453781162061774 1.0172424795834785 0.3187759237451675,-0.11740005503599613 -28.3376818835138 -50.53347505714358,20.241290500963256 39.648973090968575 7.281990984785284,7.338293133979011 12.844905947106438 1.216947797344951,3.980453093378115 -3.312806760747079 44.50327355496245,21.479667422371175 -42.99580342080226 -8.584566893443222
-30.557372187657464 -16.728504223111905 -6.876485351649789,-22.519311962623398 -11.757874517824026 -7.009602353814515,-24.140716528027884 5.417468145769543 9.231000505976995,38.76840607294297 4.281894037552479 9.42736461196926,7.115707091639227 0.9068170813893441 -0.17463204759180165,0.2795210771779009 -26.229881972240147 -49.44992881646742,19.63599240879971 38.18730543848807 6.82700057336926,7.1101954297412355 12.614058324493303 0.347303134879066,5.142556486088163 -2.5435845789926628 44.86801354246173,21.305919956687728 -42.51642529490821 -8.406191070711985
-31.36411444891724 -17.99796595243579 -5.372396074681406,-24.04416132383068 -12.432763434469402 -6.954457609664197,-25.37933218602974 5.05959196717339 10.549212457745215,41.50212871054095 4.580665869778727 8.923033478058874,6.860007209359506 0.744206592269048 -0.6498922686917353,0.5569373289960018 -23.482492785396097 -48.68206907966284,18.94036906466139 36.49536192037178 6.306814224957377,6.954566493185087 12.307024776978944 -0.5548328455855307,6.247312404761109 -1.5681050209364507 45.60649353499496,21.249313424858176 -42.35653895743012 -8.344781414116534
-31.983733371084988 -18.806844460780106 -3.993805464100562,-25.267625949526117 -12.594263694155881 -7.12946481899691,-26.703651149268346 4.726341875978201 11.568436239990302,44.35377082882079 4.679700275749002 8.311255526675462,6.75594448205645 0.4997955130209047 -1.0419959602720812,0.322409460255515 -20.629142792819156 -48.56680260925751,18.449648200889804 35.293512736375206 5.945527938707071,6.924380035685426 11.943316158970624 -1.2747693519786938,7.365771820858628 -0.21948783541607453 46.342466931328545,21.329494115707483 -42.56940316782759 -8.423392182985129
-32.207669491093284 -18.850801719071107 -2.974888037995269,-25.883351386302753 -11.9276628794969 -7.460218812529014,-27.977582356287975 4.511603192780347 11.916915416065601,46.96080793220649 4.447712653797094 7.331598468705245,6.872781876563893 0.14396834444322948 -1.2859343430502868,-0.8165017692063543 -18.2034604643468 -49.44103616777905,18.45905754982645 35.302128086253894 5.967237713775777,7.07260976861711 11.542443324875599 -1.5978155922302768,8.568985705842394 1.6691472287308347 46.699687130228895,21.56610831806058 -43.20827668556016 -8.66507763664603
-31.906867838796956 -17.969143149623893 -2.4950521888003863,-25.69446429312133 -10.294833200173914 -7.865031020214114,-29.071805860041284 4.487199017666621 11.361836470565557,48.998847718470785 3.817777957458289 5.8482603213907725,7.242441341620284 -0.3238519049593208 -1.3382434330124071,-3.044913741153287 -16.67140835536632 -51.45159437761706,19.152208899185673 36.97024246884547 6.510393991232081,7.421573506174723 11.137801911187976 -1.380495560359659,9.861384693303588 4.118618849312623 46.40338755928698,21.951880887745055 -44.25230374871129 -9.063507364771917
-31.38567538233068 -16.784216088045685 -2.4351603508829345,-25.100904471963617 -8.520260635590603 -8.222508952241945,-29.893913012466008 4.604684918913159 10.42780385482873,50.35136747741522 3.0738136517527765 4.404834873935549,7.693288158597859 -0.7459449397979574 -1.272906143622284,-5.417772547961793 -16.130082591201877 -53.709109251910135,20.10426330683837 39.267761161731826 7.246568555147303,7.826474918819599 10.838477509118283 -0.8675456040652454,10.884232726490687 6.353521910071242 45.73199857337055,22.332780178993797 -45.27660894768832 -9.452166641453372
-31.09539677072895 -16.183881273232707 -2.5748441662102075,-24.704978783382867 -7.754833690626249 -8.397797336438417,-30.364011027610168 4.7748362190210525 9.896246870369263,50.97232880100066 2.618700679468069 3.7752850446170276,7.98466573073294 -0.9109151113489579 -1.2037292150453904,-6.60680644877251 -16.5515042794262 -54.97286120757334,20.684068705812376 40.66304715366822 7.689024242091902,8.085852708909659 10.779220616353198 -0.43533689349164506,11.155651395379287 7.328468186879731 45.15152822447559,22.505012435568027 -45.71932212226119 -9.610225534836399
-31.385105783391435 -16.845452072665072 -2.721592413553252,-24.983076765110216 -8.851958174533895 -8.284714370926203,-30.405106256548308 4.911989395228802 10.366595356908029,50.82438725697263 2.771854912080599 4.5334298481362545,7.924283710498418 -0.6641628885653242 -1.2234992181634248,-5.5861362530390055 -17.806044596439467 -54.25314662051222,20.39567722496654 39.953715973512864 7.456774414767748,8.03913635701095 11.05038318626504 -0.39645323809308,10.357310750672593 6.246576328435797 45.063001650126665,22.320882889183917 -45.17524793174934 -9.379075415986682
