-44.7 -32.8 24.7,-28.7 -16.0 9.9,-32.5 -2.0 22.2,77.1 -12.4 -20.3,5.6 -6.0 -4.7,-5.8 -14.6 -45.6,24.4 51.5 11.9,6.6 5.3 -5.5,21.6 13.7 45.8,23.1 -47.7 -10.3
-45.33457728203379 -32.34103631140499 24.841024173544376,-28.419150632119663 -13.849740207547406 9.146466758663696,-32.22823261826681 -2.341914181029968 22.03863279421777,76.40255142973169 -4.508975418699275 -13.93797659079966,7.146745467339157 -6.21528339387058 -4.990680658198745,-10.900407004567434 -5.179674344489395 -47.50819767021049,24.195979600058095 50.82624669475373 11.570061229223244,8.164954287101262 5.033615544065959 -5.857949557985912,23.036586461138523 7.275654207426854 44.956663157117305,23.00832500132651 -47.38524927295676 -10.205361719660706
-45.20213436297525 -32.33896290780653 24.732507713603734,-28.42650073495691 -12.913774882806424 8.477272346545808,-32.625996391672835 -2.603353843463742 22.560063737876778,77.21629755678137 -6.534759259289478 -16.13683128103603,7.834087377900139 -6.227021313423488 -4.950620528432502,-13.578676529684449 0.9139462880607604 -48.3578475323044,23.61305408019312 49.12464480757109 10.889244641040447,8.887630865357476 4.835966206997475 -6.465616865226038,24.913614873212886 3.636124033040334 44.93275864625787,23.020022901166627 -47.38879268615938 -10.217580799693298
-44.634704599966426 -32.67576825249498 24.51181005058595,-28.681039419901794 -12.882886161278337 7.924607318460688,-33.450672863868654 -2.792133571949113 23.541387334211908,78.99303142521363 -15.051424734790974 -23.906499989889596,7.908192878189101 -6.108261558082042 -4.714875125527655,-14.39773798094863 4.1978084616074325 -48.41365769739569,22.84117581022886 46.9172150175913 10.04431154302098,9.005848030407401 4.704960361515448 -7.164611651929781,26.90117506019305 2.3139529193970336 45.553966531596636,23.095171659217584 -47.58687858940584 -10.295036524639102
-43.964321350149326 -33.23344080876071 24.316290614898897,-29.14175579834437 -13.44785617846444 7.520662229222687,-34.45964357850484 -2.916067951133867 24.759698086458062,81.18454607909311 -26.6330450582241 -34.25691863654085,7.615229114712198 -5.932051927269562 -4.418499964310593,-13.920520763957569 5.188858740107597 -47.94033627659838,22.07029715998915 44.72597800395359 9.22202324273422,8.757424077889791 4.638506380340769 -7.79654364830655,28.669356846049006 2.8416843090535373 46.645966877308574,23.19384923517662 -47.85575533249417 -10.396108179039441
-43.52301797066602 -33.89396903989409 24.283308836950447,-29.767638981674693 -14.299467069866017 7.297627633646156,-35.41029007923199 -2.982971565665795 25.992090497850118,83.24263456248444 -37.85369344260922 -44.19802314017029,7.20136323397559 -5.771440220409367 -4.196550559607699,-12.709954284308868 4.404043687518233 -47.20259138102648,21.490370499297796 43.07295444579715 8.609141047749537,8.3801773034434 4.6345126361943345 -8.203022584565753,29.888250054750735 4.75186164456643 48.03443974756866,23.27613358874096 -48.071671265222356 -10.479175047435636
-43.64282781865851 -34.539341409185496 24.550224147148462,-30.517678081282796 -15.128500970984351 7.287694086545445,-36.05999390970067 -3.0006590001926847 27.01565907162297,84.6190899194522 -45.28744310096669 -50.7397494199584,6.912762382485427 -5.699474236924775 -4.184082426245357,-11.328967947600107 2.36030986779631 -46.46513112179397,21.2913481979786 42.480165022261204 8.392426265636301,8.111926002706983 4.69088750179704 -8.225658190916793,30.227944510268202 7.5770283684923 49.54506520655184,23.302102679607852 -48.11087473738839 -10.502616414369008
-44.54046411351231 -35.063059741629694 25.200911235487542,-31.33979601943267 -15.678772548926737 7.502329499609679,-36.2295501780298 -2.9840179109553477 27.661752145849597,84.91260354642635 -46.34352812671427 -51.62078855763941,6.937248006199863 -5.769479292908071 -4.477052930304711,-10.266912532357207 -0.3894108745051124 -45.94635944495529,21.59712709739345 43.28822948329116 8.692346863401932,8.135632941050956 4.799418339893741 -7.774745754559421,29.485036918211396 10.790693262682943 50.97686327765851,23.247968246320767 -47.9008961239527 -10.442173123488255
-45.80399671888088 -35.42138851997063 26.027684034682828,-32.12159072743076 -15.983192107350447 7.840036675681338,-36.0854396352957 -2.986493308946959 28.057471371575478,84.52265215781338 -42.98388562458185 -48.552486366439446,7.144582297085619 -5.927267755318881 -4.958284144168151,-9.612040483958515 -3.0960205438816204 -45.61226292806627,22.171516287668368 44.84889875609444 9.267986674421161,8.335227555415726 4.9185251211444045 -7.13500535854203,28.14574950965799 13.544550134329691 51.98352240714628,23.17789191260245 -47.6488189205535 -10.368228888198622
-46.808335469558436 -35.59187375297992 26.723994222930685,-32.73020517321488 -16.172696332707098 8.161014273222332,-35.911357922316526 -3.0746042109173977 28.430202263747077,84.12024229480251 -38.71418062775127 -44.59323414967317,7.296680097508719 -6.082196561928083 -5.438328346953714,-9.31660005480145 -4.943905238764188 -45.343238612003226,22.656226510564704 46.178618694070074 9.75589160710371,8.493243233078822 4.995313620019819 -6.718116831150137,26.930142343717225 14.881171953410698 52.16945209336782,23.185857298848408 -47.65651733480913 -10.383258871953615
-47.04401962432803 -35.55612869082027 27.01325407339708,-33.046409530731324 -16.360439564401975 8.339460781964396,-35.9128383998388 -3.2911661416335254 28.94920162884852,84.22103451507671 -36.40154337510457 -42.24224589080678,7.193176808150373 -6.1542707159485515 -5.747871681944813,-9.310716063444834 -5.276432072421514 -45.04690595488056,22.7586590336429 46.47310720404252 9.859095058778614,8.424635230401533 4.99100484998157 -6.848460293053019,26.42861484274266 14.077223927824065 51.262526706253055,23.35016606800235 -48.175563526156665 -10.574206823139507
