-44.7 -32.8 24.7,-28.7 -16.0 9.9,-32.5 -2.0 22.2,77.1 -12.4 -20.3,5.6 -6.0 -4.7,-5.8 -14.6 -45.6,24.4 51.5 11.9,6.6 5.3 -5.5,21.6 13.7 45.8,23.1 -47.7 -10.3
-44.6 -32.7 24.5,-28.7 -12.9 7.9,-33.5 -2.8 23.6,79.1 -15.6 -24.4,7.9 -6.1 -4.7,-14.4 4.3 -48.4,22.8 46.8 10.0,9.0 4.7 -7.2,27.0 2.3 45.6,23.1 -47.6 -10.3
-43.7 -34.6 24.6,-30.6 -15.2 7.3,-36.1 -3.0 27.1,84.7 -45.7 -51.1,6.9 -5.7 -4.2,-11.2 2.1 -46.4,21.3 42.5 8.4,8.1 4.7 -8.2,30.2 7.9 49.7,23.3 -48.1 -10.5
-46.9 -35.6 26.8,-32.8 -16.2 8.2,-35.9 -3.1 28.5,84.1 -38.2 -44.1,7.3 -6.1 -5.5,-9.3 -5.1 -45.3,22.7 46.3 9.8,8.5 5.0 -6.7,26.8 14.9 52.1,23.2 -47.7 -10.4
-46.4 -34.8 25.9,-32.6 -16.7 8.1,-34.8 -3.6 29.4,83.3 -29.9 -35.4,6.4 -6.0 -5.7,-9.2 -3.0 -44.8,22.5 45.8 9.6,7.7 5.0 -7.6,26.2 9.4 48.4,24.1 -50.6 -11.5
-47.2 -33.1 22.1,-29.8 -16.4 7.1,-29.2 -2.5 26.5,75.6 -3.3 -10.0,5.9 -5.5 -4.6,-7.4 -2.3 -45.8,24.1 50.6 11.5,7.0 5.6 -6.0,23.4 8.4 49.7,25.2 -54.3 -13.1
-44.9 -32.8 21.3,-26.6 -15.5 7.1,-31.2 -2.0 25.8,78.0 -8.4 -13.6,6.5 -5.4 -3.8,-7.8 -8.5 -44.9,25.6 55.9 13.8,7.4 5.5 -6.1,23.9 4.6 49.0,25.3 -54.9 -13.3
-42.3 -32.3 21.1,-25.1 -15.2 6.3,-32.2 -1.6 23.7,75.7 -8.8 -14.6,6.3 -5.4 -3.1,-8.3 -13.5 -45.7,23.4 48.5 10.7,7.2 5.2 -6.7,24.0 0.3 43.6,23.7 -49.4 -11.0
-42.3 -29.6 22.8,-22.6 -12.4 9.5,-28.3 -1.9 19.1,67.0 -3.2 -13.0,8.6 -6.3 -4.0,-14.6 8.6 -46.8,24.3 51.4 11.8
9.5 4.7 -5.8,17.4 -12.8 38.8,24.3 -51.3 -11.8
-36.7 -26.9 21.4,-20.8 -11.5 9.3,-28.5 -0.6 21.2,70.0 -7.3 -13.0,7.5 -6.1 -1.6,-8.5 -7.5 -46.7,22.8 46.6 9.9,8.1 4.5 -5.3,13.7 1.2 44.0,22.0 -44.3 -9.1
