-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-16.439470870560417 -17.43970975085149 -6.452286791192309,-8.539313917048707 -10.80181196805626 -4.043151629760728,-17.31011991518429 6.595987214392198 1.695334579349782,21.613482356332053 -1.9137079565605486 11.48601942229334,2.9651883538887622 -0.6021325409317455 -0.7768313740336192,-3.423840754612548 -28.61889644694627 -47.418327166399195,21.493587014412654 42.90610338102899 8.564454466459427,3.035569433507381 11.365012076776205 0.49552615452160925,-1.4950682012105043 -10.938965725984197 41.118770792963765,20.01812154832962 -39.15834179590114 -7.222956752395515
-15.915052917178578 -17.672632807500715 -7.236363035789137,-8.446074556884978 -10.71677859031111 -4.879872783010751,-16.227639869960512 7.0491395579171545 2.4751741222957704,20.174812831999485 -1.4464695531708553 12.450325581161845,2.3690259410266066 -0.34946940819131667 -0.28446362537252806,-3.2483142227184225 -28.536285581560016 -47.48550796655198,21.365825723710707 42.495200107775396 8.401066844966746,2.369754852454234 11.571754474353751 0.7618470941550504,-1.9369665823517987 -13.281793033342906 41.69044969379849,19.901619514963027 -38.86647428235308 -7.105604306253518
-15.238572331329307 -18.362216444758186 -7.7782588980295975,-8.870707376208204 -10.70322286720048 -6.222784670413913,-16.652342024428776 7.854797401706576 4.101822918091948,21.202583589015543 -1.1165655210001175 13.170100595992388,1.4496296317885333 -0.11061248358437199 0.5519799122826945,-3.66637629163545 -28.40688834246465 -47.49728198806179,21.20729016980539 42.02131727756684 8.20881302042777,1.3549532116614338 11.69627242272889 0.8949919895743771,-1.7197958205106023 -15.783042978587021 42.17627175219448,19.52159514369975 -37.85755511701885 -6.721815643583661
-14.42185530448744 -18.971907937434413 -8.1040045421528,-9.463637831717778 -10.5194677991603 -7.784508502634059,-17.78400853868918 8.708301116892173 6.137585255992294,23.51538678939349 -0.7422765912175312 13.622526586171851,0.5451162965495425 0.04583635108342912 1.5073759052314695,-4.470982848681456 -28.285425668283594 -47.64938881853211,21.108554394607918 41.738481987730964 8.086668877748322,0.34356146594985787 11.714611151897877 0.9909900114536444,-1.3376565927736361 -17.597276618227443 42.63747201784201,19.149149678339306 -36.864741957561485 -6.3454637463956045
-13.476728028127813 -18.965154560339915 -8.239630132397858,-9.875291380113092 -9.923836386626506 -9.277665490335032,-18.82242157284183 9.304991074605653 8.144765425250792,25.931814595146584 -0.14188349499229314 13.784785671087107,-0.00639719431536645 0.05127521400642815 2.3566010197732177,-5.455089781174268 -28.226618497640256 -48.13756804556638,21.160192440029512 41.90072133559543 8.133610301834219,-0.3120234298596184 11.602815891856968 1.1458703304669067,-1.2846495762276198 -17.879055008775072 43.135285540431354,19.055384362681213 -36.62119246164402 -6.250421596699004
-12.415016693725244 -17.8054035882852 -8.211165833003886,-9.756093478093534 -8.674651630035019 -10.414876844180673,-18.967363286986835 9.34020764597872 9.685667715121422,27.27045916828808 0.8663330365064001 13.634059970125037,0.13320602956880778 -0.16289777662103377 2.8745319222073604,-6.411652976431711 -28.285187769158053 -49.15755925676805,21.45277834798139 42.762062418487844 8.448613177591277,-0.25940452094611977 11.336931872602417 1.4556621172882176,-2.0548754479592732 -15.78293920674081 43.73094736965279,19.511400440524987 -37.860064286929465 -6.7105621765035135
-11.24763248661618 -15.178538042379488 -8.041093166610649,-8.869202639008284 -6.669297730695496 -10.946011307577152,-17.640805022918105 8.617547317425613 10.404884301491242,26.641535119914025 2.360734926574201 13.169112609964069,1.1492501028093518 -0.6360541190604408 2.90971202942266,-7.168784944031667 -28.430505974830464 -50.82977504509512,22.03686312651138 44.46162015711994 9.087101883763445,0.6983337637511947 10.905229979041557 1.9698843424606582,-3.9659485475990763 -10.850666730334614 44.45160974066854,20.67376736005557 -41.003405538627604 -7.883223295954444
-9.980498629578722 -11.9830023983774 -7.732548986256411,-7.592317806117065 -4.563221633078157 -10.823984675654616,-15.47593548224778 7.530741905699748 10.395582381015313,24.74497520198168 3.8562533759911197 12.506351016949381,2.394141856816524 -1.2482220541160474 2.7122634781852777,-7.7462470887382295 -28.166686589971512 -52.86399881408224,22.744820674240188 46.51209003039861 9.867088968746524,1.9105330958662128 10.362626669689599 2.4845154513865055,-6.373405250098265 -4.734585741128671 45.1386296293345,22.07470869428067 -44.77731635605702 -9.290475907848478
-8.61784702990473 -9.52839577529698 -7.282110765495133,-6.511515939532137 -3.2689137622466555 -10.070561821499187,-13.516642254947554 6.673625977228152 9.903031711364639,22.819752882769276 4.6767718189830845 11.802073379148922,2.937863001080421 -1.8253998021545703 2.6684754874994163,-8.228785012883584 -26.840083329105312 -54.830778056998284,23.335045520535857 48.21376157183168 10.526085513534932,2.439140274861007 9.786636545973892 2.709563513477838,-8.306561085399457 0.19729095169870542 45.57036466143865,23.034745174592835 -47.33283581401217 -10.238985042989972
-7.216024834662884 -8.91628859442588 -6.6897180595601755,-6.133637739372128 -3.516468699180198 -8.757552346834624,-12.695575656551787 6.537415048692941 9.165438749335815,21.98696867678711 4.277159560448847 11.176508451637746,2.0510853659138424 -2.216903786762574 3.075572350610606,-8.681424067233124 -24.05961406640134 -56.314251833458165,23.60835858768554 48.991849359228716 10.84732348174898,1.5494048244597085 9.25432183371 2.412805304122968,-8.912749981386593 1.997986529790092 45.545559254128484,22.9937827155185 -47.14919568470841 -10.159382132137752
