-16.8 -18.2 -5.4,-9.5 -11.2 -4.0,-20.7 6.8 2.2,26.7 -2.7 10.3,2.9 -0.8 -0.7,-4.4 -28.6 -47.1,21.5 43.0 8.6,3.0 11.1 0.0,0.1 -9.6 40.4,19.6 -38.0 -6.8
-15.2 -18.4 -7.8,-8.9 -10.7 -6.3,-16.7 7.9 4.2,21.3 -1.1 13.2,1.4 -0.1 0.6,-3.7 -28.4 -47.5,21.2 42.0 8.2,1.3 11.7 0.9,-1.7 -15.9 42.2,19.5 -37.8 -6.7
-12.3 -17.6 -8.2,-9.7 -8.5 -10.5,-18.9 9.3 9.8,27.3 1.0 13.6,0.2 -0.2 2.9,-6.5 -28.3 -49.3,21.5 42.9 8.5,-0.2 11.3 1.5,-2.2 -15.4 43.8,19.6 -38.1 -6.8
-8.4 -9.3 -7.2,-6.4 -3.2 -9.9,-13.3 6.6 9.8,22.6 4.7 11.7,2.9 -1.9 2.7,-8.3 -26.5 -55.1,23.4 48.4 10.6,2.4 9.7 2.7,-8.5 0.7 45.6,23.1 -47.5 -10.3
-6.1 -12.2 -5.0,-7.5 -6.7 -6.0,-15.6 7.6 7.6,25.4 1.0 9.4,-1.5 -2.5 3.9,-9.2 -20.1 -56.3,23.6 49.0 10.9,-1.9 8.6 0.8,-5.5 0.1 43.6,20.8 -41.1 -7.9
-11.2 -16.6 -4.0,-9.9 -7.5 -6.6,-23.5 7.8 5.1,34.0 -2.6 7.0,0.3 -2.1 1.1,-7.4 -30.5 -49.0,23.5 48.9 10.8,0.2 9.6 0.4,1.9 -1.9 39.2,18.5 -35.3 -5.9
-11.9 -15.1 -8.4,-7.3 -6.5 -7.2,-19.2 8.1 -2.3,25.0 -6.0 12.4,3.3 -0.9 0.2,-4.1 -25.8 -46.4,22.0 44.3 9.0,2.9 11.6 3.4,-3.7 -16.6 40.8,17.0 -32.0 -4.9
-13.4 -13.7 -8.5,-7.5 -5.4 -9.2,-19.4 8.8 -0.2,26.4 -4.9 12.9,4.9 -0.7 1.7,-5.6 -28.8 -50.2,22.1 44.7 9.2,4.3 11.6 4.3,-3.3 -10.6 41.6,17.7 -33.5 -5.4
-19.9 -6.3 -7.4
-6.7 -1.6 -7.2,-16.2 7.2 5.4,19.2 -1.0 13.1,10.0 -1.2 3.8,-5.1 -36.1 -53.6,19.6 38.0 6.8,9.0 10.7 5.4,0.6 3.4 43.0,20.3 -39.7 -7.4
-22.8 -5.1 -5.8,-9.6 -4.7 -7.1,-17.3 3.4 6.4,23.9 2.3 13.4,10.2 -2.4 0.9,-0.7 -7.7 -52.6,20.6 40.6 7.7,9.8 9.5 2.3,-6.9 -11.0 42.9,23.6 -49.1 -10.9
-20.7 -10.4 -8.3,-15.6 -5.1 -10.3,-16.7 4.6 3.9,28.9 3.0 13.6,6.3 -0.6 0.7,-1.7 -8.7 -55.5,23.6 49.1 10.9,6.2 11.1 1.1,-1.3 -7.7 47.0,21.6 -43.2 -8.6
-19.4 -5.9 -8.0,-9.8 -2.2 -12.6,-20.0 6.5 3.3,29.9 -0.8 12.9,8.0 -1.1 3.9,-7.3 15.9 -46.0,20.9 41.2 7.9,7.1 10.6 4.9,-5.5 -2.1 42.3,19.1 -36.8 -6.4
-12.9 -10.4 -10.0,-11.2 -2.6 -13.3,-21.9 6.8 6.4,35.3 1.5 13.8,5.5 -0.3 2.4,-7.5 -8.3 -56.1,21.5 42.9 8.5,5.0 11.4 2.8,-6.5 -9.5 40.3,21.4 -42.7 -8.4
-20.3 -12.5 -6.6,-15.0 -5.9 -11.7,-17.4 6.0 10.9,32.8 6.3 13.5,5.3 -0.5 2.4,-4.4 -9.7 -57.5,23.9 50.0 11.3,5.0 10.6 0.5,0.7 0.1 45.6,23.6 -49.2 -10.9
-20.0 -17.1 -4.4,-16.8 -8.5 -8.9,-22.1 6.8 8.6,41.1 2.6 7.4,2.0 -0.5 1.9,-8.5 -6.8 -56.8,22.8 46.8 10.0,2.0 10.4 -1.3,4.6 5.1 46.9,23.8 -49.6 -11.1
-21.7 -15.3 -6.3,-18.5 -2.6 -11.4,-25.8 6.6 9.0,42.2 1.9 9.1,4.1 -0.2 1.4,-5.5 -20.8 -50.1,20.7 40.8 7.8,3.9 11.2 0.4,11.8 -1.0 44.4,23.2 -48.0 -10.5
-21.5 -11.3 -3.5,-19.2 -1.0 -9.9,-26.7 5.2 13.1,42.2 2.5 8.3,5.8 -1.9 1.7,-2.5 -30.4 -49.7,20.2 39.6 7.4,5.6 9.4 0.3,13.0 10.5 46.8,22.0 -44.3 -9.0
-22.3 -16.7 -5.3,-18.7 -4.9 -12.1,-29.8 7.5 6.7,47.9 -0.7 7.7,5.1 -0.3 1.1,-6.8 -3.3 -50.6,18.3 34.9 5.8,4.9 11.3 1.2,7.9 -3.5 40.6,20.5 -40.2 -7.6
-21.0 -9.1 -7.1,-13.1 -1.4 -11.3,-19.2 7.4 9.6,27.9 2.0 12.2,8.1 -0.9 3.3,-4.8 -28.4 -54.1,18.7 35.9 6.1,7.3 11.0 4.6,1.1 -1.0 45.2,20.0 -39.1 -7.2
-24.7 -12.4 -8.4,-15.2 -7.7 -14.3,-22.1 7.3 13.3,34.9 4.5 13.6,8.5 0.6 3.1,-2.9 -20.2 -52.7,16.8 31.6 4.8,7.9 12.1 3.1,-1.3 1.6 46.7,19.3 -37.4 -6.6
-24.5 -13.2 -9.5,-16.3 -8.4 -12.5,-20.5 6.0 8.0,32.4 3.7 14.0,6.4 0.9 1.6,-0.3 -22.7 -52.1,18.2 34.7 5.7,6.1 12.4 1.4,-2.0 -9.7 43.7,19.9 -38.8 -7.1
