-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-20.062283849367684 -16.92941170750141 -1.7675238744874326,-16.47335396616429 -7.758656500509301 -7.185156260253462,-20.09598203939859 5.4011823453731065 12.767866664938193,40.21634563554566 5.764859328754355 7.369344679009587,2.405279822769457 -1.5738691072872841 0.34181991841831477,-10.309791068498042 -8.850645095443065 -54.28300667128816,24.79583009209746 53.109331960127356 12.555439824435096,2.5464548514897225 9.463295926270547 -2.1181653136115592,4.331268951253303 5.726277248028541 47.68871495410125,24.482603797573034 -52.05380587806818 -12.057905781670728
-18.542581902133684 -16.004374022910298 -1.9208928322869596,-15.386758325358809 -6.8439657121171145 -6.945195733429409,-16.42100967099016 5.919342203434334 13.356915328041636,33.56839446486502 6.533562226972882 7.444139012948572,1.7106858640065226 -1.86506379444728 0.8899064724847202,-10.50169952106558 -9.816579178725828 -54.22832314436611,24.740123535979272 52.937106931993355 12.490198208764095,1.7255306022802153 9.28465312664389 -1.3421016164051451,3.446544010734584 5.792632282921025 47.20181813107078,24.400801795113132 -51.67952086058747 -11.916535299538163
-19.129877487301414 -15.044292492988422 -2.188229413502988,-15.096105942659875 -5.84789303925041 -7.087765720257297,-15.115258490944875 5.724258082295852 13.030986049365492,31.31785609166357 6.98404022959299 7.592809551871018,1.969282165967154 -1.9025404788176385 1.1920932092041134,-9.660234302377676 -10.946001276298471 -54.7651985056131,24.982324057847602 53.835195644995636 12.872593708403599,1.967589128611744 9.202725101578844 -1.2868156203586727,3.9462621095874413 4.021512389428319 47.752740341464445,24.398964067858962 -51.59945049775105 -11.898980227651647
-20.913153933874273 -14.368572664497549 -2.2976561582399224,-15.457289683143804 -5.062403886336158 -7.320513521466574,-15.518904095432896 5.085708490069834 12.353918888964921,32.326440119646776 7.194224871552098 7.683782845830987,2.734132770907306 -1.815255577736012 1.196213675581392,-8.369904357109391 -11.787110414611169 -55.4228818414084,25.371875383904577 55.255468828531825 13.470944878770199,2.80299230672457 9.156165351534227 -1.7673140374500556,5.330860178955476 1.4353648523013023 48.854912395838134,24.421460691049205 -51.635900339752084 -11.92833224006052
-22.981394570855674 -14.296620084199443 -1.9772956066021707,-16.32620241188691 -4.779463657801324 -7.351086437786698,-16.97212208062438 4.273471934868455 11.889553906895094,35.45585615252008 7.242047687787618 7.585485444882546,3.558301721082935 -1.7321655085400516 0.8501014186214533,-7.215218629935784 -11.888105620114105 -55.730622238131275,25.758221240352345 56.64979721199958 14.053570275280494,3.7621020128589566 9.083627376968849 -2.5986035796572073,7.100775149982285 -0.9433630437091518 50.02176510474769,24.41266173992254 -51.611175936783766 -11.927683010814134
-24.423582727249016 -15.147840298855872 -0.9552702986941384,-17.558736993965514 -5.291037758072876 -6.887131769947117,-18.81508804268949 3.5573269248038852 12.201731163211173,39.56781379398894 7.2054402132369635 7.166343899079753,3.9948530587499955 -1.7822266885674094 0.10158998532919528,-6.780686065531908 -10.797185919257455 -55.21766878216098,25.990805353393043 57.47005152479649 14.38878845335108,4.375280123255166 8.92376467834152 -3.5956909589580417,8.756443953811468 -2.092224013852171 50.76672927874899,24.31693728971764 -51.34758283903924 -11.820124213961817
-24.562279566460244 -17.082016257847517 0.9048502284624006,-19.00045288955107 -6.777289344740804 -5.733113375359301,-20.462895348415387 3.1494501751592767 13.678283069593654,43.57585020713679 7.1594357615607285 6.3593530894497325,3.7061716053108955 -2.0546171939694404 -1.0510604935185832,-7.444603137986075 -8.414548896156722 -53.585601344171245,25.94901918208608 57.27932491449358 14.29279359241226,4.2808082308592486 8.641761314228823 -4.5826243797369965,9.876967192482768 -1.2570923374874885 50.700494565961044,24.103600378356653 -50.7424321524855 -11.561437426350565
-23.993346444732573 -19.388782060402413 3.001135763617907,-20.44057918615074 -8.80891525843355 -4.221270106045764,-21.739035755719016 2.948014402916456 15.747573545391337,46.676029540191166 7.163268605726705 5.4494885054941875,2.9505813025231524 -2.421671881878817 -2.334700024392799,-8.461142625166929 -6.559237870012444 -51.47542463981396,25.675507921102124 56.24701603222233 13.84276371672187,3.705269453220014 8.347427073015304 -5.432739831130047,10.470263842765483 0.8534594144755929 49.963936609852354,23.877935332630152 -50.10191191644634 -11.285606320255413
-23.744394618116488 -21.062722232219798 4.481293181174193,-21.649244500785038 -10.749954850238408 -2.862798456795355,-22.60548051497609 2.7447200292323464 17.51263048333284,48.16021502961903 7.2708158890371735 4.8410750197573025,2.188476787611002 -2.682198534970947 -3.38296911660969,-8.703310086133312 -7.700937272410811 -49.846683022901296,25.268272748241237 54.748109251858416 13.204371103102424,3.074727851761504 8.199611352680645 -6.036085776085636,10.689656370226357 3.034887772531159 48.877706217406676,23.791331546048916 -49.870851926528545 -11.187039232362276
-24.65098090172767 -21.281481249329854 4.656915494499585,-22.433339628719104 -12.036299256345991 -2.0960822346438492,-23.039703973536618 2.370760144298191 18.19502853513513,47.509118753390354 7.507281310408145 4.850007660953484,1.8252471161052812 -2.6744787489102007 -3.8940040138324883,-7.293736972720534 -13.581805678864662 -49.473791445425796,24.823050777840443 53.14525937868032 12.536389991180226,2.7670697475581103 8.321567500700228 -6.301459397517331,10.670091378698677 4.199207691533754 47.732943049395054,23.949974850695984 -50.357879239824435 -11.401774507794512
