-24.6 -17.5 -2.0,-18.5 -8.3 -8.1,-26.8 3.9 10.7,52.4 4.6 7.5,4.5 -0.9 -0.4,-8.5 -8.5 -55.4,25.3 54.9 13.3,4.9 9.8 -3.8,7.1 2.8 49.7,24.7 -52.9 -12.4
-19.2 -15.0 -2.2,-15.1 -5.8 -7.1,-15.1 5.7 13.0,31.3 7.0 7.6,2.0 -1.9 1.2,-9.6 -11.0 -54.8,25.0 53.9 12.9,2.0 9.2 -1.3,4.0 3.9 47.8,24.4 -51.6 -11.9
-24.5 -15.3 -0.8,-17.7 -5.4 -6.8,-19.0 3.5 12.3,40.0 7.2 7.1,4.0 -1.8 -0.0,-6.8 -10.6 -55.1,26.0 57.5 14.4,4.4 8.9 -3.7,8.9 -2.1 50.8,24.3 -51.3 -11.8
-23.8 -21.2 4.6,-21.8 -11.0 -2.7,-22.7 2.7 17.7,48.2 7.3 4.8,2.1 -2.7 -3.5,-8.6 -8.3 -49.7,25.2 54.5 13.1,3.0 8.2 -6.1,10.7 3.3 48.7,23.8 -49.9 -11.2
-28.1 -19.0 2.8,-23.0 -12.3 -2.1,-22.9 1.5 16.2,42.6 7.6 5.5,2.5 -2.3 -3.9,-2.8 -26.3 -50.4,24.1 50.6 11.5
3.4 8.9 -5.9,9.8 1.9 45.4,24.1 -50.7 -11.6
-26.9 -18.4 2.4,-22.1 -9.9 -3.0,-22.8 2.2 11.6,41.0 5.2 4.0,4.0 -2.5 -3.7,-4.6 -12.6 -48.2,24.3 51.3 11.8,4.8 8.8 -4.5,9.5 -2.6 44.1,22.7 -46.3 -9.8
-22.4 -19.2 -0.1,-17.6 -10.7 -3.4,-24.1 4.6 13.0,40.2 3.8 4.8,1.5 -1.6 -1.1,-3.4 -29.8 -49.0,24.4 51.7 12.0,2.0 9.5 -3.6,17.0 16.4 47.8,24.7 -52.9 -12.5
-20.5 -17.3 -2.0,-13.7 -8.2 -4.9,-19.6 6.2 12.0,30.7 3.7 6.5,2.1 -1.3 1.3,-5.2 -29.3 -49.3,23.0 47.2 10.2,2.2 9.6 -1.8,15.2 15.5 49.7,22.6 -46.0 -9.7
-20.1 -12.2 0.0,-17.8 -3.2 -5.8,-23.6 4.5 11.9,42.3 3.1 6.5,4.4 -3.2 0.6,-8.1 -11.2 -53.1,24.0 50.5 11.5,4.4 8.0 -0.9,5.9 2.5 47.1,23.0 -47.2 -10.1
-21.3 -15.3 -2.2,-16.7 -6.9 -6.8,-17.6 5.1 12.3,35.2 6.5 8.9,2.4 -1.6 0.9,-7.7 -8.8 -54.7,25.6 56.1 13.8,2.5 9.4 -1.8,5.7 2.4 47.8,25.8 -56.7 -14.1
-21.3 -15.2 -1.6,-16.4 -5.9 -6.2,-13.9 3.7 14.4,30.8 10.3 9.9,1.7 -1.7 0.2,-6.3 -8.7 -53.8,25.9 57.1 14.3,2.0 9.1 -3.5,6.9 -4.8 50.2,25.4 -55.1 -13.4
